time,Phoenix,pts.away,score,pts.home,Chicago
2:03.0,D. Booker makes free throw 2 of 3,1,98-91,,
2:03.0,D. Booker makes free throw 3 of 3,1,99-91,,
1:50.0,,,99-94,3,J. Holiday makes 3-pt shot from 24 ft (assist by R. Lopez)
1:35.0,D. Booker misses 2-pt shot from 21 ft,,99-94,,
1:29.0,,,99-94,,Defensive rebound by D. Valentine
1:20.0,,,99-94,,Turnover by K. Dunn (bad pass; steal by D. Booker)
1:19.0,Shooting foul by J. Holiday (drawn by D. Booker),,99-94,,
1:19.0,D. Booker makes free throw 1 of 2,1,100-94,,
1:19.0,D. Booker makes free throw 2 of 2,1,101-94,,
1:04.0,,,101-94,,R. Lopez misses 2-pt shot from 1 ft
0:59.0,Defensive rebound by D. Booker,,101-94,,
0:43.0,D. Booker misses 3-pt shot from 27 ft,,101-94,,
0:37.0,,,101-94,,Defensive rebound by K. Dunn
0:36.0,,,101-96,2,K. Dunn makes 2-pt shot from 1 ft
0:26.0,Turnover by T. Ulis (bad pass; steal by K. Dunn),,101-96,,
0:24.0,,,101-96,,K. Dunn misses 2-pt shot from 1 ft (block by D. Booker)
0:24.0,Defensive rebound by T. Ulis,,101-96,,
0:24.0,,,101-96,,Personal foul by D. Valentine (drawn by T. Ulis)
0:24.0,T. Ulis misses free throw 1 of 2,,101-96,,
0:24.0,Offensive rebound by Team,,101-96,,
0:24.0,T. Ulis makes free throw 2 of 2,1,102-96,,
0:24.0,,,102-96,,Chicago full timeout
0:22.0,,,102-99,3,L. Markkanen makes 3-pt shot from 23 ft (assist by K. Dunn)
0:15.0,,,102-99,,Personal take foul by J. Holiday (drawn by T. Warren)
0:15.0,,,102-99,,J. Grant enters the game for J. Holiday
0:15.0,T. Warren makes free throw 1 of 2,1,103-99,,
0:15.0,T. Warren makes free throw 2 of 2,1,104-99,,
0:07.0,,,104-99,,L. Markkanen misses 3-pt shot from 23 ft (block by T. Warren)
0:03.0,Defensive rebound by D. Booker,,104-99,,
