time,Phoenix,pts.away,score,pts.home,Chicago
0:50.0,,,28-27,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Holiday)
0:50.0,Violation by M. Chriss (def goaltending),,28-27,,
0:34.0,T. Daniels misses 3-pt shot from 25 ft,,28-27,,
0:31.0,,,28-27,,Defensive rebound by A. Blakeney
0:28.0,Personal foul by J. Jackson (drawn by A. Blakeney),,28-27,,
0:13.0,,,28-29,2,A. Blakeney makes 2-pt shot from 15 ft
0:02.0,M. James misses 2-pt shot from 22 ft,,28-29,,
0:02.0,,,28-29,,Defensive rebound by B. Portis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:56.0,Personal foul by M. James (drawn by J. Grant),,28-29,,
11:47.0,,,28-29,,A. Blakeney misses 3-pt shot from 22 ft
11:44.0,Defensive rebound by A. Len,,28-29,,
11:32.0,T. Daniels makes 3-pt shot from 23 ft (assist by M. James),3,31-29,,
11:15.0,,,31-29,,P. Zipser misses 2-pt shot from 19 ft
11:10.0,,,31-29,,Offensive rebound by B. Portis
11:08.0,,,31-31,2,B. Portis makes 2-pt shot from 1 ft
10:47.0,A. Len makes 2-pt shot at rim (assist by M. James),2,33-31,,
10:34.0,,,33-31,,P. Zipser misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by A. Len,,33-31,,
10:14.0,M. James misses 3-pt shot from 24 ft,,33-31,,
10:14.0,Offensive rebound by A. Len,,33-31,,
9:59.0,J. Jackson misses 2-pt shot from 1 ft (block by P. Zipser),,33-31,,
9:58.0,,,33-31,,Defensive rebound by B. Portis
9:55.0,,,33-31,,A. Blakeney misses 2-pt shot from 1 ft
9:55.0,,,33-31,,Offensive rebound by Team
9:46.0,,,33-31,,P. Zipser misses 3-pt shot from 23 ft
9:42.0,Defensive rebound by M. Chriss,,33-31,,
9:32.0,T. Daniels misses 3-pt shot from 25 ft,,33-31,,
9:28.0,,,33-31,,Defensive rebound by P. Zipser
9:25.0,Personal foul by J. Jackson (drawn by P. Zipser),,33-31,,
9:25.0,T. Warren enters the game for J. Jackson,,33-31,,
9:16.0,,,33-31,,J. Grant misses 2-pt shot from 19 ft
9:12.0,Defensive rebound by M. Chriss,,33-31,,
9:06.0,M. James makes 2-pt shot from 6 ft,2,35-31,,
9:06.0,,,35-31,,Chicago full timeout
9:06.0,,,35-31,,D. Valentine enters the game for A. Blakeney
8:56.0,,,35-31,,J. Grant misses 2-pt shot from 21 ft
8:51.0,Defensive rebound by A. Len,,35-31,,
8:39.0,A. Len misses 2-pt shot from 1 ft,,35-31,,
8:38.0,Offensive rebound by A. Len,,35-31,,
8:38.0,A. Len misses 2-pt shot from 1 ft (block by P. Zipser),,35-31,,
8:37.0,,,35-31,,Defensive rebound by P. Zipser
8:23.0,,,35-31,,D. Valentine misses 3-pt shot from 23 ft
8:23.0,Defensive rebound by M. Chriss,,35-31,,
8:17.0,Turnover by M. James (bad pass),,35-31,,
8:17.0,,,35-31,,K. Dunn enters the game for J. Grant
8:07.0,,,35-34,3,B. Portis makes 3-pt shot from 25 ft (assist by K. Dunn)
7:45.0,,,35-34,,Personal foul by C. Felicio (drawn by M. James)
7:37.0,T. Daniels misses 2-pt shot from 19 ft,,35-34,,
7:33.0,,,35-34,,Defensive rebound by B. Portis
7:26.0,,,35-34,,B. Portis misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by A. Len,,35-34,,
7:12.0,M. Chriss makes 2-pt shot at rim (assist by M. James),2,37-34,,
6:58.0,,,37-34,,P. Zipser misses 3-pt shot from 26 ft
6:55.0,Defensive rebound by A. Len,,37-34,,
6:47.0,,,37-34,,R. Lopez enters the game for B. Portis
6:47.0,,,37-34,,J. Holiday enters the game for C. Felicio
6:47.0,,,37-34,,L. Markkanen enters the game for P. Zipser
6:47.0,D. Booker enters the game for M. Chriss,,37-34,,
6:47.0,D. Bender enters the game for T. Daniels,,37-34,,
6:47.0,T. Ulis enters the game for M. James,,37-34,,
6:34.0,Turnover by D. Booker (bad pass; steal by K. Dunn),,37-34,,
6:29.0,,,37-34,,K. Dunn misses 2-pt shot from 8 ft
6:24.0,Defensive rebound by T. Ulis,,37-34,,
6:17.0,T. Warren misses 3-pt shot from 23 ft,,37-34,,
6:13.0,,,37-34,,Defensive rebound by L. Markkanen
6:00.0,,,37-36,2,K. Dunn makes 2-pt shot from 2 ft
5:44.0,T. Warren misses 3-pt shot from 24 ft,,37-36,,
5:40.0,,,37-36,,Defensive rebound by K. Dunn
5:34.0,,,37-36,,L. Markkanen misses 3-pt shot from 26 ft
5:30.0,Defensive rebound by D. Bender,,37-36,,
5:22.0,D. Booker misses 2-pt shot from 13 ft,,37-36,,
5:19.0,,,37-36,,Defensive rebound by L. Markkanen
5:11.0,,,37-36,,L. Markkanen misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by A. Len,,37-36,,
5:05.0,Shooting foul by J. Holiday (drawn by D. Booker),,37-36,,
5:05.0,D. Booker misses free throw 1 of 2,,37-36,,
5:05.0,Offensive rebound by Team,,37-36,,
5:05.0,T. Chandler enters the game for A. Len,,37-36,,
5:05.0,D. Booker makes free throw 2 of 2,1,38-36,,
4:53.0,,,38-39,3,J. Holiday makes 3-pt shot from 25 ft (assist by D. Valentine)
4:38.0,Shooting foul by J. Holiday (drawn by T. Chandler),,38-39,,
4:38.0,T. Chandler misses free throw 1 of 2,,38-39,,
4:38.0,Offensive rebound by Team,,38-39,,
4:38.0,,,38-39,,J. Grant enters the game for J. Holiday
4:38.0,T. Chandler makes free throw 2 of 2,1,39-39,,
4:18.0,,,39-39,,L. Markkanen misses 2-pt shot from 10 ft
4:16.0,Defensive rebound by D. Bender,,39-39,,
4:10.0,T. Ulis misses 2-pt shot from 12 ft,,39-39,,
4:03.0,Offensive rebound by T. Warren,,39-39,,
3:56.0,T. Warren makes 2-pt shot from 8 ft,2,41-39,,
3:40.0,,,41-39,,K. Dunn misses 2-pt shot from 11 ft
3:37.0,Defensive rebound by T. Ulis,,41-39,,
3:19.0,Turnover by T. Ulis (bad pass; steal by D. Valentine),,41-39,,
3:01.0,,,41-39,,L. Markkanen misses 3-pt shot from 26 ft
2:57.0,Defensive rebound by T. Warren,,41-39,,
2:54.0,D. Bender misses 3-pt shot from 24 ft,,41-39,,
2:50.0,,,41-39,,Defensive rebound by D. Valentine
2:45.0,Personal foul by T. Chandler (drawn by R. Lopez),,41-39,,
2:45.0,Phoenix full timeout,,41-39,,
2:38.0,,,41-41,2,J. Grant makes 2-pt shot from 21 ft
2:16.0,D. Booker misses 2-pt shot at rim,,41-41,,
2:14.0,,,41-41,,Defensive rebound by J. Grant
2:08.0,,,41-41,,L. Markkanen misses 2-pt shot from 3 ft (block by T. Chandler)
2:04.0,Defensive rebound by T. Chandler,,41-41,,
2:00.0,Shooting foul by L. Markkanen (drawn by T. Ulis),,41-41,,
2:00.0,T. Ulis misses free throw 1 of 2,,41-41,,
2:00.0,Offensive rebound by Team,,41-41,,
2:00.0,T. Ulis makes free throw 2 of 2,1,42-41,,
1:48.0,,,42-41,,R. Lopez misses 2-pt shot from 20 ft
1:44.0,Defensive rebound by D. Booker,,42-41,,
1:35.0,D. Booker makes 2-pt shot from 10 ft,2,44-41,,
1:23.0,,,44-43,2,J. Grant makes 2-pt shot from 22 ft
1:05.0,Personal foul by T. Warren (drawn by D. Valentine),,44-43,,
1:05.0,Turnover by T. Warren (turnover),,44-43,,
1:05.0,,,44-43,,P. Zipser enters the game for K. Dunn
0:50.0,,,44-43,,P. Zipser misses 3-pt shot from 25 ft
0:48.0,Defensive rebound by D. Bender,,44-43,,
0:42.0,Turnover by T. Warren (bad pass; steal by D. Valentine),,44-43,,
0:26.0,,,44-43,,R. Lopez misses 2-pt shot from 5 ft
0:23.0,Defensive rebound by T. Chandler,,44-43,,
0:03.0,T. Ulis makes 2-pt shot from 12 ft (assist by D. Booker),2,46-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,46-43,,K. Dunn misses 2-pt shot from 19 ft
11:38.0,Defensive rebound by T. Ulis,,46-43,,
11:28.0,D. Booker makes 3-pt shot from 26 ft (assist by T. Ulis),3,49-43,,
11:10.0,,,49-43,,Shooting foul by T. Chandler (drawn by R. Lopez)
11:10.0,,,49-44,1,R. Lopez makes free throw 1 of 2
11:10.0,,,49-45,1,R. Lopez makes free throw 2 of 2
10:59.0,T. Warren misses 3-pt shot from 23 ft,,49-45,,
10:54.0,,,49-45,,Defensive rebound by J. Holiday
10:51.0,,,49-47,2,D. Valentine makes 2-pt shot from 1 ft (assist by K. Dunn)
10:36.0,D. Booker misses 3-pt shot from 25 ft,,49-47,,
10:31.0,Offensive rebound by T. Warren,,49-47,,
10:30.0,T. Warren makes 2-pt shot from 1 ft,2,51-47,,
10:07.0,,,51-49,2,L. Markkanen makes 2-pt shot from 18 ft (assist by J. Holiday)
9:45.0,Personal foul by T. Warren (drawn by K. Dunn),,51-49,,
9:44.0,D. Booker misses 2-pt shot from 5 ft,,51-49,,
9:44.0,,,51-49,,Defensive rebound by Team
9:34.0,,,51-49,,Turnover by R. Lopez (bad pass)
9:20.0,T. Ulis makes 3-pt shot from 22 ft (assist by D. Booker),3,54-49,,
9:05.0,,,54-49,,Turnover by K. Dunn (discontinued dribble)
8:55.0,,,54-49,,Personal foul by D. Valentine (drawn by T. Chandler)
8:42.0,T. Ulis misses 2-pt shot from 22 ft,,54-49,,
8:40.0,M. Chriss misses 2-pt shot at rim,,54-49,,
8:39.0,Offensive rebound by M. Chriss,,54-49,,
8:38.0,,,54-49,,Defensive rebound by J. Holiday
8:29.0,,,54-49,,J. Holiday misses 3-pt shot from 26 ft
8:25.0,Defensive rebound by Team,,54-49,,
8:17.0,D. Booker makes 3-pt shot from 26 ft (assist by T. Ulis),3,57-49,,
8:06.0,,,57-49,,L. Markkanen misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by T. Chandler,,57-49,,
7:56.0,T. Ulis makes 2-pt shot from 1 ft,2,59-49,,
7:56.0,Shooting foul by K. Dunn (drawn by T. Ulis),,59-49,,
7:56.0,T. Ulis makes free throw 1 of 1,1,60-49,,
7:52.0,,,60-49,,Chicago full timeout
7:45.0,,,60-49,,K. Dunn misses 3-pt shot from 23 ft
7:42.0,,,60-49,,R. Lopez misses 2-pt shot from 2 ft
7:40.0,Defensive rebound by D. Booker,,60-49,,
7:34.0,,,60-49,,Defensive rebound by R. Lopez
7:21.0,Jump ball: J. Holiday vs. D. Booker (T. Ulis gains possession),,,,Jump ball: J. Holiday vs. D. Booker (T. Ulis gains possession)
7:19.0,D. Booker makes 3-pt shot from 27 ft (assist by T. Ulis),3,63-49,,
6:55.0,,,63-51,2,K. Dunn makes 2-pt shot at rim (assist by L. Markkanen)
6:33.0,Turnover by T. Ulis (lost ball; steal by K. Dunn),,63-51,,
6:16.0,,,63-54,3,J. Holiday makes 3-pt shot from 24 ft (assist by K. Dunn)
5:54.0,T. Warren misses 3-pt shot from 26 ft,,63-54,,
5:49.0,Offensive rebound by T. Chandler,,63-54,,
5:46.0,T. Warren makes 2-pt shot at rim (assist by T. Chandler),2,65-54,,
5:36.0,,,65-57,3,D. Valentine makes 3-pt shot from 25 ft (assist by K. Dunn)
5:34.0,Phoenix full timeout,,65-57,,
5:34.0,J. Jackson enters the game for T. Chandler,,65-57,,
5:34.0,A. Len enters the game for T. Warren,,65-57,,
5:16.0,D. Booker misses 2-pt shot from 23 ft,,65-57,,
5:12.0,,,65-57,,Defensive rebound by R. Lopez
5:01.0,,,65-57,,D. Valentine misses 3-pt shot from 23 ft
4:58.0,Defensive rebound by J. Jackson,,65-57,,
4:58.0,M. Chriss misses 2-pt shot from 2 ft (block by J. Holiday),,65-57,,
4:58.0,Offensive rebound by Team,,65-57,,
4:57.0,,,65-57,,Personal foul by D. Valentine (drawn by D. Booker)
4:55.0,J. Jackson misses 2-pt shot from 11 ft,,65-57,,
4:54.0,Offensive rebound by A. Len,,65-57,,
4:54.0,A. Len makes 2-pt shot from 1 ft,2,67-57,,
4:42.0,,,67-57,,Turnover by K. Dunn (lost ball; steal by T. Ulis)
4:38.0,D. Booker makes 2-pt shot at rim (assist by T. Ulis),2,69-57,,
4:38.0,,,69-57,,Chicago full timeout
4:38.0,,,69-57,,A. Blakeney enters the game for D. Valentine
4:29.0,,,69-57,,K. Dunn misses 2-pt shot from 1 ft (block by M. Chriss)
4:26.0,Defensive rebound by D. Booker,,69-57,,
4:26.0,D. Booker misses 3-pt shot from 25 ft,,69-57,,
4:26.0,,,69-57,,Defensive rebound by Team
4:10.0,,,69-57,,L. Markkanen misses 3-pt shot from 22 ft
4:06.0,Defensive rebound by D. Booker,,69-57,,
3:49.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,71-57,,
3:31.0,,,71-60,3,K. Dunn makes 3-pt shot from 24 ft (assist by R. Lopez)
3:15.0,Turnover by T. Ulis (bad pass),,71-60,,
3:15.0,,,71-60,,B. Portis enters the game for L. Markkanen
3:15.0,,,71-60,,J. Grant enters the game for K. Dunn
