time,Philadelphia,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. A. Johnson (R. Covington gains possession),,,,Jump ball: D. Howard vs. A. Johnson (R. Covington gains possession)
11:50.0,Turnover by B. Simmons (out of bounds lost ball),,0-0,,
11:37.0,,,0-2,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by N. Batum)
11:26.0,A. Johnson misses 2-pt shot from 21 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by D. Howard
11:14.0,,,0-2,,N. Batum misses 2-pt shot from 10 ft
11:11.0,Defensive rebound by R. Covington,,0-2,,
11:06.0,J. Redick misses 2-pt shot from 12 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by M. Williams
10:55.0,,,0-2,,M. Kidd-Gilchrist misses 2-pt shot from 5 ft
10:53.0,Defensive rebound by B. Simmons,,0-2,,
10:41.0,B. Simmons misses 2-pt shot from 13 ft,,0-2,,
10:38.0,,,0-2,,Defensive rebound by M. Kidd-Gilchrist
10:29.0,,,0-5,3,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum)
10:05.0,B. Simmons makes 2-pt shot from 2 ft,2,2-5,,
9:46.0,,,2-5,,Turnover by K. Walker (bad pass; steal by R. Covington)
9:41.0,J. Redick makes 3-pt shot from 24 ft (assist by R. Covington),3,5-5,,
9:21.0,,,5-5,,Turnover by N. Batum (bad pass; steal by R. Covington)
9:17.0,,,5-5,,Shooting block foul by M. Kidd-Gilchrist (drawn by A. Johnson)
9:17.0,A. Johnson makes free throw 1 of 2,1,6-5,,
9:17.0,A. Johnson makes free throw 2 of 2,1,7-5,,
9:00.0,Personal foul by A. Johnson (drawn by D. Howard),,7-5,,
8:55.0,,,7-5,,D. Howard misses 2-pt shot from 3 ft
8:53.0,Defensive rebound by R. Covington,,7-5,,
8:49.0,Shooting foul by D. Howard (drawn by R. Covington),,7-5,,
8:49.0,R. Covington makes free throw 1 of 2,1,8-5,,
8:49.0,R. Covington makes free throw 2 of 2,1,9-5,,
8:37.0,,,9-5,,K. Walker misses 3-pt shot from 26 ft
8:33.0,Defensive rebound by B. Simmons,,9-5,,
8:31.0,A. Johnson misses 2-pt shot from 2 ft (block by D. Howard),,9-5,,
8:31.0,,,9-5,,Defensive rebound by Team
8:22.0,,,9-5,,K. Walker misses 2-pt shot from 4 ft (block by E. Ilyasova)
8:22.0,,,9-5,,Offensive rebound by Team
8:21.0,Jump ball: E. Ilyasova vs.,,,,Jump ball: E. Ilyasova vs.
8:09.0,,,9-5,,N. Batum misses 3-pt shot from 23 ft
8:08.0,,,9-5,,Offensive rebound by Team
8:04.0,,,9-5,,M. Williams misses 2-pt shot from 6 ft
8:01.0,Defensive rebound by B. Simmons,,9-5,,
7:58.0,E. Ilyasova misses 3-pt shot from 25 ft,,9-5,,
7:56.0,,,9-5,,Defensive rebound by N. Batum
7:42.0,,,9-7,2,D. Howard makes 2-pt shot from 7 ft
7:32.0,B. Simmons misses 2-pt shot from 9 ft,,9-7,,
7:32.0,Offensive rebound by Team,,9-7,,
7:32.0,T. McConnell enters the game for E. Ilyasova,,9-7,,
7:32.0,M. Belinelli enters the game for J. Redick,,9-7,,
7:29.0,B. Simmons makes 2-pt shot from 2 ft,2,11-7,,
7:11.0,,,11-9,2,N. Batum makes 2-pt shot from 15 ft (assist by K. Walker)
7:00.0,R. Covington misses 3-pt shot from 25 ft,,11-9,,
6:58.0,,,11-9,,Defensive rebound by D. Howard
6:53.0,,,11-9,,Turnover by N. Batum (bad pass; steal by R. Covington)
6:50.0,T. McConnell makes 2-pt shot at rim (assist by R. Covington),2,13-9,,
6:22.0,,,13-11,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams)
6:22.0,,,13-11,,Charlotte full timeout
6:07.0,M. Belinelli makes 2-pt shot at rim (assist by A. Johnson),2,15-11,,
5:44.0,,,15-11,,D. Howard misses 2-pt shot from 4 ft
5:41.0,Defensive rebound by B. Simmons,,15-11,,
5:33.0,R. Covington misses 3-pt shot from 22 ft,,15-11,,
5:30.0,,,15-11,,Defensive rebound by M. Kidd-Gilchrist
5:25.0,,,15-13,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft
5:07.0,B. Simmons misses 2-pt shot from 1 ft,,15-13,,
5:05.0,,,15-13,,Defensive rebound by M. Williams
5:01.0,,,15-13,,Turnover by N. Batum (lost ball; steal by B. Simmons)
4:51.0,Turnover by M. Belinelli (bad pass; steal by M. Kidd-Gilchrist),,15-13,,
4:49.0,,,15-13,,Shooting foul by M. Belinelli (drawn by M. Kidd-Gilchrist)
4:49.0,,,15-14,1,M. Kidd-Gilchrist makes free throw 1 of 2
4:49.0,R. Holmes enters the game for A. Johnson,,15-14,,
4:49.0,,,15-15,1,M. Kidd-Gilchrist makes free throw 2 of 2
4:38.0,,,15-15,,Personal foul by N. Batum (drawn by M. Belinelli)
4:28.0,T. McConnell misses 2-pt shot from 10 ft,,15-15,,
4:25.0,,,15-15,,Defensive rebound by D. Howard
4:13.0,,,15-15,,M. Williams misses 3-pt shot from 22 ft
4:09.0,Defensive rebound by R. Covington,,15-15,,
4:05.0,R. Covington misses 3-pt shot from 25 ft,,15-15,,
4:00.0,Offensive rebound by T. McConnell,,15-15,,
