time,Cleveland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. T. Thompson (D. Schroder gains possession),,,,Jump ball: M. Plumlee vs. T. Thompson (D. Schroder gains possession)
11:42.0,,,0-0,,D. Schroder misses 2-pt shot from 2 ft
11:38.0,Defensive rebound by J. Calderon,,0-0,,
11:35.0,C. Osman misses 3-pt shot from 22 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by T. Waller-Prince
11:16.0,,,0-0,,T. Waller-Prince misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by C. Osman,,0-0,,
10:53.0,J. Calderon misses 2-pt shot from 19 ft,,0-0,,
10:51.0,,,0-0,,Defensive rebound by M. Plumlee
10:35.0,,,0-0,,Shooting foul by J. Calderon (drawn by D. Schroder)
10:35.0,,,0-1,1,D. Schroder makes free throw 1 of 2
10:35.0,,,0-2,1,D. Schroder makes free throw 2 of 2
10:22.0,L. James misses 2-pt shot from 21 ft,,0-2,,
10:17.0,,,0-2,,Defensive rebound by K. Bazemore
10:14.0,,,0-5,3,K. Bazemore makes 3-pt shot from 25 ft
9:54.0,L. James makes 2-pt shot from 1 ft,2,2-5,,
9:41.0,,,2-7,2,D. Schroder makes 2-pt shot from 19 ft
9:21.0,,,2-7,,Personal foul by D. Schroder (drawn by T. Thompson)
9:16.0,L. James makes 2-pt shot at rim (assist by C. Osman),2,4-7,,
8:50.0,,,4-7,,T. Waller-Prince misses 3-pt shot from 22 ft
8:47.0,Defensive rebound by J. Calderon,,4-7,,
8:43.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,7-7,,
8:28.0,,,7-10,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by M. Plumlee)
8:12.0,J. Calderon makes 2-pt shot from 2 ft,2,9-10,,
8:12.0,,,9-10,,Atlanta full timeout
7:56.0,,,9-10,,Shooting foul by J. Smith (drawn by T. Waller-Prince)
7:56.0,,,9-11,1,T. Waller-Prince makes free throw 1 of 2
7:56.0,,,9-12,1,T. Waller-Prince makes free throw 2 of 2
7:46.0,J. Smith makes 2-pt shot from 20 ft (assist by L. James),2,11-12,,
7:26.0,,,11-12,,E. Ilyasova misses 2-pt shot from 3 ft (block by T. Thompson)
7:26.0,Defensive rebound by Team,,11-12,,
7:17.0,L. James makes 2-pt shot from 4 ft,2,13-12,,
7:03.0,,,13-15,3,D. Schroder makes 3-pt shot from 25 ft
