time,Utah,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Favors (K. Walker gains possession),,,,Jump ball: D. Howard vs. D. Favors (K. Walker gains possession)
11:45.0,,,0-2,2,N. Batum makes 2-pt shot from 19 ft (assist by K. Walker)
11:30.0,D. Mitchell makes 3-pt shot from 25 ft (assist by D. Favors),3,3-2,,
11:12.0,,,3-2,,Turnover by K. Walker (bad pass)
10:59.0,Turnover by D. Mitchell (out of bounds lost ball),,3-2,,
10:48.0,,,3-2,,M. Williams misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by J. Ingles,,3-2,,
10:23.0,R. Rubio misses 2-pt shot from 15 ft,,3-2,,
10:19.0,,,3-2,,Defensive rebound by D. Howard
10:14.0,,,3-4,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by N. Batum)
9:59.0,J. Ingles misses 2-pt shot from 7 ft,,3-4,,
9:59.0,Offensive rebound by D. Favors,,3-4,,
9:59.0,Shooting foul by M. Williams (drawn by D. Favors),,3-4,,
9:59.0,D. Favors misses free throw 1 of 2,,3-4,,
9:59.0,Offensive rebound by Team,,3-4,,
9:59.0,D. Favors makes free throw 2 of 2,1,4-4,,
9:49.0,,,4-6,2,D. Howard makes 2-pt shot at rim (assist by K. Walker)
9:33.0,D. Mitchell makes 3-pt shot from 26 ft (assist by D. Favors),3,7-6,,
9:19.0,,,7-6,,Shooting foul by T. Sefolosha (drawn by M. Kidd-Gilchrist)
9:19.0,,,7-7,1,M. Kidd-Gilchrist makes free throw 1 of 2
9:19.0,,,7-8,1,M. Kidd-Gilchrist makes free throw 2 of 2
9:08.0,D. Mitchell misses 2-pt shot from 14 ft,,7-8,,
9:06.0,,,7-8,,Defensive rebound by M. Williams
8:54.0,,,7-8,,N. Batum misses 3-pt shot from 22 ft
8:49.0,,,7-8,,Offensive rebound by M. Williams
8:49.0,,,7-10,2,M. Williams makes 2-pt shot at rim
8:30.0,Turnover by R. Rubio (traveling),,7-10,,
8:22.0,,,7-10,,Turnover by N. Batum (bad pass; steal by J. Ingles)
8:17.0,Turnover by T. Sefolosha (lost ball; steal by M. Williams),,7-10,,
8:06.0,,,7-10,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by D. Favors)
8:03.0,Defensive rebound by T. Sefolosha,,7-10,,
7:53.0,D. Mitchell misses 2-pt shot from 8 ft,,7-10,,
7:50.0,Offensive rebound by T. Sefolosha,,7-10,,
7:49.0,D. Mitchell makes 3-pt shot from 25 ft (assist by T. Sefolosha),3,10-10,,
7:29.0,,,10-12,2,N. Batum makes 2-pt shot from 1 ft
7:08.0,T. Sefolosha misses 2-pt shot from 2 ft,,10-12,,
7:04.0,,,10-12,,Defensive rebound by M. Kidd-Gilchrist
6:58.0,,,10-12,,M. Williams misses 2-pt shot from 6 ft (block by T. Sefolosha)
6:54.0,Defensive rebound by D. Favors,,10-12,,
6:46.0,J. Ingles makes 2-pt shot from 8 ft,2,12-12,,
6:35.0,,,12-15,3,K. Walker makes 3-pt shot from 29 ft
6:13.0,R. Rubio makes 3-pt shot from 25 ft (assist by J. Ingles),3,15-15,,
5:49.0,,,15-15,,Turnover by D. Howard (bad pass; steal by D. Mitchell)
