time,Sacramento,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. W. Cauley-Stein (K. Irving gains possession),,,,Jump ball: A. Horford vs. W. Cauley-Stein (K. Irving gains possession)
11:35.0,,,0-0,,Turnover by J. Brown (lost ball; steal by G. Temple)
11:30.0,G. Hill makes 2-pt shot from 1 ft (assist by G. Temple),2,2-0,,
11:21.0,,,2-2,2,K. Irving makes 2-pt shot from 1 ft (assist by A. Baynes)
11:02.0,Turnover by Z. Randolph (bad pass; steal by A. Horford),,2-2,,
10:56.0,,,2-5,3,J. Brown makes 3-pt shot from 23 ft (assist by K. Irving)
10:31.0,G. Hill makes 3-pt shot from 25 ft (assist by Z. Randolph),3,5-5,,
10:11.0,,,5-5,,Shooting foul by W. Cauley-Stein (drawn by K. Irving)
10:11.0,,,5-6,1,K. Irving makes free throw 1 of 2
10:11.0,,,5-7,1,K. Irving makes free throw 2 of 2
9:57.0,G. Temple misses 3-pt shot from 23 ft,,5-7,,
9:55.0,,,5-7,,Defensive rebound by A. Horford
9:48.0,,,5-10,3,K. Irving makes 3-pt shot from 27 ft (assist by J. Brown)
9:30.0,G. Hill makes 2-pt shot from 8 ft,2,7-10,,
9:22.0,,,7-12,2,A. Baynes makes 2-pt shot from 1 ft (assist by K. Irving)
9:04.0,G. Temple misses 2-pt shot from 16 ft,,7-12,,
9:00.0,,,7-12,,Defensive rebound by A. Baynes
8:47.0,,,7-12,,Turnover by A. Horford (bad pass; steal by B. Bogdanovic)
8:31.0,Z. Randolph makes 2-pt shot from 13 ft (assist by G. Hill),2,9-12,,
8:12.0,,,9-14,2,J. Tatum makes 2-pt shot from 17 ft
7:53.0,G. Temple makes 2-pt shot at rim (assist by W. Cauley-Stein),2,11-14,,
7:37.0,,,11-14,,Offensive foul by J. Tatum (drawn by B. Bogdanovic)
7:37.0,,,11-14,,Turnover by J. Tatum (offensive foul)
7:21.0,,,11-14,,Personal foul by K. Irving (drawn by G. Hill)
7:21.0,,,11-14,,Turnover by K. Irving (turnover)
7:14.0,G. Temple misses 3-pt shot from 23 ft,,11-14,,
7:10.0,Offensive rebound by B. Bogdanovic,,11-14,,
7:08.0,W. Cauley-Stein misses 2-pt shot from 17 ft,,11-14,,
7:08.0,,,11-14,,Defensive rebound by J. Brown
6:59.0,,,11-14,,Shooting foul by B. Bogdanovic (drawn by J. Brown)
6:59.0,,,11-14,,Boston full timeout
6:59.0,,,11-14,,J. Brown misses free throw 1 of 2
6:59.0,,,11-14,,Offensive rebound by Team
6:59.0,,,11-15,1,J. Brown makes free throw 2 of 2
6:42.0,W. Cauley-Stein makes 2-pt shot from 20 ft (assist by Z. Randolph),2,13-15,,
6:25.0,,,13-15,,K. Irving misses 3-pt shot from 24 ft
6:23.0,Defensive rebound by W. Cauley-Stein,,13-15,,
6:04.0,Z. Randolph misses 3-pt shot from 27 ft,,13-15,,
6:01.0,,,13-15,,Defensive rebound by J. Tatum
5:53.0,,,13-17,2,J. Brown makes 2-pt shot from 19 ft (assist by J. Tatum)
5:53.0,,,13-17,,Shooting foul by G. Temple (drawn by J. Brown)
5:53.0,,,13-17,,M. Smart enters the game for J. Tatum
5:53.0,,,13-18,1,J. Brown makes free throw 1 of 1
5:31.0,Z. Randolph makes 2-pt shot from 3 ft (assist by B. Bogdanovic),2,15-18,,
5:17.0,,,15-18,,K. Irving misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by W. Cauley-Stein,,15-18,,
5:01.0,W. Cauley-Stein misses 2-pt shot from 19 ft,,15-18,,
4:58.0,,,15-18,,Defensive rebound by J. Brown
4:46.0,,,15-18,,A. Horford misses 3-pt shot from 24 ft
4:46.0,,,15-18,,A. Baynes misses 2-pt shot at rim
4:46.0,Defensive rebound by B. Bogdanovic,,15-18,,
4:40.0,,,15-18,,Defensive rebound by A. Baynes
4:30.0,Z. Randolph makes 2-pt shot from 5 ft,2,17-18,,
4:17.0,Personal foul by Z. Randolph (drawn by A. Horford),,17-18,,
4:17.0,,,17-18,,D. Theis enters the game for A. Baynes
4:17.0,B. Hield enters the game for G. Temple,,17-18,,
4:07.0,,,17-18,,D. Theis misses 2-pt shot from 2 ft
4:07.0,Defensive rebound by Z. Randolph,,17-18,,
3:58.0,Z. Randolph misses 2-pt shot from 1 ft,,17-18,,
3:58.0,,,17-18,,Defensive rebound by A. Horford
3:48.0,,,17-20,2,J. Brown makes 2-pt shot at rim (assist by K. Irving)
3:31.0,B. Bogdanovic makes 2-pt shot from 17 ft (assist by B. Hield),2,19-20,,
3:17.0,,,19-20,,A. Horford misses 3-pt shot from 25 ft
3:14.0,,,19-20,,Offensive rebound by D. Theis
3:14.0,,,19-20,,D. Theis misses 2-pt shot at rim
3:14.0,,,19-20,,Offensive rebound by D. Theis
3:14.0,,,19-20,,Shooting foul by G. Hill (drawn by D. Theis)
3:14.0,,,19-21,1,D. Theis makes free throw 1 of 2
3:14.0,K. Koufos enters the game for W. Cauley-Stein,,19-21,,
3:14.0,D. Fox enters the game for B. Bogdanovic,,19-21,,
3:14.0,,,19-22,1,D. Theis makes free throw 2 of 2
2:58.0,,,19-22,,Personal foul by D. Theis (drawn by G. Hill)
2:58.0,Sacramento full timeout,,19-22,,
2:42.0,K. Koufos makes 2-pt shot from 4 ft (assist by G. Hill),2,21-22,,
2:29.0,,,21-22,,K. Irving misses 2-pt shot at rim
2:27.0,Defensive rebound by D. Fox,,21-22,,
2:21.0,G. Hill misses 3-pt shot from 27 ft,,21-22,,
2:17.0,,,21-22,,Defensive rebound by A. Horford
2:07.0,,,21-24,2,K. Irving makes 2-pt shot at rim
1:58.0,D. Fox misses 2-pt shot from 1 ft,,21-24,,
1:53.0,,,21-24,,Defensive rebound by J. Brown
1:45.0,,,21-27,3,J. Brown makes 3-pt shot from 23 ft (assist by A. Horford)
1:24.0,Z. Randolph makes 3-pt shot from 23 ft (assist by D. Fox),3,24-27,,
1:09.0,,,24-27,,K. Irving misses 3-pt shot from 26 ft
1:05.0,Defensive rebound by B. Hield,,24-27,,
0:53.0,G. Hill misses 2-pt shot from 18 ft,,24-27,,
0:49.0,Offensive rebound by K. Koufos,,24-27,,
0:30.0,Z. Randolph misses 2-pt shot from 2 ft,,24-27,,
0:28.0,,,24-27,,Defensive rebound by A. Horford
0:22.0,,,24-27,,Turnover by A. Horford (bad pass; steal by B. Hield)
0:00.0,Turnover by K. Koufos (bad pass),,24-27,,
0:00.0,,,24-27,,Turnover by M. Smart (bad pass; steal by B. Hield)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,D. Fox makes 2-pt shot from 1 ft (assist by B. Hield),2,26-27,,
11:37.0,Shooting foul by D. Theis (drawn by D. Fox),,26-27,,
11:37.0,D. Fox misses free throw 1 of 1,,26-27,,
11:35.0,,,26-27,,Defensive rebound by S. Ojeleye
11:12.0,,,26-27,,T. Rozier misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by B. Hield,,26-27,,
10:58.0,B. Hield makes 2-pt shot from 17 ft (assist by K. Koufos),2,28-27,,
10:37.0,,,28-29,2,J. Tatum makes 2-pt shot at rim (assist by M. Smart)
10:21.0,D. Fox makes 2-pt shot from 8 ft,2,30-29,,
9:57.0,,,30-29,,S. Ojeleye misses 3-pt shot from 23 ft
9:54.0,,,30-29,,Offensive rebound by D. Theis
9:53.0,,,30-29,,D. Theis misses 2-pt shot from 1 ft (block by K. Koufos)
9:53.0,,,30-29,,Offensive rebound by D. Theis
9:49.0,,,30-31,2,D. Theis makes 2-pt shot at rim
9:39.0,V. Carter misses 3-pt shot from 26 ft,,30-31,,
9:35.0,,,30-31,,Defensive rebound by D. Theis
9:19.0,,,30-31,,Shooting foul by D. Fox (drawn by M. Smart)
9:19.0,,,30-32,1,M. Smart makes free throw 1 of 2
9:19.0,,,30-33,1,M. Smart makes free throw 2 of 2
9:07.0,V. Carter misses 3-pt shot from 27 ft,,30-33,,
9:04.0,,,30-33,,Defensive rebound by M. Smart
8:57.0,,,30-35,2,D. Theis makes 2-pt shot from 1 ft (assist by M. Smart)
8:34.0,D. Fox misses 2-pt shot from 19 ft,,30-35,,
8:31.0,,,30-35,,Defensive rebound by D. Theis
8:26.0,,,30-37,2,T. Rozier makes 2-pt shot from 7 ft
8:08.0,Offensive foul by B. Hield (drawn by M. Smart),,30-37,,
8:08.0,Turnover by B. Hield (offensive foul),,30-37,,
7:48.0,,,30-40,3,S. Ojeleye makes 3-pt shot from 24 ft (assist by M. Smart)
7:37.0,Sacramento full timeout,,30-40,,
