time,Brooklyn,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. T. Mozgov (M. Chriss gains possession),,,,Jump ball: T. Chandler vs. T. Mozgov (M. Chriss gains possession)
11:33.0,,,0-0,,M. Chriss misses 2-pt shot from 17 ft
11:29.0,Defensive rebound by A. Crabbe,,0-0,,
11:20.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Russell),3,3-0,,
11:08.0,,,3-3,3,M. James makes 3-pt shot from 22 ft (assist by T. Warren)
10:51.0,A. Crabbe misses 2-pt shot from 22 ft,,3-3,,
10:49.0,,,3-3,,Defensive rebound by T. Chandler
10:41.0,,,3-3,,Shooting foul by A. Crabbe (drawn by D. Booker)
10:41.0,,,3-4,1,D. Booker makes free throw 1 of 3
10:41.0,,,3-5,1,D. Booker makes free throw 2 of 3
10:27.0,D. Russell misses 3-pt shot from 22 ft,,3-5,,
10:23.0,Offensive rebound by D. Carroll,,3-5,,
10:22.0,Turnover by D. Carroll (lost ball; steal by M. James),,3-5,,
10:13.0,,,3-5,,Turnover by T. Chandler (bad pass; steal by A. Crabbe)
9:58.0,,,3-5,,Shooting block foul by T. Warren (drawn by D. Russell)
9:58.0,D. Russell makes free throw 1 of 2,1,4-5,,
9:58.0,D. Russell makes free throw 2 of 2,1,5-5,,
9:47.0,,,5-5,,M. Chriss misses 2-pt shot from 6 ft
9:45.0,Defensive rebound by R. Hollis-Jefferson,,5-5,,
9:42.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft,,5-5,,
9:42.0,,,5-5,,Defensive rebound by M. Chriss
9:33.0,,,5-8,3,D. Booker makes 3-pt shot from 25 ft
9:12.0,A. Crabbe misses 3-pt shot from 24 ft,,5-8,,
9:10.0,,,5-8,,Defensive rebound by T. Chandler
9:01.0,,,5-8,,M. James misses 2-pt shot from 9 ft
8:58.0,Defensive rebound by T. Mozgov,,5-8,,
8:49.0,D. Russell makes 2-pt shot from 10 ft,2,7-8,,
8:31.0,,,7-8,,T. Warren misses 2-pt shot from 14 ft
8:30.0,Defensive rebound by Team,,7-8,,
8:22.0,,,7-8,,Personal foul by D. Booker (drawn by A. Crabbe)
8:16.0,Turnover by T. Mozgov (traveling),,7-8,,
8:00.0,,,7-8,,D. Booker misses 3-pt shot from 24 ft
7:57.0,Defensive rebound by A. Crabbe,,7-8,,
7:54.0,D. Carroll misses 3-pt shot from 25 ft,,7-8,,
7:49.0,,,7-8,,Defensive rebound by M. James
7:46.0,,,7-10,2,D. Booker makes 2-pt shot from 18 ft (assist by M. James)
7:45.0,Brooklyn full timeout,,7-10,,
7:45.0,C. LeVert enters the game for D. Carroll,,7-10,,
7:38.0,D. Russell misses 2-pt shot from 20 ft,,7-10,,
7:34.0,,,7-10,,Defensive rebound by M. Chriss
7:19.0,,,7-10,,T. Warren misses 2-pt shot from 17 ft
7:17.0,Defensive rebound by R. Hollis-Jefferson,,7-10,,
7:07.0,D. Russell makes 2-pt shot from 12 ft,2,9-10,,
6:56.0,,,9-10,,Turnover by M. James (bad pass; steal by C. LeVert)
6:49.0,Turnover by C. LeVert (bad pass; steal by M. James),,9-10,,
6:46.0,,,9-10,,M. James misses 2-pt shot from 1 ft (block by D. Russell)
6:46.0,Defensive rebound by Team,,9-10,,
6:46.0,D. Carroll enters the game for C. LeVert,,9-10,,
6:38.0,Turnover by D. Russell (discontinued dribble),,9-10,,
6:22.0,,,9-10,,Shooting foul by A. Crabbe (drawn by D. Booker)
6:22.0,,,9-11,1,D. Booker makes free throw 1 of 2
6:22.0,J. Harris enters the game for A. Crabbe,,9-11,,
6:22.0,,,9-12,1,D. Booker makes free throw 2 of 2
6:15.0,J. Harris misses 3-pt shot from 26 ft,,9-12,,
6:13.0,,,9-12,,Defensive rebound by T. Warren
6:05.0,,,9-12,,Shooting foul by D. Carroll (drawn by M. James)
6:05.0,,,9-13,1,M. James makes free throw 1 of 2
6:05.0,,,9-13,,A. Len enters the game for T. Chandler
6:05.0,,,9-14,1,M. James makes free throw 2 of 2
5:55.0,J. Harris makes 3-pt shot from 25 ft (assist by D. Russell),3,12-14,,
5:38.0,,,12-16,2,D. Booker makes 2-pt shot from 18 ft
5:25.0,J. Harris misses 2-pt shot from 2 ft (block by A. Len),,12-16,,
5:25.0,Offensive rebound by Team,,12-16,,
5:25.0,,,12-16,,D. Bender enters the game for M. Chriss
5:25.0,C. LeVert enters the game for D. Russell,,12-16,,
5:25.0,S. Dinwiddie enters the game for D. Carroll,,12-16,,
5:25.0,T. Zeller enters the game for T. Mozgov,,12-16,,
5:13.0,S. Dinwiddie makes 3-pt shot from 25 ft,3,15-16,,
4:52.0,,,15-16,,D. Bender misses 2-pt shot from 15 ft
4:50.0,Defensive rebound by S. Dinwiddie,,15-16,,
4:48.0,J. Harris misses 3-pt shot from 24 ft,,15-16,,
4:44.0,,,15-16,,Defensive rebound by D. Bender
4:37.0,,,15-16,,M. James misses 3-pt shot from 26 ft
4:34.0,Defensive rebound by J. Harris,,15-16,,
4:26.0,R. Hollis-Jefferson makes 2-pt shot at rim,2,17-16,,
4:04.0,,,17-16,,Turnover by D. Booker (lost ball; steal by C. LeVert)
4:00.0,C. LeVert makes 2-pt shot from 1 ft,2,19-16,,
4:00.0,,,19-16,,Phoenix full timeout
4:00.0,,,19-16,,T. Ulis enters the game for M. James
4:00.0,Q. Acy enters the game for R. Hollis-Jefferson,,19-16,,
3:51.0,,,19-16,,Turnover by T. Ulis (bad pass)
3:37.0,T. Zeller misses 2-pt shot at rim (block by A. Len),,19-16,,
3:34.0,,,19-16,,Defensive rebound by D. Bender
3:26.0,,,19-16,,T. Ulis misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by Q. Acy,,19-16,,
3:12.0,J. Harris makes 2-pt shot at rim (assist by S. Dinwiddie),2,21-16,,
2:56.0,,,21-16,,D. Booker misses 2-pt shot from 13 ft
2:54.0,Defensive rebound by S. Dinwiddie,,21-16,,
2:50.0,Q. Acy misses 3-pt shot from 23 ft,,21-16,,
2:46.0,,,21-16,,Defensive rebound by T. Warren
2:42.0,,,21-16,,Turnover by T. Warren (traveling)
2:42.0,,,21-16,,J. Jackson enters the game for D. Booker
2:42.0,,,21-16,,T. Daniels enters the game for T. Warren
2:30.0,Q. Acy misses 3-pt shot from 25 ft,,21-16,,
2:28.0,Offensive rebound by T. Zeller,,21-16,,
2:18.0,T. Zeller makes 2-pt shot at rim (assist by S. Dinwiddie),2,23-16,,
2:00.0,,,23-16,,J. Jackson misses 3-pt shot from 28 ft
1:55.0,Defensive rebound by C. LeVert,,23-16,,
1:35.0,S. Dinwiddie misses 3-pt shot from 27 ft,,23-16,,
1:31.0,,,23-16,,Defensive rebound by T. Ulis
1:25.0,,,23-16,,D. Bender misses 3-pt shot from 24 ft
1:22.0,,,23-16,,Offensive rebound by A. Len
1:11.0,,,23-16,,T. Ulis misses 3-pt shot from 24 ft
1:08.0,Defensive rebound by Q. Acy,,23-16,,
0:58.0,T. Zeller makes 2-pt shot from 1 ft (assist by Q. Acy),2,25-16,,
0:40.0,,,25-16,,A. Len misses 2-pt shot from 3 ft
0:38.0,Defensive rebound by C. LeVert,,25-16,,
0:33.0,J. Harris makes 2-pt shot from 1 ft (assist by Q. Acy),2,27-16,,
0:33.0,Shooting foul by J. Jackson (drawn by J. Harris),,27-16,,
0:33.0,J. Harris makes free throw 1 of 1,1,28-16,,
0:26.0,,,28-19,3,T. Daniels makes 3-pt shot from 24 ft (assist by T. Ulis)
0:02.0,Turnover by C. LeVert (bad pass),,28-19,,
0:00.0,,,28-19,,T. Ulis misses 3-pt shot from 38 ft
0:00.0,,,28-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Harris makes 3-pt shot from 22 ft (assist by S. Dinwiddie),3,31-19,,
11:23.0,,,31-19,,Turnover by T. Ulis (out of bounds lost ball)
11:14.0,Offensive foul by T. Mozgov (drawn by T. Ulis),,31-19,,
11:14.0,Turnover by T. Mozgov (offensive foul),,31-19,,
11:00.0,,,31-19,,T. Daniels misses 3-pt shot from 27 ft
10:55.0,,,31-19,,Offensive rebound by D. Bender
10:48.0,,,31-19,,J. Jackson misses 2-pt shot from 7 ft
10:47.0,Defensive rebound by Team,,31-19,,
10:33.0,A. Crabbe misses 2-pt shot from 11 ft,,31-19,,
10:28.0,Offensive rebound by A. Crabbe,,31-19,,
10:20.0,S. Dinwiddie misses 2-pt shot from 7 ft,,31-19,,
10:18.0,,,31-19,,Defensive rebound by D. Bender
10:12.0,,,31-19,,T. Ulis misses 2-pt shot from 16 ft
10:08.0,,,31-19,,Offensive rebound by A. Len
10:06.0,,,31-19,,J. Dudley enters the game for D. Bender
10:06.0,D. Carroll enters the game for A. Crabbe,,31-19,,
10:03.0,Jump ball: J. Jackson vs. T. Mozgov (D. Carroll gains possession),,,,Jump ball: J. Jackson vs. T. Mozgov (D. Carroll gains possession)
10:03.0,,,31-19,,Turnover by J. Jackson (turnover; steal by T. Mozgov)
9:56.0,,,31-19,,Personal foul by J. Jackson (drawn by T. Mozgov)
9:56.0,A. Crabbe enters the game for D. Carroll,,31-19,,
9:48.0,A. Crabbe makes 3-pt shot from 25 ft (assist by J. Harris),3,34-19,,
9:36.0,,,34-19,,Shooting foul by A. Crabbe (drawn by J. Jackson)
9:36.0,,,34-19,,J. Jackson misses free throw 1 of 2
9:36.0,,,34-19,,Offensive rebound by Team
9:36.0,,,34-19,,D. Booker enters the game for T. Daniels
9:36.0,C. LeVert enters the game for A. Crabbe,,34-19,,
9:36.0,,,34-20,1,J. Jackson makes free throw 2 of 2
9:20.0,C. LeVert misses 3-pt shot from 25 ft,,34-20,,
9:14.0,Offensive rebound by T. Mozgov,,34-20,,
9:01.0,C. LeVert misses 2-pt shot from 1 ft,,34-20,,
8:58.0,,,34-20,,Defensive rebound by A. Len
8:53.0,,,34-20,,Shooting foul by T. Mozgov (drawn by A. Len)
8:53.0,,,34-21,1,A. Len makes free throw 1 of 2
8:53.0,,,34-21,,T. Warren enters the game for J. Jackson
8:53.0,D. Carroll enters the game for J. Harris,,34-21,,
8:53.0,,,34-22,1,A. Len makes free throw 2 of 2
8:45.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,34-22,,
8:43.0,,,34-22,,Defensive rebound by A. Len
8:38.0,,,34-25,3,J. Dudley makes 3-pt shot from 25 ft (assist by T. Ulis)
8:37.0,Brooklyn full timeout,,34-25,,
8:28.0,,,34-25,,Personal foul by T. Ulis (drawn by S. Dinwiddie)
8:20.0,C. LeVert misses 2-pt shot from 6 ft (block by J. Dudley),,34-25,,
8:17.0,Offensive rebound by C. LeVert,,34-25,,
8:16.0,C. LeVert misses 2-pt shot at rim,,34-25,,
8:14.0,,,34-25,,Defensive rebound by J. Dudley
8:12.0,,,34-25,,D. Booker misses 3-pt shot from 24 ft
8:08.0,,,34-25,,Offensive rebound by D. Booker
8:05.0,,,34-27,2,D. Booker makes 2-pt shot from 9 ft
7:50.0,,,34-27,,Def 3 sec tech foul by A. Len
7:50.0,S. Dinwiddie makes technical free throw,1,35-27,,
7:50.0,D. Russell enters the game for T. Mozgov,,35-27,,
7:50.0,Q. Acy enters the game for R. Hollis-Jefferson,,35-27,,
7:38.0,C. LeVert misses 3-pt shot from 25 ft,,35-27,,
7:34.0,,,35-27,,Defensive rebound by Team
7:25.0,Personal foul by D. Carroll (drawn by J. Dudley),,35-27,,
7:15.0,,,35-27,,J. Dudley misses 2-pt shot from 20 ft
7:12.0,Defensive rebound by D. Russell,,35-27,,
7:07.0,S. Dinwiddie misses 2-pt shot from 11 ft (block by T. Warren),,35-27,,
7:04.0,,,35-27,,Defensive rebound by A. Len
6:58.0,,,35-29,2,T. Warren makes 2-pt shot at rim (assist by T. Ulis)
6:32.0,C. LeVert misses 2-pt shot at rim,,35-29,,
6:30.0,,,35-29,,Defensive rebound by J. Dudley
6:22.0,Personal foul by Q. Acy,,35-29,,
6:22.0,Technical foul by Q. Acy,,35-29,,
6:22.0,,,35-30,1,D. Booker makes technical free throw
6:22.0,J. Harris enters the game for S. Dinwiddie,,35-30,,
6:12.0,,,35-30,,Shooting foul by C. LeVert (drawn by A. Len)
6:12.0,,,35-31,1,A. Len makes free throw 1 of 2
6:12.0,,,35-31,,A. Len misses free throw 2 of 2
6:10.0,Defensive rebound by D. Russell,,35-31,,
5:59.0,D. Russell misses 3-pt shot from 25 ft,,35-31,,
5:56.0,,,35-31,,Defensive rebound by A. Len
5:50.0,,,35-31,,D. Booker misses 2-pt shot at rim
5:49.0,,,35-31,,Personal take foul by J. Dudley (drawn by C. LeVert)
5:49.0,S. Dinwiddie enters the game for D. Russell,,35-31,,
5:48.0,Offensive rebound by C. LeVert,,35-31,,
5:36.0,Q. Acy misses 3-pt shot from 26 ft,,35-31,,
5:33.0,,,35-31,,Defensive rebound by T. Warren
5:28.0,,,35-31,,Offensive foul by A. Len (drawn by Q. Acy)
5:28.0,,,35-31,,Turnover by A. Len (offensive foul)
5:28.0,D. Russell enters the game for S. Dinwiddie,,35-31,,
5:18.0,Turnover by D. Russell (bad pass; steal by A. Len),,35-31,,
5:14.0,,,35-33,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
4:58.0,D. Russell makes 2-pt shot at rim,2,37-33,,
4:47.0,Personal foul by D. Russell (drawn by T. Ulis),,37-33,,
4:47.0,,,37-34,1,T. Ulis makes free throw 1 of 2
4:47.0,,,37-35,1,T. Ulis makes free throw 2 of 2
4:45.0,,,37-35,,Personal foul by T. Ulis (drawn by D. Russell)
4:45.0,,,37-35,,M. James enters the game for T. Ulis
4:34.0,Shooting foul by A. Len (drawn by Q. Acy),,37-35,,
4:34.0,Q. Acy makes free throw 1 of 2,1,38-35,,
4:34.0,Q. Acy makes free throw 2 of 2,1,39-35,,
4:23.0,Personal foul by C. LeVert (drawn by J. Dudley),,39-35,,
4:23.0,,,39-35,,J. Dudley misses free throw 1 of 2
4:23.0,,,39-35,,Offensive rebound by Team
4:23.0,R. Hollis-Jefferson enters the game for Q. Acy,,39-35,,
4:23.0,,,39-36,1,J. Dudley makes free throw 2 of 2
4:11.0,Offensive foul by C. LeVert (drawn by J. Dudley),,39-36,,
4:11.0,Turnover by C. LeVert (offensive foul),,39-36,,
4:11.0,S. Kilpatrick enters the game for C. LeVert,,39-36,,
3:58.0,,,39-38,2,M. James makes 2-pt shot from 1 ft
3:46.0,J. Harris misses 2-pt shot from 19 ft,,39-38,,
3:43.0,,,39-38,,Defensive rebound by A. Len
3:34.0,,,39-38,,Shooting foul by J. Harris (drawn by T. Warren)
3:34.0,,,39-38,,T. Warren misses free throw 1 of 2
3:34.0,,,39-38,,Offensive rebound by Team
3:34.0,,,39-38,,T. Warren misses free throw 2 of 2
3:28.0,,,39-38,,Offensive rebound by A. Len
3:28.0,,,39-38,,A. Len misses 2-pt shot at rim
3:27.0,,,39-38,,Offensive rebound by A. Len
3:27.0,,,39-38,,A. Len misses 2-pt shot at rim
3:27.0,Defensive rebound by D. Carroll,,39-38,,
3:22.0,J. Harris makes 3-pt shot from 25 ft (assist by D. Russell),3,42-38,,
3:20.0,,,42-38,,Phoenix full timeout
3:03.0,,,42-38,,A. Len misses 2-pt shot from 1 ft
3:03.0,,,42-38,,Offensive rebound by A. Len
3:03.0,,,42-38,,Shooting foul by J. Harris (drawn by A. Len)
3:03.0,,,42-38,,A. Len misses free throw 1 of 2
3:03.0,,,42-38,,Offensive rebound by Team
3:03.0,,,42-39,1,A. Len makes free throw 2 of 2
2:40.0,Turnover by S. Kilpatrick (traveling),,42-39,,
2:31.0,,,42-39,,Shooting foul by J. Harris (drawn by M. James)
2:31.0,,,42-40,1,M. James makes free throw 1 of 2
2:31.0,,,42-41,1,M. James makes free throw 2 of 2
2:21.0,Turnover by D. Russell (bad pass; steal by T. Warren),,42-41,,
2:16.0,,,42-41,,T. Warren misses 2-pt shot from 3 ft
2:13.0,Defensive rebound by J. Harris,,42-41,,
2:08.0,Shooting foul by D. Booker (drawn by D. Russell),,42-41,,
2:08.0,D. Russell misses free throw 1 of 2,,42-41,,
2:08.0,Offensive rebound by Team,,42-41,,
2:08.0,S. Dinwiddie enters the game for J. Harris,,42-41,,
2:08.0,D. Russell misses free throw 2 of 2,,42-41,,
2:06.0,,,42-41,,Defensive rebound by A. Len
1:50.0,,,42-41,,A. Len misses 2-pt shot from 11 ft
1:46.0,,,42-41,,Offensive rebound by J. Dudley
1:44.0,,,42-41,,Turnover by J. Dudley (bad pass; steal by D. Russell)
1:40.0,Turnover by D. Russell (lost ball; steal by D. Booker),,42-41,,
1:34.0,,,42-41,,T. Warren misses 2-pt shot from 1 ft
1:28.0,Defensive rebound by S. Kilpatrick,,42-41,,
1:28.0,,,42-41,,Personal foul by J. Dudley (drawn by R. Hollis-Jefferson)
1:28.0,R. Hollis-Jefferson makes free throw 1 of 2,1,43-41,,
1:28.0,,,43-41,,J. Jackson enters the game for J. Dudley
1:28.0,R. Hollis-Jefferson makes free throw 2 of 2,1,44-41,,
1:17.0,,,44-41,,D. Booker misses 3-pt shot from 24 ft
1:13.0,Defensive rebound by D. Carroll,,44-41,,
1:03.0,D. Carroll makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,47-41,,
0:47.0,,,47-41,,Turnover by A. Len (turnover)
0:34.0,S. Kilpatrick misses 2-pt shot from 1 ft (block by J. Jackson),,47-41,,
0:34.0,Offensive rebound by Team,,47-41,,
0:27.0,S. Dinwiddie misses 3-pt shot from 22 ft,,47-41,,
0:23.0,,,47-41,,Defensive rebound by J. Jackson
0:01.0,,,47-41,,M. James misses 3-pt shot from 22 ft
0:01.0,,,47-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,A. Crabbe misses 2-pt shot from 12 ft,,47-41,,
11:45.0,Offensive rebound by D. Carroll,,47-41,,
11:45.0,D. Carroll misses 2-pt shot from 7 ft (block by T. Warren),,47-41,,
11:45.0,Offensive rebound by Team,,47-41,,
11:37.0,T. Mozgov misses 2-pt shot from 16 ft,,47-41,,
11:34.0,,,47-41,,Defensive rebound by T. Warren
11:15.0,,,47-41,,T. Warren misses 2-pt shot from 15 ft
11:12.0,Defensive rebound by D. Carroll,,47-41,,
10:59.0,T. Mozgov makes 2-pt shot at rim (assist by D. Russell),2,49-41,,
10:41.0,Personal foul by A. Crabbe (drawn by T. Chandler),,49-41,,
10:41.0,C. LeVert enters the game for A. Crabbe,,49-41,,
10:35.0,,,49-43,2,D. Booker makes 2-pt shot from 9 ft (assist by M. Chriss)
10:18.0,D. Carroll misses 2-pt shot from 2 ft,,49-43,,
10:17.0,,,49-43,,Defensive rebound by M. Chriss
10:13.0,Personal foul by D. Russell (drawn by M. James),,49-43,,
10:07.0,,,49-43,,Turnover by M. Chriss (bad pass; steal by J. Harris)
10:02.0,Shooting foul by M. Chriss (drawn by D. Carroll),,49-43,,
10:02.0,D. Carroll makes free throw 1 of 2,1,50-43,,
10:02.0,D. Carroll makes free throw 2 of 2,1,51-43,,
9:50.0,,,51-43,,T. Warren misses 3-pt shot from 25 ft
9:50.0,,,51-43,,Offensive rebound by Team
9:50.0,Loose ball foul by T. Mozgov (drawn by T. Chandler),,51-43,,
9:42.0,,,51-43,,M. Chriss misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by D. Russell,,51-43,,
9:34.0,D. Russell makes 2-pt shot at rim,2,53-43,,
9:16.0,,,53-43,,Turnover by T. Chandler (bad pass; steal by C. LeVert)
9:08.0,D. Russell misses 2-pt shot from 20 ft,,53-43,,
9:06.0,,,53-43,,Defensive rebound by M. James
8:58.0,,,53-45,2,T. Warren makes 2-pt shot at rim (assist by M. James)
8:29.0,J. Harris misses 3-pt shot from 22 ft,,53-45,,
8:26.0,,,53-45,,Defensive rebound by T. Chandler
8:16.0,,,53-45,,Turnover by D. Booker (bad pass; steal by C. LeVert)
8:11.0,J. Harris misses 3-pt shot from 23 ft,,53-45,,
8:08.0,,,53-45,,Defensive rebound by M. Chriss
8:05.0,,,53-47,2,T. Warren makes 2-pt shot at rim (assist by M. Chriss)
7:49.0,D. Carroll misses 3-pt shot from 24 ft,,53-47,,
7:45.0,,,53-47,,Defensive rebound by T. Warren
7:43.0,,,53-49,2,M. Chriss makes 2-pt shot from 1 ft (assist by T. Warren)
7:42.0,Brooklyn full timeout,,53-49,,
7:25.0,T. Mozgov misses 2-pt shot from 2 ft,,53-49,,
7:24.0,,,53-49,,Defensive rebound by Team
7:15.0,Personal foul by C. LeVert (drawn by D. Booker),,53-49,,
7:15.0,Q. Acy enters the game for C. LeVert,,53-49,,
7:05.0,,,53-49,,D. Booker misses 2-pt shot from 15 ft
7:02.0,Defensive rebound by D. Carroll,,53-49,,
6:58.0,D. Carroll makes 2-pt shot from 1 ft (assist by D. Russell),2,55-49,,
6:45.0,Personal foul by T. Mozgov (drawn by T. Chandler),,55-49,,
6:45.0,,,55-49,,T. Chandler misses free throw 1 of 2
6:45.0,,,55-49,,Offensive rebound by Team
6:45.0,T. Zeller enters the game for T. Mozgov,,55-49,,
6:45.0,,,55-50,1,T. Chandler makes free throw 2 of 2
6:35.0,J. Harris makes 2-pt shot from 1 ft (assist by D. Russell),2,57-50,,
6:35.0,,,57-50,,Violation by T. Chandler (def goaltending)
6:19.0,,,57-50,,M. James misses 2-pt shot from 8 ft
6:14.0,,,57-50,,Offensive rebound by T. Chandler
6:14.0,,,57-50,,T. Chandler misses 2-pt shot at rim
6:14.0,Defensive rebound by Q. Acy,,57-50,,
6:12.0,D. Carroll misses 3-pt shot from 23 ft,,57-50,,
6:09.0,,,57-50,,Defensive rebound by D. Booker
6:06.0,,,57-50,,Offensive charge foul by D. Booker (drawn by Q. Acy)
6:06.0,,,57-50,,Turnover by D. Booker (offensive foul)
5:55.0,D. Russell misses 2-pt shot from 6 ft,,57-50,,
5:52.0,Offensive rebound by D. Carroll,,57-50,,
5:52.0,D. Carroll makes 2-pt shot at rim,2,59-50,,
5:52.0,,,59-50,,Phoenix full timeout
5:52.0,,,59-50,,T. Ulis enters the game for M. James
5:43.0,Violation by Q. Acy (kicked ball),,59-50,,
5:29.0,,,59-50,,T. Ulis misses 3-pt shot from 26 ft
5:27.0,Defensive rebound by D. Carroll,,59-50,,
5:18.0,Turnover by J. Harris (bad pass; steal by D. Booker),,59-50,,
5:09.0,Personal block foul by Q. Acy (drawn by M. Chriss),,59-50,,
5:09.0,,,59-51,1,M. Chriss makes free throw 1 of 2
5:09.0,,,59-52,1,M. Chriss makes free throw 2 of 2
5:02.0,Turnover by D. Carroll (lost ball; steal by T. Warren),,59-52,,
5:00.0,,,59-52,,Shooting foul by D. Carroll (drawn by T. Warren)
5:00.0,,,59-53,1,T. Warren makes free throw 1 of 2
5:00.0,S. Dinwiddie enters the game for D. Russell,,59-53,,
5:00.0,A. Crabbe enters the game for D. Carroll,,59-53,,
5:00.0,,,59-54,1,T. Warren makes free throw 2 of 2
4:50.0,S. Dinwiddie misses 2-pt shot from 12 ft (block by T. Warren),,59-54,,
4:47.0,Offensive rebound by S. Dinwiddie,,59-54,,
4:45.0,Q. Acy misses 3-pt shot from 23 ft,,59-54,,
4:45.0,,,59-54,,Defensive rebound by T. Chandler
4:32.0,,,59-56,2,T. Warren makes 2-pt shot from 16 ft
4:09.0,J. Harris makes 2-pt shot at rim (assist by Q. Acy),2,61-56,,
3:59.0,,,61-58,2,T. Ulis makes 2-pt shot from 7 ft
3:43.0,T. Zeller makes 2-pt shot from 3 ft (assist by S. Dinwiddie),2,63-58,,
3:24.0,,,63-58,,T. Warren misses 2-pt shot from 19 ft
3:23.0,Defensive rebound by Q. Acy,,63-58,,
3:23.0,,,63-58,,Loose ball foul by M. Chriss (drawn by Q. Acy)
3:23.0,,,63-58,,D. Bender enters the game for M. Chriss
3:23.0,,,63-58,,A. Len enters the game for T. Chandler
3:23.0,S. Kilpatrick enters the game for J. Harris,,63-58,,
3:07.0,Q. Acy misses 2-pt shot from 1 ft,,63-58,,
3:05.0,Offensive rebound by T. Zeller,,63-58,,
2:45.0,S. Dinwiddie misses 2-pt shot from 8 ft,,63-58,,
2:41.0,,,63-58,,Defensive rebound by T. Warren
2:38.0,,,63-58,,D. Booker misses 2-pt shot from 2 ft
2:38.0,,,63-58,,Offensive rebound by T. Warren
2:35.0,,,63-60,2,T. Warren makes 2-pt shot at rim
2:31.0,,,63-60,,Personal foul by A. Len (drawn by A. Crabbe)
2:31.0,,,63-60,,J. Jackson enters the game for T. Warren
2:24.0,,,63-60,,Personal foul by D. Booker (drawn by S. Kilpatrick)
2:24.0,,,63-60,,T. Daniels enters the game for D. Booker
2:20.0,S. Dinwiddie misses 2-pt shot from 9 ft,,63-60,,
2:18.0,,,63-60,,Defensive rebound by A. Len
2:14.0,,,63-60,,J. Jackson misses 2-pt shot at rim
