time,Indiana,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. M. Turner (V. Oladipo gains possession),,,,Jump ball: K. Porzingis vs. M. Turner (V. Oladipo gains possession)
11:44.0,,,0-0,,Violation by E. Kanter (kicked ball)
11:36.0,,,0-0,,Turnover by K. Porzingis (bad pass; steal by V. Oladipo)
11:27.0,,,0-0,,C. Lee misses 2-pt shot from 1 ft (block by V. Oladipo)
11:21.0,,,0-0,,Offensive rebound by J. Jack
11:18.0,,,0-3,3,T. Hardaway makes 3-pt shot from 26 ft (assist by C. Lee)
10:57.0,T. Young misses 2-pt shot from 13 ft,,0-3,,
10:57.0,,,0-3,,Defensive rebound by K. Porzingis
10:50.0,,,0-3,,T. Hardaway misses 3-pt shot from 26 ft
10:47.0,Defensive rebound by V. Oladipo,,0-3,,
10:29.0,M. Turner makes 2-pt shot from 14 ft (assist by D. Collison),2,2-3,,
10:11.0,,,2-5,2,E. Kanter makes 2-pt shot from 4 ft
10:11.0,,,2-5,,Shooting foul by M. Turner (drawn by E. Kanter)
10:11.0,,,2-6,1,E. Kanter makes free throw 1 of 1
10:01.0,V. Oladipo misses 2-pt shot from 9 ft,,2-6,,
9:58.0,Offensive rebound by V. Oladipo,,2-6,,
9:56.0,V. Oladipo makes 2-pt shot from 1 ft,2,4-6,,
9:40.0,,,4-6,,K. Porzingis misses 2-pt shot from 18 ft
9:37.0,,,4-6,,Offensive rebound by E. Kanter
9:33.0,,,4-6,,C. Lee misses 2-pt shot from 17 ft
9:28.0,Defensive rebound by D. Collison,,4-6,,
9:26.0,T. Young makes 2-pt shot at rim (assist by V. Oladipo),2,6-6,,
9:08.0,,,6-6,,E. Kanter misses 2-pt shot from 5 ft
9:05.0,Defensive rebound by M. Turner,,6-6,,
9:02.0,D. Collison misses 2-pt shot from 16 ft,,6-6,,
8:59.0,,,6-6,,Defensive rebound by E. Kanter
8:49.0,,,6-6,,K. Porzingis misses 2-pt shot from 13 ft
8:45.0,,,6-6,,Offensive rebound by E. Kanter
8:43.0,,,6-8,2,K. Porzingis makes 2-pt shot from 1 ft (assist by E. Kanter)
8:38.0,Turnover by V. Oladipo (lost ball; steal by T. Hardaway),,6-8,,
8:32.0,,,6-10,2,K. Porzingis makes 2-pt shot at rim (assist by T. Hardaway)
8:11.0,B. Bogdanovic makes 3-pt shot from 27 ft (assist by M. Turner),3,9-10,,
7:55.0,Personal foul by D. Collison (drawn by J. Jack),,9-10,,
7:41.0,Personal foul by M. Turner (drawn by K. Porzingis),,9-10,,
7:41.0,D. Sabonis enters the game for M. Turner,,9-10,,
7:33.0,Personal foul by T. Young (drawn by K. Porzingis),,9-10,,
7:29.0,Personal foul by D. Sabonis (drawn by K. Porzingis),,9-10,,
7:29.0,,,9-11,1,K. Porzingis makes free throw 1 of 2
7:29.0,,,9-12,1,K. Porzingis makes free throw 2 of 2
7:14.0,V. Oladipo misses 3-pt shot from 27 ft,,9-12,,
7:11.0,,,9-12,,Defensive rebound by E. Kanter
6:52.0,,,9-12,,C. Lee misses 3-pt shot from 26 ft
6:49.0,Defensive rebound by D. Collison,,9-12,,
6:36.0,,,9-12,,New York full timeout
6:36.0,,,9-12,,Def 3 sec tech foul by K. Porzingis
6:36.0,V. Oladipo misses technical free throw,,9-12,,
6:36.0,Offensive rebound by Team,,9-12,,
6:22.0,B. Bogdanovic misses 3-pt shot from 25 ft,,9-12,,
6:19.0,Offensive rebound by D. Sabonis,,9-12,,
6:17.0,D. Sabonis makes 2-pt shot from 1 ft,2,11-12,,
6:01.0,,,11-12,,J. Jack misses 3-pt shot from 23 ft
5:57.0,Defensive rebound by T. Young,,11-12,,
5:54.0,D. Collison makes 2-pt shot from 1 ft (assist by T. Young),2,13-12,,
5:41.0,,,13-12,,K. Porzingis misses 2-pt shot from 18 ft
5:37.0,,,13-12,,Offensive rebound by E. Kanter
5:34.0,,,13-15,3,C. Lee makes 3-pt shot from 25 ft (assist by J. Jack)
5:19.0,D. Collison misses 3-pt shot from 25 ft,,13-15,,
5:17.0,Offensive rebound by D. Collison,,13-15,,
5:17.0,,,13-15,,Personal foul by J. Jack (drawn by D. Collison)
5:12.0,D. Sabonis makes 2-pt shot from 13 ft (assist by D. Collison),2,15-15,,
5:01.0,,,15-15,,Offensive foul by E. Kanter (drawn by D. Collison)
5:01.0,,,15-15,,Turnover by E. Kanter (offensive foul)
5:01.0,,,15-15,,D. McDermott enters the game for T. Hardaway
5:01.0,L. Stephenson enters the game for B. Bogdanovic,,15-15,,
4:44.0,V. Oladipo misses 2-pt shot from 1 ft,,15-15,,
4:41.0,,,15-15,,Defensive rebound by E. Kanter
4:32.0,,,15-17,2,K. Porzingis makes 2-pt shot from 11 ft
4:16.0,T. Young misses 2-pt shot from 4 ft,,15-17,,
4:14.0,Offensive rebound by D. Sabonis,,15-17,,
4:06.0,L. Stephenson makes 2-pt shot from 18 ft,2,17-17,,
3:42.0,,,17-17,,K. Porzingis misses 2-pt shot from 12 ft
3:41.0,,,17-17,,Offensive rebound by E. Kanter
3:40.0,,,17-17,,E. Kanter misses 2-pt shot at rim
3:40.0,,,17-17,,Offensive rebound by E. Kanter
3:35.0,,,17-19,2,E. Kanter makes 2-pt shot at rim
3:28.0,D. Collison makes 2-pt shot from 1 ft,2,19-19,,
3:28.0,Shooting foul by E. Kanter (drawn by D. Collison),,19-19,,
3:28.0,,,19-19,,F. Ntilikina enters the game for E. Kanter
3:28.0,,,19-19,,K. O'Quinn enters the game for J. Jack
3:28.0,D. Collison makes free throw 1 of 1,1,20-19,,
3:14.0,,,20-21,2,D. McDermott makes 2-pt shot at rim (assist by K. O'Quinn)
2:54.0,T. Young makes 3-pt shot from 25 ft (assist by V. Oladipo),3,23-21,,
2:42.0,,,23-21,,Turnover by D. McDermott (lost ball; steal by D. Collison)
2:38.0,D. Collison misses 2-pt shot from 2 ft,,23-21,,
2:38.0,,,23-21,,Defensive rebound by Team
2:38.0,Indiana full timeout,,23-21,,
2:38.0,,,23-21,,M. Beasley enters the game for K. Porzingis
2:38.0,C. Joseph enters the game for T. Young,,23-21,,
2:38.0,A. Poythress enters the game for D. Collison,,23-21,,
2:13.0,,,23-21,,C. Lee misses 2-pt shot from 18 ft
2:10.0,Defensive rebound by D. Sabonis,,23-21,,
1:59.0,L. Stephenson misses 2-pt shot from 13 ft,,23-21,,
1:57.0,,,23-21,,Defensive rebound by K. O'Quinn
1:50.0,,,23-21,,Turnover by K. O'Quinn (bad pass; steal by L. Stephenson)
1:47.0,V. Oladipo makes 2-pt shot from 2 ft,2,25-21,,
1:47.0,Shooting foul by F. Ntilikina (drawn by V. Oladipo),,25-21,,
1:47.0,V. Oladipo makes free throw 1 of 1,1,26-21,,
1:34.0,,,26-23,2,D. McDermott makes 2-pt shot from 19 ft
1:16.0,D. Sabonis makes 2-pt shot from 1 ft,2,28-23,,
1:00.0,,,28-25,2,K. O'Quinn makes 2-pt shot at rim (assist by M. Beasley)
0:49.0,D. Sabonis makes 2-pt shot from 2 ft (assist by C. Joseph),2,30-25,,
