time,Phoenix,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. T. Chandler (O. Casspi gains possession),,,,Jump ball: Z. Pachulia vs. T. Chandler (O. Casspi gains possession)
11:46.0,,,0-0,,Z. Pachulia misses 2-pt shot from 1 ft
11:42.0,Defensive rebound by T. Chandler,,0-0,,
11:38.0,E. Payton makes 2-pt shot from 4 ft (assist by T. Warren),2,2-0,,
11:26.0,,,2-0,,S. Curry misses 3-pt shot from 25 ft
11:19.0,Defensive rebound by J. Jackson,,2-0,,
11:18.0,J. Jackson misses 2-pt shot from 6 ft,,2-0,,
11:16.0,Offensive rebound by T. Chandler,,2-0,,
11:14.0,T. Chandler misses 2-pt shot at rim,,2-0,,
11:13.0,,,2-0,,Defensive rebound by O. Casspi
11:08.0,,,2-2,2,O. Casspi makes 2-pt shot from 1 ft (assist by S. Curry)
10:50.0,E. Payton makes 2-pt shot from 8 ft,2,4-2,,
10:37.0,,,4-2,,Z. Pachulia misses 2-pt shot from 17 ft
10:33.0,Defensive rebound by E. Payton,,4-2,,
10:30.0,T. Warren misses 2-pt shot from 8 ft,,4-2,,
10:20.0,,,4-2,,Defensive rebound by Z. Pachulia
10:19.0,,,4-2,,K. Durant misses 2-pt shot from 17 ft
10:12.0,Defensive rebound by T. Chandler,,4-2,,
9:52.0,J. Jackson misses 3-pt shot from 24 ft,,4-2,,
9:52.0,Offensive rebound by Team,,4-2,,
9:52.0,Turnover by Team (shot clock),,4-2,,
9:41.0,,,4-4,2,K. Thompson makes 2-pt shot from 19 ft (assist by S. Curry)
9:24.0,D. Bender makes 2-pt shot from 2 ft (assist by E. Payton),2,6-4,,
9:24.0,Shooting foul by Z. Pachulia (drawn by D. Bender),,6-4,,
9:24.0,D. Bender misses free throw 1 of 1,,6-4,,
9:22.0,,,6-4,,Defensive rebound by Z. Pachulia
9:08.0,,,6-6,2,K. Thompson makes 2-pt shot from 13 ft
8:45.0,D. Bender misses 2-pt shot from 14 ft (block by K. Durant),,6-6,,
8:42.0,,,6-6,,Defensive rebound by O. Casspi
8:39.0,,,6-6,,S. Curry misses 3-pt shot from 28 ft
8:35.0,Defensive rebound by E. Payton,,6-6,,
8:35.0,Turnover by E. Payton (out of bounds lost ball),,6-6,,
8:34.0,,,6-6,,K. Thompson misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by E. Payton,,6-6,,
8:22.0,E. Payton makes 3-pt shot from 25 ft (assist by T. Warren),3,9-6,,
8:04.0,,,9-6,,Turnover by K. Durant (step out of bounds)
7:50.0,E. Payton makes 2-pt shot from 1 ft,2,11-6,,
7:33.0,,,11-8,2,K. Durant makes 2-pt shot from 16 ft (assist by Z. Pachulia)
7:18.0,T. Warren misses 2-pt shot from 17 ft,,11-8,,
7:15.0,,,11-8,,Defensive rebound by S. Curry
7:10.0,,,11-8,,O. Casspi misses 2-pt shot from 7 ft
7:05.0,Defensive rebound by T. Chandler,,11-8,,
7:05.0,J. Jackson misses 2-pt shot from 9 ft (block by K. Thompson),,11-8,,
7:05.0,Offensive rebound by Team,,11-8,,
6:58.0,,,11-8,,Golden State full timeout
6:51.0,E. Payton makes 2-pt shot from 18 ft,2,13-8,,
6:33.0,,,13-10,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
6:13.0,T. Warren misses 2-pt shot from 6 ft,,13-10,,
6:10.0,Offensive rebound by E. Payton,,13-10,,
6:08.0,D. Bender misses 3-pt shot from 27 ft,,13-10,,
6:05.0,,,13-10,,Defensive rebound by Z. Pachulia
5:58.0,,,13-13,3,K. Durant makes 3-pt shot from 22 ft (assist by Z. Pachulia)
5:46.0,Turnover by D. Bender (traveling),,13-13,,
5:46.0,A. Len enters the game for T. Chandler,,13-13,,
5:46.0,,,13-13,,J. McGee enters the game for Z. Pachulia
5:36.0,,,13-13,,S. Curry misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by E. Payton,,13-13,,
5:28.0,Offensive foul by A. Len (drawn by S. Curry),,13-13,,
5:28.0,Turnover by A. Len (offensive foul),,13-13,,
5:28.0,,,13-13,,A. Iguodala enters the game for O. Casspi
5:28.0,M. Chriss enters the game for J. Jackson,,13-13,,
5:28.0,T. Daniels enters the game for D. Bender,,13-13,,
5:18.0,,,13-13,,S. Curry misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by M. Chriss,,13-13,,
5:05.0,E. Payton makes 3-pt shot from 25 ft (assist by M. Chriss),3,16-13,,
4:48.0,,,16-13,,Shooting foul by E. Payton (drawn by J. McGee)
4:48.0,,,16-13,,J. McGee misses free throw 1 of 2
4:48.0,,,16-13,,Offensive rebound by Team
4:48.0,,,16-13,,J. McGee misses free throw 2 of 2
4:46.0,Defensive rebound by A. Len,,16-13,,
4:29.0,T. Daniels misses 3-pt shot from 25 ft (block by S. Curry),,16-13,,
4:25.0,Offensive rebound by M. Chriss,,16-13,,
4:24.0,T. Daniels misses 3-pt shot from 27 ft,,16-13,,
4:21.0,,,16-13,,Defensive rebound by A. Iguodala
4:16.0,,,16-15,2,K. Durant makes 2-pt shot from 8 ft
4:14.0,Phoenix full timeout,,16-15,,
4:14.0,,,16-15,,N. Young enters the game for K. Thompson
4:01.0,E. Payton makes 2-pt shot from 1 ft (assist by A. Len),2,18-15,,
3:42.0,,,18-15,,A. Iguodala misses 3-pt shot from 22 ft
3:38.0,Defensive rebound by E. Payton,,18-15,,
3:22.0,Shooting foul by K. Durant (drawn by A. Len),,18-15,,
3:22.0,A. Len makes free throw 1 of 2,1,19-15,,
3:22.0,A. Len makes free throw 2 of 2,1,20-15,,
3:05.0,,,20-15,,Turnover by K. Durant (bad pass; steal by M. Chriss)
3:00.0,T. Warren misses 2-pt shot from 4 ft (block by A. Iguodala),,20-15,,
2:56.0,,,20-15,,Defensive rebound by K. Durant
2:41.0,Personal foul by M. Chriss (drawn by A. Iguodala),,20-15,,
2:41.0,J. Gray enters the game for E. Payton,,20-15,,
2:41.0,J. Jackson enters the game for T. Warren,,20-15,,
2:33.0,,,20-17,2,J. McGee makes 2-pt shot from 2 ft (assist by S. Curry)
2:11.0,Turnover by J. Gray (lost ball; steal by N. Young),,20-17,,
2:08.0,,,20-20,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
1:44.0,M. Chriss misses 2-pt shot from 15 ft,,20-20,,
1:40.0,,,20-20,,Defensive rebound by K. Durant
1:35.0,,,20-20,,Shooting foul by J. Jackson (drawn by J. McGee)
1:35.0,,,20-20,,J. McGee misses free throw 1 of 2
1:35.0,,,20-20,,Offensive rebound by Team
1:35.0,,,20-21,1,J. McGee makes free throw 2 of 2
1:16.0,Shooting foul by J. McGee (drawn by A. Len),,20-21,,
1:16.0,A. Len misses free throw 1 of 2,,20-21,,
1:16.0,Offensive rebound by Team,,20-21,,
1:16.0,A. Len misses free throw 2 of 2,,20-21,,
1:14.0,,,20-21,,Defensive rebound by K. Durant
1:02.0,,,20-23,2,S. Curry makes 2-pt shot from 17 ft (assist by K. Durant)
0:53.0,J. Gray misses 2-pt shot at rim (block by J. McGee),,20-23,,
0:49.0,Offensive rebound by A. Len,,20-23,,
0:49.0,A. Len makes 2-pt shot at rim,2,22-23,,
0:41.0,,,22-23,,S. Curry misses 2-pt shot from 1 ft
0:37.0,Defensive rebound by A. Len,,22-23,,
0:35.0,J. Jackson makes 2-pt shot from 2 ft,2,24-23,,
0:35.0,,,24-23,,Violation by K. Durant (def goaltending)
0:27.0,,,24-25,2,J. McGee makes 2-pt shot from 1 ft (assist by K. Durant)
0:02.0,J. Jackson misses 2-pt shot from 17 ft (block by K. Durant),,24-25,,
0:00.0,,,24-25,,Defensive rebound by S. Curry
0:00.0,,,24-25,,S. Curry misses 3-pt shot from 67 ft
0:00.0,,,24-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Gray makes 2-pt shot from 10 ft,2,26-25,,
11:24.0,,,26-25,,K. Thompson misses 2-pt shot from 1 ft
11:19.0,Defensive rebound by M. Chriss,,26-25,,
11:16.0,,,26-25,,Violation by A. Iguodala (kicked ball)
11:01.0,J. Jackson misses 3-pt shot from 22 ft,,26-25,,
10:56.0,,,26-25,,Defensive rebound by N. Young
10:44.0,,,26-28,3,N. Young makes 3-pt shot from 25 ft (assist by D. West)
10:24.0,Shooting foul by D. West (drawn by J. Gray),,26-28,,
10:24.0,J. Gray misses free throw 1 of 2,,26-28,,
10:24.0,Offensive rebound by Team,,26-28,,
10:24.0,D. Bender enters the game for M. Chriss,,26-28,,
10:24.0,J. Gray makes free throw 2 of 2,1,27-28,,
10:10.0,,,27-28,,Shooting foul by J. Jackson (drawn by N. Young)
10:10.0,,,27-29,1,N. Young makes free throw 1 of 3
10:10.0,,,27-30,1,N. Young makes free throw 2 of 3
10:10.0,T. Warren enters the game for J. Jackson,,27-30,,
10:10.0,,,27-31,1,N. Young makes free throw 3 of 3
9:47.0,Turnover by T. Daniels (traveling),,27-31,,
9:43.0,,,27-31,,Turnover by K. Thompson (out of bounds lost ball)
9:32.0,J. Gray makes 2-pt shot from 2 ft,2,29-31,,
9:15.0,,,29-33,2,D. West makes 2-pt shot from 12 ft (assist by K. Thompson)
8:59.0,T. Warren misses 2-pt shot from 9 ft,,29-33,,
8:55.0,,,29-33,,Defensive rebound by D. West
8:50.0,Personal foul by A. Len (drawn by D. West),,29-33,,
8:50.0,,,29-33,,P. McCaw enters the game for N. Young
8:50.0,,,29-33,,O. Casspi enters the game for A. Iguodala
8:43.0,,,29-33,,K. Thompson misses 2-pt shot from 19 ft
8:40.0,Defensive rebound by D. Bender,,29-33,,
8:32.0,Turnover by D. Bender (bad pass; steal by D. West),,29-33,,
8:28.0,,,29-35,2,O. Casspi makes 2-pt shot at rim (assist by P. McCaw)
8:27.0,Phoenix full timeout,,29-35,,
8:27.0,E. Payton enters the game for J. Gray,,29-35,,
