time,Cleveland,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:56.0,Jump ball: M. Gortat vs. L. James (J. Wall gains possession),,,,Jump ball: M. Gortat vs. L. James (J. Wall gains possession)
11:42.0,,,0-0,,Turnover by M. Morris (bad pass; steal by J. Smith)
11:34.0,Shooting foul by B. Beal (drawn by J. Crowder),,0-0,,
11:34.0,J. Crowder makes free throw 1 of 2,1,1-0,,
11:34.0,J. Crowder makes free throw 2 of 2,1,2-0,,
11:18.0,,,2-0,,Turnover by B. Beal (lost ball; steal by L. James)
11:14.0,D. Rose makes 2-pt shot from 1 ft (assist by L. James),2,4-0,,
10:58.0,,,4-2,2,M. Morris makes 2-pt shot at rim
10:34.0,K. Love misses 3-pt shot from 23 ft,,4-2,,
10:31.0,,,4-2,,Defensive rebound by M. Morris
10:30.0,,,4-5,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
10:10.0,K. Love makes 3-pt shot from 22 ft (assist by L. James),3,7-5,,
9:48.0,,,7-5,,M. Morris misses 2-pt shot from 9 ft
9:47.0,,,7-5,,Offensive rebound by O. Porter
9:45.0,Jump ball: O. Porter vs. K. Love (L. James gains possession),,,,Jump ball: O. Porter vs. K. Love (L. James gains possession)
9:45.0,,,7-5,,Turnover by O. Porter (turnover; steal by K. Love)
9:39.0,L. James makes 2-pt shot from 2 ft,2,9-5,,
9:32.0,,,9-7,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
9:21.0,Cleveland full timeout,,9-7,,
9:11.0,L. James makes 2-pt shot from 1 ft,2,11-7,,
8:58.0,,,11-7,,J. Wall misses 3-pt shot from 26 ft
8:55.0,,,11-7,,Offensive rebound by O. Porter
8:55.0,,,11-9,2,O. Porter makes 2-pt shot from 1 ft
8:47.0,D. Rose makes 2-pt shot from 1 ft,2,13-9,,
8:26.0,,,13-11,2,M. Gortat makes 2-pt shot from 10 ft
8:13.0,J. Crowder misses 2-pt shot from 19 ft,,13-11,,
8:11.0,,,13-11,,Defensive rebound by M. Gortat
8:05.0,,,13-11,,Turnover by M. Gortat (bad pass; steal by J. Crowder)
7:51.0,L. James makes 2-pt shot at rim,2,15-11,,
7:37.0,,,15-13,2,J. Wall makes 2-pt shot from 1 ft (assist by M. Morris)
7:31.0,L. James makes 2-pt shot from 1 ft (assist by J. Smith),2,17-13,,
7:26.0,,,17-15,2,B. Beal makes 2-pt shot from 2 ft
7:26.0,,,17-15,,Shooting foul by J. Smith (drawn by B. Beal)
7:26.0,,,17-15,,K. Oubre enters the game for M. Morris
7:26.0,,,17-16,1,B. Beal makes free throw 1 of 1
7:19.0,D. Rose makes 3-pt shot from 26 ft,3,20-16,,
7:09.0,,,20-16,,J. Wall misses 2-pt shot at rim
7:06.0,Defensive rebound by K. Love,,20-16,,
7:03.0,Shooting foul by O. Porter (drawn by L. James),,20-16,,
7:03.0,L. James makes free throw 1 of 2,1,21-16,,
7:03.0,L. James makes free throw 2 of 2,1,22-16,,
6:53.0,,,22-16,,B. Beal misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by J. Crowder,,22-16,,
6:37.0,J. Crowder misses 2-pt shot from 7 ft,,22-16,,
6:34.0,,,22-16,,Defensive rebound by J. Wall
6:30.0,,,22-19,3,K. Oubre makes 3-pt shot from 25 ft (assist by J. Wall)
6:13.0,D. Rose makes 2-pt shot from 5 ft,2,24-19,,
5:52.0,,,24-21,2,O. Porter makes 2-pt shot from 8 ft
5:38.0,Turnover by D. Rose (bad pass),,24-21,,
5:30.0,,,24-21,,Shooting foul by L. James (drawn by M. Gortat)
5:30.0,,,24-22,1,M. Gortat makes free throw 1 of 2
5:30.0,A. Zizic enters the game for J. Crowder,,24-22,,
5:30.0,,,24-23,1,M. Gortat makes free throw 2 of 2
