time,Boston,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Baynes (I. Smith gains possession),,,,Jump ball: A. Drummond vs. A. Baynes (I. Smith gains possession)
11:47.0,,,0-0,,R. Bullock misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by K. Irving,,0-0,,
11:36.0,K. Irving misses 2-pt shot from 10 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by B. Griffin
11:24.0,,,0-0,,B. Griffin misses 2-pt shot from 14 ft
11:21.0,Defensive rebound by K. Irving,,0-0,,
11:08.0,K. Irving makes 3-pt shot from 28 ft (assist by A. Horford),3,3-0,,
10:50.0,,,3-0,,S. Johnson misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by A. Horford,,3-0,,
10:39.0,J. Tatum makes 2-pt shot from 10 ft,2,5-0,,
10:15.0,,,5-3,3,B. Griffin makes 3-pt shot from 25 ft (assist by I. Smith)
9:55.0,Shooting foul by A. Drummond (drawn by A. Baynes),,5-3,,
9:55.0,A. Baynes misses free throw 1 of 2,,5-3,,
9:55.0,Offensive rebound by Team,,5-3,,
9:55.0,A. Baynes makes free throw 2 of 2,1,6-3,,
9:41.0,,,6-6,3,R. Bullock makes 3-pt shot from 25 ft
9:21.0,G. Monroe enters the game for A. Baynes,,6-6,,
9:13.0,K. Irving misses 3-pt shot from 24 ft,,6-6,,
9:12.0,,,6-6,,Defensive rebound by Team
9:01.0,,,6-6,,Turnover by B. Griffin (bad pass; steal by G. Monroe)
8:47.0,G. Monroe misses 2-pt shot from 4 ft (block by A. Drummond),,6-6,,
8:43.0,,,6-6,,Defensive rebound by S. Johnson
8:39.0,,,6-8,2,A. Drummond makes 2-pt shot from 1 ft (assist by B. Griffin)
8:23.0,J. Brown misses 2-pt shot from 20 ft,,6-8,,
8:20.0,,,6-8,,Defensive rebound by R. Bullock
8:16.0,,,6-11,3,S. Johnson makes 3-pt shot from 25 ft (assist by I. Smith)
8:15.0,Boston full timeout,,6-11,,
8:04.0,J. Tatum makes 3-pt shot from 26 ft (assist by G. Monroe),3,9-11,,
7:37.0,,,9-11,,B. Griffin misses 2-pt shot from 6 ft
7:33.0,Defensive rebound by J. Brown,,9-11,,
7:20.0,A. Horford misses 3-pt shot from 26 ft,,9-11,,
7:16.0,,,9-11,,Defensive rebound by I. Smith
7:08.0,,,9-13,2,A. Drummond makes 2-pt shot from 3 ft (assist by S. Johnson)
6:50.0,J. Brown makes 2-pt shot from 2 ft (assist by G. Monroe),2,11-13,,
6:28.0,,,11-13,,Shooting foul by J. Tatum (drawn by S. Johnson)
6:28.0,,,11-13,,S. Johnson misses free throw 1 of 2
6:28.0,,,11-13,,Offensive rebound by Team
6:28.0,,,11-14,1,S. Johnson makes free throw 2 of 2
6:13.0,A. Horford misses 2-pt shot from 2 ft (block by A. Drummond),,11-14,,
6:09.0,,,11-14,,Defensive rebound by A. Drummond
6:07.0,,,11-16,2,S. Johnson makes 2-pt shot from 1 ft
5:46.0,Offensive foul by A. Horford (drawn by S. Johnson),,11-16,,
5:46.0,Turnover by A. Horford (offensive foul),,11-16,,
5:31.0,,,11-16,,B. Griffin misses 2-pt shot from 16 ft
