time,New York,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. K. Porzingis (E. Kanter gains possession),,,,Jump ball: J. Valanciunas vs. K. Porzingis (E. Kanter gains possession)
11:41.0,C. Lee misses 2-pt shot from 5 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by D. DeRozan
11:35.0,,,0-2,2,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan)
11:14.0,J. Jack makes 2-pt shot from 8 ft (assist by E. Kanter),2,2-2,,
10:52.0,,,2-2,,J. Valanciunas misses 2-pt shot from 5 ft
10:51.0,Defensive rebound by K. Porzingis,,2-2,,
10:44.0,J. Jack makes 2-pt shot from 12 ft,2,4-2,,
10:24.0,,,4-2,,P. Siakam misses 3-pt shot from 26 ft
10:21.0,Defensive rebound by T. Hardaway,,4-2,,
10:08.0,K. Porzingis misses 2-pt shot from 14 ft (block by P. Siakam),,4-2,,
10:08.0,,,4-2,,Defensive rebound by Team
9:50.0,,,4-4,2,O. Anunoby makes 2-pt shot from 1 ft
9:40.0,T. Hardaway misses 3-pt shot from 25 ft,,4-4,,
9:36.0,,,4-4,,Defensive rebound by J. Valanciunas
9:30.0,,,4-6,2,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry)
9:13.0,K. Porzingis misses 2-pt shot from 12 ft,,4-6,,
9:11.0,,,4-6,,Defensive rebound by D. DeRozan
9:01.0,,,4-8,2,P. Siakam makes 2-pt shot from 1 ft (assist by D. DeRozan)
8:45.0,T. Hardaway makes 3-pt shot from 25 ft,3,7-8,,
8:35.0,,,7-8,,D. DeRozan misses 2-pt shot from 2 ft
8:34.0,Defensive rebound by E. Kanter,,7-8,,
8:29.0,J. Jack makes 2-pt shot from 19 ft,2,9-8,,
8:06.0,,,9-8,,J. Valanciunas misses 2-pt shot from 8 ft
8:05.0,Defensive rebound by T. Hardaway,,9-8,,
7:49.0,K. Porzingis misses 2-pt shot from 8 ft,,9-8,,
7:46.0,,,9-8,,Defensive rebound by P. Siakam
7:39.0,,,9-8,,Shooting foul by K. Porzingis (drawn by D. DeRozan)
7:39.0,,,9-9,1,D. DeRozan makes free throw 1 of 2
7:39.0,,,9-10,1,D. DeRozan makes free throw 2 of 2
7:19.0,E. Kanter misses 2-pt shot from 5 ft,,9-10,,
7:17.0,,,9-10,,Defensive rebound by J. Valanciunas
7:14.0,,,9-12,2,P. Siakam makes 2-pt shot at rim (assist by J. Valanciunas)
6:57.0,T. Hardaway makes 2-pt shot from 20 ft,2,11-12,,
6:45.0,,,11-12,,O. Anunoby misses 3-pt shot from 26 ft
6:43.0,Defensive rebound by C. Lee,,11-12,,
6:35.0,E. Kanter misses 2-pt shot from 9 ft,,11-12,,
6:32.0,Offensive rebound by J. Jack,,11-12,,
6:30.0,C. Lee misses 3-pt shot from 27 ft,,11-12,,
6:30.0,,,11-12,,Defensive rebound by J. Valanciunas
6:19.0,,,11-14,2,K. Lowry makes 2-pt shot from 12 ft
6:01.0,T. Hardaway misses 2-pt shot from 14 ft,,11-14,,
5:59.0,,,11-14,,Defensive rebound by K. Lowry
5:45.0,,,11-17,3,K. Lowry makes 3-pt shot from 22 ft (assist by D. DeRozan)
5:36.0,New York full timeout,,11-17,,
5:19.0,C. Lee misses 3-pt shot from 25 ft,,11-17,,
5:17.0,,,11-17,,Defensive rebound by K. Lowry
4:54.0,,,11-17,,K. Lowry misses 2-pt shot from 8 ft
4:53.0,Defensive rebound by K. Porzingis,,11-17,,
4:48.0,T. Hardaway misses 3-pt shot from 22 ft,,11-17,,
4:44.0,,,11-17,,Defensive rebound by K. Lowry
4:36.0,,,11-20,3,O. Anunoby makes 3-pt shot from 24 ft (assist by D. DeRozan)
4:19.0,,,11-20,,Personal foul by O. Anunoby (drawn by T. Hardaway)
4:19.0,,,11-20,,C. Miles enters the game for O. Anunoby
4:19.0,,,11-20,,L. Nogueira enters the game for J. Valanciunas
4:19.0,D. McDermott enters the game for E. Kanter,,11-20,,
4:19.0,K. O'Quinn enters the game for C. Lee,,11-20,,
4:12.0,K. Porzingis misses 2-pt shot from 3 ft (block by L. Nogueira),,11-20,,
4:12.0,Offensive rebound by Team,,11-20,,
4:05.0,K. O'Quinn misses 2-pt shot from 16 ft,,11-20,,
4:03.0,,,11-20,,Defensive rebound by K. Lowry
3:57.0,,,11-20,,L. Nogueira misses 2-pt shot from 3 ft
3:55.0,Defensive rebound by K. O'Quinn,,11-20,,
3:49.0,D. McDermott makes 3-pt shot from 23 ft (assist by J. Jack),3,14-20,,
3:26.0,,,14-22,2,D. DeRozan makes 2-pt shot from 9 ft
3:15.0,,,14-22,,Violation by L. Nogueira (kicked ball)
3:15.0,,,14-22,,F. VanVleet enters the game for K. Lowry
3:15.0,F. Ntilikina enters the game for J. Jack,,14-22,,
3:02.0,F. Ntilikina misses 2-pt shot from 22 ft (block by L. Nogueira),,14-22,,
2:58.0,,,14-22,,Defensive rebound by D. DeRozan
2:51.0,,,14-22,,D. DeRozan misses 2-pt shot from 2 ft
2:50.0,Defensive rebound by K. O'Quinn,,14-22,,
2:44.0,T. Hardaway misses 2-pt shot at rim,,14-22,,
2:43.0,,,14-22,,Defensive rebound by Team
2:43.0,Loose ball foul by F. Ntilikina (drawn by D. DeRozan),,14-22,,
2:43.0,,,14-22,,Toronto full timeout
2:28.0,,,14-22,,D. DeRozan misses 2-pt shot from 3 ft (block by K. Porzingis)
2:26.0,Defensive rebound by K. O'Quinn,,14-22,,
2:12.0,Shooting foul by C. Miles (drawn by D. McDermott),,14-22,,
2:12.0,D. McDermott makes free throw 1 of 2,1,15-22,,
2:12.0,D. McDermott makes free throw 2 of 2,1,16-22,,
1:49.0,,,16-22,,Turnover by F. VanVleet (bad pass; steal by T. Hardaway)
1:43.0,K. Porzingis misses 2-pt shot from 14 ft,,16-22,,
1:40.0,Offensive rebound by K. O'Quinn,,16-22,,
1:39.0,K. O'Quinn misses 2-pt shot from 1 ft,,16-22,,
1:39.0,Offensive rebound by D. McDermott,,16-22,,
1:35.0,D. McDermott misses 2-pt shot from 2 ft,,16-22,,
1:35.0,,,16-22,,Defensive rebound by L. Nogueira
1:32.0,,,16-24,2,L. Nogueira makes 2-pt shot from 1 ft (assist by D. DeRozan)
1:16.0,Shooting foul by F. VanVleet (drawn by F. Ntilikina),,16-24,,
1:16.0,F. Ntilikina makes free throw 1 of 2,1,17-24,,
1:16.0,,,17-24,,O. Anunoby enters the game for D. DeRozan
1:16.0,,,17-24,,L. Brown enters the game for P. Siakam
1:16.0,F. Ntilikina makes free throw 2 of 2,1,18-24,,
1:03.0,,,18-24,,C. Miles misses 3-pt shot from 26 ft
1:00.0,Defensive rebound by K. O'Quinn,,18-24,,
0:46.0,Turnover by F. Ntilikina (bad pass; steal by L. Nogueira),,18-24,,
0:40.0,,,18-24,,Shooting foul by D. McDermott (drawn by C. Miles)
0:40.0,,,18-25,1,C. Miles makes free throw 1 of 3
0:40.0,,,18-26,1,C. Miles makes free throw 2 of 3
0:40.0,,,18-27,1,C. Miles makes free throw 3 of 3
0:23.0,K. Porzingis misses 2-pt shot from 10 ft,,18-27,,
0:21.0,,,18-27,,Defensive rebound by L. Nogueira
0:02.0,,,18-27,,Shooting foul by F. Ntilikina (drawn by C. Miles)
0:02.0,,,18-28,1,C. Miles makes free throw 1 of 3
0:02.0,,,18-29,1,C. Miles makes free throw 2 of 3
0:02.0,,,18-30,1,C. Miles makes free throw 3 of 3
0:00.0,F. Ntilikina misses 3-pt shot from 52 ft,,18-30,,
0:00.0,Offensive rebound by Team,,18-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,18-32,2,C. Miles makes 2-pt shot from 23 ft
11:24.0,D. McDermott misses 2-pt shot from 18 ft,,18-32,,
11:24.0,,,18-32,,Defensive rebound by C. Miles
11:05.0,,,18-32,,Turnover by L. Nogueira (turnover)
10:43.0,L. Thomas misses 2-pt shot from 1 ft (block by L. Nogueira),,18-32,,
10:43.0,Offensive rebound by Team,,18-32,,
10:40.0,F. Ntilikina misses 2-pt shot from 17 ft,,18-32,,
10:38.0,,,18-32,,Defensive rebound by L. Brown
10:23.0,,,18-34,2,L. Nogueira makes 2-pt shot at rim (assist by C. Miles)
10:05.0,L. Thomas misses 3-pt shot from 26 ft,,18-34,,
10:01.0,,,18-34,,Defensive rebound by L. Nogueira
9:52.0,,,18-34,,L. Nogueira misses 3-pt shot from 26 ft
9:50.0,Defensive rebound by C. Lee,,18-34,,
9:40.0,D. McDermott misses 3-pt shot from 25 ft,,18-34,,
