time,Philadelphia,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: T. Chandler vs. J. Embiid (B. Simmons gains possession)
11:44.0,D. Saric makes 2-pt shot at rim,2,2-0,,
11:24.0,,,2-0,,D. Booker misses 2-pt shot from 22 ft
11:20.0,,,2-0,,Offensive rebound by T. Chandler
11:20.0,,,2-2,2,T. Chandler makes 2-pt shot at rim
11:04.0,J. Embiid misses 2-pt shot from 18 ft,,2-2,,
11:02.0,,,2-2,,Defensive rebound by M. Chriss
10:42.0,,,2-2,,Turnover by M. Chriss (bad pass)
10:34.0,,,2-2,,Personal foul by T. Warren (drawn by B. Simmons)
10:24.0,D. Saric misses 2-pt shot from 21 ft,,2-2,,
10:20.0,,,2-2,,Defensive rebound by T. Chandler
10:17.0,,,2-4,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
10:08.0,B. Simmons makes 2-pt shot at rim,2,4-4,,
9:56.0,Personal foul by J. Redick (drawn by D. Booker),,4-4,,
9:53.0,,,4-4,,Turnover by T. Warren (bad pass; steal by B. Simmons)
9:46.0,R. Covington makes 3-pt shot from 23 ft (assist by B. Simmons),3,7-4,,
9:31.0,,,7-4,,Turnover by M. Chriss (bad pass; steal by J. Embiid)
9:26.0,J. Embiid misses 3-pt shot from 24 ft,,7-4,,
9:22.0,Offensive rebound by D. Saric,,7-4,,
9:22.0,D. Saric makes 2-pt shot at rim,2,9-4,,
9:07.0,,,9-4,,T. Ulis misses 2-pt shot from 13 ft
9:04.0,Defensive rebound by B. Simmons,,9-4,,
8:59.0,,,9-4,,Personal block foul by M. Chriss (drawn by D. Saric)
8:53.0,J. Redick makes 3-pt shot from 25 ft (assist by J. Embiid),3,12-4,,
8:51.0,,,12-4,,Phoenix full timeout
8:36.0,,,12-4,,Turnover by D. Booker (bad pass; steal by D. Saric)
8:31.0,B. Simmons misses 2-pt shot from 1 ft (block by M. Chriss),,12-4,,
8:28.0,,,12-4,,Defensive rebound by D. Booker
8:27.0,,,12-4,,Offensive charge foul by D. Booker (drawn by J. Redick)
8:27.0,,,12-4,,Turnover by D. Booker (offensive foul)
8:12.0,J. Embiid makes 2-pt shot from 16 ft,2,14-4,,
7:46.0,,,14-4,,T. Ulis misses 2-pt shot from 6 ft (block by J. Embiid)
7:43.0,Defensive rebound by J. Redick,,14-4,,
7:39.0,R. Covington misses 3-pt shot from 24 ft,,14-4,,
7:37.0,Offensive rebound by D. Saric,,14-4,,
7:34.0,B. Simmons makes 2-pt shot at rim (assist by D. Saric),2,16-4,,
7:11.0,,,16-6,2,T. Warren makes 2-pt shot from 12 ft
7:04.0,J. Redick misses 2-pt shot from 22 ft,,16-6,,
7:04.0,,,16-6,,Defensive rebound by T. Warren
6:58.0,,,16-8,2,M. Chriss makes 2-pt shot from 11 ft (assist by T. Warren)
6:58.0,Shooting block foul by B. Simmons (drawn by M. Chriss),,16-8,,
6:58.0,,,16-8,,A. Len enters the game for T. Chandler
6:58.0,,,16-8,,I. Canaan enters the game for T. Ulis
6:58.0,A. Johnson enters the game for J. Embiid,,16-8,,
6:58.0,T. McConnell enters the game for J. Redick,,16-8,,
6:58.0,,,16-9,1,M. Chriss makes free throw 1 of 1
6:49.0,D. Saric makes 2-pt shot from 1 ft (assist by A. Johnson),2,18-9,,
6:32.0,,,18-9,,D. Booker misses 2-pt shot from 3 ft
6:32.0,,,18-9,,Offensive rebound by Team
6:32.0,,,18-9,,D. Bender enters the game for M. Chriss
6:18.0,,,18-9,,Shooting foul by A. Johnson (drawn by A. Len)
6:18.0,,,18-10,1,A. Len makes free throw 1 of 2
6:18.0,J. Bayless enters the game for D. Saric,,18-10,,
6:18.0,,,18-11,1,A. Len makes free throw 2 of 2
6:10.0,Turnover by B. Simmons (lost ball; steal by T. Warren),,18-11,,
6:08.0,,,18-11,,Shooting foul by B. Simmons (drawn by T. Warren)
6:08.0,,,18-12,1,T. Warren makes free throw 1 of 2
6:08.0,,,18-13,1,T. Warren makes free throw 2 of 2
5:58.0,J. Bayless misses 2-pt shot from 17 ft,,18-13,,
5:54.0,,,18-13,,Defensive rebound by T. Warren
5:51.0,,,18-13,,Shooting foul by R. Covington (drawn by T. Warren)
5:51.0,,,18-14,1,T. Warren makes free throw 1 of 2
5:51.0,,,18-14,,T. Warren misses free throw 2 of 2
5:49.0,Defensive rebound by B. Simmons,,18-14,,
5:41.0,A. Johnson makes 2-pt shot from 1 ft,2,20-14,,
5:27.0,,,20-16,2,D. Booker makes 2-pt shot from 13 ft
5:15.0,R. Covington makes 2-pt shot from 19 ft (assist by B. Simmons),2,22-16,,
4:58.0,,,22-18,2,T. Warren makes 2-pt shot from 12 ft
4:47.0,R. Covington misses 3-pt shot from 26 ft,,22-18,,
4:45.0,,,22-18,,Defensive rebound by I. Canaan
4:35.0,,,22-20,2,T. Warren makes 2-pt shot from 10 ft (assist by D. Bender)
4:34.0,Philadelphia full timeout,,22-20,,
4:34.0,,,22-20,,J. Jackson enters the game for T. Warren
4:34.0,J. Redick enters the game for A. Johnson,,22-20,,
4:34.0,T. Booker enters the game for B. Simmons,,22-20,,
4:34.0,J. Embiid enters the game for R. Covington,,22-20,,
4:17.0,J. Embiid makes 2-pt shot from 13 ft (assist by J. Bayless),2,24-20,,
3:48.0,,,24-20,,J. Jackson misses 2-pt shot from 1 ft
3:43.0,,,24-20,,Offensive rebound by J. Jackson
3:43.0,,,24-20,,J. Jackson misses 2-pt shot at rim
3:43.0,Defensive rebound by T. McConnell,,24-20,,
3:36.0,T. McConnell makes 2-pt shot from 10 ft,2,26-20,,
3:18.0,,,26-20,,J. Jackson misses 3-pt shot from 23 ft
3:16.0,Defensive rebound by T. McConnell,,26-20,,
3:11.0,,,26-20,,Personal foul by I. Canaan (drawn by T. McConnell)
3:08.0,J. Bayless makes 2-pt shot at rim (assist by J. Redick),2,28-20,,
2:51.0,,,28-23,3,D. Bender makes 3-pt shot from 23 ft (assist by D. Booker)
2:36.0,J. Bayless misses 2-pt shot from 20 ft,,28-23,,
2:34.0,Offensive rebound by J. Bayless,,28-23,,
2:31.0,J. Bayless makes 3-pt shot from 22 ft,3,31-23,,
2:07.0,,,31-23,,D. Bender misses 2-pt shot from 18 ft
2:06.0,Defensive rebound by Team,,31-23,,
2:06.0,,,31-23,,Loose ball foul by A. Len (drawn by J. Embiid)
2:06.0,,,31-23,,T. Daniels enters the game for D. Booker
1:52.0,J. Redick makes 2-pt shot from 21 ft (assist by J. Bayless),2,33-23,,
1:27.0,,,33-25,2,I. Canaan makes 2-pt shot from 8 ft
1:03.0,J. Bayless misses 3-pt shot from 26 ft,,33-25,,
1:01.0,,,33-25,,Defensive rebound by Team
0:48.0,Personal foul by J. Bayless (drawn by T. Daniels),,33-25,,
0:48.0,,,33-26,1,T. Daniels makes free throw 1 of 2
0:48.0,,,33-27,1,T. Daniels makes free throw 2 of 2
0:36.0,Shooting foul by D. Bender (drawn by J. Redick),,33-27,,
0:36.0,J. Redick makes free throw 1 of 2,1,34-27,,
0:36.0,J. Redick makes free throw 2 of 2,1,35-27,,
0:28.0,,,35-30,3,I. Canaan makes 3-pt shot from 26 ft
0:12.0,Offensive foul by J. Embiid (drawn by I. Canaan),,35-30,,
0:12.0,Turnover by J. Embiid (offensive foul),,35-30,,
0:04.0,,,35-32,2,I. Canaan makes 2-pt shot at rim
0:01.0,J. Redick makes 3-pt shot from 33 ft (assist by T. Booker),3,38-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,38-32,,Shooting foul by T. Luwawu-Cabarrot (drawn by A. Len)
11:43.0,,,38-33,1,A. Len makes free throw 1 of 2
11:43.0,,,38-33,,T. Warren enters the game for J. Jackson
11:43.0,,,38-33,,A. Len misses free throw 2 of 2
11:41.0,Defensive rebound by J. Embiid,,38-33,,
11:32.0,Turnover by D. Saric (bad pass; steal by I. Canaan),,38-33,,
11:20.0,Personal foul by T. Luwawu-Cabarrot (drawn by D. Bender),,38-33,,
11:17.0,,,38-33,,Turnover by I. Canaan (bad pass; steal by T. McConnell)
11:10.0,T. McConnell makes 2-pt shot from 16 ft (assist by T. Luwawu-Cabarrot),2,40-33,,
10:48.0,,,40-33,,D. Bender misses 2-pt shot from 11 ft
10:46.0,Defensive rebound by J. Embiid,,40-33,,
10:38.0,D. Saric makes 3-pt shot from 25 ft (assist by J. Embiid),3,43-33,,
10:23.0,,,43-33,,T. Warren misses 2-pt shot from 12 ft
10:19.0,Defensive rebound by J. Embiid,,43-33,,
10:09.0,Turnover by J. Embiid (traveling),,43-33,,
10:09.0,,,43-33,,M. Chriss enters the game for A. Len
10:09.0,,,43-33,,T. Chandler enters the game for D. Bender
9:58.0,,,43-33,,I. Canaan misses 2-pt shot from 1 ft (block by D. Saric)
9:58.0,Defensive rebound by Team,,43-33,,
9:46.0,Offensive foul by J. Embiid (drawn by T. Daniels),,43-33,,
9:46.0,Turnover by J. Embiid (offensive foul),,43-33,,
9:34.0,,,43-33,,I. Canaan misses 3-pt shot from 23 ft
9:32.0,Defensive rebound by T. Luwawu-Cabarrot,,43-33,,
9:28.0,,,43-33,,Personal foul by M. Chriss (drawn by D. Saric)
9:23.0,Shooting foul by M. Chriss (drawn by D. Saric),,43-33,,
9:23.0,D. Saric makes free throw 1 of 2,1,44-33,,
9:23.0,,,44-33,,D. Bender enters the game for M. Chriss
9:23.0,B. Simmons enters the game for T. Luwawu-Cabarrot,,44-33,,
9:23.0,R. Covington enters the game for T. McConnell,,44-33,,
9:23.0,J. Bayless enters the game for J. Redick,,44-33,,
9:23.0,D. Saric makes free throw 2 of 2,1,45-33,,
9:01.0,,,45-35,2,T. Warren makes 2-pt shot from 17 ft
8:39.0,D. Saric makes 3-pt shot from 25 ft (assist by J. Embiid),3,48-35,,
8:20.0,,,48-35,,T. Warren misses 2-pt shot from 1 ft
8:18.0,Defensive rebound by J. Embiid,,48-35,,
8:14.0,J. Embiid makes 2-pt shot at rim (assist by D. Saric),2,50-35,,
8:14.0,Shooting foul by I. Canaan (drawn by J. Embiid),,50-35,,
8:14.0,,,50-35,,T. Ulis enters the game for I. Canaan
8:14.0,J. Embiid makes free throw 1 of 1,1,51-35,,
8:14.0,,,51-35,,Phoenix full timeout
8:14.0,,,51-35,,D. Booker enters the game for T. Daniels
8:14.0,A. Johnson enters the game for J. Embiid,,51-35,,
8:05.0,,,51-35,,Turnover by T. Warren (bad pass)
7:51.0,J. Bayless misses 2-pt shot at rim (block by T. Chandler),,51-35,,
7:48.0,,,51-35,,Defensive rebound by T. Warren
7:41.0,,,51-35,,T. Warren misses 2-pt shot from 9 ft
7:40.0,Defensive rebound by R. Covington,,51-35,,
7:40.0,Turnover by R. Covington (traveling),,51-35,,
7:34.0,Jump ball: D. Booker vs. R. Covington (B. Simmons gains possession),,,,Jump ball: D. Booker vs. R. Covington (B. Simmons gains possession)
7:34.0,,,51-35,,Turnover by T. Chandler (bad pass; steal by R. Covington)
7:33.0,Turnover by B. Simmons (bad pass),,51-35,,
7:23.0,,,51-35,,Offensive foul by D. Booker (drawn by R. Covington)
7:23.0,,,51-35,,Turnover by D. Booker (offensive foul)
7:08.0,Turnover by D. Saric (bad pass; steal by T. Ulis),,51-35,,
7:03.0,,,51-35,,T. Warren misses 2-pt shot from 12 ft
7:00.0,Defensive rebound by A. Johnson,,51-35,,
6:46.0,B. Simmons misses 2-pt shot from 9 ft,,51-35,,
6:44.0,,,51-35,,Defensive rebound by T. Ulis
6:37.0,,,51-35,,Turnover by D. Booker (bad pass)
6:27.0,J. Bayless makes 2-pt shot at rim (assist by A. Johnson),2,53-35,,
6:15.0,Personal foul by R. Covington (drawn by D. Booker),,53-35,,
6:15.0,,,53-35,,J. Dudley enters the game for D. Bender
6:05.0,,,53-35,,T. Chandler misses 2-pt shot from 1 ft
6:04.0,,,53-35,,Offensive rebound by T. Chandler
6:02.0,,,53-37,2,T. Chandler makes 2-pt shot from 1 ft
5:51.0,B. Simmons misses 2-pt shot from 17 ft,,53-37,,
5:48.0,,,53-37,,Defensive rebound by D. Booker
5:46.0,,,53-39,2,T. Warren makes 2-pt shot from 7 ft (assist by D. Booker)
5:46.0,Shooting block foul by J. Bayless (drawn by T. Warren),,53-39,,
5:46.0,,,53-39,,T. Warren misses free throw 1 of 1
5:46.0,Defensive rebound by B. Simmons,,53-39,,
5:46.0,Philadelphia full timeout,,53-39,,
5:46.0,T. McConnell enters the game for J. Bayless,,53-39,,
5:23.0,R. Covington misses 2-pt shot from 21 ft,,53-39,,
5:19.0,Offensive rebound by T. McConnell,,53-39,,
5:16.0,Turnover by T. McConnell (lost ball; steal by T. Ulis),,53-39,,
4:55.0,,,53-39,,D. Booker misses 2-pt shot from 12 ft
4:52.0,Defensive rebound by R. Covington,,53-39,,
4:45.0,Turnover by D. Saric (bad pass; steal by J. Dudley),,53-39,,
4:41.0,,,53-39,,D. Booker misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by R. Covington,,53-39,,
4:22.0,Shooting foul by T. Chandler (drawn by D. Saric),,53-39,,
4:22.0,D. Saric makes free throw 1 of 2,1,54-39,,
4:22.0,D. Saric makes free throw 2 of 2,1,55-39,,
4:09.0,Shooting block foul by R. Covington (drawn by D. Booker),,55-39,,
4:09.0,,,55-40,1,D. Booker makes free throw 1 of 2
4:09.0,,,55-40,,J. Jackson enters the game for T. Warren
4:09.0,J. Embiid enters the game for A. Johnson,,55-40,,
4:09.0,J. Redick enters the game for D. Saric,,55-40,,
4:09.0,T. Booker enters the game for R. Covington,,55-40,,
4:09.0,,,55-41,1,D. Booker makes free throw 2 of 2
3:59.0,J. Redick misses 3-pt shot from 25 ft,,55-41,,
3:55.0,Offensive rebound by T. Booker,,55-41,,
3:48.0,T. Booker makes 2-pt shot at rim (assist by T. McConnell),2,57-41,,
3:29.0,,,57-43,2,T. Chandler makes 2-pt shot at rim (assist by T. Ulis)
3:17.0,Turnover by J. Embiid (bad pass; steal by J. Jackson),,57-43,,
2:59.0,,,57-43,,J. Jackson misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by T. McConnell,,57-43,,
2:55.0,,,57-43,,Personal take foul by J. Dudley (drawn by B. Simmons)
