time,LA Lakers,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. B. Lopez (T. Harris gains possession),,,,Jump ball: D. Jordan vs. B. Lopez (T. Harris gains possession)
11:40.0,,,0-2,2,T. Harris makes 2-pt shot from 9 ft
11:13.0,J. Randle makes 2-pt shot from 2 ft,2,2-2,,
10:54.0,,,2-4,2,W. Johnson makes 2-pt shot from 18 ft (assist by A. Rivers)
10:54.0,,,2-4,,Shooting foul by A. Caruso (drawn by W. Johnson)
10:54.0,,,2-5,1,W. Johnson makes free throw 1 of 1
10:38.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,2-5,,
10:32.0,,,2-5,,Defensive rebound by A. Rivers
10:19.0,,,2-5,,A. Rivers misses 2-pt shot from 5 ft
10:19.0,Defensive rebound by Team,,2-5,,
10:14.0,A. Caruso makes 2-pt shot at rim,2,4-5,,
10:01.0,,,4-8,3,T. Harris makes 3-pt shot from 24 ft (assist by S. Thornwell)
9:51.0,LA Lakers full timeout,,4-8,,
9:51.0,A. Ingram enters the game for K. Caldwell-Pope,,4-8,,
9:47.0,J. Hart makes 3-pt shot from 23 ft (assist by B. Lopez),3,7-8,,
9:32.0,,,7-8,,A. Rivers misses 2-pt shot from 8 ft
9:28.0,Defensive rebound by B. Lopez,,7-8,,
9:20.0,B. Lopez makes 3-pt shot from 26 ft (assist by J. Randle),3,10-8,,
9:03.0,,,10-8,,Shooting foul by J. Randle (drawn by T. Harris)
9:03.0,,,10-9,1,T. Harris makes free throw 1 of 3
9:03.0,,,10-10,1,T. Harris makes free throw 2 of 3
9:03.0,,,10-11,1,T. Harris makes free throw 3 of 3
8:52.0,A. Ingram makes 2-pt shot from 13 ft (assist by J. Randle),2,12-11,,
8:42.0,,,12-13,2,W. Johnson makes 2-pt shot at rim (assist by A. Rivers)
8:28.0,A. Ingram misses 3-pt shot from 25 ft,,12-13,,
8:25.0,,,12-13,,Defensive rebound by D. Jordan
8:13.0,,,12-15,2,T. Harris makes 2-pt shot from 1 ft
7:57.0,B. Lopez makes 3-pt shot from 25 ft (assist by J. Hart),3,15-15,,
