time,Orlando,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. B. Biyombo (G. Dragic gains possession),,,,Jump ball: H. Whiteside vs. B. Biyombo (G. Dragic gains possession)
11:41.0,,,0-2,2,K. Olynyk makes 2-pt shot from 4 ft (assist by J. Richardson)
11:26.0,B. Biyombo misses 2-pt shot from 4 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by G. Dragic
11:16.0,,,0-2,,J. Richardson misses 3-pt shot from 23 ft
11:11.0,Defensive rebound by J. Simmons,,0-2,,
10:56.0,E. Fournier misses 2-pt shot from 2 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by H. Whiteside
10:38.0,,,0-2,,H. Whiteside misses 2-pt shot from 4 ft (block by B. Biyombo)
10:38.0,Defensive rebound by B. Biyombo,,0-2,,
10:32.0,E. Payton makes 2-pt shot from 2 ft,2,2-2,,
10:22.0,,,2-2,,Personal foul by H. Whiteside (drawn by J. Simmons)
10:22.0,,,2-2,,Turnover by H. Whiteside (turnover)
10:09.0,M. Hezonja makes 2-pt shot from 6 ft (assist by E. Fournier),2,4-2,,
9:48.0,,,4-2,,G. Dragic misses 2-pt shot from 5 ft
9:45.0,Defensive rebound by B. Biyombo,,4-2,,
9:41.0,B. Biyombo misses 2-pt shot from 3 ft,,4-2,,
9:38.0,,,4-2,,Defensive rebound by J. Richardson
9:32.0,Personal foul by E. Payton (drawn by J. Richardson),,4-2,,
9:24.0,,,4-4,2,J. Richardson makes 2-pt shot from 14 ft
9:08.0,E. Fournier makes 2-pt shot from 16 ft,2,6-4,,
8:53.0,,,6-4,,G. Dragic misses 3-pt shot from 25 ft
8:49.0,Defensive rebound by B. Biyombo,,6-4,,
8:38.0,B. Biyombo misses 2-pt shot from 7 ft,,6-4,,
8:31.0,,,6-4,,Defensive rebound by K. Olynyk
8:29.0,,,6-4,,G. Dragic misses 2-pt shot from 3 ft
8:25.0,Defensive rebound by B. Biyombo,,6-4,,
8:16.0,B. Biyombo misses 2-pt shot from 5 ft,,6-4,,
8:13.0,,,6-4,,Defensive rebound by H. Whiteside
8:07.0,,,6-4,,Shooting foul by B. Biyombo (drawn by T. Johnson)
8:07.0,,,6-5,1,T. Johnson makes free throw 1 of 2
8:07.0,,,6-6,1,T. Johnson makes free throw 2 of 2
8:02.0,E. Fournier makes 2-pt shot from 7 ft,2,8-6,,
7:46.0,,,8-8,2,T. Johnson makes 2-pt shot from 20 ft
7:28.0,E. Payton misses 2-pt shot from 16 ft,,8-8,,
7:24.0,,,8-8,,Defensive rebound by K. Olynyk
7:18.0,,,8-10,2,J. Richardson makes 2-pt shot from 16 ft
7:00.0,M. Hezonja misses 3-pt shot from 26 ft,,8-10,,
6:48.0,,,8-10,,Defensive rebound by H. Whiteside
6:44.0,,,8-12,2,K. Olynyk makes 2-pt shot from 3 ft
6:34.0,E. Payton misses 2-pt shot from 7 ft,,8-12,,
6:31.0,,,8-12,,Defensive rebound by K. Olynyk
6:26.0,,,8-12,,Turnover by G. Dragic (out of bounds lost ball)
6:26.0,,,8-12,,Miami full timeout
6:26.0,,,8-12,,B. Adebayo enters the game for H. Whiteside
6:26.0,,,8-12,,W. Ellington enters the game for G. Dragic
6:22.0,Turnover by M. Hezonja (bad pass; steal by J. Richardson),,8-12,,
6:18.0,,,8-12,,W. Ellington misses 3-pt shot from 25 ft
6:15.0,Defensive rebound by M. Hezonja,,8-12,,
6:02.0,Turnover by J. Simmons (lost ball; steal by W. Ellington),,8-12,,
5:54.0,,,8-12,,K. Olynyk misses 3-pt shot from 27 ft
5:53.0,,,8-12,,Offensive rebound by J. Richardson
5:52.0,,,8-12,,J. Richardson misses 2-pt shot from 2 ft
5:51.0,,,8-12,,Offensive rebound by J. Richardson
5:51.0,,,8-12,,T. Johnson misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by Team,,8-12,,
5:45.0,,,8-12,,Personal foul by K. Olynyk (drawn by B. Biyombo)
5:31.0,E. Fournier misses 2-pt shot from 2 ft,,8-12,,
5:28.0,,,8-12,,Defensive rebound by J. Richardson
5:11.0,,,8-12,,K. Olynyk misses 2-pt shot from 6 ft
5:07.0,Defensive rebound by B. Biyombo,,8-12,,
5:03.0,E. Payton makes 2-pt shot from 7 ft,2,10-12,,
4:44.0,,,10-14,2,K. Olynyk makes 2-pt shot from 3 ft (assist by T. Johnson)
4:34.0,M. Hezonja misses 3-pt shot from 26 ft,,10-14,,
4:31.0,Offensive rebound by B. Biyombo,,10-14,,
4:30.0,B. Biyombo misses 2-pt shot from 2 ft (block by T. Johnson),,10-14,,
4:30.0,Offensive rebound by J. Simmons,,10-14,,
4:30.0,,,10-14,,Personal foul by J. Richardson (drawn by J. Simmons)
4:30.0,J. Isaac enters the game for M. Hezonja,,10-14,,
4:30.0,A. Afflalo enters the game for E. Fournier,,10-14,,
4:30.0,,,10-14,,D. Walton enters the game for J. Richardson
4:28.0,Offensive charge foul by J. Simmons (drawn by T. Johnson),,10-14,,
4:28.0,Turnover by J. Simmons (offensive foul),,10-14,,
4:07.0,,,10-16,2,B. Adebayo makes 2-pt shot from 6 ft (assist by T. Johnson)
3:45.0,J. Simmons misses 2-pt shot from 4 ft,,10-16,,
3:38.0,Offensive rebound by J. Simmons,,10-16,,
