time,LA Clippers,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Olynyk vs. D. Jordan (L. Williams gains possession),,,,Jump ball: K. Olynyk vs. D. Jordan (L. Williams gains possession)
11:40.0,Turnover by W. Johnson (out of bounds lost ball),,0-0,,
11:21.0,,,0-2,2,J. Johnson makes 2-pt shot from 1 ft
11:21.0,,,0-2,,Shooting foul by D. Jordan (drawn by J. Johnson)
11:21.0,,,0-3,1,J. Johnson makes free throw 1 of 1
11:14.0,W. Johnson misses 2-pt shot from 1 ft (block by D. Waiters),,0-3,,
11:10.0,,,0-3,,Defensive rebound by J. Johnson
11:05.0,,,0-5,2,D. Waiters makes 2-pt shot from 1 ft
10:52.0,L. Williams misses 3-pt shot from 26 ft,,0-5,,
10:46.0,Offensive rebound by D. Jordan,,0-5,,
10:44.0,D. Jordan makes 2-pt shot from 1 ft (assist by W. Johnson),2,2-5,,
10:23.0,,,2-5,,K. Olynyk misses 2-pt shot from 16 ft (block by J. Wilson)
10:22.0,,,2-5,,Offensive rebound by Team
10:14.0,,,2-5,,J. Johnson misses 3-pt shot from 24 ft
10:11.0,Defensive rebound by J. Wilson,,2-5,,
10:05.0,W. Johnson misses 3-pt shot from 22 ft,,2-5,,
10:02.0,,,2-5,,Defensive rebound by G. Dragic
9:53.0,,,2-5,,G. Dragic misses 2-pt shot from 15 ft
9:51.0,Defensive rebound by D. Jordan,,2-5,,
9:47.0,,,2-5,,Personal foul by K. Olynyk (drawn by L. Williams)
9:47.0,Offensive foul by L. Williams (drawn by J. Richardson),,2-5,,
9:47.0,Turnover by L. Williams (offensive foul),,2-5,,
9:22.0,,,2-5,,K. Olynyk misses 2-pt shot from 13 ft
9:19.0,Defensive rebound by D. Jordan,,2-5,,
9:10.0,W. Johnson makes 2-pt shot at rim,2,4-5,,
8:57.0,,,4-5,,Turnover by J. Richardson (bad pass)
8:46.0,M. Teodosic misses 2-pt shot from 2 ft (block by G. Dragic),,4-5,,
8:42.0,,,4-5,,Defensive rebound by J. Johnson
8:39.0,,,4-5,,Turnover by J. Johnson (bad pass; steal by W. Johnson)
8:35.0,M. Teodosic misses 3-pt shot from 27 ft,,4-5,,
8:30.0,,,4-5,,Defensive rebound by K. Olynyk
8:16.0,,,4-8,3,J. Richardson makes 3-pt shot from 25 ft (assist by J. Johnson)
8:01.0,L. Williams misses 2-pt shot from 1 ft (block by J. Richardson),,4-8,,
7:56.0,,,4-8,,Defensive rebound by D. Waiters
7:56.0,,,4-8,,Shooting foul by J. Wilson (drawn by D. Waiters)
7:56.0,,,4-9,1,D. Waiters makes free throw 1 of 2
7:56.0,S. Dekker enters the game for J. Wilson,,4-9,,
7:56.0,,,4-10,1,D. Waiters makes free throw 2 of 2
7:37.0,Turnover by L. Williams (bad pass; steal by K. Olynyk),,4-10,,
7:28.0,,,4-10,,J. Johnson misses 3-pt shot from 24 ft
7:25.0,Defensive rebound by S. Dekker,,4-10,,
7:16.0,D. Jordan misses 2-pt shot from 4 ft,,4-10,,
7:14.0,,,4-10,,Defensive rebound by J. Johnson
7:02.0,,,4-10,,K. Olynyk misses 3-pt shot from 23 ft
6:59.0,Defensive rebound by S. Dekker,,4-10,,
6:51.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,6-10,,
6:40.0,,,6-12,2,G. Dragic makes 2-pt shot from 1 ft
6:40.0,,,6-12,,Shooting foul by W. Johnson (drawn by G. Dragic)
6:40.0,,,6-12,,Miami full timeout
6:40.0,J. Evans enters the game for M. Teodosic,,6-12,,
6:40.0,,,6-13,1,G. Dragic makes free throw 1 of 1
6:17.0,J. Evans misses 2-pt shot from 5 ft,,6-13,,
6:16.0,,,6-13,,Defensive rebound by G. Dragic
6:15.0,Personal foul by J. Evans (drawn by G. Dragic),,6-13,,
6:15.0,,,6-13,,B. Adebayo enters the game for J. Johnson
6:00.0,,,6-15,2,B. Adebayo makes 2-pt shot from 2 ft (assist by G. Dragic)
5:49.0,L. Williams misses 2-pt shot from 15 ft,,6-15,,
5:47.0,Offensive rebound by D. Jordan,,6-15,,
5:47.0,D. Jordan makes 2-pt shot at rim,2,8-15,,
5:32.0,,,8-18,3,G. Dragic makes 3-pt shot from 25 ft (assist by D. Waiters)
5:15.0,S. Dekker misses 3-pt shot from 24 ft,,8-18,,
5:12.0,,,8-18,,Defensive rebound by D. Waiters
5:05.0,,,8-18,,G. Dragic misses 3-pt shot from 26 ft
5:03.0,Defensive rebound by S. Dekker,,8-18,,
4:41.0,J. Evans makes 3-pt shot from 26 ft,3,11-18,,
4:22.0,,,11-18,,Shooting foul by J. Evans (drawn by G. Dragic)
4:22.0,,,11-18,,G. Dragic misses free throw 1 of 2
4:22.0,,,11-18,,Offensive rebound by Team
4:22.0,,,11-18,,T. Johnson enters the game for J. Richardson
4:22.0,C. Williams enters the game for W. Johnson,,11-18,,
4:22.0,,,11-18,,G. Dragic misses free throw 2 of 2
4:19.0,Defensive rebound by D. Jordan,,11-18,,
3:58.0,Turnover by Team (shot clock),,11-18,,
3:49.0,,,11-18,,T. Johnson misses 2-pt shot from 21 ft
3:48.0,Defensive rebound by D. Jordan,,11-18,,
3:35.0,C. Williams makes 2-pt shot from 16 ft,2,13-18,,
3:32.0,Personal foul by C. Williams (drawn by D. Waiters),,13-18,,
3:32.0,,,13-18,,D. Waiters misses free throw 1 of 2
3:32.0,,,13-18,,Offensive rebound by Team
3:32.0,,,13-19,1,D. Waiters makes free throw 2 of 2
3:15.0,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams),2,15-19,,
2:51.0,,,15-19,,D. Waiters misses 3-pt shot from 22 ft
2:47.0,Defensive rebound by S. Dekker,,15-19,,
2:42.0,L. Williams misses 2-pt shot from 7 ft,,15-19,,
2:41.0,Offensive rebound by Team,,15-19,,
2:41.0,,,15-19,,Loose ball foul by G. Dragic (drawn by D. Jordan)
2:41.0,LA Clippers full timeout,,15-19,,
2:41.0,,,15-19,,W. Ellington enters the game for D. Waiters
2:30.0,Turnover by L. Williams (bad pass; steal by K. Olynyk),,15-19,,
2:23.0,,,15-19,,B. Adebayo misses 2-pt shot from 1 ft
2:21.0,,,15-19,,Offensive rebound by B. Adebayo
2:19.0,,,15-22,3,W. Ellington makes 3-pt shot from 25 ft (assist by B. Adebayo)
1:56.0,L. Williams misses 3-pt shot from 25 ft,,15-22,,
1:53.0,,,15-22,,Defensive rebound by K. Olynyk
1:37.0,,,15-22,,T. Johnson misses 3-pt shot from 23 ft
1:35.0,Defensive rebound by D. Jordan,,15-22,,
1:22.0,Shooting foul by G. Dragic (drawn by D. Jordan),,15-22,,
1:22.0,D. Jordan misses free throw 1 of 2,,15-22,,
1:22.0,Offensive rebound by Team,,15-22,,
1:22.0,,,15-22,,J. Mickey enters the game for K. Olynyk
1:22.0,S. Thornwell enters the game for L. Williams,,15-22,,
1:22.0,D. Jordan misses free throw 2 of 2,,15-22,,
1:22.0,,,15-22,,J. Richardson enters the game for G. Dragic
1:14.0,,,15-22,,Offensive rebound by W. Ellington
1:00.0,,,15-24,2,J. Richardson makes 2-pt shot from 4 ft
0:43.0,J. Evans makes 2-pt shot from 1 ft,2,17-24,,
0:31.0,,,17-24,,W. Ellington misses 3-pt shot from 26 ft
0:28.0,Defensive rebound by D. Jordan,,17-24,,
0:08.0,C. Williams misses 3-pt shot from 25 ft,,17-24,,
0:04.0,,,17-24,,Defensive rebound by Team
0:04.0,M. Harrell enters the game for D. Jordan,,17-24,,
0:04.0,W. Johnson enters the game for J. Evans,,17-24,,
0:00.0,,,17-24,,T. Johnson misses 3-pt shot from 28 ft
0:00.0,,,17-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,17-24,,J. Richardson misses 3-pt shot from 24 ft
11:40.0,,,17-24,,Offensive rebound by Team
11:36.0,,,17-24,,W. Ellington misses 3-pt shot from 24 ft
11:33.0,,,17-24,,Offensive rebound by B. Adebayo
11:28.0,,,17-24,,T. Johnson misses 3-pt shot from 26 ft
11:26.0,Defensive rebound by S. Thornwell,,17-24,,
11:06.0,C. Williams makes 2-pt shot from 4 ft,2,19-24,,
10:42.0,,,19-24,,T. Johnson misses 2-pt shot from 17 ft
10:39.0,Defensive rebound by C. Williams,,19-24,,
10:20.0,M. Harrell makes 2-pt shot from 1 ft,2,21-24,,
9:55.0,,,21-24,,W. Ellington misses 2-pt shot from 8 ft
9:52.0,Defensive rebound by S. Thornwell,,21-24,,
9:38.0,M. Harrell misses 2-pt shot from 5 ft,,21-24,,
9:34.0,,,21-24,,Defensive rebound by T. Johnson
9:20.0,,,21-24,,W. Ellington misses 3-pt shot from 23 ft
9:18.0,Defensive rebound by S. Dekker,,21-24,,
9:07.0,S. Dekker misses 2-pt shot from 2 ft,,21-24,,
9:07.0,Offensive rebound by M. Harrell,,21-24,,
9:03.0,M. Harrell makes 2-pt shot from 1 ft,2,23-24,,
8:38.0,,,23-24,,B. Adebayo misses 2-pt shot from 3 ft
8:36.0,,,23-24,,Offensive rebound by B. Adebayo
8:34.0,,,23-24,,B. Adebayo misses 2-pt shot from 2 ft (block by M. Harrell)
8:31.0,Defensive rebound by J. Evans,,23-24,,
8:28.0,J. Evans misses 2-pt shot from 2 ft (block by J. Richardson),,23-24,,
8:25.0,,,23-24,,Defensive rebound by T. Johnson
8:19.0,,,23-27,3,W. Ellington makes 3-pt shot from 24 ft (assist by J. Richardson)
8:18.0,LA Clippers full timeout,,23-27,,
8:18.0,,,23-27,,K. Olynyk enters the game for B. Adebayo
8:18.0,W. Reed enters the game for S. Dekker,,23-27,,
8:18.0,M. Teodosic enters the game for J. Evans,,23-27,,
8:00.0,M. Harrell makes 2-pt shot from 1 ft (assist by M. Teodosic),2,25-27,,
7:41.0,,,25-30,3,J. Richardson makes 3-pt shot from 24 ft (assist by T. Johnson)
7:16.0,M. Harrell makes 2-pt shot from 1 ft,2,27-30,,
6:53.0,,,27-32,2,J. Mickey makes 2-pt shot from 1 ft (assist by K. Olynyk)
6:53.0,,,27-32,,Shooting foul by M. Harrell (drawn by J. Mickey)
6:53.0,L. Williams enters the game for C. Williams,,27-32,,
6:53.0,,,27-33,1,J. Mickey makes free throw 1 of 1
6:38.0,W. Reed makes 2-pt shot from 1 ft (assist by L. Williams),2,29-33,,
6:25.0,,,29-35,2,J. Richardson makes 2-pt shot from 17 ft
6:13.0,L. Williams misses 2-pt shot from 1 ft (block by J. Mickey),,29-35,,
6:11.0,,,29-35,,Defensive rebound by T. Johnson
6:09.0,,,29-37,2,W. Ellington makes 2-pt shot from 1 ft (assist by T. Johnson)
5:54.0,M. Harrell makes 2-pt shot at rim (assist by M. Teodosic),2,31-37,,
5:46.0,,,31-37,,Miami full timeout
5:46.0,,,31-37,,D. Waiters enters the game for J. Richardson
5:46.0,,,31-37,,G. Dragic enters the game for W. Ellington
5:29.0,,,31-37,,Turnover by Team (shot clock)
5:10.0,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams),2,33-37,,
4:48.0,,,33-39,2,G. Dragic makes 2-pt shot from 1 ft (assist by J. Mickey)
4:30.0,L. Williams misses 2-pt shot from 14 ft,,33-39,,
4:27.0,,,33-39,,Defensive rebound by K. Olynyk
4:27.0,Personal foul by M. Teodosic (drawn by G. Dragic),,33-39,,
