time,Atlanta,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. M. Plumlee (K. Bazemore gains possession),,,,Jump ball: J. Valanciunas vs. M. Plumlee (K. Bazemore gains possession)
11:40.0,M. Plumlee makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,2-0,,
11:20.0,,,2-0,,C. Miles misses 2-pt shot from 10 ft
11:19.0,,,2-0,,Offensive rebound by Team
11:11.0,,,2-2,2,D. DeRozan makes 2-pt shot from 14 ft (assist by K. Lowry)
10:56.0,Turnover by K. Bazemore (bad pass; steal by J. Valanciunas),,2-2,,
10:52.0,,,2-2,,C. Miles misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by T. Waller-Prince,,2-2,,
10:35.0,D. Schroder makes 2-pt shot from 16 ft,2,4-2,,
10:23.0,,,4-2,,D. DeRozan misses 3-pt shot from 26 ft
10:21.0,Defensive rebound by E. Ilyasova,,4-2,,
10:14.0,D. Schroder misses 2-pt shot from 13 ft,,4-2,,
10:11.0,,,4-2,,Defensive rebound by J. Valanciunas
10:08.0,Personal block foul by D. Schroder (drawn by D. DeRozan),,4-2,,
9:59.0,,,4-4,2,J. Valanciunas makes 2-pt shot from 7 ft
9:45.0,D. Schroder misses 2-pt shot from 3 ft,,4-4,,
9:41.0,,,4-4,,Defensive rebound by K. Lowry
9:38.0,,,4-4,,C. Miles misses 2-pt shot at rim
9:36.0,Defensive rebound by T. Waller-Prince,,4-4,,
9:29.0,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder),3,7-4,,
9:19.0,,,7-7,3,C. Miles makes 3-pt shot from 23 ft (assist by O. Anunoby)
9:00.0,Offensive foul by M. Plumlee (drawn by O. Anunoby),,7-7,,
9:00.0,Turnover by M. Plumlee (offensive foul),,7-7,,
8:45.0,,,7-7,,K. Lowry misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by K. Bazemore,,7-7,,
