time,Brooklyn,pts.away,score,pts.home,Minnesota
4:33.0,J. Allen makes 2-pt shot at rim,2,85-98,,
4:17.0,,,85-98,,Shooting foul by J. Harris (drawn by J. Butler)
4:17.0,,,85-99,1,J. Butler makes free throw 1 of 3
4:17.0,,,85-100,1,J. Butler makes free throw 2 of 3
4:17.0,J. Okafor enters the game for J. Allen,,85-100,,
4:17.0,,,85-101,1,J. Butler makes free throw 3 of 3
4:01.0,I. Whitehead makes 3-pt shot from 25 ft (assist by J. Webb),3,88-101,,
3:41.0,,,88-101,,K. Towns misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by I. Whitehead,,88-101,,
3:34.0,J. Okafor makes 2-pt shot at rim (assist by I. Whitehead),2,90-101,,
3:27.0,,,90-101,,Minnesota full timeout
3:18.0,,,90-101,,J. Butler misses 2-pt shot from 21 ft
3:18.0,Defensive rebound by I. Whitehead,,90-101,,
3:09.0,J. Okafor makes 2-pt shot from 6 ft (assist by N. Stauskas),2,92-101,,
2:51.0,,,92-103,2,A. Wiggins makes 2-pt shot from 1 ft (assist by T. Jones)
2:32.0,I. Whitehead makes 3-pt shot from 25 ft,3,95-103,,
2:08.0,,,95-105,2,A. Wiggins makes 2-pt shot from 4 ft (assist by T. Jones)
1:52.0,J. Okafor makes 2-pt shot from 5 ft,2,97-105,,
1:36.0,,,97-105,,T. Jones misses 3-pt shot from 24 ft
1:33.0,,,97-105,,Offensive rebound by K. Towns
1:19.0,,,97-105,,Shooting foul by J. Harris (drawn by J. Butler)
1:19.0,,,97-106,1,J. Butler makes free throw 1 of 2
1:19.0,,,97-107,1,J. Butler makes free throw 2 of 2
1:10.0,I. Whitehead misses 2-pt shot from 13 ft,,97-107,,
1:07.0,,,97-107,,Defensive rebound by K. Towns
0:47.0,,,97-109,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Butler)
0:38.0,J. Webb misses 3-pt shot from 22 ft,,97-109,,
0:34.0,,,97-109,,Defensive rebound by A. Wiggins
0:18.0,,,97-109,,Shooting foul by J. Okafor (drawn by J. Butler)
0:18.0,,,97-110,1,J. Butler makes free throw 1 of 2
0:18.0,,,97-110,,M. Georges-Hunt enters the game for A. Wiggins
0:18.0,,,97-110,,A. Brooks enters the game for K. Towns
0:18.0,,,97-111,1,J. Butler makes free throw 2 of 2
0:07.0,I. Whitehead misses 2-pt shot from 1 ft,,97-111,,
0:04.0,,,97-111,,Defensive rebound by T. Jones
