time,Brooklyn,pts.away,score,pts.home,Minnesota
1:15.0,,,11-24,,N. Bjelica enters the game for T. Gibson
1:06.0,Personal foul by J. Allen (drawn by G. Dieng),,11-24,,
1:06.0,,,11-25,1,G. Dieng makes free throw 1 of 2
1:06.0,,,11-26,1,G. Dieng makes free throw 2 of 2
0:47.0,J. Okafor misses 2-pt shot from 6 ft,,11-26,,
0:44.0,,,11-26,,Defensive rebound by A. Wiggins
0:37.0,,,11-28,2,A. Wiggins makes 2-pt shot from 11 ft
0:22.0,J. Okafor misses 2-pt shot from 9 ft,,11-28,,
0:19.0,,,11-28,,Defensive rebound by N. Bjelica
0:02.0,,,11-28,,Shooting foul by A. Crabbe (drawn by J. Crawford)
0:02.0,,,11-29,1,J. Crawford makes free throw 1 of 2
0:02.0,,,11-29,,M. Georges-Hunt enters the game for A. Wiggins
0:02.0,,,11-30,1,J. Crawford makes free throw 2 of 2
0:01.0,Turnover by J. Allen (bad pass; steal by G. Dieng),,11-30,,
0:00.0,,,11-30,,G. Dieng misses 3-pt shot from 33 ft
0:00.0,,,11-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by Q. Acy (lost ball; steal by N. Bjelica),,11-30,,
11:32.0,,,11-33,3,J. Crawford makes 3-pt shot from 25 ft
11:20.0,Turnover by Q. Acy (bad pass; steal by T. Jones),,11-33,,
11:15.0,,,11-35,2,N. Bjelica makes 2-pt shot at rim (assist by T. Jones)
10:51.0,N. Stauskas misses 3-pt shot from 24 ft,,11-35,,
10:49.0,,,11-35,,Defensive rebound by N. Bjelica
10:39.0,,,11-35,,J. Crawford misses 3-pt shot from 27 ft
10:36.0,Defensive rebound by N. Stauskas,,11-35,,
10:29.0,Q. Acy misses 3-pt shot from 25 ft,,11-35,,
10:27.0,,,11-35,,Defensive rebound by J. Crawford
10:19.0,,,11-37,2,J. Crawford makes 2-pt shot from 12 ft
10:06.0,J. Okafor makes 2-pt shot from 1 ft (assist by N. Stauskas),2,13-37,,
10:06.0,Shooting foul by M. Georges-Hunt (drawn by J. Okafor),,13-37,,
10:06.0,S. Dinwiddie enters the game for J. Harris,,13-37,,
10:06.0,J. Okafor makes free throw 1 of 1,1,14-37,,
9:55.0,,,14-37,,Turnover by J. Crawford (bad pass; steal by N. Stauskas)
9:48.0,N. Stauskas makes 2-pt shot from 16 ft,2,16-37,,
9:29.0,,,16-37,,N. Bjelica misses 2-pt shot from 16 ft
9:27.0,Defensive rebound by Team,,16-37,,
9:14.0,A. Crabbe makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,19-37,,
9:14.0,,,19-37,,Minnesota full timeout
9:14.0,,,19-37,,J. Teague enters the game for T. Jones
9:14.0,,,19-37,,J. Butler enters the game for G. Dieng
9:14.0,,,19-37,,K. Towns enters the game for M. Georges-Hunt
8:57.0,,,19-39,2,J. Crawford makes 2-pt shot from 21 ft
8:32.0,J. Okafor makes 2-pt shot from 10 ft (assist by Q. Acy),2,21-39,,
8:19.0,,,21-39,,K. Towns misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by Q. Acy,,21-39,,
8:06.0,Q. Acy misses 3-pt shot from 21 ft,,21-39,,
8:03.0,,,21-39,,Defensive rebound by J. Butler
7:56.0,,,21-39,,Shooting foul by J. Okafor (drawn by J. Butler)
7:56.0,,,21-40,1,J. Butler makes free throw 1 of 2
7:56.0,,,21-41,1,J. Butler makes free throw 2 of 2
7:42.0,Q. Acy misses 3-pt shot from 23 ft,,21-41,,
7:38.0,,,21-41,,Defensive rebound by K. Towns
7:29.0,,,21-41,,J. Teague misses 2-pt shot from 21 ft
7:28.0,Defensive rebound by A. Crabbe,,21-41,,
7:19.0,J. Okafor makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,23-41,,
7:04.0,,,23-41,,K. Towns misses 2-pt shot from 5 ft (block by J. Okafor)
7:00.0,,,23-41,,Offensive rebound by N. Bjelica
7:00.0,,,23-43,2,N. Bjelica makes 2-pt shot at rim
6:42.0,J. Okafor misses 2-pt shot from 6 ft,,23-43,,
6:41.0,,,23-43,,Defensive rebound by N. Bjelica
6:33.0,,,23-43,,J. Crawford misses 2-pt shot from 10 ft
6:30.0,Defensive rebound by J. Okafor,,23-43,,
6:21.0,A. Crabbe makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,26-43,,
6:02.0,,,26-43,,A. Wiggins enters the game for J. Crawford
6:02.0,D. Carroll enters the game for N. Stauskas,,26-43,,
6:02.0,,,26-43,,T. Gibson enters the game for N. Bjelica
6:02.0,J. Harris enters the game for A. Crabbe,,26-43,,
5:52.0,Jump ball: K. Towns vs. J. Okafor (T. Gibson gains possession),,,,Jump ball: K. Towns vs. J. Okafor (T. Gibson gains possession)
5:50.0,,,26-43,,T. Gibson misses 3-pt shot from 23 ft
5:48.0,,,26-43,,Offensive rebound by Team
5:48.0,,,26-43,,Turnover by Team (shot clock)
5:27.0,S. Dinwiddie misses 3-pt shot from 25 ft,,26-43,,
5:24.0,,,26-43,,Defensive rebound by K. Towns
5:04.0,,,26-43,,J. Butler misses 2-pt shot from 8 ft
5:01.0,Defensive rebound by J. Okafor,,26-43,,
4:51.0,D. Carroll misses 3-pt shot from 25 ft,,26-43,,
4:48.0,,,26-43,,Defensive rebound by K. Towns
4:39.0,,,26-45,2,J. Butler makes 2-pt shot from 5 ft
4:36.0,Brooklyn full timeout,,26-45,,
4:36.0,N. Stauskas enters the game for J. Okafor,,26-45,,
4:36.0,T. Zeller enters the game for Q. Acy,,26-45,,
4:11.0,T. Zeller makes 2-pt shot from 3 ft (assist by J. Harris),2,28-45,,
3:49.0,,,28-45,,J. Butler misses 2-pt shot from 9 ft
3:46.0,,,28-45,,Offensive rebound by K. Towns
3:46.0,,,28-47,2,K. Towns makes 2-pt shot from 4 ft
3:23.0,J. Harris misses 2-pt shot from 4 ft,,28-47,,
3:20.0,,,28-47,,Defensive rebound by K. Towns
3:15.0,,,28-47,,Turnover by J. Teague (step out of bounds)
3:06.0,T. Zeller makes 2-pt shot from 3 ft (assist by S. Dinwiddie),2,30-47,,
3:06.0,Shooting foul by J. Butler (drawn by T. Zeller),,30-47,,
3:06.0,T. Zeller misses free throw 1 of 1,,30-47,,
3:03.0,,,30-47,,Defensive rebound by T. Gibson
2:57.0,,,30-47,,Shooting foul by N. Stauskas (drawn by A. Wiggins)
2:57.0,,,30-47,,A. Wiggins misses free throw 1 of 2
2:57.0,,,30-47,,Offensive rebound by Team
2:57.0,,,30-48,1,A. Wiggins makes free throw 2 of 2
2:39.0,D. Carroll misses 2-pt shot from 5 ft,,30-48,,
2:37.0,,,30-48,,Defensive rebound by J. Teague
2:30.0,,,30-48,,K. Towns misses 2-pt shot from 1 ft
2:28.0,,,30-48,,Offensive rebound by K. Towns
2:26.0,,,30-48,,K. Towns misses 2-pt shot from 2 ft (block by D. Carroll)
2:26.0,Defensive rebound by N. Stauskas,,30-48,,
2:18.0,J. Harris makes 2-pt shot at rim (assist by D. Carroll),2,32-48,,
2:10.0,,,32-48,,A. Wiggins misses 2-pt shot from 4 ft
2:08.0,Defensive rebound by D. Carroll,,32-48,,
2:05.0,Shooting foul by T. Gibson (drawn by D. Carroll),,32-48,,
2:05.0,D. Carroll makes free throw 1 of 2,1,33-48,,
2:05.0,D. Carroll makes free throw 2 of 2,1,34-48,,
1:57.0,,,34-48,,A. Wiggins misses 3-pt shot from 25 ft
1:54.0,,,34-48,,Offensive rebound by K. Towns
