time,Philadelphia,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Zizic vs. A. Johnson (B. Simmons gains possession),,,,Jump ball: A. Zizic vs. A. Johnson (B. Simmons gains possession)
11:45.0,R. Covington makes 3-pt shot from 25 ft (assist by D. Saric),3,3-0,,
11:23.0,,,3-0,,Turnover by L. James (bad pass; steal by A. Johnson)
11:17.0,B. Simmons makes 2-pt shot at rim (assist by J. Redick),2,5-0,,
11:03.0,,,5-0,,J. Calderon misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by B. Simmons,,5-0,,
10:47.0,Turnover by B. Simmons (traveling),,5-0,,
10:25.0,,,5-0,,L. James misses 2-pt shot from 17 ft
10:22.0,Defensive rebound by R. Covington,,5-0,,
10:16.0,,,5-0,,Personal foul by L. James (drawn by A. Johnson)
10:09.0,,,5-0,,Personal foul by J. Crowder (drawn by A. Johnson)
9:54.0,B. Simmons makes 2-pt shot from 9 ft,2,7-0,,
9:41.0,,,7-0,,Turnover by L. James (lost ball; steal by J. Redick)
9:35.0,J. Redick misses 3-pt shot from 25 ft,,7-0,,
9:32.0,Offensive rebound by D. Saric,,7-0,,
9:30.0,D. Saric misses 2-pt shot from 14 ft,,7-0,,
9:30.0,,,7-0,,Defensive rebound by Team
9:30.0,Loose ball foul by J. Redick (drawn by A. Zizic),,7-0,,
9:18.0,,,7-3,3,J. Smith makes 3-pt shot from 27 ft (assist by A. Zizic)
9:06.0,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons),2,9-3,,
8:44.0,,,9-3,,J. Crowder misses 3-pt shot from 22 ft
8:42.0,Defensive rebound by B. Simmons,,9-3,,
8:37.0,Turnover by D. Saric (bad pass; steal by J. Crowder),,9-3,,
8:27.0,,,9-3,,A. Zizic misses 2-pt shot from 14 ft
8:24.0,Defensive rebound by D. Saric,,9-3,,
8:13.0,D. Saric misses 3-pt shot from 28 ft,,9-3,,
8:10.0,,,9-3,,Defensive rebound by A. Zizic
8:03.0,,,9-3,,Turnover by J. Calderon (bad pass)
7:50.0,B. Simmons makes 2-pt shot at rim,2,11-3,,
7:30.0,,,11-3,,Turnover by L. James (lost ball; steal by J. Redick)
7:22.0,R. Covington makes 2-pt shot at rim (assist by B. Simmons),2,13-3,,
7:22.0,,,13-3,,Cleveland full timeout
7:22.0,,,13-3,,J. Green enters the game for A. Zizic
7:01.0,,,13-5,2,L. James makes 2-pt shot from 1 ft
6:49.0,B. Simmons misses 2-pt shot from 15 ft,,13-5,,
6:46.0,,,13-5,,Defensive rebound by J. Calderon
6:29.0,,,13-5,,L. James misses 3-pt shot from 25 ft
6:25.0,,,13-5,,Offensive rebound by J. Crowder
6:22.0,,,13-7,2,L. James makes 2-pt shot from 1 ft (assist by J. Smith)
6:07.0,D. Saric makes 2-pt shot at rim,2,15-7,,
5:45.0,,,15-7,,J. Green misses 2-pt shot from 20 ft
5:44.0,Defensive rebound by D. Saric,,15-7,,
5:33.0,Turnover by R. Covington (bad pass; steal by J. Green),,15-7,,
5:28.0,,,15-7,,Turnover by J. Smith (bad pass; steal by R. Covington)
5:16.0,R. Covington makes 3-pt shot from 25 ft (assist by D. Saric),3,18-7,,
4:51.0,,,18-9,2,J. Green makes 2-pt shot from 2 ft (assist by L. James)
4:40.0,Offensive foul by A. Johnson (drawn by J. Crowder),,18-9,,
4:40.0,Turnover by A. Johnson (offensive foul),,18-9,,
4:40.0,,,18-9,,D. Wade enters the game for J. Calderon
4:40.0,J. Bayless enters the game for A. Johnson,,18-9,,
4:40.0,R. Holmes enters the game for D. Saric,,18-9,,
4:40.0,T. Booker enters the game for J. Redick,,18-9,,
4:40.0,T. Luwawu-Cabarrot enters the game for R. Covington,,18-9,,
4:28.0,,,18-9,,L. James misses 2-pt shot from 14 ft
4:26.0,Defensive rebound by B. Simmons,,18-9,,
4:21.0,R. Holmes makes 2-pt shot at rim (assist by B. Simmons),2,20-9,,
4:04.0,,,20-11,2,J. Crowder makes 2-pt shot from 1 ft (assist by L. James)
3:49.0,B. Simmons misses 2-pt shot from 3 ft (block by J. Crowder),,20-11,,
3:47.0,,,20-11,,Defensive rebound by L. James
3:45.0,,,20-11,,Turnover by L. James (bad pass; steal by B. Simmons)
3:45.0,,,20-11,,Personal foul by J. Green (drawn by B. Simmons)
3:33.0,T. Booker misses 2-pt shot from 15 ft,,20-11,,
3:29.0,,,20-11,,Defensive rebound by L. James
3:17.0,,,20-11,,Shooting foul by R. Holmes (drawn by L. James)
3:17.0,,,20-12,1,L. James makes free throw 1 of 2
3:17.0,,,20-13,1,L. James makes free throw 2 of 2
3:17.0,Philadelphia full timeout,,20-13,,
3:17.0,,,20-13,,K. Korver enters the game for J. Smith
3:17.0,J. Redick enters the game for B. Simmons,,20-13,,
2:59.0,R. Holmes misses 2-pt shot from 2 ft,,20-13,,
2:56.0,Offensive rebound by T. Booker,,20-13,,
2:51.0,R. Holmes misses 2-pt shot from 10 ft,,20-13,,
2:48.0,,,20-13,,Defensive rebound by J. Crowder
2:37.0,,,20-15,2,J. Green makes 2-pt shot from 1 ft (assist by K. Korver)
2:12.0,R. Holmes misses 3-pt shot from 26 ft,,20-15,,
2:10.0,,,20-15,,Defensive rebound by J. Crowder
2:02.0,,,20-15,,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Wade)
2:02.0,,,20-15,,D. Wade misses free throw 1 of 2
2:02.0,,,20-15,,Offensive rebound by Team
2:02.0,,,20-15,,C. Osman enters the game for L. James
2:02.0,,,20-15,,C. Frye enters the game for J. Crowder
2:02.0,,,20-16,1,D. Wade makes free throw 2 of 2
1:53.0,J. Bayless misses 2-pt shot from 17 ft,,20-16,,
1:48.0,,,20-16,,Defensive rebound by J. Green
1:39.0,,,20-18,2,J. Green makes 2-pt shot at rim (assist by D. Wade)
1:22.0,J. Bayless misses 3-pt shot from 25 ft,,20-18,,
1:19.0,Offensive rebound by T. Booker,,20-18,,
1:18.0,J. Bayless misses 3-pt shot from 23 ft,,20-18,,
1:14.0,,,20-18,,Defensive rebound by C. Osman
