time,Oklahoma City,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. S. Adams (R. Westbrook gains possession),,,,Jump ball: K. Towns vs. S. Adams (R. Westbrook gains possession)
11:43.0,A. Roberson misses 3-pt shot from 23 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by T. Gibson
11:28.0,,,0-0,,J. Butler misses 2-pt shot from 17 ft
11:26.0,Defensive rebound by S. Adams,,0-0,,
11:09.0,P. George misses 2-pt shot from 14 ft,,0-0,,
11:04.0,Offensive rebound by A. Roberson,,0-0,,
11:04.0,A. Roberson makes 2-pt shot at rim,2,2-0,,
10:53.0,,,2-2,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler)
10:34.0,P. George makes 2-pt shot from 18 ft,2,4-2,,
10:10.0,,,4-5,3,A. Wiggins makes 3-pt shot from 24 ft (assist by T. Gibson)
9:57.0,Turnover by R. Westbrook (bad pass),,4-5,,
9:41.0,,,4-5,,Turnover by J. Teague (lost ball; steal by R. Westbrook)
9:37.0,C. Anthony makes 2-pt shot from 1 ft (assist by R. Westbrook),2,6-5,,
9:30.0,,,6-5,,Turnover by T. Gibson (lost ball; steal by C. Anthony)
9:24.0,C. Anthony misses 3-pt shot from 26 ft,,6-5,,
9:22.0,,,6-5,,Defensive rebound by Team
9:22.0,Loose ball foul by A. Roberson (drawn by J. Butler),,6-5,,
9:08.0,,,6-5,,K. Towns misses 3-pt shot from 22 ft
9:08.0,Defensive rebound by P. George,,6-5,,
9:01.0,A. Roberson misses 2-pt shot from 2 ft (block by K. Towns),,6-5,,
9:01.0,,,6-5,,Defensive rebound by J. Butler
8:48.0,,,6-5,,T. Gibson misses 2-pt shot from 10 ft (block by S. Adams)
8:48.0,,,6-5,,Offensive rebound by Team
8:46.0,,,6-5,,K. Towns misses 3-pt shot from 25 ft
8:46.0,,,6-5,,Offensive rebound by T. Gibson
8:42.0,,,6-5,,T. Gibson misses 2-pt shot from 3 ft
8:42.0,,,6-5,,Offensive rebound by K. Towns
8:38.0,,,6-5,,K. Towns misses 2-pt shot from 2 ft (block by A. Roberson)
8:38.0,,,6-5,,Offensive rebound by K. Towns
8:37.0,,,6-5,,K. Towns misses 2-pt shot from 2 ft (block by C. Anthony)
8:37.0,,,6-5,,Offensive rebound by Team
8:32.0,Jump ball: K. Towns vs. C. Anthony (T. Gibson gains possession),,,,Jump ball: K. Towns vs. C. Anthony (T. Gibson gains possession)
8:30.0,,,6-7,2,T. Gibson makes 2-pt shot from 6 ft
8:21.0,Turnover by S. Adams (bad pass),,6-7,,
8:08.0,,,6-9,2,J. Butler makes 2-pt shot from 1 ft (assist by J. Teague)
7:54.0,C. Anthony misses 3-pt shot from 25 ft,,6-9,,
7:54.0,Offensive rebound by A. Roberson,,6-9,,
7:50.0,A. Roberson misses 2-pt shot from 1 ft,,6-9,,
7:50.0,,,6-9,,Defensive rebound by K. Towns
7:29.0,,,6-9,,J. Butler misses 2-pt shot from 15 ft
7:25.0,Defensive rebound by A. Roberson,,6-9,,
7:19.0,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook),2,8-9,,
7:10.0,,,8-9,,Shooting foul by R. Westbrook (drawn by J. Teague)
7:10.0,,,8-10,1,J. Teague makes free throw 1 of 2
7:10.0,,,8-10,,J. Teague misses free throw 2 of 2
7:08.0,,,8-10,,Offensive rebound by J. Teague
7:02.0,,,8-12,2,T. Gibson makes 2-pt shot from 5 ft (assist by J. Teague)
6:41.0,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,10-12,,
6:32.0,,,10-14,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague)
6:13.0,A. Roberson misses 2-pt shot from 2 ft,,10-14,,
