time,Orlando,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Nogueira vs. N. Vucevic (S. Ibaka gains possession),,,,Jump ball: L. Nogueira vs. N. Vucevic (S. Ibaka gains possession)
11:43.0,,,0-2,2,L. Nogueira makes 2-pt shot at rim (assist by K. Lowry)
11:22.0,A. Gordon makes 2-pt shot at rim (assist by N. Vucevic),2,2-2,,
11:10.0,,,2-2,,Turnover by K. Lowry (bad pass; steal by N. Vucevic)
11:05.0,D. Augustin misses 3-pt shot from 25 ft,,2-2,,
11:01.0,,,2-2,,Defensive rebound by N. Powell
10:54.0,,,2-2,,Turnover by N. Powell (bad pass; steal by M. Hezonja)
10:49.0,W. Iwundu makes 2-pt shot from 1 ft (assist by M. Hezonja),2,4-2,,
10:41.0,,,4-2,,Toronto full timeout
10:41.0,,,4-2,,D. Wright enters the game for N. Powell
10:24.0,,,4-2,,Turnover by O. Anunoby (bad pass; steal by N. Vucevic)
10:12.0,D. Augustin misses 2-pt shot from 1 ft,,4-2,,
10:09.0,,,4-2,,Defensive rebound by L. Nogueira
10:03.0,,,4-5,3,O. Anunoby makes 3-pt shot from 22 ft (assist by D. Wright)
9:45.0,N. Vucevic makes 2-pt shot from 17 ft (assist by D. Augustin),2,6-5,,
9:31.0,,,6-5,,O. Anunoby misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by N. Vucevic,,6-5,,
9:23.0,N. Vucevic misses 3-pt shot from 24 ft,,6-5,,
9:19.0,,,6-5,,Defensive rebound by O. Anunoby
8:59.0,,,6-7,2,S. Ibaka makes 2-pt shot from 2 ft
8:35.0,M. Hezonja misses 2-pt shot from 3 ft (block by S. Ibaka),,6-7,,
8:34.0,Offensive rebound by Team,,6-7,,
8:33.0,Turnover by Team (shot clock),,6-7,,
8:21.0,,,6-7,,K. Lowry misses 3-pt shot from 28 ft
8:19.0,,,6-7,,Offensive rebound by L. Nogueira
8:17.0,,,6-9,2,L. Nogueira makes 2-pt shot from 1 ft
8:04.0,M. Hezonja makes 3-pt shot from 25 ft (assist by W. Iwundu),3,9-9,,
7:45.0,,,9-12,3,D. Wright makes 3-pt shot from 24 ft (assist by L. Nogueira)
7:33.0,Turnover by D. Augustin (lost ball; steal by K. Lowry),,9-12,,
7:32.0,Personal foul by M. Hezonja (drawn by K. Lowry),,9-12,,
7:25.0,,,9-12,,S. Ibaka misses 2-pt shot from 20 ft
