time,Minnesota,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Towns (C. Paul gains possession),,,,Jump ball: C. Capela vs. K. Towns (C. Paul gains possession)
11:36.0,,,0-0,,C. Paul misses 3-pt shot from 25 ft
11:34.0,Defensive rebound by K. Towns,,0-0,,
11:17.0,Turnover by K. Towns (bad pass; steal by C. Capela),,0-0,,
11:11.0,,,0-2,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
10:49.0,J. Butler misses 2-pt shot from 2 ft (block by P. Tucker),,0-2,,
10:46.0,,,0-2,,Defensive rebound by T. Ariza
10:42.0,,,0-4,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
10:29.0,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Towns),2,2-4,,
10:12.0,,,2-4,,Shooting foul by A. Wiggins (drawn by C. Capela)
10:12.0,,,2-5,1,C. Capela makes free throw 1 of 2
10:12.0,,,2-6,1,C. Capela makes free throw 2 of 2
9:46.0,J. Teague misses 2-pt shot from 16 ft,,2-6,,
9:46.0,Offensive rebound by Team,,2-6,,
9:40.0,T. Gibson makes 2-pt shot at rim (assist by J. Teague),2,4-6,,
9:26.0,,,4-6,,Turnover by C. Paul (bad pass)
9:07.0,K. Towns misses 3-pt shot from 23 ft,,4-6,,
9:05.0,,,4-6,,Defensive rebound by C. Capela
8:57.0,,,4-8,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
8:32.0,J. Teague misses 3-pt shot from 28 ft,,4-8,,
8:29.0,,,4-8,,Defensive rebound by C. Capela
8:19.0,,,4-8,,C. Paul misses 2-pt shot from 11 ft
8:15.0,,,4-8,,Offensive rebound by Team
8:09.0,,,4-11,3,J. Harden makes 3-pt shot from 25 ft (assist by C. Capela)
7:54.0,K. Towns misses 2-pt shot from 10 ft,,4-11,,
7:51.0,,,4-11,,Defensive rebound by C. Capela
7:41.0,,,4-11,,Shooting foul by T. Gibson (drawn by J. Harden)
7:41.0,,,4-11,,J. Harden misses free throw 1 of 3
7:41.0,,,4-11,,Offensive rebound by Team
7:41.0,,,4-12,1,J. Harden makes free throw 2 of 3
7:41.0,,,4-13,1,J. Harden makes free throw 3 of 3
7:27.0,T. Gibson misses 2-pt shot from 2 ft,,4-13,,
7:26.0,,,4-13,,Defensive rebound by C. Capela
7:22.0,,,4-13,,Shooting foul by J. Teague (drawn by C. Capela)
7:22.0,,,4-14,1,C. Capela makes free throw 1 of 2
7:22.0,,,4-15,1,C. Capela makes free throw 2 of 2
7:10.0,Turnover by J. Teague (bad pass; steal by J. Harden),,4-15,,
6:51.0,,,4-15,,Turnover by C. Paul (bad pass; steal by J. Butler)
6:36.0,K. Towns misses 2-pt shot from 5 ft (block by C. Capela),,4-15,,
6:33.0,Offensive rebound by K. Towns,,4-15,,
6:31.0,J. Butler misses 3-pt shot from 23 ft,,4-15,,
6:29.0,,,4-15,,Defensive rebound by T. Ariza
6:23.0,,,4-15,,T. Ariza misses 3-pt shot from 23 ft
6:21.0,Defensive rebound by J. Teague,,4-15,,
6:17.0,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague),2,6-15,,
6:00.0,,,6-15,,C. Capela misses 2-pt shot from 1 ft (block by J. Teague)
5:57.0,,,6-15,,Offensive rebound by C. Capela
5:57.0,,,6-17,2,C. Capela makes 2-pt shot from 1 ft
5:53.0,Minnesota full timeout,,6-17,,
5:53.0,,,6-17,,E. Gordon enters the game for C. Paul
