time,Washington,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. M. Gortat (T. Satoransky gains possession),,,,Jump ball: J. Henson vs. M. Gortat (T. Satoransky gains possession)
11:39.0,M. Gortat misses 2-pt shot from 12 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by G. Antetokounmpo
11:25.0,,,0-0,,K. Middleton misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by M. Gortat,,0-0,,
11:17.0,M. Morris makes 3-pt shot from 27 ft (assist by O. Porter),3,3-0,,
10:49.0,,,3-0,,K. Middleton misses 3-pt shot from 26 ft
10:46.0,Defensive rebound by T. Satoransky,,3-0,,
10:43.0,,,3-0,,Personal foul by J. Henson (drawn by M. Gortat)
10:37.0,O. Porter makes 2-pt shot from 18 ft (assist by B. Beal),2,5-0,,
10:23.0,,,5-0,,G. Antetokounmpo misses 2-pt shot from 8 ft
10:21.0,Defensive rebound by M. Gortat,,5-0,,
10:15.0,M. Gortat makes 2-pt shot from 8 ft (assist by O. Porter),2,7-0,,
9:51.0,,,7-0,,T. Snell misses 3-pt shot from 26 ft
9:48.0,Defensive rebound by B. Beal,,7-0,,
9:32.0,B. Beal makes 3-pt shot from 27 ft (assist by T. Satoransky),3,10-0,,
9:32.0,,,10-0,,Milwaukee full timeout
9:19.0,,,10-0,,G. Antetokounmpo misses 2-pt shot from 6 ft
9:16.0,Defensive rebound by B. Beal,,10-0,,
8:59.0,T. Satoransky makes 2-pt shot from 14 ft,2,12-0,,
8:34.0,,,12-0,,K. Middleton misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by M. Gortat,,12-0,,
8:20.0,O. Porter makes 2-pt shot from 18 ft (assist by M. Gortat),2,14-0,,
8:01.0,,,14-2,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by T. Snell)
7:43.0,O. Porter makes 3-pt shot from 23 ft (assist by T. Satoransky),3,17-2,,
7:33.0,,,17-5,3,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
7:19.0,B. Beal makes 2-pt shot at rim (assist by T. Satoransky),2,19-5,,
7:12.0,,,19-5,,Turnover by G. Antetokounmpo (bad pass)
6:50.0,B. Beal misses 2-pt shot from 2 ft,,19-5,,
6:47.0,,,19-5,,Defensive rebound by J. Henson
6:37.0,,,19-5,,Turnover by T. Snell (lost ball; steal by M. Gortat)
6:32.0,O. Porter makes 2-pt shot from 1 ft (assist by T. Satoransky),2,21-5,,
6:18.0,Violation by O. Porter (kicked ball),,21-5,,
6:18.0,,,21-5,,S. Brown enters the game for T. Snell
6:11.0,,,21-5,,E. Bledsoe misses 2-pt shot from 3 ft (block by M. Gortat)
6:10.0,Defensive rebound by O. Porter,,21-5,,
6:05.0,M. Morris makes 2-pt shot from 2 ft (assist by M. Gortat),2,23-5,,
6:05.0,,,23-5,,Violation by G. Antetokounmpo (def goaltending)
6:05.0,Shooting foul by K. Middleton (drawn by M. Morris),,23-5,,
6:05.0,,,23-5,,T. Maker enters the game for E. Bledsoe
6:05.0,,,23-5,,J. Terry enters the game for J. Henson
6:05.0,M. Morris makes free throw 1 of 1,1,24-5,,
5:37.0,,,24-5,,S. Brown misses 3-pt shot from 23 ft
