time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. McGee vs. T. Thompson (S. Curry gains possession),,,,Jump ball: J. McGee vs. T. Thompson (S. Curry gains possession)
11:49.0,,,0-2,2,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry)
11:34.0,Turnover by G. Hill (bad pass),,0-2,,
11:18.0,,,0-4,2,J. McGee makes 2-pt shot from 1 ft (assist by K. Durant)
11:04.0,,,0-4,,Personal foul by K. Thompson (drawn by J. Smith)
10:55.0,K. Love misses 3-pt shot from 24 ft,,0-4,,
10:54.0,,,0-4,,Defensive rebound by K. Durant
10:50.0,,,0-4,,Turnover by S. Curry (bad pass)
10:41.0,L. James makes 2-pt shot from 2 ft,2,2-4,,
10:41.0,,,2-4,,Violation by J. McGee (def goaltending)
10:23.0,,,2-6,2,K. Durant makes 2-pt shot from 1 ft
10:05.0,G. Hill misses 3-pt shot from 24 ft (block by D. Green),,2-6,,
10:04.0,Offensive rebound by G. Hill,,2-6,,
10:02.0,G. Hill makes 2-pt shot from 10 ft,2,4-6,,
9:44.0,,,4-8,2,S. Curry makes 2-pt shot from 3 ft (assist by D. Green)
9:32.0,G. Hill misses 2-pt shot from 1 ft,,4-8,,
9:31.0,,,4-8,,Defensive rebound by D. Green
9:23.0,,,4-10,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
9:06.0,T. Thompson makes 2-pt shot from 2 ft (assist by L. James),2,6-10,,
8:47.0,,,6-13,3,K. Thompson makes 3-pt shot from 25 ft
8:19.0,Jump ball: S. Curry vs. G. Hill (L. James gains possession),,,,Jump ball: S. Curry vs. G. Hill (L. James gains possession)
8:17.0,Turnover by L. James (bad pass; steal by K. Thompson),,6-13,,
8:14.0,,,6-15,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
8:14.0,Cleveland full timeout,,6-15,,
7:50.0,T. Thompson misses 2-pt shot from 18 ft,,6-15,,
7:46.0,,,6-15,,Defensive rebound by K. Durant
7:44.0,,,6-15,,S. Curry misses 3-pt shot from 31 ft
7:43.0,Defensive rebound by Team,,6-15,,
7:33.0,G. Hill makes 3-pt shot from 27 ft (assist by L. James),3,9-15,,
7:22.0,Personal foul by G. Hill (drawn by J. McGee),,9-15,,
7:10.0,,,9-17,2,K. Durant makes 2-pt shot from 10 ft (assist by D. Green)
7:03.0,L. James makes 2-pt shot from 3 ft,2,11-17,,
7:03.0,Shooting foul by J. McGee (drawn by L. James),,11-17,,
7:03.0,L. James makes free throw 1 of 1,1,12-17,,
6:49.0,,,12-19,2,K. Durant makes 2-pt shot from 12 ft
6:30.0,J. Smith makes 2-pt shot from 9 ft (assist by L. James),2,14-19,,
6:30.0,Shooting foul by S. Curry (drawn by J. Smith),,14-19,,
6:30.0,J. Smith misses free throw 1 of 1,,14-19,,
6:27.0,Offensive rebound by K. Love,,14-19,,
6:17.0,J. Smith misses 2-pt shot from 3 ft,,14-19,,
6:12.0,Offensive rebound by T. Thompson,,14-19,,
6:12.0,T. Thompson misses 2-pt shot at rim,,14-19,,
6:11.0,,,14-19,,Defensive rebound by D. Green
6:05.0,,,14-19,,Turnover by K. Durant (bad pass; steal by G. Hill)
6:05.0,,,14-19,,Personal foul by K. Durant (drawn by L. James)
5:57.0,G. Hill misses 2-pt shot from 10 ft,,14-19,,
5:51.0,,,14-19,,Defensive rebound by J. McGee
5:45.0,,,14-21,2,K. Thompson makes 2-pt shot from 14 ft (assist by S. Curry)
5:32.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,17-21,,
5:03.0,,,17-21,,Turnover by K. Thompson (bad pass; steal by J. Smith)
4:54.0,J. Smith misses 2-pt shot from 10 ft,,17-21,,
4:53.0,,,17-21,,Defensive rebound by S. Curry
4:43.0,,,17-21,,K. Thompson misses 3-pt shot from 23 ft
4:42.0,Defensive rebound by J. Smith,,17-21,,
4:34.0,Turnover by K. Love (step out of bounds),,17-21,,
4:34.0,,,17-21,,Golden State full timeout
4:34.0,,,17-21,,J. Bell enters the game for J. McGee
4:34.0,J. Green enters the game for T. Thompson,,17-21,,
4:24.0,,,17-21,,S. Curry misses 3-pt shot from 29 ft
4:20.0,Defensive rebound by L. James,,17-21,,
4:16.0,J. Smith misses 3-pt shot from 26 ft,,17-21,,
4:12.0,Offensive rebound by K. Love,,17-21,,
4:11.0,K. Love misses 2-pt shot from 3 ft (block by K. Durant),,17-21,,
4:08.0,,,17-21,,Defensive rebound by J. Bell
4:05.0,,,17-24,3,S. Curry makes 3-pt shot from 28 ft (assist by K. Durant)
3:43.0,K. Love makes 2-pt shot from 6 ft (assist by L. James),2,19-24,,
3:32.0,,,19-26,2,J. Bell makes 2-pt shot at rim (assist by D. Green)
3:19.0,,,19-26,,Personal foul by K. Durant (drawn by L. James)
3:19.0,L. James misses free throw 1 of 2,,19-26,,
3:19.0,Offensive rebound by Team,,19-26,,
3:19.0,,,19-26,,S. Livingston enters the game for K. Durant
3:19.0,L. James makes free throw 2 of 2,1,20-26,,
3:03.0,,,20-26,,S. Curry misses 3-pt shot from 23 ft
2:59.0,Defensive rebound by L. James,,20-26,,
2:53.0,J. Smith misses 3-pt shot from 25 ft,,20-26,,
2:53.0,Offensive rebound by Team,,20-26,,
2:53.0,,,20-26,,Loose ball foul by J. Bell (drawn by K. Love)
2:53.0,K. Love makes free throw 1 of 2,1,21-26,,
2:53.0,,,21-26,,K. Looney enters the game for D. Green
2:53.0,K. Love makes free throw 2 of 2,1,22-26,,
2:30.0,,,22-26,,J. Bell misses 2-pt shot from 14 ft
2:29.0,Defensive rebound by L. James,,22-26,,
2:22.0,L. James makes 2-pt shot from 1 ft (assist by K. Love),2,24-26,,
2:11.0,,,24-28,2,S. Curry makes 2-pt shot from 1 ft
1:54.0,K. Love misses 2-pt shot from 10 ft,,24-28,,
1:53.0,,,24-28,,Defensive rebound by K. Looney
1:44.0,,,24-30,2,S. Livingston makes 2-pt shot from 1 ft (assist by S. Curry)
1:44.0,Cleveland full timeout,,24-30,,
1:44.0,,,24-30,,N. Young enters the game for K. Thompson
1:44.0,K. Korver enters the game for K. Love,,24-30,,
1:44.0,L. Nance enters the game for J. Smith,,24-30,,
1:22.0,L. James misses 2-pt shot from 20 ft,,24-30,,
1:21.0,,,24-30,,Defensive rebound by S. Curry
1:15.0,J. Clarkson enters the game for G. Hill,,24-30,,
1:12.0,Jump ball: S. Curry vs. L. James (K. Korver gains possession),,,,Jump ball: S. Curry vs. L. James (K. Korver gains possession)
1:12.0,,,24-30,,Turnover by S. Curry (turnover; steal by L. James)
1:06.0,,,24-30,,Personal foul by J. Bell (drawn by L. James)
1:06.0,L. James makes free throw 1 of 2,1,25-30,,
1:06.0,L. James makes free throw 2 of 2,1,26-30,,
0:47.0,,,26-32,2,S. Livingston makes 2-pt shot from 12 ft (assist by K. Looney)
0:37.0,J. Green makes 2-pt shot from 7 ft,2,28-32,,
0:30.0,,,28-32,,S. Curry misses 3-pt shot from 28 ft
0:30.0,,,28-32,,Offensive rebound by Team
0:19.0,,,28-32,,S. Curry misses 2-pt shot from 5 ft
0:15.0,,,28-32,,Offensive rebound by S. Curry
0:08.0,Personal foul by J. Clarkson (drawn by S. Curry),,28-32,,
0:08.0,,,28-32,,K. Durant enters the game for J. Bell
0:08.0,,,28-32,,K. Thompson enters the game for K. Looney
0:08.0,,,28-32,,D. Green enters the game for S. Livingston
0:08.0,J. Smith enters the game for K. Korver,,28-32,,
0:08.0,C. Osman enters the game for J. Clarkson,,28-32,,
0:04.0,,,28-32,,K. Thompson misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by L. James,,28-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,28-32,,Personal foul by K. Thompson (drawn by L. Nance)
11:34.0,L. Nance misses 2-pt shot from 20 ft,,28-32,,
11:31.0,,,28-32,,Defensive rebound by K. Durant
11:17.0,,,28-34,2,K. Durant makes 2-pt shot from 15 ft (assist by D. West)
10:57.0,J. Clarkson misses 2-pt shot from 15 ft,,28-34,,
10:56.0,,,28-34,,Defensive rebound by S. Livingston
10:48.0,,,28-34,,K. Thompson misses 3-pt shot from 29 ft (block by K. Korver)
10:43.0,Defensive rebound by L. James,,28-34,,
10:40.0,L. James misses 2-pt shot from 3 ft,,28-34,,
10:38.0,Offensive rebound by Team,,28-34,,
10:33.0,J. Clarkson makes 2-pt shot from 2 ft (assist by L. James),2,30-34,,
10:11.0,,,30-34,,D. Green misses 3-pt shot from 27 ft
10:10.0,,,30-34,,Offensive rebound by S. Livingston
10:02.0,,,30-37,3,K. Durant makes 3-pt shot from 27 ft (assist by S. Livingston)
9:43.0,L. James misses 2-pt shot from 5 ft,,30-37,,
9:42.0,Offensive rebound by L. James,,30-37,,
9:36.0,J. Green misses 3-pt shot from 26 ft,,30-37,,
9:35.0,,,30-37,,Defensive rebound by S. Livingston
9:33.0,,,30-37,,Turnover by S. Livingston (lost ball; steal by J. Clarkson)
9:32.0,,,30-37,,Personal foul by D. West (drawn by J. Clarkson)
9:22.0,J. Clarkson misses 2-pt shot from 18 ft (block by D. West),,30-37,,
9:21.0,,,30-37,,Defensive rebound by K. Thompson
9:12.0,,,30-39,2,K. Thompson makes 2-pt shot from 20 ft (assist by K. Durant)
9:12.0,Cleveland full timeout,,30-39,,
9:12.0,G. Hill enters the game for J. Clarkson,,30-39,,
8:50.0,J. Green misses 2-pt shot from 20 ft (block by D. West),,30-39,,
8:48.0,Offensive rebound by L. Nance,,30-39,,
8:48.0,Turnover by Team (shot clock),,30-39,,
8:30.0,,,30-39,,Turnover by D. West (lost ball; steal by G. Hill)
8:14.0,G. Hill makes 3-pt shot from 26 ft (assist by L. James),3,33-39,,
7:59.0,,,33-39,,Shooting foul by K. Korver (drawn by K. Thompson)
7:59.0,,,33-39,,K. Thompson misses free throw 1 of 2
7:59.0,,,33-39,,Offensive rebound by Team
7:59.0,K. Love enters the game for J. Green,,33-39,,
7:59.0,,,33-40,1,K. Thompson makes free throw 2 of 2
