time,Utah,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. D. Favors (D. Saric gains possession),,,,Jump ball: J. Embiid vs. D. Favors (D. Saric gains possession)
11:39.0,,,0-2,2,J. Embiid makes 2-pt shot from 12 ft
11:16.0,D. Favors makes 2-pt shot from 2 ft (assist by D. Mitchell),2,2-2,,
11:00.0,,,2-2,,Turnover by D. Saric (bad pass; steal by R. Rubio)
10:52.0,D. Mitchell misses 3-pt shot from 26 ft,,2-2,,
10:49.0,,,2-2,,Defensive rebound by Team
10:40.0,,,2-2,,J. Redick misses 2-pt shot from 20 ft
10:36.0,Defensive rebound by R. Rubio,,2-2,,
10:23.0,Turnover by D. Favors (lost ball; steal by B. Simmons),,2-2,,
10:11.0,,,2-2,,B. Simmons misses 2-pt shot from 3 ft
10:09.0,Defensive rebound by D. Mitchell,,2-2,,
10:00.0,R. Rubio makes 2-pt shot from 17 ft (assist by D. Favors),2,4-2,,
9:46.0,,,4-2,,J. Redick misses 2-pt shot from 15 ft
9:44.0,Defensive rebound by J. Jerebko,,4-2,,
9:38.0,Turnover by R. Rubio (bad pass; steal by D. Saric),,4-2,,
9:36.0,,,4-2,,Shooting foul by D. Mitchell (drawn by B. Simmons)
9:36.0,,,4-2,,B. Simmons misses free throw 1 of 2
9:36.0,,,4-2,,Offensive rebound by Team
9:36.0,,,4-3,1,B. Simmons makes free throw 2 of 2
9:23.0,,,4-3,,Personal foul by B. Simmons (drawn by J. Ingles)
9:21.0,Turnover by R. Rubio (bad pass; steal by B. Simmons),,4-3,,
9:15.0,,,4-3,,R. Covington misses 2-pt shot from 2 ft
9:12.0,Defensive rebound by D. Mitchell,,4-3,,
9:08.0,J. Jerebko misses 3-pt shot from 26 ft,,4-3,,
9:08.0,,,4-3,,Defensive rebound by J. Embiid
8:56.0,,,4-5,2,B. Simmons makes 2-pt shot from 2 ft
8:43.0,R. Rubio misses 2-pt shot from 18 ft,,4-5,,
8:39.0,Offensive rebound by J. Jerebko,,4-5,,
8:37.0,R. Rubio makes 3-pt shot from 26 ft (assist by J. Jerebko),3,7-5,,
8:18.0,,,7-5,,J. Embiid misses 2-pt shot from 3 ft
8:15.0,Defensive rebound by R. Rubio,,7-5,,
8:01.0,D. Favors misses 2-pt shot from 13 ft,,7-5,,
7:59.0,,,7-5,,Defensive rebound by D. Saric
7:54.0,,,7-5,,R. Covington misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by J. Ingles,,7-5,,
7:38.0,D. Favors misses 2-pt shot from 2 ft,,7-5,,
7:36.0,,,7-5,,Defensive rebound by J. Embiid
7:32.0,,,7-5,,Offensive foul by B. Simmons (drawn by R. Rubio)
7:32.0,,,7-5,,Turnover by B. Simmons (offensive foul)
7:32.0,,,7-5,,T. McConnell enters the game for D. Saric
7:32.0,,,7-5,,A. Johnson enters the game for J. Embiid
7:20.0,Offensive foul by D. Favors (drawn by R. Covington),,7-5,,
7:20.0,Turnover by D. Favors (offensive foul),,7-5,,
7:20.0,,,7-5,,J. Bayless enters the game for J. Redick
7:20.0,R. Hood enters the game for R. Rubio,,7-5,,
7:20.0,T. Sefolosha enters the game for J. Jerebko,,7-5,,
7:12.0,,,7-5,,Turnover by R. Covington (traveling)
6:56.0,D. Favors misses 2-pt shot from 6 ft,,7-5,,
6:54.0,,,7-5,,Defensive rebound by J. Bayless
6:39.0,,,7-5,,B. Simmons misses 2-pt shot from 8 ft
6:36.0,,,7-5,,Offensive rebound by A. Johnson
6:31.0,,,7-7,2,T. McConnell makes 2-pt shot from 3 ft (assist by R. Covington)
6:30.0,Utah full timeout,,7-7,,
6:30.0,,,7-7,,T. Luwawu-Cabarrot enters the game for B. Simmons
6:30.0,E. Udoh enters the game for D. Favors,,7-7,,
6:13.0,R. Hood misses 2-pt shot from 9 ft,,7-7,,
6:10.0,,,7-7,,Defensive rebound by A. Johnson
5:59.0,,,7-7,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
5:56.0,Defensive rebound by R. Hood,,7-7,,
5:51.0,R. Hood misses 2-pt shot from 9 ft,,7-7,,
5:47.0,,,7-7,,Defensive rebound by J. Bayless
5:41.0,,,7-7,,R. Covington misses 3-pt shot from 25 ft (block by E. Udoh)
5:41.0,,,7-7,,Offensive rebound by A. Johnson
5:34.0,,,7-9,2,A. Johnson makes 2-pt shot from 2 ft
5:18.0,E. Udoh misses 2-pt shot from 9 ft,,7-9,,
5:14.0,,,7-9,,Defensive rebound by R. Covington
5:08.0,,,7-11,2,T. McConnell makes 2-pt shot from 1 ft
4:49.0,R. Hood makes 2-pt shot from 1 ft,2,9-11,,
4:30.0,,,9-13,2,J. Bayless makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot)
4:24.0,Shooting foul by R. Covington (drawn by D. Mitchell),,9-13,,
