time,Houston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. C. Capela (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. C. Capela (G. Antetokounmpo gains possession)
11:35.0,,,0-0,,T. Snell misses 3-pt shot from 25 ft
11:32.0,Defensive rebound by C. Paul,,0-0,,
11:22.0,J. Harden misses 2-pt shot from 3 ft (block by J. Henson),,0-0,,
11:22.0,Offensive rebound by C. Capela,,0-0,,
11:22.0,Shooting foul by G. Antetokounmpo (drawn by C. Capela),,0-0,,
11:22.0,C. Capela makes free throw 1 of 2,1,1-0,,
11:22.0,C. Capela misses free throw 2 of 2,,1-0,,
11:18.0,Offensive rebound by P. Tucker,,1-0,,
11:10.0,J. Harden misses 3-pt shot from 28 ft,,1-0,,
11:07.0,,,1-0,,Defensive rebound by K. Middleton
11:02.0,,,1-2,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
10:40.0,T. Ariza makes 2-pt shot from 1 ft,2,3-2,,
10:26.0,,,3-2,,G. Antetokounmpo misses 2-pt shot from 18 ft
10:24.0,Defensive rebound by J. Harden,,3-2,,
10:12.0,T. Ariza misses 3-pt shot from 26 ft,,3-2,,
10:09.0,,,3-2,,Defensive rebound by E. Bledsoe
10:05.0,,,3-2,,Turnover by E. Bledsoe (bad pass; steal by T. Ariza)
10:01.0,Turnover by C. Paul (bad pass; steal by K. Middleton),,3-2,,
10:00.0,Violation by T. Ariza (kicked ball),,3-2,,
9:44.0,,,3-5,3,K. Middleton makes 3-pt shot from 28 ft
9:28.0,J. Harden makes 2-pt shot from 1 ft,2,5-5,,
9:18.0,,,5-7,2,E. Bledsoe makes 2-pt shot at rim
9:02.0,P. Tucker makes 3-pt shot from 22 ft (assist by T. Ariza),3,8-7,,
8:45.0,,,8-7,,J. Henson misses 2-pt shot from 6 ft
8:43.0,Defensive rebound by C. Capela,,8-7,,
8:35.0,Turnover by C. Paul (lost ball; steal by T. Snell),,8-7,,
8:30.0,,,8-9,2,G. Antetokounmpo makes 2-pt shot at rim
