time,Oklahoma City,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. S. Adams (C. Anthony gains possession),,,,Jump ball: R. Gobert vs. S. Adams (C. Anthony gains possession)
11:40.0,C. Brewer makes 3-pt shot from 24 ft (assist by P. George),3,3-0,,
11:13.0,,,3-0,,D. Mitchell misses 3-pt shot from 28 ft
11:13.0,Defensive rebound by Team,,3-0,,
10:53.0,P. George misses 2-pt shot from 13 ft,,3-0,,
10:51.0,,,3-0,,Defensive rebound by D. Mitchell
10:43.0,,,3-0,,J. Ingles misses 3-pt shot from 22 ft
10:40.0,Defensive rebound by R. Westbrook,,3-0,,
10:37.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,5-0,,
10:14.0,,,5-0,,R. Gobert misses 2-pt shot from 3 ft
10:12.0,Defensive rebound by P. George,,5-0,,
10:08.0,C. Anthony misses 3-pt shot from 23 ft,,5-0,,
10:05.0,,,5-0,,Defensive rebound by D. Mitchell
9:55.0,,,5-2,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell)
9:38.0,P. George misses 2-pt shot from 17 ft (block by J. Ingles),,5-2,,
9:34.0,,,5-2,,Defensive rebound by R. Gobert
9:25.0,,,5-4,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
9:09.0,R. Westbrook makes 2-pt shot from 2 ft,2,7-4,,
8:52.0,,,7-4,,Offensive foul by R. Gobert (drawn by S. Adams)
8:52.0,,,7-4,,Turnover by R. Gobert (offensive foul)
8:40.0,C. Anthony misses 2-pt shot from 1 ft,,7-4,,
8:38.0,,,7-4,,Defensive rebound by D. Favors
8:34.0,,,7-4,,D. Mitchell misses 2-pt shot from 2 ft (block by C. Brewer)
8:30.0,Defensive rebound by S. Adams,,7-4,,
8:22.0,,,7-4,,Personal foul by D. Favors (drawn by C. Anthony)
8:22.0,Technical foul by P. George,,7-4,,
8:22.0,,,7-5,1,R. Rubio makes technical free throw
8:16.0,R. Westbrook misses 2-pt shot from 3 ft (block by R. Gobert),,7-5,,
8:16.0,Offensive rebound by Team,,7-5,,
8:16.0,,,7-5,,Personal foul by J. Ingles (drawn by P. George)
8:16.0,,,7-5,,J. Crowder enters the game for J. Ingles
8:12.0,,,7-5,,Personal foul by R. Rubio (drawn by R. Westbrook)
8:04.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,9-5,,
7:51.0,,,9-8,3,D. Mitchell makes 3-pt shot from 25 ft
7:39.0,R. Westbrook misses 2-pt shot from 1 ft,,9-8,,
7:38.0,,,9-8,,Defensive rebound by Team
7:24.0,,,9-8,,J. Crowder misses 2-pt shot from 2 ft
7:21.0,,,9-8,,Offensive rebound by D. Favors
7:20.0,,,9-10,2,D. Favors makes 2-pt shot from 2 ft
7:04.0,S. Adams makes 2-pt shot from 4 ft,2,11-10,,
6:48.0,,,11-10,,Turnover by J. Crowder (lost ball; steal by P. George)
6:44.0,P. George makes 2-pt shot from 1 ft,2,13-10,,
6:44.0,,,13-10,,Utah full timeout
6:26.0,,,13-12,2,D. Favors makes 2-pt shot from 7 ft
6:08.0,R. Westbrook misses 3-pt shot from 24 ft,,13-12,,
6:07.0,,,13-12,,Defensive rebound by R. Gobert
5:59.0,,,13-14,2,D. Mitchell makes 2-pt shot from 1 ft
5:41.0,P. George makes 3-pt shot from 24 ft,3,16-14,,
5:15.0,,,16-14,,R. O'Neale enters the game for D. Favors
5:14.0,,,16-14,,D. Mitchell misses 2-pt shot from 12 ft
5:14.0,,,16-14,,Offensive rebound by Team
5:14.0,,,16-14,,Turnover by Team (shot clock)
5:03.0,Turnover by R. Westbrook (lost ball; steal by R. Rubio),,16-14,,
4:58.0,,,16-14,,J. Crowder misses 2-pt shot from 2 ft (block by S. Adams)
4:58.0,,,16-14,,Offensive rebound by Team
4:51.0,Personal foul by R. Westbrook (drawn by R. Rubio),,16-14,,
4:43.0,Personal foul by C. Brewer (drawn by D. Mitchell),,16-14,,
4:32.0,,,16-14,,R. Rubio misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by C. Anthony,,16-14,,
4:24.0,,,16-14,,Personal foul by R. O'Neale (drawn by P. George)
4:15.0,R. Westbrook makes 2-pt shot from 14 ft,2,18-14,,
4:09.0,Away from play foul by R. Westbrook (drawn by R. Rubio),,18-14,,
4:09.0,,,18-15,1,R. Rubio makes free throw 1 of 1
3:52.0,,,18-17,2,D. Mitchell makes 2-pt shot at rim
3:43.0,R. Westbrook misses 2-pt shot from 16 ft,,18-17,,
3:42.0,Offensive rebound by R. Westbrook,,18-17,,
3:42.0,,,18-17,,Personal foul by R. O'Neale (drawn by R. Westbrook)
3:42.0,R. Westbrook makes free throw 1 of 2,1,19-17,,
3:42.0,,,19-17,,D. Favors enters the game for R. Gobert
3:42.0,P. Patterson enters the game for S. Adams,,19-17,,
3:42.0,R. Westbrook makes free throw 2 of 2,1,20-17,,
3:33.0,,,20-17,,Turnover by R. Rubio (traveling)
3:33.0,,,20-17,,D. Exum enters the game for R. Rubio
3:24.0,R. Westbrook makes 2-pt shot from 2 ft,2,22-17,,
3:11.0,,,22-17,,D. Mitchell misses 2-pt shot from 20 ft
3:07.0,Defensive rebound by P. Patterson,,22-17,,
2:59.0,P. George makes 2-pt shot from 19 ft (assist by P. Patterson),2,24-17,,
2:35.0,,,24-19,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Crowder)
2:24.0,C. Anthony makes 2-pt shot from 1 ft (assist by R. Westbrook),2,26-19,,
2:10.0,,,26-19,,J. Crowder misses 2-pt shot from 21 ft
2:07.0,Defensive rebound by P. George,,26-19,,
1:55.0,C. Anthony misses 2-pt shot from 3 ft (block by R. O'Neale),,26-19,,
1:52.0,Offensive rebound by C. Anthony,,26-19,,
1:51.0,C. Anthony misses 2-pt shot from 1 ft,,26-19,,
1:47.0,,,26-19,,Defensive rebound by D. Mitchell
1:45.0,,,26-22,3,R. O'Neale makes 3-pt shot from 24 ft (assist by D. Mitchell)
1:45.0,Oklahoma City full timeout,,26-22,,
1:45.0,,,26-22,,J. Ingles enters the game for R. O'Neale
1:45.0,,,26-22,,J. Jerebko enters the game for D. Mitchell
1:45.0,R. Felton enters the game for R. Westbrook,,26-22,,
1:45.0,A. Abrines enters the game for C. Brewer,,26-22,,
1:33.0,,,26-22,,Personal foul by J. Crowder (drawn by P. George)
1:33.0,P. George makes free throw 1 of 2,1,27-22,,
1:33.0,P. George makes free throw 2 of 2,1,28-22,,
1:20.0,,,28-22,,D. Exum misses 2-pt shot from 5 ft (block by C. Anthony)
1:17.0,Defensive rebound by A. Abrines,,28-22,,
1:12.0,Turnover by R. Felton (bad pass; steal by J. Crowder),,28-22,,
1:06.0,,,28-22,,D. Favors misses 2-pt shot from 1 ft
1:04.0,Defensive rebound by P. George,,28-22,,
0:51.0,Offensive foul by P. George (drawn by D. Exum),,28-22,,
0:51.0,Turnover by P. George (offensive foul),,28-22,,
0:51.0,J. Grant enters the game for C. Anthony,,28-22,,
0:33.0,,,28-22,,Turnover by J. Ingles (bad pass; steal by J. Grant)
0:33.0,,,28-22,,Personal foul by J. Jerebko (drawn by A. Abrines)
0:33.0,A. Abrines makes free throw 1 of 2,1,29-22,,
0:33.0,A. Abrines makes free throw 2 of 2,1,30-22,,
0:25.0,,,30-22,,Shooting foul by P. Patterson (drawn by D. Exum)
0:25.0,,,30-23,1,D. Exum makes free throw 1 of 2
0:25.0,,,30-24,1,D. Exum makes free throw 2 of 2
0:06.0,Turnover by P. George (bad pass; steal by D. Favors),,30-24,,
0:01.0,,,30-24,,D. Exum misses 2-pt shot from 3 ft
0:01.0,Defensive rebound by J. Grant,,30-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,30-24,,J. Ingles misses 3-pt shot from 23 ft
11:33.0,Defensive rebound by P. George,,30-24,,
11:27.0,Shooting foul by J. Jerebko (drawn by P. George),,30-24,,
11:27.0,P. George makes free throw 1 of 2,1,31-24,,
11:27.0,P. George makes free throw 2 of 2,1,32-24,,
11:13.0,,,32-24,,Turnover by J. Crowder (lost ball; steal by A. Abrines)
11:05.0,J. Grant misses 3-pt shot from 24 ft,,32-24,,
11:00.0,,,32-24,,Defensive rebound by J. Crowder
10:53.0,,,32-27,3,J. Crowder makes 3-pt shot from 24 ft (assist by D. Exum)
10:50.0,Oklahoma City full timeout,,32-27,,
10:33.0,J. Grant makes 2-pt shot from 3 ft (assist by R. Felton),2,34-27,,
10:15.0,,,34-29,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles)
9:57.0,R. Felton misses 2-pt shot from 5 ft,,34-29,,
9:55.0,,,34-29,,Defensive rebound by D. Exum
9:47.0,,,34-29,,J. Ingles misses 3-pt shot from 22 ft
9:43.0,Defensive rebound by P. Patterson,,34-29,,
9:38.0,,,34-29,,R. Gobert enters the game for J. Jerebko
9:38.0,,,34-29,,D. Mitchell enters the game for D. Exum
9:38.0,S. Adams enters the game for P. Patterson,,34-29,,
9:36.0,Jump ball: J. Crowder vs. P. George ( gains possession),,,,Jump ball: J. Crowder vs. P. George ( gains possession)
9:36.0,Turnover by P. George (turnover; steal by J. Crowder),,34-29,,
9:36.0,,,34-29,,R. O'Neale enters the game for J. Crowder
9:36.0,R. Westbrook enters the game for P. George,,34-29,,
9:25.0,,,34-29,,J. Ingles misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by Team,,34-29,,
