time,Orlando,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. B. Biyombo (J. Harden gains possession),,,,Jump ball: C. Capela vs. B. Biyombo (J. Harden gains possession)
11:37.0,,,0-2,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
11:16.0,E. Fournier makes 2-pt shot at rim (assist by M. Hezonja),2,2-2,,
10:58.0,,,2-2,,J. Harden misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by B. Biyombo,,2-2,,
10:45.0,J. Simmons makes 2-pt shot from 13 ft (assist by B. Biyombo),2,4-2,,
10:24.0,,,4-2,,C. Capela misses 2-pt shot from 8 ft
10:22.0,Defensive rebound by M. Hezonja,,4-2,,
10:18.0,M. Hezonja makes 2-pt shot from 2 ft,2,6-2,,
10:05.0,,,6-4,2,J. Harden makes 2-pt shot at rim
9:48.0,J. Simmons misses 3-pt shot from 25 ft,,6-4,,
9:44.0,,,6-4,,Defensive rebound by C. Capela
9:34.0,,,6-4,,L. Mbah a Moute misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by J. Simmons,,6-4,,
9:24.0,J. Simmons misses 2-pt shot from 1 ft,,6-4,,
9:22.0,Offensive rebound by B. Biyombo,,6-4,,
9:20.0,B. Biyombo makes 2-pt shot from 1 ft,2,8-4,,
9:11.0,,,8-4,,Turnover by R. Anderson (offensive goaltending)
8:52.0,E. Fournier misses 3-pt shot from 26 ft,,8-4,,
8:50.0,,,8-4,,Defensive rebound by R. Anderson
8:39.0,,,8-6,2,J. Harden makes 2-pt shot from 1 ft
8:25.0,B. Biyombo misses 2-pt shot from 1 ft,,8-6,,
8:23.0,,,8-6,,Defensive rebound by C. Capela
8:14.0,Personal foul by M. Hezonja (drawn by J. Harden),,8-6,,
8:03.0,,,8-6,,C. Capela misses 2-pt shot from 1 ft
8:01.0,Defensive rebound by B. Biyombo,,8-6,,
7:50.0,E. Payton misses 2-pt shot from 4 ft,,8-6,,
7:48.0,,,8-6,,Defensive rebound by J. Harden
7:46.0,Personal foul by E. Payton (drawn by E. Gordon),,8-6,,
7:37.0,,,8-6,,R. Anderson misses 2-pt shot from 6 ft (block by B. Biyombo)
7:33.0,Defensive rebound by E. Fournier,,8-6,,
7:29.0,M. Hezonja makes 2-pt shot at rim (assist by E. Fournier),2,10-6,,
7:19.0,,,10-6,,Shooting foul by M. Hezonja (drawn by J. Harden)
7:19.0,,,10-7,1,J. Harden makes free throw 1 of 2
7:19.0,,,10-7,,G. Green enters the game for L. Mbah a Moute
7:19.0,W. Iwundu enters the game for M. Hezonja,,10-7,,
7:19.0,,,10-8,1,J. Harden makes free throw 2 of 2
7:06.0,E. Fournier misses 2-pt shot from 20 ft,,10-8,,
7:03.0,Offensive rebound by E. Payton,,10-8,,
6:55.0,B. Biyombo misses 2-pt shot from 3 ft,,10-8,,
6:53.0,,,10-8,,Defensive rebound by C. Capela
6:45.0,,,10-8,,C. Capela misses 2-pt shot from 2 ft (block by J. Simmons)
6:45.0,,,10-8,,Offensive rebound by Team
6:45.0,,,10-8,,Houston full timeout
6:45.0,,,10-8,,P. Tucker enters the game for R. Anderson
6:42.0,,,10-8,,G. Green misses 2-pt shot from 15 ft
6:40.0,,,10-8,,Offensive rebound by C. Capela
6:38.0,,,10-8,,E. Gordon misses 3-pt shot from 26 ft
6:38.0,Defensive rebound by B. Biyombo,,10-8,,
6:18.0,J. Simmons misses 2-pt shot from 9 ft,,10-8,,
6:16.0,Offensive rebound by B. Biyombo,,10-8,,
6:15.0,B. Biyombo makes 2-pt shot from 6 ft,2,12-8,,
5:57.0,,,12-8,,E. Gordon misses 2-pt shot from 7 ft
5:53.0,,,12-8,,Offensive rebound by C. Capela
5:53.0,,,12-10,2,C. Capela makes 2-pt shot at rim
5:43.0,E. Fournier misses 2-pt shot from 2 ft (block by C. Capela),,12-10,,
5:40.0,,,12-10,,Defensive rebound by J. Harden
5:37.0,,,12-12,2,J. Harden makes 2-pt shot from 1 ft
5:30.0,E. Payton makes 2-pt shot from 1 ft,2,14-12,,
5:14.0,,,14-14,2,J. Harden makes 2-pt shot from 1 ft
4:59.0,E. Payton misses 2-pt shot from 21 ft,,14-14,,
4:57.0,,,14-14,,Defensive rebound by P. Tucker
4:55.0,Personal foul by E. Payton (drawn by C. Capela),,14-14,,
4:55.0,,,14-14,,N. Hilario enters the game for C. Capela
4:55.0,D. Augustin enters the game for E. Payton,,14-14,,
4:44.0,,,14-14,,Turnover by G. Green (bad pass; steal by B. Biyombo)
4:35.0,W. Iwundu misses 2-pt shot from 20 ft,,14-14,,
4:33.0,,,14-14,,Defensive rebound by J. Harden
4:25.0,,,14-16,2,J. Harden makes 2-pt shot from 1 ft
3:58.0,D. Augustin misses 2-pt shot from 18 ft,,14-16,,
3:55.0,,,14-16,,Defensive rebound by J. Harden
3:52.0,,,14-19,3,G. Green makes 3-pt shot from 26 ft (assist by J. Harden)
3:35.0,E. Fournier makes 2-pt shot from 13 ft (assist by D. Augustin),2,16-19,,
3:19.0,,,16-19,,Shooting foul by B. Biyombo (drawn by J. Harden)
3:19.0,,,16-20,1,J. Harden makes free throw 1 of 2
3:19.0,,,16-20,,L. Mbah a Moute enters the game for E. Gordon
3:19.0,M. Speights enters the game for B. Biyombo,,16-20,,
3:19.0,,,16-21,1,J. Harden makes free throw 2 of 2
3:15.0,Orlando full timeout,,16-21,,
2:57.0,E. Fournier makes 3-pt shot from 23 ft (assist by J. Simmons),3,19-21,,
2:39.0,,,19-23,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
2:23.0,E. Fournier makes 3-pt shot from 25 ft,3,22-23,,
2:07.0,,,22-25,2,N. Hilario makes 2-pt shot from 2 ft (assist by J. Harden)
1:46.0,E. Fournier misses 3-pt shot from 24 ft,,22-25,,
1:43.0,,,22-25,,Defensive rebound by G. Green
1:35.0,,,22-25,,G. Green misses 3-pt shot from 27 ft
1:32.0,Defensive rebound by W. Iwundu,,22-25,,
1:25.0,W. Iwundu makes 2-pt shot from 4 ft,2,24-25,,
1:17.0,,,24-25,,Shooting foul by W. Iwundu (drawn by J. Harden)
1:17.0,,,24-26,1,J. Harden makes free throw 1 of 2
1:17.0,S. Mack enters the game for J. Simmons,,24-26,,
1:17.0,,,24-27,1,J. Harden makes free throw 2 of 2
1:08.0,D. Augustin makes 3-pt shot from 26 ft,3,27-27,,
0:47.0,,,27-27,,N. Hilario misses 2-pt shot from 1 ft
0:43.0,Defensive rebound by S. Mack,,27-27,,
0:41.0,M. Speights makes 3-pt shot from 28 ft (assist by S. Mack),3,30-27,,
0:28.0,,,30-27,,J. Harden misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by Team,,30-27,,
0:05.0,M. Speights misses 3-pt shot from 23 ft,,30-27,,
0:02.0,Offensive rebound by W. Iwundu,,30-27,,
0:02.0,W. Iwundu misses 2-pt shot from 14 ft,,30-27,,
0:02.0,,,30-27,,Defensive rebound by G. Green
0:00.0,,,30-27,,G. Green misses 3-pt shot from 60 ft
0:00.0,,,30-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,D. Augustin misses 2-pt shot from 9 ft,,30-27,,
11:32.0,,,30-27,,Defensive rebound by R. Anderson
11:21.0,,,30-30,3,G. Green makes 3-pt shot from 25 ft (assist by P. Tucker)
11:02.0,D. Augustin makes 3-pt shot from 26 ft (assist by M. Speights),3,33-30,,
10:54.0,,,33-30,,Offensive foul by G. Green (drawn by S. Mack)
10:54.0,,,33-30,,Turnover by G. Green (offensive foul)
10:37.0,M. Speights misses 2-pt shot from 14 ft,,33-30,,
10:34.0,,,33-30,,Defensive rebound by L. Mbah a Moute
10:26.0,,,33-30,,J. Harden enters the game for E. Gordon
10:18.0,,,33-30,,J. Harden misses 3-pt shot from 23 ft
10:15.0,Defensive rebound by M. Speights,,33-30,,
9:59.0,,,33-30,,Personal foul by L. Mbah a Moute (drawn by S. Mack)
9:46.0,Shooting foul by L. Mbah a Moute (drawn by D. Augustin),,33-30,,
9:46.0,D. Augustin misses free throw 1 of 3,,33-30,,
9:46.0,Offensive rebound by Team,,33-30,,
9:46.0,D. Augustin makes free throw 2 of 3,1,34-30,,
9:46.0,,,34-30,,C. Capela enters the game for L. Mbah a Moute
9:46.0,D. Augustin makes free throw 3 of 3,1,35-30,,
9:30.0,,,35-30,,Offensive charge foul by P. Tucker (drawn by M. Speights)
9:30.0,,,35-30,,Turnover by P. Tucker (offensive foul)
9:14.0,Turnover by W. Iwundu (bad pass; steal by J. Harden),,35-30,,
9:14.0,Personal foul by M. Speights (drawn by R. Anderson),,35-30,,
8:58.0,,,35-33,3,P. Tucker makes 3-pt shot from 22 ft (assist by R. Anderson)
8:46.0,D. Augustin makes 2-pt shot at rim,2,37-33,,
8:27.0,,,37-33,,Turnover by C. Capela (lost ball; steal by M. Speights)
8:27.0,,,37-33,,Personal foul by P. Tucker (drawn by A. Afflalo)
8:04.0,Shooting foul by G. Green (drawn by S. Mack),,37-33,,
8:04.0,S. Mack misses free throw 1 of 2,,37-33,,
8:04.0,Offensive rebound by Team,,37-33,,
8:04.0,,,37-33,,L. Mbah a Moute enters the game for G. Green
8:04.0,S. Mack makes free throw 2 of 2,1,38-33,,
7:56.0,Shooting block foul by M. Speights (drawn by J. Harden),,38-33,,
7:56.0,,,38-34,1,J. Harden makes free throw 1 of 2
7:56.0,,,38-35,1,J. Harden makes free throw 2 of 2
7:47.0,M. Speights makes 2-pt shot at rim (assist by S. Mack),2,40-35,,
7:36.0,,,40-35,,J. Harden misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by M. Speights,,40-35,,
7:31.0,Turnover by D. Augustin (bad pass),,40-35,,
7:19.0,,,40-35,,C. Capela misses 2-pt shot at rim
7:18.0,,,40-35,,Offensive rebound by C. Capela
7:18.0,,,40-35,,C. Capela misses 2-pt shot at rim
7:15.0,Defensive rebound by D. Augustin,,40-35,,
7:06.0,M. Speights misses 3-pt shot from 28 ft,,40-35,,
7:06.0,,,40-35,,Defensive rebound by L. Mbah a Moute
6:58.0,Personal foul by W. Iwundu (drawn by J. Harden),,40-35,,
6:58.0,,,40-35,,Houston full timeout
6:58.0,K. Birch enters the game for M. Speights,,40-35,,
6:48.0,,,40-35,,P. Tucker misses 3-pt shot from 22 ft
6:44.0,Defensive rebound by S. Mack,,40-35,,
6:22.0,D. Augustin misses 2-pt shot from 1 ft,,40-35,,
6:20.0,,,40-35,,Defensive rebound by J. Harden
6:15.0,,,40-38,3,R. Anderson makes 3-pt shot from 28 ft (assist by J. Harden)
5:51.0,S. Mack makes 3-pt shot from 26 ft (assist by D. Augustin),3,43-38,,
5:41.0,,,43-40,2,J. Harden makes 2-pt shot from 2 ft
5:41.0,,,43-40,,Shooting foul by A. Afflalo (drawn by J. Harden)
5:41.0,,,43-40,,J. Harden misses free throw 1 of 1
5:41.0,Defensive rebound by A. Afflalo,,43-40,,
5:41.0,J. Simmons enters the game for W. Iwundu,,43-40,,
5:16.0,A. Afflalo misses 3-pt shot from 23 ft,,43-40,,
5:13.0,,,43-40,,Defensive rebound by C. Capela
5:07.0,,,43-40,,L. Mbah a Moute misses 3-pt shot from 22 ft
5:06.0,Defensive rebound by S. Mack,,43-40,,
4:54.0,S. Mack makes 2-pt shot from 8 ft,2,45-40,,
4:43.0,,,45-42,2,J. Harden makes 2-pt shot from 1 ft
4:30.0,Turnover by A. Afflalo (traveling),,45-42,,
4:30.0,M. Hezonja enters the game for A. Afflalo,,45-42,,
4:30.0,,,45-42,,G. Green enters the game for P. Tucker
4:18.0,,,45-45,3,L. Mbah a Moute makes 3-pt shot from 22 ft (assist by C. Capela)
4:15.0,Orlando full timeout,,45-45,,
3:58.0,S. Mack makes 3-pt shot from 25 ft (assist by J. Simmons),3,48-45,,
3:45.0,,,48-47,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
3:45.0,Violation by M. Hezonja (def goaltending),,48-47,,
3:25.0,J. Simmons makes 2-pt shot from 2 ft (assist by S. Mack),2,50-47,,
3:05.0,,,50-49,2,R. Anderson makes 2-pt shot from 5 ft
2:58.0,Turnover by K. Birch (turnover),,50-49,,
2:46.0,,,50-51,2,J. Harden makes 2-pt shot from 1 ft
2:33.0,M. Hezonja misses 2-pt shot from 17 ft,,50-51,,
2:33.0,,,50-51,,Defensive rebound by G. Green
2:22.0,,,50-51,,J. Harden misses 3-pt shot from 25 ft
2:18.0,Defensive rebound by K. Birch,,50-51,,
2:10.0,K. Birch makes 2-pt shot from 2 ft (assist by D. Augustin),2,52-51,,
1:55.0,,,52-51,,Shooting foul by J. Simmons (drawn by L. Mbah a Moute)
1:55.0,,,52-51,,L. Mbah a Moute misses free throw 1 of 2
1:55.0,,,52-51,,Offensive rebound by Team
1:55.0,E. Fournier enters the game for M. Hezonja,,52-51,,
1:55.0,B. Biyombo enters the game for K. Birch,,52-51,,
1:55.0,,,52-52,1,L. Mbah a Moute makes free throw 2 of 2
1:37.0,D. Augustin makes 3-pt shot from 25 ft (assist by E. Fournier),3,55-52,,
1:25.0,,,55-52,,G. Green misses 3-pt shot from 23 ft
1:24.0,Defensive rebound by Team,,55-52,,
1:24.0,,,55-52,,P. Tucker enters the game for R. Anderson
1:10.0,D. Augustin misses 3-pt shot from 26 ft,,55-52,,
1:07.0,Offensive rebound by S. Mack,,55-52,,
0:58.0,Turnover by S. Mack (bad pass; steal by J. Harden),,55-52,,
0:56.0,,,55-54,2,G. Green makes 2-pt shot at rim (assist by J. Harden)
0:35.0,B. Biyombo misses 2-pt shot from 14 ft,,55-54,,
0:32.0,,,55-54,,Defensive rebound by C. Capela
0:11.0,,,55-54,,J. Harden misses 3-pt shot from 25 ft
0:10.0,Defensive rebound by E. Fournier,,55-54,,
0:02.0,Turnover by E. Fournier (lost ball; steal by C. Capela),,55-54,,
0:00.0,,,55-54,,J. Harden misses 3-pt shot from 32 ft
0:00.0,,,55-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,E. Fournier misses 2-pt shot from 7 ft (block by C. Capela),,55-54,,
11:35.0,,,55-54,,Defensive rebound by C. Capela
11:33.0,,,55-54,,L. Mbah a Moute misses 3-pt shot from 25 ft
11:30.0,,,55-54,,Offensive rebound by J. Harden
11:18.0,,,55-56,2,J. Harden makes 2-pt shot from 12 ft
11:18.0,,,55-56,,Shooting foul by J. Simmons (drawn by J. Harden)
11:18.0,,,55-57,1,J. Harden makes free throw 1 of 1
11:13.0,E. Payton misses 2-pt shot from 1 ft (block by J. Harden),,55-57,,
11:12.0,,,55-57,,Defensive rebound by G. Green
10:56.0,,,55-57,,Shooting foul by E. Fournier (drawn by L. Mbah a Moute)
10:56.0,,,55-57,,L. Mbah a Moute misses free throw 1 of 2
10:56.0,,,55-57,,Offensive rebound by Team
10:56.0,,,55-58,1,L. Mbah a Moute makes free throw 2 of 2
10:43.0,B. Biyombo makes 2-pt shot from 4 ft (assist by M. Hezonja),2,57-58,,
10:21.0,,,57-58,,Shooting foul by E. Payton (drawn by J. Harden)
10:21.0,,,57-59,1,J. Harden makes free throw 1 of 3
10:21.0,,,57-60,1,J. Harden makes free throw 2 of 3
10:21.0,,,57-61,1,J. Harden makes free throw 3 of 3
10:03.0,M. Hezonja makes 2-pt shot from 4 ft (assist by J. Simmons),2,59-61,,
9:44.0,,,59-64,3,J. Harden makes 3-pt shot from 24 ft (assist by C. Capela)
9:25.0,J. Simmons makes 2-pt shot from 19 ft,2,61-64,,
9:05.0,,,61-66,2,C. Capela makes 2-pt shot from 2 ft (assist by L. Mbah a Moute)
8:55.0,J. Simmons misses 3-pt shot from 25 ft,,61-66,,
8:52.0,,,61-66,,Defensive rebound by C. Capela
8:40.0,,,61-66,,Turnover by J. Harden (bad pass; steal by B. Biyombo)
8:35.0,J. Simmons makes 2-pt shot from 1 ft (assist by E. Payton),2,63-66,,
