time,Houston,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. C. Capela (P. Tucker gains possession),,,,Jump ball: N. Jokic vs. C. Capela (P. Tucker gains possession)
11:39.0,C. Capela makes 2-pt shot from 3 ft (assist by C. Paul),2,2-0,,
11:27.0,Personal foul by C. Capela (drawn by N. Jokic),,2-0,,
11:16.0,,,2-0,,W. Chandler misses 3-pt shot from 22 ft
11:13.0,Defensive rebound by T. Ariza,,2-0,,
11:06.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,4-0,,
10:50.0,,,4-0,,W. Barton misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by P. Tucker,,4-0,,
10:36.0,J. Harden misses 3-pt shot from 24 ft,,4-0,,
10:32.0,,,4-0,,Defensive rebound by J. Murray
10:27.0,,,4-0,,W. Barton misses 2-pt shot from 2 ft
10:24.0,Defensive rebound by C. Paul,,4-0,,
10:18.0,Turnover by C. Capela (bad pass; steal by W. Barton),,4-0,,
10:12.0,,,4-0,,J. Murray misses 3-pt shot from 23 ft
10:09.0,,,4-0,,Offensive rebound by N. Jokic
10:08.0,,,4-0,,G. Harris misses 3-pt shot from 23 ft
10:01.0,,,4-0,,Offensive rebound by J. Murray
10:01.0,,,4-2,2,J. Murray makes 2-pt shot at rim
9:37.0,J. Harden misses 2-pt shot from 3 ft (block by W. Chandler),,4-2,,
9:35.0,,,4-2,,Defensive rebound by N. Jokic
9:34.0,,,4-2,,Turnover by N. Jokic (bad pass; steal by T. Ariza)
9:23.0,P. Tucker makes 3-pt shot from 22 ft (assist by C. Paul),3,7-2,,
9:14.0,,,7-5,3,W. Barton makes 3-pt shot from 25 ft
8:59.0,C. Paul makes 3-pt shot from 24 ft,3,10-5,,
8:45.0,,,10-5,,W. Chandler misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by C. Capela,,10-5,,
8:19.0,C. Paul misses 2-pt shot from 7 ft (block by G. Harris),,10-5,,
8:19.0,Offensive rebound by Team,,10-5,,
8:19.0,Turnover by Team (shot clock),,10-5,,
8:10.0,,,10-5,,N. Jokic misses 2-pt shot from 18 ft
8:07.0,Defensive rebound by J. Harden,,10-5,,
8:05.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,12-5,,
7:51.0,,,12-5,,W. Barton misses 3-pt shot from 24 ft
7:49.0,Defensive rebound by P. Tucker,,12-5,,
7:46.0,Offensive charge foul by J. Harden (drawn by G. Harris),,12-5,,
7:46.0,Turnover by J. Harden (offensive foul),,12-5,,
7:27.0,,,12-5,,Turnover by W. Chandler (bad pass; steal by P. Tucker)
7:27.0,,,12-5,,Personal foul by N. Jokic (drawn by C. Paul)
7:11.0,J. Harden makes 3-pt shot from 24 ft (assist by C. Paul),3,15-5,,
7:09.0,,,15-5,,Denver full timeout
7:09.0,L. Mbah a Moute enters the game for C. Paul,,15-5,,
6:54.0,,,15-5,,Turnover by J. Murray (out of bounds lost ball)
6:40.0,P. Tucker misses 2-pt shot from 2 ft (block by W. Chandler),,15-5,,
6:37.0,,,15-5,,Defensive rebound by W. Barton
6:32.0,,,15-5,,N. Jokic misses 2-pt shot from 4 ft
6:30.0,Defensive rebound by C. Capela,,15-5,,
6:25.0,C. Capela misses 2-pt shot from 1 ft,,15-5,,
6:23.0,,,15-5,,Defensive rebound by W. Barton
6:21.0,,,15-5,,G. Harris misses 3-pt shot from 25 ft
6:18.0,,,15-5,,Offensive rebound by W. Barton
6:09.0,,,15-7,2,W. Chandler makes 2-pt shot from 1 ft (assist by J. Murray)
5:47.0,C. Capela misses 2-pt shot from 2 ft,,15-7,,
5:45.0,,,15-7,,Defensive rebound by W. Barton
5:42.0,,,15-7,,Offensive charge foul by W. Barton (drawn by P. Tucker)
5:42.0,,,15-7,,Turnover by W. Barton (offensive foul)
5:42.0,R. Anderson enters the game for T. Ariza,,15-7,,
5:42.0,J. Johnson enters the game for P. Tucker,,15-7,,
5:42.0,B. Wright enters the game for C. Capela,,15-7,,
5:31.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,15-7,,
5:28.0,Offensive rebound by R. Anderson,,15-7,,
5:26.0,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Johnson),2,17-7,,
5:10.0,,,17-7,,G. Harris misses 3-pt shot from 22 ft
5:07.0,,,17-7,,Offensive rebound by N. Jokic
5:05.0,,,17-7,,N. Jokic misses 2-pt shot from 2 ft
5:03.0,Defensive rebound by R. Anderson,,17-7,,
5:00.0,Turnover by J. Harden (lost ball; steal by G. Harris),,17-7,,
4:55.0,,,17-9,2,N. Jokic makes 2-pt shot at rim (assist by W. Barton)
4:41.0,Turnover by L. Mbah a Moute (bad pass; steal by G. Harris),,17-9,,
4:37.0,,,17-11,2,W. Barton makes 2-pt shot from 1 ft
4:25.0,B. Wright misses 2-pt shot from 3 ft,,17-11,,
4:23.0,Offensive rebound by B. Wright,,17-11,,
4:22.0,B. Wright makes 2-pt shot from 1 ft,2,19-11,,
4:09.0,,,19-11,,Turnover by J. Murray (bad pass)
4:09.0,,,19-11,,D. Harris enters the game for J. Murray
3:57.0,L. Mbah a Moute misses 2-pt shot at rim,,19-11,,
3:55.0,,,19-11,,Defensive rebound by N. Jokic
