time,Minnesota,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Adebayo vs. K. Towns (J. Teague gains possession),,,,Jump ball: B. Adebayo vs. K. Towns (J. Teague gains possession)
11:35.0,J. Butler misses 2-pt shot from 15 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by B. Adebayo
11:11.0,,,0-0,,J. Richardson misses 3-pt shot from 23 ft
11:08.0,Defensive rebound by J. Teague,,0-0,,
11:00.0,Turnover by J. Teague (bad pass; steal by J. Richardson),,0-0,,
10:54.0,,,0-2,2,J. Richardson makes 2-pt shot from 3 ft
10:39.0,K. Towns misses 2-pt shot from 17 ft,,0-2,,
10:35.0,,,0-2,,Defensive rebound by J. Johnson
10:23.0,,,0-2,,B. Adebayo misses 2-pt shot from 5 ft
10:18.0,Defensive rebound by K. Towns,,0-2,,
10:13.0,J. Butler misses 2-pt shot from 14 ft,,0-2,,
10:09.0,,,0-2,,Defensive rebound by J. Johnson
10:05.0,,,0-4,2,D. Waiters makes 2-pt shot from 3 ft
9:49.0,,,0-4,,Personal foul by B. Adebayo (drawn by K. Towns)
9:43.0,J. Teague misses 3-pt shot from 25 ft,,0-4,,
9:39.0,,,0-4,,Defensive rebound by J. Johnson
9:34.0,,,0-6,2,G. Dragic makes 2-pt shot from 1 ft
9:24.0,Shooting foul by G. Dragic (drawn by J. Teague),,0-6,,
9:24.0,J. Teague makes free throw 1 of 2,1,1-6,,
9:24.0,J. Teague makes free throw 2 of 2,1,2-6,,
9:16.0,,,2-6,,Shooting foul by K. Towns (drawn by J. Johnson)
9:16.0,,,2-6,,J. Johnson misses free throw 1 of 2
9:16.0,,,2-7,1,J. Johnson makes free throw 2 of 2
9:08.0,A. Wiggins misses 2-pt shot from 10 ft,,2-7,,
9:03.0,,,2-7,,Defensive rebound by J. Johnson
8:58.0,,,2-9,2,D. Waiters makes 2-pt shot from 20 ft
8:39.0,A. Wiggins misses 2-pt shot from 19 ft (block by J. Richardson),,2-9,,
8:34.0,,,2-9,,Defensive rebound by G. Dragic
8:32.0,,,2-11,2,G. Dragic makes 2-pt shot from 4 ft
8:09.0,J. Teague misses 2-pt shot from 3 ft,,2-11,,
8:04.0,,,2-11,,Defensive rebound by D. Waiters
7:58.0,,,2-11,,J. Richardson misses 3-pt shot from 22 ft
7:56.0,Defensive rebound by A. Wiggins,,2-11,,
7:52.0,Turnover by J. Teague (bad pass; steal by J. Johnson),,2-11,,
7:36.0,,,2-11,,D. Waiters misses 2-pt shot from 3 ft
7:35.0,,,2-11,,Offensive rebound by B. Adebayo
7:35.0,,,2-11,,Shooting foul by T. Gibson (drawn by B. Adebayo)
7:35.0,,,2-12,1,B. Adebayo makes free throw 1 of 2
7:35.0,,,2-12,,B. Adebayo misses free throw 2 of 2
7:32.0,Defensive rebound by K. Towns,,2-12,,
7:13.0,T. Gibson misses 2-pt shot from 10 ft (block by J. Johnson),,2-12,,
7:08.0,Offensive rebound by J. Butler,,2-12,,
7:04.0,J. Butler makes 2-pt shot from 3 ft,2,4-12,,
6:48.0,,,4-12,,J. Richardson misses 2-pt shot from 3 ft
6:45.0,Defensive rebound by J. Teague,,4-12,,
6:41.0,K. Towns makes 2-pt shot from 3 ft (assist by J. Teague),2,6-12,,
6:24.0,,,6-12,,J. Johnson misses 2-pt shot from 5 ft
6:19.0,,,6-12,,Offensive rebound by B. Adebayo
6:19.0,,,6-14,2,B. Adebayo makes 2-pt shot at rim
6:12.0,J. Teague misses 2-pt shot from 6 ft,,6-14,,
6:09.0,,,6-14,,Defensive rebound by G. Dragic
6:05.0,,,6-16,2,G. Dragic makes 2-pt shot from 3 ft
5:58.0,Minnesota full timeout,,6-16,,
5:58.0,,,6-16,,T. Johnson enters the game for G. Dragic
5:47.0,K. Towns makes 3-pt shot from 27 ft (assist by J. Butler),3,9-16,,
5:26.0,,,9-19,3,J. Richardson makes 3-pt shot from 22 ft (assist by D. Waiters)
5:07.0,A. Wiggins misses 2-pt shot from 6 ft,,9-19,,
5:02.0,Offensive rebound by K. Towns,,9-19,,
5:00.0,K. Towns makes 2-pt shot from 4 ft,2,11-19,,
4:44.0,,,11-19,,D. Waiters misses 3-pt shot from 26 ft
4:39.0,,,11-19,,Offensive rebound by B. Adebayo
4:30.0,,,11-21,2,T. Johnson makes 2-pt shot from 5 ft
4:16.0,J. Teague misses 2-pt shot from 4 ft,,11-21,,
4:13.0,,,11-21,,Defensive rebound by J. Johnson
4:00.0,,,11-21,,B. Adebayo misses 2-pt shot from 12 ft
3:56.0,Defensive rebound by T. Gibson,,11-21,,
3:51.0,J. Teague makes 3-pt shot from 26 ft,3,14-21,,
3:29.0,,,14-21,,Shooting foul by T. Gibson (drawn by J. Johnson)
3:29.0,,,14-22,1,J. Johnson makes free throw 1 of 2
3:29.0,,,14-22,,K. Olynyk enters the game for J. Richardson
3:29.0,,,14-22,,J. Winslow enters the game for B. Adebayo
3:29.0,G. Dieng enters the game for K. Towns,,14-22,,
3:29.0,,,14-22,,J. Johnson misses free throw 2 of 2
3:26.0,Defensive rebound by T. Gibson,,14-22,,
3:20.0,A. Wiggins misses 2-pt shot from 4 ft,,14-22,,
3:15.0,,,14-22,,Defensive rebound by D. Waiters
3:11.0,,,14-24,2,D. Waiters makes 2-pt shot from 2 ft
2:54.0,A. Wiggins makes 2-pt shot from 19 ft (assist by J. Teague),2,16-24,,
2:47.0,,,16-24,,Miami full timeout
2:47.0,,,16-24,,O. White enters the game for J. Johnson
2:47.0,N. Bjelica enters the game for J. Butler,,16-24,,
2:47.0,J. Crawford enters the game for T. Gibson,,16-24,,
2:39.0,,,16-24,,T. Johnson misses 3-pt shot from 26 ft
2:36.0,Defensive rebound by A. Wiggins,,16-24,,
2:35.0,Turnover by A. Wiggins (bad pass),,16-24,,
2:35.0,Loose ball foul by J. Teague (drawn by T. Johnson),,16-24,,
2:21.0,,,16-24,,K. Olynyk misses 2-pt shot from 4 ft
2:14.0,,,16-24,,Offensive rebound by J. Winslow
2:14.0,,,16-26,2,J. Winslow makes 2-pt shot at rim
2:04.0,J. Teague makes 2-pt shot from 9 ft,2,18-26,,
1:46.0,,,18-26,,Turnover by K. Olynyk (traveling)
1:46.0,,,18-26,,G. Dragic enters the game for D. Waiters
1:36.0,Turnover by J. Teague (bad pass),,18-26,,
1:36.0,T. Jones enters the game for J. Teague,,18-26,,
1:13.0,,,18-26,,Offensive charge foul by T. Johnson (drawn by G. Dieng)
1:13.0,,,18-26,,Turnover by T. Johnson (offensive foul)
0:59.0,N. Bjelica makes 3-pt shot from 25 ft (assist by J. Crawford),3,21-26,,
0:45.0,,,21-28,2,G. Dragic makes 2-pt shot from 13 ft
0:40.0,Offensive foul by N. Bjelica (drawn by T. Johnson),,21-28,,
0:40.0,Turnover by N. Bjelica (offensive foul),,21-28,,
0:29.0,,,21-30,2,K. Olynyk makes 2-pt shot from 15 ft (assist by J. Winslow)
0:09.0,A. Wiggins misses 2-pt shot from 5 ft,,21-30,,
0:05.0,Offensive rebound by G. Dieng,,21-30,,
0:05.0,G. Dieng makes 2-pt shot at rim,2,23-30,,
0:00.0,,,23-32,2,G. Dragic makes 2-pt shot from 11 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-34,2,J. Winslow makes 2-pt shot from 4 ft (assist by K. Olynyk)
11:31.0,G. Dieng makes 2-pt shot from 4 ft (assist by J. Crawford),2,25-34,,
11:31.0,Shooting foul by G. Dragic (drawn by G. Dieng),,25-34,,
11:31.0,G. Dieng misses free throw 1 of 1,,25-34,,
11:27.0,,,25-34,,Defensive rebound by K. Olynyk
11:19.0,,,25-34,,G. Dragic misses 2-pt shot from 18 ft
11:15.0,Defensive rebound by S. Muhammad,,25-34,,
11:10.0,G. Dieng misses 2-pt shot from 4 ft (block by T. Johnson),,25-34,,
11:02.0,,,25-34,,Defensive rebound by J. Winslow
10:55.0,,,25-36,2,K. Olynyk makes 2-pt shot from 3 ft (assist by G. Dragic)
10:38.0,J. Crawford makes 2-pt shot from 12 ft,2,27-36,,
10:27.0,,,27-36,,K. Olynyk misses 3-pt shot from 27 ft
10:24.0,,,27-36,,Offensive rebound by T. Johnson
10:23.0,Personal foul by T. Jones (drawn by K. Olynyk),,27-36,,
10:05.0,,,27-38,2,J. Winslow makes 2-pt shot from 2 ft
9:43.0,T. Jones makes 2-pt shot from 4 ft,2,29-38,,
9:30.0,,,29-40,2,T. Johnson makes 2-pt shot from 9 ft
9:22.0,J. Crawford misses 3-pt shot from 28 ft,,29-40,,
9:22.0,,,29-40,,Defensive rebound by J. Winslow
9:15.0,,,29-40,,Turnover by J. Winslow (bad pass; steal by J. Crawford)
9:10.0,S. Muhammad makes 2-pt shot from 3 ft (assist by J. Crawford),2,31-40,,
8:53.0,,,31-40,,Shooting foul by N. Bjelica (drawn by O. White)
8:53.0,,,31-41,1,O. White makes free throw 1 of 2
8:53.0,,,31-41,,W. Ellington enters the game for T. Johnson
8:53.0,,,31-41,,O. White misses free throw 2 of 2
8:50.0,Defensive rebound by G. Dieng,,31-41,,
8:39.0,S. Muhammad misses 2-pt shot from 7 ft (block by O. White),,31-41,,
8:34.0,,,31-41,,Defensive rebound by K. Olynyk
8:34.0,,,31-43,2,J. Winslow makes 2-pt shot from 2 ft (assist by K. Olynyk)
8:34.0,Violation by G. Dieng (def goaltending),,31-43,,
8:19.0,N. Bjelica makes 2-pt shot from 6 ft,2,33-43,,
8:08.0,,,33-43,,Shooting foul by G. Dieng (drawn by G. Dragic)
8:08.0,,,33-43,,G. Dragic misses free throw 1 of 2
8:08.0,,,33-43,,Offensive rebound by Team
8:08.0,,,33-44,1,G. Dragic makes free throw 2 of 2
8:08.0,K. Towns enters the game for G. Dieng,,33-44,,
8:01.0,T. Jones makes 3-pt shot from 26 ft,3,36-44,,
7:42.0,,,36-46,2,K. Olynyk makes 2-pt shot from 2 ft
7:33.0,T. Jones misses 2-pt shot from 4 ft,,36-46,,
7:31.0,,,36-46,,Defensive rebound by K. Olynyk
7:29.0,,,36-46,,Turnover by G. Dragic (bad pass)
7:29.0,,,36-46,,D. Waiters enters the game for G. Dragic
7:18.0,K. Towns makes 2-pt shot from 2 ft (assist by T. Jones),2,38-46,,
7:02.0,,,38-48,2,K. Olynyk makes 2-pt shot from 3 ft
6:53.0,Minnesota full timeout,,38-48,,
6:53.0,,,38-48,,J. Johnson enters the game for O. White
6:53.0,J. Butler enters the game for N. Bjelica,,38-48,,
6:43.0,Jump ball: J. Winslow vs. K. Towns (J. Crawford gains possession),,,,Jump ball: J. Winslow vs. K. Towns (J. Crawford gains possession)
6:34.0,J. Crawford misses 2-pt shot from 9 ft,,38-48,,
6:30.0,,,38-48,,Defensive rebound by D. Waiters
6:14.0,,,38-51,3,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Johnson)
5:56.0,J. Teague enters the game for T. Jones,,38-51,,
5:56.0,,,38-51,,Personal foul by W. Ellington (drawn by J. Crawford)
5:56.0,J. Crawford makes free throw 1 of 1,1,39-51,,
5:44.0,S. Muhammad misses 2-pt shot from 11 ft,,39-51,,
5:44.0,,,39-51,,Defensive rebound by Team
5:31.0,,,39-51,,W. Ellington misses 3-pt shot from 26 ft
5:27.0,Defensive rebound by K. Towns,,39-51,,
5:19.0,S. Muhammad makes 2-pt shot from 8 ft (assist by K. Towns),2,41-51,,
5:11.0,,,41-53,2,D. Waiters makes 2-pt shot from 4 ft (assist by J. Winslow)
5:11.0,Violation by K. Towns (def goaltending),,41-53,,
5:01.0,Shooting foul by W. Ellington (drawn by J. Crawford),,41-53,,
5:01.0,J. Crawford makes free throw 1 of 2,1,42-53,,
5:01.0,,,42-53,,J. Richardson enters the game for W. Ellington
5:01.0,A. Wiggins enters the game for S. Muhammad,,42-53,,
5:01.0,J. Crawford makes free throw 2 of 2,1,43-53,,
4:45.0,,,43-55,2,D. Waiters makes 2-pt shot from 18 ft
4:26.0,,,43-55,,Personal foul by D. Waiters (drawn by K. Towns)
4:26.0,T. Gibson enters the game for J. Crawford,,43-55,,
4:19.0,J. Butler makes 2-pt shot from 8 ft,2,45-55,,
4:19.0,Shooting foul by K. Olynyk (drawn by J. Butler),,45-55,,
4:19.0,J. Butler makes free throw 1 of 1,1,46-55,,
4:17.0,,,46-55,,Miami full timeout
4:17.0,,,46-55,,B. Adebayo enters the game for K. Olynyk
3:58.0,,,46-55,,J. Johnson misses 2-pt shot from 15 ft
3:51.0,Defensive rebound by J. Butler,,46-55,,
3:47.0,J. Teague makes 2-pt shot from 7 ft,2,48-55,,
3:37.0,,,48-55,,Turnover by J. Richardson (bad pass; steal by J. Butler)
3:32.0,A. Wiggins makes 3-pt shot from 28 ft (assist by J. Butler),3,51-55,,
3:17.0,Personal foul by J. Teague (drawn by D. Waiters),,51-55,,
3:17.0,,,51-55,,G. Dragic enters the game for J. Winslow
3:06.0,,,51-55,,J. Richardson misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by J. Teague,,51-55,,
2:59.0,A. Wiggins makes 2-pt shot from 4 ft (assist by J. Teague),2,53-55,,
2:35.0,,,53-55,,J. Richardson misses 2-pt shot from 8 ft (block by A. Wiggins)
2:29.0,Defensive rebound by K. Towns,,53-55,,
2:19.0,J. Butler misses 3-pt shot from 22 ft,,53-55,,
2:14.0,,,53-55,,Defensive rebound by G. Dragic
2:00.0,,,53-55,,Turnover by D. Waiters (bad pass; steal by K. Towns)
1:46.0,K. Towns makes 2-pt shot from 3 ft (assist by J. Teague),2,55-55,,
1:39.0,,,55-55,,Miami full timeout
1:35.0,,,55-55,,D. Waiters misses 2-pt shot from 3 ft (block by K. Towns)
1:32.0,,,55-55,,Offensive rebound by B. Adebayo
1:28.0,,,55-57,2,B. Adebayo makes 2-pt shot from 3 ft
1:14.0,J. Butler makes 2-pt shot from 5 ft (assist by J. Teague),2,57-57,,
1:05.0,,,57-57,,Personal foul by J. Richardson (drawn by A. Wiggins)
1:05.0,A. Wiggins makes free throw 1 of 2,1,58-57,,
1:05.0,A. Wiggins makes free throw 2 of 2,1,59-57,,
1:04.0,,,59-57,,Turnover by G. Dragic (bad pass; steal by A. Wiggins)
0:49.0,,,59-59,2,G. Dragic makes 2-pt shot from 12 ft
0:33.0,J. Teague misses 2-pt shot from 10 ft,,59-59,,
0:33.0,Offensive rebound by K. Towns,,59-59,,
0:33.0,Shooting foul by J. Johnson (drawn by K. Towns),,59-59,,
0:33.0,K. Towns misses free throw 1 of 2,,59-59,,
0:33.0,Offensive rebound by Team,,59-59,,
0:33.0,T. Jones enters the game for J. Teague,,59-59,,
0:33.0,K. Towns makes free throw 2 of 2,1,60-59,,
0:14.0,,,60-59,,D. Waiters misses 2-pt shot from 3 ft
0:10.0,,,60-59,,Offensive rebound by B. Adebayo
0:10.0,,,60-59,,B. Adebayo misses 2-pt shot at rim
0:09.0,,,60-59,,Offensive rebound by B. Adebayo
0:00.0,,,60-62,3,G. Dragic makes 3-pt shot from 26 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,60-64,2,B. Adebayo makes 2-pt shot from 2 ft (assist by D. Waiters)
11:33.0,J. Teague misses 2-pt shot from 7 ft,,60-64,,
11:31.0,,,60-64,,Defensive rebound by G. Dragic
11:27.0,,,60-64,,D. Waiters misses 3-pt shot from 28 ft
11:23.0,Defensive rebound by K. Towns,,60-64,,
11:12.0,J. Butler misses 2-pt shot from 9 ft,,60-64,,
11:09.0,Offensive rebound by Team,,60-64,,
10:58.0,A. Wiggins misses 2-pt shot from 2 ft (block by J. Richardson),,60-64,,
10:54.0,,,60-64,,Defensive rebound by J. Johnson
10:48.0,,,60-64,,Turnover by G. Dragic (bad pass; steal by J. Teague)
