time,Denver,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Plumlee (W. Barton gains possession),,,,Jump ball: A. Drummond vs. M. Plumlee (W. Barton gains possession)
11:45.0,J. Murray makes 2-pt shot from 7 ft (assist by W. Barton),2,2-0,,
11:45.0,,,2-0,,Violation by A. Drummond (def goaltending)
11:27.0,,,2-0,,Personal foul by A. Drummond (drawn by W. Chandler)
11:27.0,,,2-0,,Turnover by A. Drummond (turnover)
11:05.0,W. Barton misses 2-pt shot from 16 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by A. Drummond
11:02.0,,,2-0,,Turnover by A. Drummond (out of bounds lost ball)
10:53.0,Turnover by J. Murray (lost ball; steal by R. Bullock),,2-0,,
10:41.0,,,2-0,,A. Bradley misses 2-pt shot from 23 ft
10:39.0,Defensive rebound by M. Plumlee,,2-0,,
10:29.0,M. Plumlee misses 2-pt shot from 2 ft,,2-0,,
10:27.0,,,2-0,,Defensive rebound by T. Harris
10:22.0,,,2-0,,Turnover by T. Harris (bad pass)
10:06.0,G. Harris misses 2-pt shot from 6 ft,,2-0,,
10:01.0,Offensive rebound by M. Plumlee,,2-0,,
9:59.0,J. Murray misses 2-pt shot from 5 ft (block by A. Drummond),,2-0,,
9:56.0,,,2-0,,Defensive rebound by A. Drummond
9:51.0,,,2-0,,R. Bullock misses 3-pt shot from 26 ft
9:48.0,,,2-0,,Offensive rebound by A. Drummond
9:48.0,,,2-0,,Shooting foul by M. Plumlee (drawn by A. Drummond)
9:48.0,,,2-1,1,A. Drummond makes free throw 1 of 2
9:48.0,,,2-1,,A. Drummond misses free throw 2 of 2
9:46.0,Defensive rebound by M. Plumlee,,2-1,,
9:30.0,M. Plumlee makes 2-pt shot from 15 ft,2,4-1,,
9:13.0,,,4-3,2,R. Jackson makes 2-pt shot from 4 ft
8:55.0,W. Chandler makes 2-pt shot from 1 ft (assist by W. Barton),2,6-3,,
8:39.0,,,6-3,,T. Harris misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by G. Harris,,6-3,,
8:27.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Murray),3,9-3,,
8:08.0,,,9-3,,Shooting foul by G. Harris (drawn by A. Bradley)
8:08.0,,,9-4,1,A. Bradley makes free throw 1 of 2
8:08.0,,,9-5,1,A. Bradley makes free throw 2 of 2
7:54.0,M. Plumlee makes 2-pt shot from 2 ft (assist by W. Barton),2,11-5,,
7:36.0,,,11-5,,Personal foul by T. Harris (drawn by J. Murray)
7:36.0,,,11-5,,Turnover by T. Harris (turnover)
7:14.0,W. Chandler misses 2-pt shot from 8 ft,,11-5,,
7:10.0,,,11-5,,Defensive rebound by R. Jackson
6:58.0,,,11-5,,A. Bradley misses 2-pt shot from 20 ft
6:56.0,Defensive rebound by J. Murray,,11-5,,
6:54.0,,,11-5,,Detroit full timeout
6:48.0,W. Chandler misses 3-pt shot from 25 ft,,11-5,,
6:45.0,,,11-5,,Defensive rebound by A. Drummond
6:40.0,,,11-5,,R. Jackson misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by W. Barton,,11-5,,
6:35.0,Turnover by W. Barton (bad pass; steal by R. Bullock),,11-5,,
6:25.0,,,11-5,,Turnover by A. Bradley (bad pass)
6:09.0,Turnover by J. Murray (bad pass; steal by T. Harris),,11-5,,
6:02.0,,,11-8,3,R. Jackson makes 3-pt shot from 29 ft
5:36.0,G. Harris misses 2-pt shot from 13 ft,,11-8,,
5:33.0,,,11-8,,Defensive rebound by R. Jackson
5:30.0,,,11-8,,A. Bradley misses 3-pt shot from 25 ft
5:26.0,,,11-8,,Offensive rebound by A. Drummond
5:22.0,,,11-8,,A. Bradley misses 2-pt shot from 4 ft
5:22.0,Defensive rebound by M. Plumlee,,11-8,,
5:11.0,G. Harris misses 2-pt shot from 2 ft (block by R. Jackson),,11-8,,
5:08.0,,,11-8,,Defensive rebound by T. Harris
5:04.0,,,11-8,,R. Jackson misses 3-pt shot from 25 ft
5:02.0,,,11-8,,Offensive rebound by Team
4:49.0,,,11-8,,Turnover by A. Drummond (lost ball; steal by M. Plumlee)
4:44.0,J. Murray makes 2-pt shot from 1 ft (assist by W. Chandler),2,13-8,,
4:42.0,,,13-8,,Turnover by T. Harris (bad pass; steal by G. Harris)
4:32.0,J. Murray makes 3-pt shot from 26 ft (assist by G. Harris),3,16-8,,
4:23.0,,,16-8,,Offensive charge foul by T. Harris (drawn by M. Plumlee)
4:23.0,,,16-8,,Turnover by T. Harris (offensive foul)
4:23.0,,,16-8,,A. Tolliver enters the game for T. Harris
4:10.0,J. Murray misses 2-pt shot from 5 ft,,16-8,,
4:08.0,,,16-8,,Defensive rebound by A. Tolliver
4:03.0,,,16-8,,Turnover by A. Bradley (turnover)
4:03.0,,,16-8,,L. Kennard enters the game for A. Bradley
3:51.0,W. Barton makes 2-pt shot at rim,2,18-8,,
3:24.0,,,18-8,,A. Drummond misses 2-pt shot from 11 ft
3:19.0,Defensive rebound by W. Chandler,,18-8,,
3:19.0,Offensive charge foul by W. Chandler (drawn by A. Drummond),,18-8,,
3:19.0,Turnover by W. Chandler (offensive foul),,18-8,,
3:19.0,,,18-8,,I. Smith enters the game for R. Jackson
3:19.0,M. Beasley enters the game for G. Harris,,18-8,,
3:05.0,,,18-8,,L. Kennard misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by W. Barton,,18-8,,
2:54.0,Shooting foul by R. Bullock (drawn by J. Murray),,18-8,,
2:54.0,Denver full timeout,,18-8,,
2:54.0,,,18-8,,B. Marjanovic enters the game for A. Drummond
2:54.0,T. Lyles enters the game for W. Chandler,,18-8,,
2:54.0,J. Murray makes free throw 1 of 2,1,19-8,,
2:54.0,J. Murray makes free throw 2 of 2,1,20-8,,
2:44.0,,,20-10,2,R. Bullock makes 2-pt shot from 1 ft (assist by I. Smith)
2:28.0,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Barton),2,22-10,,
2:13.0,,,22-10,,Shooting foul by M. Plumlee (drawn by B. Marjanovic)
2:13.0,,,22-11,1,B. Marjanovic makes free throw 1 of 2
2:13.0,D. Arthur enters the game for M. Plumlee,,22-11,,
2:13.0,,,22-12,1,B. Marjanovic makes free throw 2 of 2
1:58.0,D. Arthur misses 3-pt shot from 25 ft,,22-12,,
1:58.0,,,22-12,,Defensive rebound by Team
1:58.0,,,22-12,,L. Galloway enters the game for R. Bullock
1:45.0,,,22-14,2,B. Marjanovic makes 2-pt shot from 2 ft (assist by A. Tolliver)
1:23.0,D. Arthur misses 3-pt shot from 28 ft,,22-14,,
1:21.0,,,22-14,,Defensive rebound by I. Smith
1:15.0,,,22-14,,Turnover by I. Smith (bad pass; steal by D. Arthur)
1:11.0,M. Beasley makes 2-pt shot at rim (assist by W. Barton),2,24-14,,
0:56.0,Personal foul by D. Arthur (drawn by B. Marjanovic),,24-14,,
0:56.0,E. Mudiay enters the game for J. Murray,,24-14,,
0:51.0,,,24-16,2,I. Smith makes 2-pt shot from 1 ft (assist by B. Marjanovic)
0:32.0,Turnover by D. Arthur (lost ball; steal by A. Tolliver),,24-16,,
0:24.0,,,24-18,2,B. Marjanovic makes 2-pt shot from 2 ft
0:03.0,W. Barton makes 2-pt shot from 3 ft,2,26-18,,
0:00.0,,,26-18,,I. Smith misses 3-pt shot from 35 ft
0:00.0,,,26-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,26-18,,I. Smith misses 2-pt shot from 16 ft
11:36.0,Defensive rebound by T. Lyles,,26-18,,
11:26.0,M. Beasley makes 2-pt shot from 16 ft (assist by E. Mudiay),2,28-18,,
11:02.0,,,28-20,2,B. Marjanovic makes 2-pt shot from 3 ft (assist by A. Tolliver)
10:44.0,G. Harris misses 2-pt shot from 20 ft,,28-20,,
10:42.0,,,28-20,,Defensive rebound by B. Marjanovic
10:28.0,,,28-23,3,L. Galloway makes 3-pt shot from 24 ft (assist by I. Smith)
10:15.0,T. Lyles makes 3-pt shot from 24 ft (assist by G. Harris),3,31-23,,
9:59.0,,,31-23,,L. Galloway misses 2-pt shot from 16 ft
9:56.0,Defensive rebound by G. Harris,,31-23,,
9:51.0,M. Beasley makes 2-pt shot from 1 ft (assist by G. Harris),2,33-23,,
9:45.0,,,33-23,,Detroit full timeout
9:42.0,,,33-23,,Shooting foul by M. Beasley (drawn by B. Marjanovic)
9:42.0,,,33-23,,B. Marjanovic misses free throw 1 of 2
9:42.0,,,33-23,,Offensive rebound by Team
9:42.0,,,33-24,1,B. Marjanovic makes free throw 2 of 2
9:25.0,Personal foul by D. Arthur (drawn by L. Galloway),,33-24,,
9:25.0,Turnover by D. Arthur (turnover),,33-24,,
9:16.0,,,33-24,,L. Galloway misses 3-pt shot from 26 ft
9:14.0,Defensive rebound by M. Beasley,,33-24,,
9:08.0,M. Beasley misses 3-pt shot from 22 ft,,33-24,,
9:04.0,,,33-24,,Defensive rebound by B. Marjanovic
8:53.0,,,33-27,3,L. Kennard makes 3-pt shot from 25 ft (assist by I. Smith)
8:37.0,Turnover by D. Arthur (turnover),,33-27,,
8:15.0,,,33-27,,I. Smith misses 2-pt shot from 2 ft
8:14.0,Defensive rebound by D. Arthur,,33-27,,
8:07.0,Turnover by D. Arthur (bad pass),,33-27,,
7:54.0,,,33-27,,I. Smith misses 2-pt shot from 6 ft
7:53.0,,,33-27,,Offensive rebound by B. Marjanovic
7:50.0,,,33-27,,B. Marjanovic misses 2-pt shot from 1 ft
7:50.0,,,33-27,,Offensive rebound by I. Smith
7:45.0,,,33-30,3,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Smith)
7:44.0,Denver full timeout,,33-30,,
7:44.0,,,33-30,,A. Drummond enters the game for L. Galloway
7:44.0,,,33-30,,A. Bradley enters the game for B. Marjanovic
7:44.0,M. Plumlee enters the game for G. Harris,,33-30,,
7:23.0,M. Beasley misses 2-pt shot from 8 ft,,33-30,,
7:22.0,Offensive rebound by M. Plumlee,,33-30,,
7:22.0,M. Plumlee makes 2-pt shot at rim,2,35-30,,
7:00.0,,,35-32,2,A. Bradley makes 2-pt shot from 17 ft (assist by A. Drummond)
6:41.0,T. Lyles makes 2-pt shot from 3 ft,2,37-32,,
6:17.0,,,37-32,,Shooting foul by T. Lyles (drawn by A. Drummond)
6:17.0,,,37-33,1,A. Drummond makes free throw 1 of 2
6:17.0,,,37-33,,R. Jackson enters the game for I. Smith
6:17.0,,,37-33,,T. Harris enters the game for A. Tolliver
