time,Milwaukee,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Henson (D. Green gains possession),,,,Jump ball: P. Gasol vs. J. Henson (D. Green gains possession)
11:40.0,,,0-2,2,K. Anderson makes 2-pt shot from 10 ft (assist by L. Aldridge)
11:18.0,T. Snell makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,3-2,,
11:05.0,,,3-2,,Turnover by D. Green (out of bounds lost ball)
10:47.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,3-2,,
10:45.0,Offensive rebound by J. Henson,,3-2,,
10:38.0,K. Middleton misses 2-pt shot from 4 ft,,3-2,,
10:31.0,Offensive rebound by G. Antetokounmpo,,3-2,,
10:31.0,G. Antetokounmpo makes 2-pt shot at rim,2,5-2,,
10:27.0,,,5-4,2,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Gasol)
10:18.0,G. Antetokounmpo misses 2-pt shot from 17 ft,,5-4,,
10:18.0,,,5-4,,Defensive rebound by P. Gasol
9:59.0,,,5-4,,D. Green misses 2-pt shot at rim
9:57.0,Defensive rebound by T. Snell,,5-4,,
9:49.0,E. Bledsoe makes 2-pt shot from 12 ft (assist by T. Snell),2,7-4,,
9:28.0,,,7-7,3,P. Mills makes 3-pt shot from 26 ft (assist by D. Green)
9:18.0,T. Snell misses 3-pt shot from 24 ft,,7-7,,
9:16.0,,,7-7,,Defensive rebound by L. Aldridge
9:04.0,,,7-10,3,P. Gasol makes 3-pt shot from 24 ft (assist by L. Aldridge)
8:45.0,G. Antetokounmpo misses 2-pt shot from 10 ft,,7-10,,
8:43.0,,,7-10,,Defensive rebound by P. Gasol
8:22.0,,,7-12,2,K. Anderson makes 2-pt shot from 2 ft
8:10.0,J. Henson makes 2-pt shot from 18 ft (assist by E. Bledsoe),2,9-12,,
7:54.0,,,9-14,2,L. Aldridge makes 2-pt shot from 21 ft (assist by P. Mills)
7:39.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,11-14,,
7:27.0,,,11-14,,Turnover by K. Anderson (traveling)
7:27.0,M. Dellavedova enters the game for T. Snell,,11-14,,
7:07.0,J. Henson misses 2-pt shot from 2 ft (block by K. Anderson),,11-14,,
7:04.0,,,11-14,,Defensive rebound by D. Green
6:55.0,,,11-14,,Shooting foul by J. Henson (drawn by L. Aldridge)
6:55.0,,,11-14,,San Antonio full timeout
6:55.0,M. Brogdon enters the game for E. Bledsoe,,11-14,,
6:55.0,,,11-15,1,L. Aldridge makes free throw 1 of 2
6:55.0,,,11-16,1,L. Aldridge makes free throw 2 of 2
6:29.0,M. Dellavedova misses 3-pt shot from 25 ft,,11-16,,
6:26.0,,,11-16,,Defensive rebound by P. Gasol
6:13.0,,,11-16,,P. Gasol misses 2-pt shot from 9 ft
6:09.0,Defensive rebound by J. Henson,,11-16,,
6:04.0,Turnover by K. Middleton (lost ball; steal by L. Aldridge),,11-16,,
5:59.0,,,11-16,,D. Green misses 3-pt shot from 24 ft
5:50.0,,,11-16,,Offensive rebound by K. Anderson
5:50.0,,,11-16,,K. Anderson misses 2-pt shot at rim (block by J. Henson)
5:49.0,,,11-16,,Offensive rebound by D. Green
5:47.0,,,11-16,,Turnover by D. Green (bad pass; steal by M. Brogdon)
5:47.0,M. Brogdon misses 2-pt shot from 6 ft,,11-16,,
5:47.0,,,11-16,,Defensive rebound by Team
5:44.0,Personal foul by K. Middleton (drawn by L. Aldridge),,11-16,,
5:44.0,T. Maker enters the game for J. Henson,,11-16,,
5:33.0,,,11-16,,Turnover by K. Anderson (bad pass)
5:19.0,T. Maker makes 2-pt shot from 16 ft (assist by G. Antetokounmpo),2,13-16,,
4:57.0,,,13-18,2,L. Aldridge makes 2-pt shot from 4 ft
4:41.0,G. Antetokounmpo makes 2-pt shot from 15 ft,2,15-18,,
4:25.0,,,15-20,2,L. Aldridge makes 2-pt shot from 1 ft (assist by P. Mills)
4:14.0,M. Brogdon misses 3-pt shot from 25 ft,,15-20,,
4:14.0,,,15-20,,Defensive rebound by D. Green
4:02.0,,,15-20,,Shooting foul by T. Maker (drawn by P. Gasol)
4:02.0,,,15-21,1,P. Gasol makes free throw 1 of 2
4:02.0,,,15-21,,M. Ginobili enters the game for P. Mills
4:02.0,,,15-21,,D. Murray enters the game for D. Green
4:02.0,,,15-22,1,P. Gasol makes free throw 2 of 2
3:51.0,,,15-22,,R. Gay enters the game for P. Gasol
3:47.0,Jump ball: M. Ginobili vs. G. Antetokounmpo (K. Anderson gains possession),,,,Jump ball: M. Ginobili vs. G. Antetokounmpo (K. Anderson gains possession)
3:47.0,Turnover by G. Antetokounmpo (turnover; steal by M. Ginobili),,15-22,,
3:35.0,,,15-22,,Turnover by R. Gay (bad pass; steal by M. Brogdon)
3:29.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,17-22,,
3:09.0,,,17-24,2,M. Ginobili makes 2-pt shot from 1 ft (assist by L. Aldridge)
2:48.0,M. Dellavedova makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,19-24,,
2:35.0,Personal foul by M. Brogdon (drawn by M. Ginobili),,19-24,,
2:35.0,Milwaukee full timeout,,19-24,,
2:35.0,,,19-24,,B. Paul enters the game for K. Anderson
2:35.0,E. Bledsoe enters the game for K. Middleton,,19-24,,
2:25.0,,,19-24,,M. Ginobili misses 2-pt shot from 7 ft
2:23.0,Defensive rebound by E. Bledsoe,,19-24,,
2:18.0,E. Bledsoe makes 2-pt shot at rim,2,21-24,,
1:57.0,,,21-24,,R. Gay misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
1:54.0,Defensive rebound by E. Bledsoe,,21-24,,
1:51.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,23-24,,
