time,Oklahoma City,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. McGee vs. S. Adams (R. Westbrook gains possession),,,,Jump ball: J. McGee vs. S. Adams (R. Westbrook gains possession)
11:39.0,Shooting foul by S. Curry (drawn by R. Westbrook),,0-0,,
11:39.0,R. Westbrook makes free throw 1 of 2,1,1-0,,
11:39.0,R. Westbrook makes free throw 2 of 2,1,2-0,,
11:29.0,,,2-2,2,J. McGee makes 2-pt shot from 2 ft (assist by K. Thompson)
11:05.0,J. Huestis misses 3-pt shot from 25 ft,,2-2,,
11:01.0,,,2-2,,Defensive rebound by J. McGee
10:58.0,,,2-2,,K. Thompson misses 3-pt shot from 26 ft
10:54.0,Defensive rebound by R. Westbrook,,2-2,,
10:36.0,C. Anthony misses 2-pt shot from 7 ft,,2-2,,
10:33.0,,,2-2,,Defensive rebound by S. Curry
10:24.0,,,2-2,,D. Green misses 2-pt shot from 5 ft
10:20.0,,,2-2,,Offensive rebound by D. Green
10:20.0,,,2-2,,D. Green misses 2-pt shot at rim
10:18.0,Defensive rebound by R. Westbrook,,2-2,,
10:08.0,C. Anthony misses 3-pt shot from 26 ft,,2-2,,
10:05.0,,,2-2,,Defensive rebound by S. Curry
9:59.0,,,2-4,2,K. Thompson makes 2-pt shot from 20 ft (assist by S. Curry)
9:44.0,P. George misses 2-pt shot from 18 ft,,2-4,,
9:42.0,,,2-4,,Defensive rebound by J. McGee
9:39.0,,,2-4,,K. Thompson misses 3-pt shot from 25 ft
9:34.0,Defensive rebound by P. George,,2-4,,
9:29.0,,,2-4,,Personal foul by J. McGee (drawn by P. George)
9:20.0,P. George misses 2-pt shot from 3 ft,,2-4,,
9:16.0,Offensive rebound by P. George,,2-4,,
9:14.0,P. George misses 2-pt shot from 3 ft,,2-4,,
9:12.0,,,2-4,,Defensive rebound by J. McGee
9:10.0,,,2-4,,K. Thompson misses 3-pt shot from 23 ft
9:07.0,Defensive rebound by C. Anthony,,2-4,,
9:02.0,C. Anthony misses 2-pt shot from 17 ft,,2-4,,
8:57.0,Offensive rebound by P. George,,2-4,,
8:56.0,S. Adams makes 2-pt shot from 1 ft (assist by P. George),2,4-4,,
8:47.0,,,4-4,,K. Durant misses 2-pt shot from 20 ft
8:43.0,Defensive rebound by R. Westbrook,,4-4,,
8:42.0,,,4-4,,Violation by D. Green (kicked ball)
8:34.0,S. Adams misses 2-pt shot from 11 ft,,4-4,,
8:31.0,,,4-4,,Defensive rebound by S. Curry
8:24.0,,,4-4,,S. Curry misses 2-pt shot from 3 ft
8:21.0,Defensive rebound by R. Westbrook,,4-4,,
8:02.0,C. Anthony makes 2-pt shot from 15 ft (assist by J. Huestis),2,6-4,,
7:41.0,,,6-7,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
7:26.0,R. Westbrook misses 2-pt shot from 17 ft,,6-7,,
7:23.0,,,6-7,,Defensive rebound by S. Curry
7:21.0,,,6-7,,Shooting foul by R. Westbrook (drawn by K. Thompson)
7:21.0,,,6-7,,K. Thompson misses free throw 1 of 2
7:21.0,,,6-7,,Offensive rebound by Team
7:21.0,Oklahoma City full timeout,,6-7,,
7:21.0,,,6-7,,K. Thompson misses free throw 2 of 2
7:19.0,Defensive rebound by R. Westbrook,,6-7,,
7:06.0,P. George misses 3-pt shot from 25 ft,,6-7,,
7:03.0,Offensive rebound by P. George,,6-7,,
6:59.0,J. Huestis makes 3-pt shot from 23 ft (assist by C. Anthony),3,9-7,,
6:47.0,,,9-7,,Turnover by S. Curry (bad pass; steal by P. George)
6:43.0,P. George misses 2-pt shot from 1 ft (block by J. McGee),,9-7,,
6:37.0,Offensive rebound by R. Westbrook,,9-7,,
6:37.0,R. Westbrook misses 2-pt shot from 2 ft,,9-7,,
6:32.0,Offensive rebound by J. Huestis,,9-7,,
6:32.0,J. Huestis misses 2-pt shot at rim,,9-7,,
6:30.0,,,9-7,,Defensive rebound by J. McGee
6:25.0,,,9-9,2,K. Thompson makes 2-pt shot from 15 ft (assist by D. Green)
6:17.0,P. George misses 3-pt shot from 26 ft,,9-9,,
6:13.0,Offensive rebound by R. Westbrook,,9-9,,
6:12.0,C. Anthony misses 3-pt shot from 24 ft,,9-9,,
6:09.0,,,9-9,,Defensive rebound by J. McGee
5:58.0,,,9-11,2,K. Durant makes 2-pt shot from 10 ft (assist by D. Green)
5:35.0,Turnover by J. Huestis (step out of bounds),,9-11,,
5:18.0,,,9-11,,Turnover by D. Green (bad pass)
5:18.0,J. Grant enters the game for J. Huestis,,9-11,,
4:54.0,J. Grant misses 3-pt shot from 23 ft,,9-11,,
