time,Milwaukee,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Henson (J. Martin gains possession),,,,Jump ball: M. Gasol vs. J. Henson (J. Martin gains possession)
11:49.0,Personal foul by T. Snell (drawn by D. Brooks),,0-0,,
11:41.0,,,0-2,2,M. Gasol makes 2-pt shot from 1 ft
11:41.0,,,0-2,,Shooting foul by J. Henson (drawn by M. Gasol)
11:41.0,,,0-2,,M. Gasol misses free throw 1 of 1
11:37.0,Defensive rebound by J. Henson,,0-2,,
11:22.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,3-2,,
11:08.0,,,3-4,2,D. Brooks makes 2-pt shot at rim (assist by M. Gasol)
10:51.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,3-4,,
10:49.0,,,3-4,,Defensive rebound by J. Green
10:37.0,,,3-4,,D. Brooks misses 3-pt shot from 26 ft
10:34.0,Defensive rebound by J. Henson,,3-4,,
10:22.0,T. Snell misses 3-pt shot from 26 ft,,3-4,,
10:20.0,,,3-4,,Defensive rebound by M. Gasol
10:14.0,,,3-6,2,K. Simmons makes 2-pt shot at rim
10:00.0,K. Middleton misses 2-pt shot from 17 ft,,3-6,,
9:58.0,,,3-6,,Defensive rebound by Team
9:58.0,Loose ball foul by G. Antetokounmpo (drawn by K. Simmons),,3-6,,
9:46.0,Personal foul by E. Bledsoe (drawn by K. Simmons),,3-6,,
9:33.0,,,3-8,2,J. Green makes 2-pt shot from 1 ft
9:20.0,,,3-8,,Personal foul by J. Green (drawn by G. Antetokounmpo)
9:12.0,K. Middleton makes 2-pt shot from 11 ft (assist by E. Bledsoe),2,5-8,,
8:58.0,,,5-10,2,M. Gasol makes 2-pt shot from 19 ft (assist by J. Martin)
8:47.0,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo),2,7-10,,
8:33.0,,,7-10,,Turnover by J. Green (bad pass)
8:16.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,7-10,,
8:15.0,,,7-10,,Defensive rebound by M. Gasol
