time,Miami,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: T. Thompson vs. H. Whiteside (G. Dragic gains possession)
11:42.0,Turnover by H. Whiteside (lost ball; steal by I. Thomas),,0-0,,
11:22.0,,,0-0,,J. Crowder misses 2-pt shot from 21 ft
11:19.0,Defensive rebound by G. Dragic,,0-0,,
11:15.0,T. Johnson misses 3-pt shot from 24 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by J. Smith
10:55.0,,,0-2,2,J. Crowder makes 2-pt shot at rim (assist by I. Thomas)
10:44.0,G. Dragic misses 3-pt shot from 25 ft,,0-2,,
10:41.0,,,0-2,,Defensive rebound by J. Crowder
10:30.0,,,0-2,,I. Thomas misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by J. Johnson,,0-2,,
10:18.0,J. Richardson misses 3-pt shot from 22 ft,,0-2,,
10:14.0,,,0-2,,Defensive rebound by T. Thompson
10:03.0,,,0-4,2,L. James makes 2-pt shot from 4 ft
9:50.0,J. Richardson misses 2-pt shot at rim,,0-4,,
9:48.0,,,0-4,,Defensive rebound by J. Crowder
9:43.0,,,0-4,,I. Thomas misses 3-pt shot from 22 ft
9:39.0,Defensive rebound by T. Johnson,,0-4,,
9:25.0,T. Johnson misses 3-pt shot from 24 ft,,0-4,,
9:21.0,,,0-4,,Defensive rebound by L. James
9:13.0,,,0-6,2,I. Thomas makes 2-pt shot from 16 ft
8:58.0,,,0-6,,Personal foul by T. Thompson (drawn by H. Whiteside)
8:45.0,J. Richardson makes 2-pt shot from 1 ft,2,2-6,,
8:32.0,,,2-8,2,L. James makes 2-pt shot from 21 ft
8:21.0,Turnover by G. Dragic (lost ball; steal by I. Thomas),,2-8,,
8:17.0,,,2-8,,T. Thompson misses 2-pt shot from 2 ft
8:17.0,,,2-8,,Offensive rebound by I. Thomas
8:17.0,,,2-8,,Shooting foul by T. Johnson (drawn by I. Thomas)
8:17.0,,,2-9,1,I. Thomas makes free throw 1 of 2
8:17.0,,,2-10,1,I. Thomas makes free throw 2 of 2
8:07.0,J. Richardson misses 2-pt shot from 15 ft,,2-10,,
8:04.0,,,2-10,,Defensive rebound by I. Thomas
7:53.0,,,2-10,,L. James misses 2-pt shot from 15 ft
7:51.0,Defensive rebound by T. Johnson,,2-10,,
7:43.0,Shooting foul by I. Thomas (drawn by H. Whiteside),,2-10,,
7:43.0,H. Whiteside misses free throw 1 of 2,,2-10,,
7:43.0,Offensive rebound by Team,,2-10,,
7:43.0,H. Whiteside makes free throw 2 of 2,1,3-10,,
7:34.0,,,3-10,,Offensive foul by L. James (drawn by T. Johnson)
7:34.0,,,3-10,,Turnover by L. James (offensive foul)
7:20.0,T. Johnson makes 2-pt shot at rim (assist by J. Johnson),2,5-10,,
7:03.0,,,5-10,,Turnover by T. Thompson (lost ball; steal by J. Johnson)
7:00.0,Shooting foul by I. Thomas (drawn by G. Dragic),,5-10,,
7:00.0,G. Dragic makes free throw 1 of 2,1,6-10,,
7:00.0,G. Dragic misses free throw 2 of 2,,6-10,,
6:57.0,,,6-10,,Defensive rebound by J. Crowder
6:49.0,,,6-10,,Turnover by L. James (bad pass; steal by T. Johnson)
6:44.0,Turnover by J. Richardson (bad pass; steal by J. Smith),,6-10,,
6:40.0,,,6-10,,Shooting foul by J. Johnson (drawn by L. James)
6:40.0,,,6-10,,Cleveland full timeout
6:40.0,,,6-11,1,L. James makes free throw 1 of 2
6:40.0,,,6-12,1,L. James makes free throw 2 of 2
6:18.0,J. Johnson misses 3-pt shot from 25 ft,,6-12,,
6:15.0,Offensive rebound by H. Whiteside,,6-12,,
6:13.0,H. Whiteside makes 2-pt shot from 6 ft,2,8-12,,
6:00.0,,,8-14,2,J. Smith makes 2-pt shot from 17 ft (assist by T. Thompson)
5:42.0,G. Dragic makes 2-pt shot from 12 ft,2,10-14,,
5:25.0,,,10-14,,Turnover by L. James (bad pass)
5:25.0,W. Ellington enters the game for J. Richardson,,10-14,,
5:03.0,T. Johnson misses 2-pt shot from 2 ft,,10-14,,
5:00.0,,,10-14,,Defensive rebound by J. Crowder
4:56.0,,,10-17,3,L. James makes 3-pt shot from 25 ft (assist by J. Smith)
4:45.0,Miami full timeout,,10-17,,
4:32.0,J. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic),2,12-17,,
4:18.0,,,12-19,2,J. Smith makes 2-pt shot from 9 ft (assist by J. Crowder)
