time,Milwaukee,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. J. Henson (K. Irving gains possession),,,,Jump ball: A. Horford vs. J. Henson (K. Irving gains possession)
11:37.0,,,0-2,2,K. Irving makes 2-pt shot from 3 ft
11:21.0,T. Snell misses 2-pt shot from 15 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by A. Horford
11:10.0,,,0-5,3,J. Tatum makes 3-pt shot from 26 ft (assist by J. Brown)
10:50.0,E. Bledsoe makes 2-pt shot from 2 ft,2,2-5,,
10:27.0,,,2-5,,J. Brown misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by K. Middleton,,2-5,,
10:21.0,Shooting foul by J. Brown (drawn by K. Middleton),,2-5,,
10:21.0,K. Middleton makes free throw 1 of 2,1,3-5,,
10:21.0,K. Middleton makes free throw 2 of 2,1,4-5,,
10:07.0,,,4-5,,Turnover by A. Horford (lost ball; steal by K. Middleton)
10:04.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,6-5,,
9:53.0,,,6-5,,Shooting foul by T. Snell (drawn by A. Baynes)
9:53.0,,,6-6,1,A. Baynes makes free throw 1 of 2
9:53.0,,,6-7,1,A. Baynes makes free throw 2 of 2
9:38.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,6-7,,
9:35.0,,,6-7,,Defensive rebound by A. Baynes
9:28.0,,,6-9,2,K. Irving makes 2-pt shot from 1 ft
9:09.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,6-9,,
9:08.0,Offensive rebound by G. Antetokounmpo,,6-9,,
9:07.0,G. Antetokounmpo makes 2-pt shot at rim,2,8-9,,
8:43.0,,,8-9,,Shooting foul by G. Antetokounmpo (drawn by J. Tatum)
8:43.0,,,8-10,1,J. Tatum makes free throw 1 of 2
8:43.0,,,8-11,1,J. Tatum makes free throw 2 of 2
8:33.0,J. Henson misses 2-pt shot from 4 ft,,8-11,,
8:31.0,,,8-11,,Defensive rebound by A. Baynes
8:26.0,,,8-11,,K. Irving misses 2-pt shot from 3 ft
8:21.0,,,8-11,,Offensive rebound by A. Baynes
8:21.0,,,8-13,2,A. Baynes makes 2-pt shot from 1 ft
8:07.0,K. Middleton misses 3-pt shot from 22 ft,,8-13,,
8:05.0,,,8-13,,Defensive rebound by J. Brown
8:00.0,,,8-13,,Offensive charge foul by J. Brown (drawn by J. Henson)
8:00.0,,,8-13,,Turnover by J. Brown (offensive foul)
7:54.0,Shooting foul by K. Irving (drawn by E. Bledsoe),,8-13,,
7:54.0,E. Bledsoe makes free throw 1 of 2,1,9-13,,
7:54.0,E. Bledsoe makes free throw 2 of 2,1,10-13,,
7:34.0,,,10-13,,K. Irving misses 3-pt shot from 23 ft
7:31.0,Defensive rebound by K. Middleton,,10-13,,
7:24.0,K. Middleton makes 2-pt shot from 19 ft (assist by G. Antetokounmpo),2,12-13,,
7:24.0,Shooting foul by J. Brown (drawn by K. Middleton),,12-13,,
7:24.0,,,12-13,,M. Smart enters the game for J. Brown
7:24.0,K. Middleton makes free throw 1 of 1,1,13-13,,
7:05.0,,,13-15,2,A. Horford makes 2-pt shot at rim (assist by M. Smart)
6:57.0,J. Henson misses 2-pt shot from 2 ft (block by A. Baynes),,13-15,,
6:56.0,Offensive rebound by E. Bledsoe,,13-15,,
6:53.0,E. Bledsoe misses 3-pt shot from 22 ft,,13-15,,
6:51.0,,,13-15,,Defensive rebound by J. Tatum
6:42.0,,,13-17,2,A. Horford makes 2-pt shot from 5 ft (assist by A. Baynes)
6:36.0,Shooting foul by A. Horford (drawn by G. Antetokounmpo),,13-17,,
6:36.0,,,13-17,,Boston full timeout
6:36.0,G. Antetokounmpo makes free throw 1 of 2,1,14-17,,
6:36.0,G. Antetokounmpo makes free throw 2 of 2,1,15-17,,
6:24.0,,,15-20,3,J. Tatum makes 3-pt shot from 25 ft (assist by A. Horford)
6:05.0,Shooting foul by A. Baynes (drawn by G. Antetokounmpo),,15-20,,
6:05.0,G. Antetokounmpo makes free throw 1 of 2,1,16-20,,
6:05.0,G. Antetokounmpo makes free throw 2 of 2,1,17-20,,
5:55.0,,,17-20,,Shooting foul by K. Middleton (drawn by A. Baynes)
5:55.0,,,17-21,1,A. Baynes makes free throw 1 of 2
5:55.0,,,17-22,1,A. Baynes makes free throw 2 of 2
5:36.0,J. Henson misses 2-pt shot from 7 ft,,17-22,,
5:33.0,,,17-22,,Defensive rebound by J. Tatum
5:24.0,,,17-24,2,A. Baynes makes 2-pt shot from 3 ft (assist by A. Horford)
5:03.0,J. Henson misses 2-pt shot from 7 ft,,17-24,,
5:00.0,,,17-24,,Defensive rebound by K. Irving
4:50.0,,,17-24,,Turnover by M. Smart (bad pass; steal by J. Henson)
4:45.0,Shooting foul by M. Smart (drawn by K. Middleton),,17-24,,
4:45.0,K. Middleton makes free throw 1 of 2,1,18-24,,
4:45.0,,,18-24,,M. Morris enters the game for A. Baynes
4:45.0,T. Maker enters the game for E. Bledsoe,,18-24,,
4:45.0,M. Brogdon enters the game for J. Henson,,18-24,,
4:45.0,K. Middleton makes free throw 2 of 2,1,19-24,,
4:27.0,,,19-27,3,J. Tatum makes 3-pt shot from 24 ft (assist by A. Horford)
4:10.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton),2,21-27,,
4:10.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,21-27,,
4:10.0,,,21-27,,T. Rozier enters the game for K. Irving
