time,San Antonio,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Adebayo vs. P. Gasol (L. Aldridge gains possession),,,,Jump ball: B. Adebayo vs. P. Gasol (L. Aldridge gains possession)
11:40.0,,,0-0,,Personal foul by B. Adebayo (drawn by L. Aldridge)
11:29.0,P. Gasol makes 2-pt shot from 8 ft (assist by D. Murray),2,2-0,,
11:04.0,,,2-2,2,G. Dragic makes 2-pt shot from 3 ft
10:39.0,L. Aldridge misses 2-pt shot from 18 ft,,2-2,,
10:37.0,Offensive rebound by Team,,2-2,,
10:35.0,P. Gasol misses 2-pt shot at rim,,2-2,,
10:27.0,Offensive rebound by P. Gasol,,2-2,,
10:27.0,P. Gasol makes 2-pt shot at rim,2,4-2,,
10:21.0,,,4-2,,J. Johnson misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by K. Anderson,,4-2,,
10:08.0,L. Aldridge makes 2-pt shot from 5 ft,2,6-2,,
9:50.0,,,6-2,,J. Richardson misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by L. Aldridge,,6-2,,
9:39.0,D. Murray misses 2-pt shot from 1 ft (block by B. Adebayo),,6-2,,
9:33.0,,,6-2,,Defensive rebound by D. Waiters
9:32.0,Personal foul by D. Murray (drawn by D. Waiters),,6-2,,
9:17.0,,,6-5,3,D. Waiters makes 3-pt shot from 25 ft (assist by J. Johnson)
9:02.0,K. Anderson misses 2-pt shot from 7 ft,,6-5,,
8:58.0,Offensive rebound by K. Anderson,,6-5,,
8:57.0,K. Anderson makes 2-pt shot from 7 ft,2,8-5,,
8:49.0,,,8-7,2,G. Dragic makes 2-pt shot from 17 ft
8:33.0,L. Aldridge makes 2-pt shot from 13 ft,2,10-7,,
8:13.0,,,10-7,,J. Johnson misses 2-pt shot from 8 ft
8:10.0,Defensive rebound by D. Green,,10-7,,
8:09.0,Shooting foul by J. Richardson (drawn by P. Gasol),,10-7,,
8:09.0,P. Gasol misses free throw 1 of 2,,10-7,,
8:09.0,Offensive rebound by Team,,10-7,,
8:09.0,P. Gasol makes free throw 2 of 2,1,11-7,,
7:59.0,,,11-9,2,G. Dragic makes 2-pt shot from 19 ft
7:50.0,,,11-9,,Personal foul by G. Dragic (drawn by D. Murray)
7:43.0,K. Anderson makes 2-pt shot from 5 ft,2,13-9,,
7:30.0,,,13-11,2,G. Dragic makes 2-pt shot from 9 ft
7:10.0,L. Aldridge makes 3-pt shot from 23 ft (assist by D. Green),3,16-11,,
6:57.0,,,16-11,,J. Johnson misses 2-pt shot from 1 ft
6:55.0,Defensive rebound by P. Gasol,,16-11,,
6:45.0,D. Green makes 2-pt shot from 1 ft,2,18-11,,
6:45.0,,,18-11,,Miami full timeout
6:45.0,R. Gay enters the game for P. Gasol,,18-11,,
6:32.0,,,18-13,2,D. Waiters makes 2-pt shot from 1 ft
