time,Oklahoma City,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Millsap vs. S. Adams (R. Westbrook gains possession),,,,Jump ball: P. Millsap vs. S. Adams (R. Westbrook gains possession)
11:37.0,C. Anthony makes 2-pt shot from 9 ft,2,2-0,,
11:20.0,,,2-2,2,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic)
11:05.0,Turnover by A. Roberson (turnover),,2-2,,
10:47.0,,,2-2,,P. Millsap misses 2-pt shot from 11 ft
10:43.0,Defensive rebound by S. Adams,,2-2,,
10:41.0,R. Westbrook makes 2-pt shot from 2 ft,2,4-2,,
10:41.0,Shooting foul by J. Murray (drawn by R. Westbrook),,4-2,,
10:41.0,R. Westbrook misses free throw 1 of 1,,4-2,,
10:36.0,Offensive rebound by P. George,,4-2,,
10:33.0,C. Anthony makes 3-pt shot from 25 ft (assist by A. Roberson),3,7-2,,
10:07.0,,,7-5,3,J. Murray makes 3-pt shot from 23 ft (assist by W. Chandler)
9:52.0,S. Adams misses 2-pt shot from 3 ft,,7-5,,
9:46.0,Offensive rebound by A. Roberson,,7-5,,
9:46.0,A. Roberson makes 2-pt shot at rim,2,9-5,,
9:41.0,,,9-5,,P. Millsap misses 3-pt shot from 24 ft
9:37.0,Defensive rebound by P. George,,9-5,,
9:34.0,,,9-5,,Personal foul by N. Jokic (drawn by S. Adams)
9:17.0,S. Adams makes 2-pt shot from 4 ft (assist by A. Roberson),2,11-5,,
9:05.0,,,11-7,2,N. Jokic makes 2-pt shot from 1 ft (assist by G. Harris)
8:43.0,C. Anthony misses 2-pt shot from 19 ft,,11-7,,
8:42.0,Offensive rebound by Team,,11-7,,
8:38.0,C. Anthony makes 3-pt shot from 24 ft (assist by P. George),3,14-7,,
8:20.0,,,14-7,,Turnover by J. Murray (bad pass; steal by R. Westbrook)
8:15.0,R. Westbrook misses 2-pt shot from 3 ft,,14-7,,
8:12.0,,,14-7,,Defensive rebound by P. Millsap
8:08.0,,,14-7,,W. Chandler misses 2-pt shot from 5 ft
8:08.0,,,14-7,,Offensive rebound by P. Millsap
8:08.0,,,14-7,,P. Millsap misses 2-pt shot from 3 ft (block by A. Roberson)
8:08.0,,,14-7,,Offensive rebound by Team
8:04.0,,,14-7,,Turnover by W. Chandler (bad pass; steal by R. Westbrook)
8:00.0,R. Westbrook misses 2-pt shot from 4 ft (block by P. Millsap),,14-7,,
7:56.0,,,14-7,,Defensive rebound by N. Jokic
7:54.0,,,14-10,3,G. Harris makes 3-pt shot from 23 ft (assist by W. Chandler)
7:54.0,Oklahoma City full timeout,,14-10,,
7:29.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,16-10,,
7:14.0,,,16-10,,N. Jokic misses 2-pt shot from 6 ft (block by C. Anthony)
7:11.0,Defensive rebound by P. George,,16-10,,
7:10.0,Shooting foul by G. Harris (drawn by S. Adams),,16-10,,
7:10.0,S. Adams makes free throw 2 of 2,1,17-10,,
7:10.0,S. Adams misses free throw 1 of 2,,17-10,,
7:10.0,Offensive rebound by Team,,17-10,,
6:45.0,,,17-10,,N. Jokic misses 2-pt shot from 11 ft
6:45.0,Defensive rebound by A. Roberson,,17-10,,
6:35.0,R. Westbrook misses 2-pt shot from 18 ft,,17-10,,
6:31.0,,,17-10,,Defensive rebound by J. Murray
6:16.0,,,17-10,,P. Millsap misses 2-pt shot from 10 ft
6:14.0,Defensive rebound by R. Westbrook,,17-10,,
6:10.0,R. Westbrook makes 2-pt shot from 2 ft,2,19-10,,
5:51.0,,,19-10,,Turnover by J. Murray (lost ball; steal by P. George)
5:48.0,P. George makes 2-pt shot from 2 ft,2,21-10,,
5:48.0,Shooting foul by W. Chandler (drawn by P. George),,21-10,,
5:48.0,,,21-10,,Denver full timeout
5:48.0,,,21-10,,W. Barton enters the game for N. Jokic
5:48.0,,,21-10,,E. Mudiay enters the game for W. Chandler
5:48.0,,,21-10,,M. Plumlee enters the game for J. Murray
5:48.0,P. George misses free throw 1 of 1,,21-10,,
5:45.0,Offensive rebound by S. Adams,,21-10,,
5:40.0,Turnover by P. George (bad pass; steal by W. Barton),,21-10,,
5:36.0,,,21-10,,G. Harris misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by R. Westbrook,,21-10,,
5:19.0,C. Anthony misses 3-pt shot from 25 ft,,21-10,,
5:15.0,,,21-10,,Defensive rebound by E. Mudiay
5:13.0,,,21-12,2,P. Millsap makes 2-pt shot from 2 ft (assist by E. Mudiay)
4:54.0,S. Adams misses 2-pt shot from 3 ft (block by P. Millsap),,21-12,,
4:49.0,Offensive rebound by R. Westbrook,,21-12,,
4:46.0,Turnover by Team (shot clock),,21-12,,
4:46.0,A. Abrines enters the game for P. George,,21-12,,
4:32.0,,,21-12,,Turnover by E. Mudiay (bad pass)
4:12.0,Shooting foul by G. Harris (drawn by C. Anthony),,21-12,,
4:12.0,C. Anthony makes free throw 1 of 2,1,22-12,,
4:12.0,,,22-12,,W. Chandler enters the game for G. Harris
4:12.0,C. Anthony makes free throw 2 of 2,1,23-12,,
3:58.0,,,23-14,2,E. Mudiay makes 2-pt shot from 9 ft (assist by W. Barton)
3:48.0,Turnover by R. Westbrook (lost ball; steal by P. Millsap),,23-14,,
3:42.0,,,23-17,3,E. Mudiay makes 3-pt shot from 25 ft (assist by P. Millsap)
3:21.0,R. Westbrook misses 2-pt shot from 3 ft (block by P. Millsap),,23-17,,
3:21.0,Offensive rebound by Team,,23-17,,
3:20.0,J. Grant enters the game for R. Westbrook,,23-17,,
3:20.0,R. Felton enters the game for C. Anthony,,23-17,,
3:20.0,Jump ball: P. Millsap vs. A. Roberson (S. Adams gains possession),,,,Jump ball: P. Millsap vs. A. Roberson (S. Adams gains possession)
3:06.0,R. Felton misses 3-pt shot from 24 ft,,23-17,,
2:59.0,Offensive rebound by A. Roberson,,23-17,,
2:59.0,A. Roberson makes 2-pt shot at rim,2,25-17,,
2:48.0,,,25-17,,W. Barton misses 3-pt shot from 25 ft
2:45.0,,,25-17,,Offensive rebound by W. Chandler
2:25.0,,,25-17,,W. Barton misses 3-pt shot from 25 ft
2:23.0,Defensive rebound by A. Roberson,,25-17,,
2:08.0,Offensive charge foul by J. Grant (drawn by P. Millsap),,25-17,,
2:08.0,Turnover by J. Grant (offensive foul),,25-17,,
2:08.0,,,25-17,,N. Jokic enters the game for P. Millsap
2:08.0,P. George enters the game for A. Roberson,,25-17,,
1:50.0,,,25-17,,Turnover by E. Mudiay (bad pass; steal by J. Grant)
1:43.0,J. Grant misses 3-pt shot from 24 ft,,25-17,,
1:37.0,,,25-17,,Defensive rebound by N. Jokic
1:29.0,Def 3 sec tech foul by S. Adams,,25-17,,
1:29.0,,,25-18,1,W. Barton makes technical free throw
1:29.0,P. Patterson enters the game for S. Adams,,25-18,,
1:27.0,Personal foul by P. George (drawn by W. Chandler),,25-18,,
1:13.0,,,25-18,,W. Chandler misses 2-pt shot from 20 ft
1:11.0,,,25-18,,Offensive rebound by M. Plumlee
1:09.0,,,25-18,,W. Chandler misses 2-pt shot from 2 ft
1:09.0,Defensive rebound by P. George,,25-18,,
1:08.0,Turnover by P. George (turnover),,25-18,,
1:02.0,,,25-20,2,M. Plumlee makes 2-pt shot from 1 ft (assist by E. Mudiay)
0:40.0,J. Grant makes 3-pt shot from 23 ft (assist by R. Felton),3,28-20,,
0:23.0,,,28-22,2,M. Plumlee makes 2-pt shot from 5 ft (assist by E. Mudiay)
0:00.0,P. George misses 2-pt shot from 19 ft,,28-22,,
0:00.0,Offensive rebound by Team,,28-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,28-22,,N. Jokic misses 2-pt shot from 4 ft
11:40.0,Defensive rebound by J. Grant,,28-22,,
11:40.0,Turnover by J. Grant (lost ball; steal by M. Plumlee),,28-22,,
11:40.0,,,28-22,,M. Plumlee misses 2-pt shot from 3 ft (block by P. George)
11:40.0,,,28-22,,Offensive rebound by Team
11:34.0,,,28-22,,M. Plumlee misses 2-pt shot from 2 ft
11:34.0,,,28-22,,Offensive rebound by M. Plumlee
11:34.0,,,28-24,2,M. Plumlee makes 2-pt shot from 2 ft
11:34.0,,,28-24,,Shooting foul by J. Grant (drawn by M. Plumlee)
11:34.0,A. Roberson enters the game for A. Abrines,,28-24,,
11:34.0,,,28-25,1,M. Plumlee makes free throw 1 of 1
11:24.0,,,28-25,,Violation by M. Plumlee (kicked ball)
11:14.0,P. George misses 2-pt shot from 15 ft,,28-25,,
11:10.0,,,28-25,,Defensive rebound by M. Beasley
11:06.0,,,28-27,2,M. Beasley makes 2-pt shot from 3 ft (assist by W. Barton)
11:06.0,,,28-27,,Shooting foul by A. Roberson (drawn by M. Beasley)
11:06.0,,,28-27,,M. Beasley misses free throw 1 of 1
11:03.0,Defensive rebound by J. Grant,,28-27,,
10:46.0,P. Patterson misses 3-pt shot from 23 ft,,28-27,,
10:42.0,,,28-27,,Defensive rebound by M. Beasley
10:36.0,,,28-27,,Turnover by M. Beasley (bad pass; steal by P. Patterson)
10:31.0,P. George makes 2-pt shot from 1 ft (assist by R. Felton),2,30-27,,
10:22.0,,,30-29,2,E. Mudiay makes 2-pt shot from 2 ft (assist by N. Jokic)
10:22.0,,,30-29,,Shooting foul by R. Felton (drawn by E. Mudiay)
10:22.0,,,30-30,1,E. Mudiay makes free throw 1 of 1
10:14.0,P. Patterson misses 2-pt shot from 14 ft,,30-30,,
10:12.0,,,30-30,,Defensive rebound by Team
10:01.0,,,30-30,,Offensive charge foul by N. Jokic (drawn by J. Grant)
10:01.0,,,30-30,,Turnover by N. Jokic (offensive foul)
10:01.0,Oklahoma City full timeout,,30-30,,
10:01.0,,,30-30,,P. Millsap enters the game for N. Jokic
9:50.0,R. Felton misses 2-pt shot from 2 ft,,30-30,,
9:44.0,Offensive rebound by J. Grant,,30-30,,
9:44.0,J. Grant makes 2-pt shot at rim,2,32-30,,
9:33.0,,,32-30,,Turnover by P. Millsap (bad pass; steal by J. Grant)
9:19.0,A. Roberson misses 3-pt shot from 24 ft,,32-30,,
9:14.0,,,32-30,,Defensive rebound by M. Beasley
9:06.0,,,32-30,,Turnover by M. Plumlee (lost ball; steal by R. Felton)
9:01.0,R. Felton makes 2-pt shot from 2 ft (assist by A. Roberson),2,34-30,,
8:59.0,,,34-30,,Denver full timeout
8:59.0,,,34-30,,G. Harris enters the game for M. Beasley
8:59.0,R. Westbrook enters the game for A. Roberson,,34-30,,
8:38.0,,,34-32,2,M. Plumlee makes 2-pt shot from 1 ft (assist by P. Millsap)
8:38.0,,,34-32,,Shooting foul by P. Patterson (drawn by M. Plumlee)
8:38.0,,,34-33,1,M. Plumlee makes free throw 1 of 1
8:20.0,J. Grant makes 3-pt shot from 24 ft (assist by P. Patterson),3,37-33,,
8:04.0,,,37-33,,G. Harris misses 2-pt shot from 7 ft (block by P. Patterson)
8:01.0,,,37-33,,Offensive rebound by P. Millsap
7:57.0,,,37-33,,W. Chandler enters the game for M. Plumlee
7:57.0,C. Anthony enters the game for P. Patterson,,37-33,,
7:56.0,,,37-33,,W. Barton misses 2-pt shot from 5 ft (block by J. Grant)
7:56.0,,,37-33,,Offensive rebound by Team
7:53.0,,,37-36,3,E. Mudiay makes 3-pt shot from 24 ft
7:38.0,,,37-36,,Def 3 sec tech foul by W. Chandler
7:38.0,P. George misses technical free throw,,37-36,,
7:38.0,Offensive rebound by Team,,37-36,,
7:26.0,C. Anthony misses 2-pt shot from 4 ft (block by P. Millsap),,37-36,,
7:25.0,Offensive rebound by J. Grant,,37-36,,
7:25.0,Shooting foul by W. Chandler (drawn by J. Grant),,37-36,,
7:25.0,J. Grant makes free throw 1 of 2,1,38-36,,
7:25.0,A. Roberson enters the game for P. George,,38-36,,
7:25.0,J. Grant makes free throw 2 of 2,1,39-36,,
7:07.0,,,39-36,,P. Millsap misses 2-pt shot from 3 ft
7:07.0,Defensive rebound by Team,,39-36,,
7:07.0,S. Adams enters the game for J. Grant,,39-36,,
6:55.0,R. Westbrook misses 2-pt shot from 2 ft,,39-36,,
6:50.0,Offensive rebound by S. Adams,,39-36,,
6:50.0,S. Adams misses 2-pt shot at rim (block by P. Millsap),,39-36,,
6:48.0,Offensive rebound by S. Adams,,39-36,,
6:48.0,S. Adams makes 2-pt shot at rim,2,41-36,,
6:34.0,,,41-36,,G. Harris misses 2-pt shot from 2 ft
6:33.0,,,41-36,,Offensive rebound by G. Harris
6:31.0,,,41-38,2,G. Harris makes 2-pt shot from 2 ft
6:24.0,R. Westbrook misses 2-pt shot from 4 ft,,41-38,,
6:21.0,,,41-38,,Defensive rebound by E. Mudiay
6:20.0,,,41-38,,Shooting foul by C. Anthony (drawn by W. Barton)
6:20.0,,,41-39,1,W. Barton makes free throw 1 of 2
6:20.0,P. George enters the game for R. Felton,,41-39,,
6:20.0,,,41-40,1,W. Barton makes free throw 2 of 2
6:00.0,P. George misses 2-pt shot from 5 ft (block by P. Millsap),,41-40,,
5:57.0,,,41-40,,Defensive rebound by W. Chandler
5:53.0,,,41-40,,Turnover by E. Mudiay (bad pass; steal by P. George)
5:40.0,C. Anthony misses 2-pt shot from 14 ft,,41-40,,
5:35.0,Offensive rebound by R. Westbrook,,41-40,,
5:30.0,P. George misses 3-pt shot from 23 ft,,41-40,,
