time,San Antonio,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. P. Gasol (T. Gibson gains possession),,,,Jump ball: K. Towns vs. P. Gasol (T. Gibson gains possession)
11:42.0,Personal foul by D. Green (drawn by K. Towns),,0-0,,
11:33.0,,,0-3,3,T. Gibson makes 3-pt shot from 22 ft (assist by K. Towns)
11:14.0,P. Mills misses 2-pt shot from 20 ft,,0-3,,
11:11.0,,,0-3,,Defensive rebound by A. Wiggins
11:06.0,,,0-3,,J. Teague misses 2-pt shot from 16 ft
11:03.0,Defensive rebound by K. Anderson,,0-3,,
10:49.0,L. Aldridge misses 2-pt shot from 15 ft,,0-3,,
10:49.0,,,0-3,,Defensive rebound by K. Towns
10:38.0,,,0-3,,J. Butler misses 2-pt shot from 11 ft
10:36.0,Defensive rebound by P. Gasol,,0-3,,
10:17.0,D. Green misses 2-pt shot from 1 ft (block by K. Towns),,0-3,,
10:14.0,,,0-3,,Defensive rebound by T. Gibson
10:11.0,,,0-5,2,A. Wiggins makes 2-pt shot at rim (assist by J. Teague)
10:10.0,San Antonio full timeout,,0-5,,
9:46.0,D. Green makes 2-pt shot from 6 ft (assist by P. Mills),2,2-5,,
9:28.0,,,2-5,,K. Towns misses 2-pt shot at rim
9:28.0,,,2-5,,Offensive rebound by K. Towns
9:28.0,,,2-5,,Shooting foul by L. Aldridge (drawn by K. Towns)
9:28.0,,,2-5,,K. Towns misses free throw 1 of 2
9:28.0,,,2-5,,Offensive rebound by Team
9:28.0,,,2-5,,K. Towns misses free throw 2 of 2
9:25.0,Defensive rebound by P. Gasol,,2-5,,
9:13.0,P. Gasol makes 2-pt shot from 16 ft (assist by D. Green),2,4-5,,
8:56.0,,,4-5,,A. Wiggins misses 2-pt shot from 17 ft
8:53.0,Defensive rebound by L. Aldridge,,4-5,,
8:37.0,P. Gasol makes 2-pt shot from 12 ft,2,6-5,,
8:24.0,,,6-5,,A. Wiggins misses 2-pt shot from 20 ft
8:21.0,Defensive rebound by K. Anderson,,6-5,,
8:13.0,K. Anderson misses 2-pt shot from 6 ft (block by J. Butler),,6-5,,
8:09.0,,,6-5,,Defensive rebound by K. Towns
8:01.0,,,6-5,,T. Gibson misses 2-pt shot from 16 ft
8:01.0,Defensive rebound by K. Anderson,,6-5,,
7:38.0,P. Mills misses 3-pt shot from 24 ft,,6-5,,
7:35.0,,,6-5,,Defensive rebound by A. Wiggins
7:27.0,,,6-7,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
7:18.0,Offensive foul by L. Aldridge (drawn by J. Teague),,6-7,,
7:18.0,Turnover by L. Aldridge (offensive foul),,6-7,,
