time,Indiana,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. M. Turner (W. Cauley-Stein gains possession),,,,Jump ball: S. Labissiere vs. M. Turner (W. Cauley-Stein gains possession)
11:42.0,,,0-0,,B. Bogdanovic misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by T. Young,,0-0,,
11:20.0,V. Oladipo makes 2-pt shot from 2 ft,2,2-0,,
11:00.0,,,2-2,2,W. Cauley-Stein makes 2-pt shot from 6 ft
10:51.0,,,2-2,,Personal foul by D. Fox (drawn by D. Collison)
10:51.0,,,2-2,,B. Hield enters the game for B. Bogdanovic
10:40.0,M. Turner misses 3-pt shot from 25 ft,,2-2,,
10:36.0,,,2-2,,Defensive rebound by B. Hield
10:25.0,,,2-4,2,B. Hield makes 2-pt shot from 21 ft
10:20.0,Indiana full timeout,,2-4,,
10:04.0,M. Turner makes 2-pt shot from 16 ft (assist by D. Collison),2,4-4,,
9:47.0,,,4-7,3,B. Hield makes 3-pt shot from 23 ft (assist by W. Cauley-Stein)
9:20.0,B. Bogdanovic misses 3-pt shot from 25 ft,,4-7,,
9:19.0,Offensive rebound by Team,,4-7,,
9:15.0,B. Bogdanovic makes 2-pt shot from 3 ft (assist by M. Turner),2,6-7,,
8:57.0,,,6-9,2,W. Cauley-Stein makes 2-pt shot at rim (assist by B. Hield)
8:41.0,M. Turner misses 2-pt shot from 20 ft,,6-9,,
8:37.0,,,6-9,,Defensive rebound by B. Hield
8:30.0,,,6-11,2,W. Cauley-Stein makes 2-pt shot from 4 ft
8:30.0,,,6-11,,Shooting foul by M. Turner (drawn by W. Cauley-Stein)
8:30.0,,,6-12,1,W. Cauley-Stein makes free throw 1 of 1
8:14.0,Shooting foul by J. Jackson (drawn by B. Bogdanovic),,6-12,,
8:14.0,B. Bogdanovic makes free throw 1 of 2,1,7-12,,
8:14.0,B. Bogdanovic makes free throw 2 of 2,1,8-12,,
8:06.0,,,8-14,2,D. Fox makes 2-pt shot from 8 ft
7:51.0,T. Young makes 3-pt shot from 24 ft (assist by D. Collison),3,11-14,,
7:32.0,,,11-17,3,B. Hield makes 3-pt shot from 23 ft (assist by W. Cauley-Stein)
7:19.0,D. Collison misses 2-pt shot from 23 ft,,11-17,,
7:16.0,,,11-17,,Defensive rebound by B. Hield
7:10.0,,,11-17,,Turnover by B. Hield (lost ball; steal by D. Collison)
7:06.0,D. Collison misses 2-pt shot from 1 ft,,11-17,,
7:04.0,Offensive rebound by V. Oladipo,,11-17,,
7:02.0,V. Oladipo makes 2-pt shot from 1 ft,2,13-17,,
6:50.0,,,13-17,,Turnover by S. Labissiere (bad pass; steal by V. Oladipo)
6:45.0,V. Oladipo makes 2-pt shot from 2 ft,2,15-17,,
6:19.0,,,15-17,,B. Hield misses 2-pt shot from 15 ft
