time,Brooklyn,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. T. Zeller (E. Ilyasova gains possession),,,,Jump ball: M. Plumlee vs. T. Zeller (E. Ilyasova gains possession)
11:42.0,,,0-0,,Turnover by K. Bazemore (lost ball; steal by T. Zeller)
11:36.0,R. Hollis-Jefferson makes 2-pt shot from 14 ft (assist by S. Dinwiddie),2,2-0,,
11:28.0,,,2-0,,E. Ilyasova misses 3-pt shot from 25 ft
11:28.0,Defensive rebound by S. Dinwiddie,,2-0,,
11:17.0,Turnover by R. Hollis-Jefferson (lost ball; steal by D. Schroder),,2-0,,
11:07.0,,,2-2,2,M. Plumlee makes 2-pt shot from 10 ft (assist by D. Schroder)
10:49.0,R. Hollis-Jefferson makes 2-pt shot from 19 ft,2,4-2,,
10:36.0,,,4-2,,T. Waller-Prince misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by A. Crabbe,,4-2,,
10:24.0,S. Dinwiddie makes 2-pt shot from 12 ft,2,6-2,,
10:08.0,,,6-2,,D. Schroder misses 2-pt shot from 16 ft
10:06.0,Defensive rebound by R. Hollis-Jefferson,,6-2,,
9:55.0,D. Carroll misses 3-pt shot from 25 ft,,6-2,,
9:51.0,,,6-2,,Defensive rebound by M. Plumlee
9:39.0,,,6-2,,Turnover by M. Plumlee (bad pass)
9:24.0,A. Crabbe makes 2-pt shot from 16 ft (assist by D. Carroll),2,8-2,,
9:07.0,Personal foul by T. Zeller (drawn by E. Ilyasova),,8-2,,
9:02.0,,,8-4,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
8:55.0,T. Zeller misses 2-pt shot from 1 ft (block by T. Waller-Prince),,8-4,,
8:55.0,,,8-4,,Defensive rebound by D. Schroder
8:49.0,,,8-4,,Turnover by D. Schroder (lost ball; steal by S. Dinwiddie)
8:44.0,D. Carroll makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,11-4,,
8:44.0,,,11-4,,Atlanta full timeout
8:34.0,,,11-4,,T. Waller-Prince misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by S. Dinwiddie,,11-4,,
8:20.0,D. Carroll makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,13-4,,
8:06.0,,,13-6,2,K. Bazemore makes 2-pt shot from 17 ft (assist by M. Plumlee)
7:48.0,R. Hollis-Jefferson misses 3-pt shot from 23 ft,,13-6,,
7:46.0,Offensive rebound by T. Zeller,,13-6,,
7:44.0,Turnover by T. Zeller (lost ball; steal by D. Schroder),,13-6,,
7:37.0,,,13-8,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Schroder)
7:17.0,D. Carroll misses 3-pt shot from 25 ft,,13-8,,
7:14.0,,,13-8,,Defensive rebound by M. Plumlee
7:07.0,,,13-8,,D. Schroder misses 2-pt shot from 14 ft
7:03.0,Defensive rebound by T. Zeller,,13-8,,
6:59.0,,,13-8,,Personal foul by E. Ilyasova (drawn by R. Hollis-Jefferson)
6:50.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by A. Crabbe),3,16-8,,
6:35.0,,,16-8,,M. Plumlee misses 2-pt shot at rim
6:32.0,Defensive rebound by A. Crabbe,,16-8,,
6:31.0,Turnover by D. Carroll (step out of bounds),,16-8,,
6:18.0,,,16-8,,T. Waller-Prince misses 2-pt shot from 6 ft (block by T. Zeller)
6:13.0,,,16-8,,Offensive rebound by T. Waller-Prince
6:12.0,,,16-10,2,E. Ilyasova makes 2-pt shot from 3 ft (assist by T. Waller-Prince)
5:58.0,A. Crabbe misses 2-pt shot from 18 ft,,16-10,,
5:53.0,,,16-10,,Defensive rebound by E. Ilyasova
5:37.0,,,16-10,,Shooting foul by T. Zeller (drawn by M. Plumlee)
5:37.0,,,16-11,1,M. Plumlee makes free throw 1 of 2
5:37.0,,,16-11,,D. Dedmon enters the game for E. Ilyasova
5:37.0,,,16-11,,M. Delaney enters the game for K. Bazemore
5:37.0,J. Allen enters the game for T. Zeller,,16-11,,
5:37.0,,,16-11,,M. Plumlee misses free throw 2 of 2
5:34.0,Defensive rebound by S. Dinwiddie,,16-11,,
5:28.0,Offensive charge foul by R. Hollis-Jefferson (drawn by T. Waller-Prince),,16-11,,
5:28.0,Turnover by R. Hollis-Jefferson (offensive foul),,16-11,,
5:28.0,,,16-11,,J. Collins enters the game for M. Plumlee
5:21.0,,,16-13,2,D. Schroder makes 2-pt shot from 17 ft (assist by M. Delaney)
5:02.0,R. Hollis-Jefferson misses 2-pt shot from 9 ft,,16-13,,
4:58.0,,,16-13,,Defensive rebound by J. Collins
4:53.0,,,16-13,,D. Schroder misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by R. Hollis-Jefferson,,16-13,,
4:35.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by J. Collins),,16-13,,
4:35.0,Offensive rebound by R. Hollis-Jefferson,,16-13,,
4:35.0,Shooting foul by D. Dedmon (drawn by R. Hollis-Jefferson),,16-13,,
4:35.0,R. Hollis-Jefferson makes free throw 1 of 2,1,17-13,,
4:35.0,N. Stauskas enters the game for S. Dinwiddie,,17-13,,
4:35.0,C. LeVert enters the game for D. Carroll,,17-13,,
4:35.0,R. Hollis-Jefferson misses free throw 2 of 2,,17-13,,
4:26.0,,,17-13,,Defensive rebound by D. Dedmon
4:17.0,,,17-13,,D. Dedmon misses 2-pt shot from 10 ft
4:14.0,Defensive rebound by R. Hollis-Jefferson,,17-13,,
4:12.0,A. Crabbe makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,20-13,,
3:58.0,,,20-15,2,D. Schroder makes 2-pt shot from 20 ft
