time,Oklahoma City,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Powell vs. S. Adams (C. Anthony gains possession),,,,Jump ball: D. Powell vs. S. Adams (C. Anthony gains possession)
11:37.0,P. George misses 2-pt shot from 5 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by H. Barnes
11:30.0,,,0-3,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Smith)
11:18.0,R. Westbrook makes 2-pt shot from 16 ft,2,2-3,,
10:51.0,,,2-6,3,H. Barnes makes 3-pt shot from 24 ft (assist by D. Nowitzki)
10:33.0,P. George makes 2-pt shot from 5 ft,2,4-6,,
10:23.0,,,4-9,3,H. Barnes makes 3-pt shot from 24 ft (assist by D. Powell)
10:04.0,J. Huestis misses 3-pt shot from 25 ft,,4-9,,
10:02.0,Offensive rebound by S. Adams,,4-9,,
9:58.0,S. Adams makes 2-pt shot from 5 ft,2,6-9,,
9:58.0,Shooting foul by D. Powell (drawn by S. Adams),,6-9,,
9:58.0,S. Adams makes free throw 1 of 1,1,7-9,,
9:44.0,,,7-9,,W. Matthews misses 2-pt shot from 11 ft
9:41.0,,,7-9,,Offensive rebound by W. Matthews
9:30.0,,,7-9,,Turnover by D. Powell (out of bounds lost ball)
9:17.0,C. Anthony misses 3-pt shot from 25 ft,,7-9,,
9:14.0,,,7-9,,Defensive rebound by W. Matthews
9:05.0,,,7-9,,D. Smith misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by P. George,,7-9,,
8:56.0,P. George makes 2-pt shot from 5 ft,2,9-9,,
8:35.0,,,9-9,,H. Barnes misses 2-pt shot from 2 ft
8:32.0,Defensive rebound by R. Westbrook,,9-9,,
8:29.0,,,9-9,,Personal foul by D. Smith (drawn by C. Anthony)
8:19.0,J. Huestis makes 3-pt shot from 23 ft (assist by P. George),3,12-9,,
7:49.0,,,12-9,,D. Smith misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by S. Adams,,12-9,,
7:45.0,,,12-9,,Violation by D. Smith (kicked ball)
7:45.0,,,12-9,,N. Noel enters the game for D. Nowitzki
7:45.0,,,12-9,,Y. Ferrell enters the game for D. Powell
7:39.0,R. Westbrook makes 2-pt shot from 4 ft (assist by S. Adams),2,14-9,,
7:18.0,,,14-9,,H. Barnes misses 3-pt shot from 23 ft
7:18.0,Defensive rebound by P. George,,14-9,,
7:08.0,P. George misses 2-pt shot from 3 ft,,14-9,,
7:06.0,,,14-9,,Defensive rebound by Y. Ferrell
7:04.0,,,14-9,,Turnover by Y. Ferrell (bad pass)
6:47.0,C. Anthony misses 2-pt shot from 14 ft,,14-9,,
6:47.0,Offensive rebound by S. Adams,,14-9,,
6:46.0,,,14-9,,Dallas full timeout
6:41.0,Jump ball: N. Noel vs. S. Adams (R. Westbrook gains possession),,,,Jump ball: N. Noel vs. S. Adams (R. Westbrook gains possession)
6:30.0,Turnover by P. George (bad pass; steal by N. Noel),,14-9,,
6:16.0,,,14-9,,W. Matthews misses 2-pt shot from 7 ft
6:14.0,,,14-9,,Offensive rebound by N. Noel
6:12.0,,,14-9,,Turnover by N. Noel (lost ball; steal by P. George)
6:07.0,C. Anthony makes 3-pt shot from 24 ft (assist by P. George),3,17-9,,
5:47.0,,,17-9,,Turnover by N. Noel (lost ball; steal by R. Westbrook)
5:40.0,R. Westbrook makes 2-pt shot from 19 ft,2,19-9,,
5:20.0,Def 3 sec tech foul by C. Anthony,,19-9,,
5:20.0,,,19-10,1,H. Barnes makes technical free throw
5:11.0,,,19-12,2,Y. Ferrell makes 2-pt shot from 14 ft (assist by D. Smith)
4:53.0,T. Ferguson enters the game for J. Huestis,,19-12,,
4:45.0,R. Westbrook misses 2-pt shot from 4 ft,,19-12,,
4:43.0,,,19-12,,Defensive rebound by Y. Ferrell
4:32.0,,,19-12,,Turnover by N. Noel (bad pass; steal by T. Ferguson)
4:26.0,R. Westbrook makes 2-pt shot from 6 ft (assist by P. George),2,21-12,,
4:15.0,,,21-12,,D. Smith misses 2-pt shot from 13 ft
4:12.0,Defensive rebound by P. George,,21-12,,
4:08.0,C. Anthony misses 3-pt shot from 24 ft,,21-12,,
4:04.0,Offensive rebound by S. Adams,,21-12,,
3:56.0,Shooting foul by D. Smith (drawn by P. George),,21-12,,
3:56.0,P. George makes free throw 1 of 2,1,22-12,,
3:56.0,,,22-12,,J. Barea enters the game for D. Smith
3:56.0,P. George makes free throw 2 of 2,1,23-12,,
3:34.0,,,23-14,2,N. Noel makes 2-pt shot from 7 ft (assist by J. Barea)
3:21.0,R. Westbrook makes 2-pt shot from 10 ft,2,25-14,,
3:01.0,,,25-14,,H. Barnes misses 2-pt shot from 21 ft
2:57.0,Defensive rebound by P. George,,25-14,,
2:49.0,P. George makes 3-pt shot from 29 ft (assist by T. Ferguson),3,28-14,,
2:49.0,,,28-14,,Dallas full timeout
2:49.0,,,28-14,,D. Powell enters the game for N. Noel
2:49.0,,,28-14,,D. Nowitzki enters the game for H. Barnes
2:49.0,R. Felton enters the game for R. Westbrook,,28-14,,
2:49.0,J. Grant enters the game for S. Adams,,28-14,,
2:26.0,,,28-16,2,D. Powell makes 2-pt shot from 2 ft (assist by D. Nowitzki)
2:03.0,Shooting foul by D. Nowitzki (drawn by J. Grant),,28-16,,
2:03.0,J. Grant makes free throw 1 of 2,1,29-16,,
2:03.0,J. Grant makes free throw 2 of 2,1,30-16,,
1:45.0,,,30-18,2,D. Powell makes 2-pt shot from 3 ft (assist by D. Nowitzki)
1:45.0,,,30-18,,Shooting foul by C. Anthony (drawn by D. Powell)
1:45.0,,,30-18,,D. Powell misses free throw 1 of 1
1:43.0,Defensive rebound by P. George,,30-18,,
1:28.0,C. Anthony misses 2-pt shot from 13 ft,,30-18,,
1:25.0,,,30-18,,Defensive rebound by J. Barea
1:16.0,,,30-18,,D. Powell misses 2-pt shot from 4 ft
1:13.0,Defensive rebound by C. Anthony,,30-18,,
1:02.0,C. Anthony misses 2-pt shot from 12 ft,,30-18,,
1:00.0,,,30-18,,Defensive rebound by D. Nowitzki
0:54.0,,,30-21,3,W. Matthews makes 3-pt shot from 23 ft (assist by J. Barea)
0:42.0,R. Felton makes 2-pt shot from 7 ft,2,32-21,,
0:31.0,,,32-21,,J. Barea misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by P. George,,32-21,,
0:23.0,Turnover by P. George (out of bounds lost ball),,32-21,,
0:23.0,P. Patterson enters the game for C. Anthony,,32-21,,
0:00.0,,,32-21,,W. Matthews misses 3-pt shot from 22 ft
0:00.0,,,32-21,,Offensive rebound by Team
