time,Dallas,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. M. Kleber (N. Jokic gains possession),,,,Jump ball: M. Plumlee vs. M. Kleber (N. Jokic gains possession)
11:41.0,,,0-2,2,G. Harris makes 2-pt shot from 22 ft (assist by N. Jokic)
11:24.0,H. Barnes makes 2-pt shot from 6 ft (assist by D. Nowitzki),2,2-2,,
11:11.0,,,2-5,3,T. Craig makes 3-pt shot from 26 ft (assist by G. Harris)
10:56.0,D. Smith misses 3-pt shot from 25 ft,,2-5,,
10:53.0,,,2-5,,Defensive rebound by M. Plumlee
10:41.0,,,2-7,2,N. Jokic makes 2-pt shot from 18 ft
10:16.0,M. Kleber misses 2-pt shot from 2 ft,,2-7,,
10:14.0,,,2-7,,Defensive rebound by Team
10:00.0,,,2-10,3,G. Harris makes 3-pt shot from 25 ft
9:39.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Smith),2,4-10,,
9:24.0,Personal foul by M. Kleber (drawn by N. Jokic),,4-10,,
9:14.0,,,4-13,3,W. Barton makes 3-pt shot from 27 ft (assist by N. Jokic)
8:59.0,Turnover by H. Barnes (bad pass; steal by M. Plumlee),,4-13,,
8:57.0,,,4-15,2,M. Plumlee makes 2-pt shot from 1 ft
8:57.0,Dallas full timeout,,4-15,,
8:48.0,H. Barnes misses 2-pt shot from 11 ft,,4-15,,
8:45.0,,,4-15,,Defensive rebound by N. Jokic
8:25.0,,,4-15,,M. Plumlee misses 2-pt shot from 4 ft
8:22.0,Defensive rebound by D. Nowitzki,,4-15,,
8:11.0,D. Nowitzki misses 2-pt shot from 14 ft,,4-15,,
8:08.0,,,4-15,,Defensive rebound by W. Barton
8:04.0,,,4-17,2,T. Craig makes 2-pt shot from 3 ft (assist by W. Barton)
7:40.0,H. Barnes makes 3-pt shot from 25 ft (assist by D. Smith),3,7-17,,
7:19.0,,,7-17,,G. Harris misses 3-pt shot from 26 ft
7:16.0,,,7-17,,Offensive rebound by M. Plumlee
7:14.0,,,7-19,2,M. Plumlee makes 2-pt shot from 1 ft
6:51.0,H. Barnes misses 2-pt shot from 21 ft,,7-19,,
6:49.0,Offensive rebound by D. Smith,,7-19,,
6:45.0,H. Barnes makes 2-pt shot from 2 ft,2,9-19,,
6:34.0,,,9-21,2,G. Harris makes 2-pt shot from 1 ft (assist by M. Plumlee)
6:09.0,Shooting foul by W. Barton (drawn by D. Smith),,9-21,,
6:09.0,D. Smith misses free throw 1 of 3,,9-21,,
6:09.0,Offensive rebound by Team,,9-21,,
6:09.0,D. Smith makes free throw 2 of 3,1,10-21,,
6:09.0,S. Mejri enters the game for D. Nowitzki,,10-21,,
6:09.0,D. Smith misses free throw 3 of 3,,10-21,,
6:06.0,,,10-21,,Defensive rebound by N. Jokic
5:53.0,,,10-21,,M. Plumlee misses 2-pt shot from 2 ft (block by S. Mejri)
5:53.0,Defensive rebound by W. Matthews,,10-21,,
5:36.0,M. Kleber makes 3-pt shot from 22 ft (assist by W. Matthews),3,13-21,,
5:22.0,,,13-21,,Turnover by M. Plumlee (bad pass; steal by M. Kleber)
5:16.0,D. Smith misses 2-pt shot from 1 ft (block by M. Plumlee),,13-21,,
5:13.0,,,13-21,,Defensive rebound by T. Craig
5:13.0,Personal foul by W. Matthews (drawn by T. Craig),,13-21,,
5:13.0,,,13-21,,J. Murray enters the game for T. Craig
5:13.0,,,13-21,,W. Chandler enters the game for W. Barton
5:13.0,Y. Ferrell enters the game for D. Smith,,13-21,,
5:07.0,,,13-23,2,N. Jokic makes 2-pt shot from 13 ft (assist by G. Harris)
4:43.0,M. Kleber misses 3-pt shot from 22 ft,,13-23,,
4:41.0,Offensive rebound by S. Mejri,,13-23,,
4:40.0,,,13-23,,Personal foul by M. Plumlee (drawn by S. Mejri)
4:40.0,,,13-23,,T. Lyles enters the game for M. Plumlee
4:34.0,W. Matthews misses 3-pt shot from 26 ft,,13-23,,
4:31.0,,,13-23,,Defensive rebound by N. Jokic
4:30.0,,,13-23,,Shooting foul by W. Matthews (drawn by G. Harris)
4:30.0,,,13-24,1,G. Harris makes free throw 1 of 2
4:30.0,K. Collinsworth enters the game for W. Matthews,,13-24,,
4:30.0,,,13-25,1,G. Harris makes free throw 2 of 2
4:14.0,K. Collinsworth makes 2-pt shot from 4 ft (assist by Y. Ferrell),2,15-25,,
4:06.0,,,15-25,,Turnover by G. Harris (out of bounds lost ball)
3:50.0,H. Barnes makes 3-pt shot from 22 ft (assist by K. Collinsworth),3,18-25,,
3:36.0,,,18-25,,W. Chandler misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by K. Collinsworth,,18-25,,
3:16.0,Turnover by K. Collinsworth (traveling),,18-25,,
3:16.0,,,18-25,,W. Barton enters the game for G. Harris
3:03.0,Personal foul by K. Collinsworth (drawn by T. Lyles),,18-25,,
2:53.0,,,18-27,2,N. Jokic makes 2-pt shot from 6 ft
2:40.0,Y. Ferrell makes 2-pt shot from 18 ft,2,20-27,,
2:31.0,,,20-27,,Turnover by J. Murray (lost ball; steal by K. Collinsworth)
2:29.0,K. Collinsworth makes 2-pt shot from 3 ft,2,22-27,,
2:29.0,,,22-27,,Denver full timeout
2:15.0,,,22-27,,J. Murray misses 2-pt shot from 17 ft
2:11.0,Defensive rebound by K. Collinsworth,,22-27,,
1:51.0,Y. Ferrell misses 2-pt shot from 3 ft (block by W. Chandler),,22-27,,
1:47.0,,,22-27,,Defensive rebound by N. Jokic
1:43.0,,,22-27,,N. Jokic misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by H. Barnes,,22-27,,
1:24.0,H. Barnes makes 2-pt shot from 7 ft,2,24-27,,
1:06.0,,,24-30,3,T. Lyles makes 3-pt shot from 24 ft (assist by N. Jokic)
0:49.0,Y. Ferrell makes 2-pt shot from 6 ft,2,26-30,,
0:41.0,,,26-30,,T. Lyles misses 2-pt shot from 3 ft (block by M. Kleber)
0:38.0,Defensive rebound by S. Mejri,,26-30,,
0:29.0,M. Kleber misses 3-pt shot from 28 ft,,26-30,,
0:25.0,,,26-30,,Defensive rebound by W. Chandler
0:03.0,,,26-30,,J. Murray misses 2-pt shot from 5 ft
0:02.0,,,26-30,,Offensive rebound by Team
0:02.0,D. Smith enters the game for K. Collinsworth,,26-30,,
0:00.0,,,26-30,,T. Lyles misses 3-pt shot from 22 ft
0:00.0,,,26-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,W. Matthews misses 2-pt shot from 8 ft (block by W. Chandler),,26-30,,
11:44.0,,,26-30,,Defensive rebound by M. Plumlee
11:31.0,,,26-33,3,T. Lyles makes 3-pt shot from 26 ft (assist by J. Murray)
11:15.0,D. Powell makes 3-pt shot from 23 ft (assist by D. Smith),3,29-33,,
10:55.0,,,29-33,,M. Plumlee misses 2-pt shot from 1 ft
10:51.0,Defensive rebound by D. Nowitzki,,29-33,,
10:44.0,Shooting foul by E. Mudiay (drawn by Y. Ferrell),,29-33,,
10:44.0,Y. Ferrell makes free throw 1 of 2,1,30-33,,
10:44.0,Y. Ferrell misses free throw 2 of 2,,30-33,,
10:41.0,,,30-33,,Defensive rebound by T. Lyles
10:33.0,,,30-33,,T. Lyles misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by D. Powell,,30-33,,
10:13.0,W. Matthews misses 2-pt shot from 9 ft,,30-33,,
10:09.0,,,30-33,,Defensive rebound by M. Plumlee
10:01.0,,,30-35,2,E. Mudiay makes 2-pt shot from 13 ft
9:38.0,D. Powell makes 2-pt shot from 3 ft (assist by Y. Ferrell),2,32-35,,
9:38.0,Shooting foul by M. Plumlee (drawn by D. Powell),,32-35,,
9:38.0,D. Powell makes free throw 1 of 1,1,33-35,,
9:24.0,,,33-35,,E. Mudiay misses 2-pt shot from 2 ft
9:21.0,Defensive rebound by D. Nowitzki,,33-35,,
9:09.0,D. Smith misses 3-pt shot from 25 ft,,33-35,,
9:06.0,,,33-35,,Defensive rebound by M. Plumlee
8:59.0,,,33-35,,T. Lyles misses 3-pt shot from 25 ft
8:54.0,Defensive rebound by W. Matthews,,33-35,,
8:39.0,W. Matthews misses 2-pt shot from 4 ft,,33-35,,
8:39.0,,,33-35,,Defensive rebound by T. Lyles
8:30.0,,,33-35,,E. Mudiay misses 2-pt shot from 2 ft
8:30.0,,,33-35,,Offensive rebound by Team
8:30.0,K. Collinsworth enters the game for W. Matthews,,33-35,,
8:23.0,,,33-35,,J. Murray misses 3-pt shot from 26 ft
8:21.0,Defensive rebound by K. Collinsworth,,33-35,,
8:04.0,Y. Ferrell makes 2-pt shot from 17 ft,2,35-35,,
8:03.0,,,35-35,,Denver full timeout
8:03.0,,,35-35,,W. Barton enters the game for E. Mudiay
8:03.0,,,35-35,,G. Harris enters the game for W. Chandler
7:52.0,,,35-35,,Turnover by J. Murray (lost ball; steal by D. Powell)
7:43.0,Y. Ferrell misses 3-pt shot from 25 ft,,35-35,,
7:39.0,,,35-35,,Defensive rebound by G. Harris
7:24.0,,,35-35,,Turnover by J. Murray (bad pass; steal by D. Nowitzki)
7:06.0,D. Nowitzki misses 2-pt shot from 21 ft,,35-35,,
7:03.0,,,35-35,,Defensive rebound by G. Harris
6:50.0,,,35-35,,T. Lyles misses 2-pt shot from 4 ft
6:46.0,Defensive rebound by K. Collinsworth,,35-35,,
6:43.0,D. Smith makes 2-pt shot from 2 ft (assist by K. Collinsworth),2,37-35,,
6:24.0,,,37-35,,T. Lyles misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by K. Collinsworth,,37-35,,
6:16.0,D. Smith misses 2-pt shot from 2 ft,,37-35,,
6:13.0,,,37-35,,Defensive rebound by T. Lyles
6:08.0,,,37-35,,Shooting foul by D. Nowitzki (drawn by W. Barton)
6:08.0,,,37-36,1,W. Barton makes free throw 1 of 2
6:08.0,,,37-36,,T. Craig enters the game for T. Lyles
6:08.0,,,37-36,,N. Jokic enters the game for J. Murray
6:08.0,,,37-37,1,W. Barton makes free throw 2 of 2
5:47.0,Y. Ferrell misses 2-pt shot from 17 ft,,37-37,,
5:45.0,,,37-37,,Defensive rebound by W. Barton
5:38.0,Personal foul by D. Nowitzki (drawn by N. Jokic),,37-37,,
5:38.0,H. Barnes enters the game for D. Powell,,37-37,,
5:38.0,S. Mejri enters the game for D. Nowitzki,,37-37,,
5:29.0,,,37-40,3,N. Jokic makes 3-pt shot from 25 ft (assist by G. Harris)
5:07.0,D. Smith misses 2-pt shot from 2 ft,,37-40,,
5:05.0,,,37-40,,Defensive rebound by N. Jokic
5:05.0,Technical foul by D. Smith,,37-40,,
5:05.0,,,37-41,1,W. Barton makes technical free throw
5:05.0,M. Kleber enters the game for D. Smith,,37-41,,
4:54.0,,,37-41,,Turnover by N. Jokic (bad pass; steal by S. Mejri)
4:54.0,,,37-41,,Personal foul by M. Plumlee (drawn by S. Mejri)
4:54.0,W. Matthews enters the game for K. Collinsworth,,37-41,,
4:35.0,Turnover by H. Barnes (bad pass; steal by G. Harris),,37-41,,
4:33.0,,,37-43,2,W. Barton makes 2-pt shot from 3 ft (assist by G. Harris)
4:33.0,Dallas full timeout,,37-43,,
4:33.0,,,37-43,,T. Lyles enters the game for M. Plumlee
4:20.0,H. Barnes misses 3-pt shot from 25 ft,,37-43,,
4:17.0,,,37-43,,Defensive rebound by T. Lyles
4:03.0,,,37-43,,G. Harris misses 3-pt shot from 22 ft
3:58.0,Defensive rebound by M. Kleber,,37-43,,
3:54.0,,,37-43,,Personal foul by W. Barton (drawn by M. Kleber)
3:39.0,H. Barnes misses 2-pt shot from 16 ft,,37-43,,
3:36.0,,,37-43,,Defensive rebound by N. Jokic
3:24.0,,,37-46,3,W. Barton makes 3-pt shot from 25 ft (assist by N. Jokic)
2:55.0,W. Matthews makes 2-pt shot from 19 ft (assist by M. Kleber),2,39-46,,
2:41.0,,,39-48,2,T. Craig makes 2-pt shot from 1 ft (assist by N. Jokic)
2:41.0,Violation by S. Mejri (def goaltending),,39-48,,
2:17.0,Y. Ferrell makes 2-pt shot from 4 ft,2,41-48,,
1:49.0,,,41-48,,N. Jokic misses 3-pt shot from 25 ft
1:45.0,,,41-48,,Offensive rebound by T. Craig
1:43.0,,,41-48,,G. Harris misses 3-pt shot from 25 ft
1:43.0,Defensive rebound by S. Mejri,,41-48,,
1:23.0,,,41-48,,Away from play foul by T. Craig (drawn by S. Mejri)
1:23.0,S. Mejri makes free throw 1 of 2,1,42-48,,
1:23.0,S. Mejri misses free throw 2 of 2,,42-48,,
1:21.0,,,42-48,,Defensive rebound by N. Jokic
1:01.0,,,42-50,2,T. Lyles makes 2-pt shot from 1 ft (assist by N. Jokic)
0:40.0,W. Matthews misses 3-pt shot from 22 ft,,42-50,,
0:37.0,,,42-50,,Defensive rebound by W. Barton
0:31.0,Personal foul by W. Matthews (drawn by W. Barton),,42-50,,
0:31.0,D. Smith enters the game for W. Matthews,,42-50,,
0:19.0,,,42-50,,T. Craig misses 3-pt shot from 26 ft
0:15.0,Defensive rebound by Y. Ferrell,,42-50,,
0:13.0,Jump ball: G. Harris vs. Y. Ferrell (W. Barton gains possession),,,,Jump ball: G. Harris vs. Y. Ferrell (W. Barton gains possession)
0:13.0,Turnover by Y. Ferrell (turnover; steal by G. Harris),,42-50,,
0:00.0,,,42-50,,N. Jokic misses 2-pt shot from 6 ft
0:00.0,,,42-50,,Offensive rebound by T. Lyles
0:00.0,,,42-50,,T. Lyles misses 2-pt shot at rim
0:00.0,,,42-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,42-50,,Violation by N. Jokic (kicked ball)
11:40.0,H. Barnes misses 2-pt shot from 14 ft,,42-50,,
11:36.0,Offensive rebound by M. Kleber,,42-50,,
11:33.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by D. Smith),3,45-50,,
11:15.0,,,45-50,,G. Harris misses 2-pt shot from 6 ft
11:13.0,Defensive rebound by D. Smith,,45-50,,
11:09.0,D. Smith makes 2-pt shot from 3 ft,2,47-50,,
10:55.0,,,47-50,,G. Harris misses 2-pt shot from 6 ft
10:52.0,,,47-50,,Offensive rebound by N. Jokic
10:42.0,,,47-50,,N. Jokic misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by D. Smith,,47-50,,
10:33.0,D. Smith misses 3-pt shot from 25 ft,,47-50,,
10:29.0,,,47-50,,Defensive rebound by T. Craig
10:18.0,,,47-52,2,G. Harris makes 2-pt shot from 11 ft (assist by N. Jokic)
10:04.0,M. Kleber misses 3-pt shot from 22 ft,,47-52,,
10:00.0,,,47-52,,Defensive rebound by W. Barton
