time,Minnesota,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Reed vs. K. Towns (T. Gibson gains possession),,,,Jump ball: W. Reed vs. K. Towns (T. Gibson gains possession)
11:45.0,K. Towns misses 2-pt shot from 14 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by T. Wallace
11:26.0,,,0-0,,W. Reed misses 2-pt shot from 3 ft
11:23.0,Defensive rebound by K. Towns,,0-0,,
11:19.0,A. Wiggins misses 3-pt shot from 26 ft,,0-0,,
11:07.0,Offensive rebound by T. Gibson,,0-0,,
11:07.0,T. Gibson misses 2-pt shot at rim,,0-0,,
11:06.0,Offensive rebound by J. Teague,,0-0,,
11:05.0,A. Wiggins misses 2-pt shot from 1 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by T. Wallace
10:46.0,,,0-0,,B. Griffin misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by K. Towns,,0-0,,
10:28.0,T. Gibson makes 2-pt shot from 18 ft (assist by J. Teague),2,2-0,,
10:12.0,,,2-0,,M. Teodosic misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by N. Bjelica,,2-0,,
10:02.0,N. Bjelica makes 2-pt shot from 2 ft,2,4-0,,
9:46.0,,,4-0,,M. Teodosic misses 2-pt shot from 7 ft
9:42.0,Defensive rebound by A. Wiggins,,4-0,,
9:37.0,N. Bjelica misses 3-pt shot from 26 ft,,4-0,,
9:33.0,,,4-0,,Defensive rebound by B. Griffin
9:17.0,,,4-2,2,B. Griffin makes 2-pt shot from 6 ft
9:11.0,J. Teague makes 2-pt shot from 1 ft,2,6-2,,
9:11.0,Shooting foul by M. Teodosic (drawn by J. Teague),,6-2,,
9:11.0,J. Teague makes free throw 1 of 1,1,7-2,,
9:00.0,,,7-4,2,T. Wallace makes 2-pt shot from 1 ft (assist by B. Griffin)
9:00.0,,,7-4,,Shooting foul by N. Bjelica (drawn by T. Wallace)
9:00.0,,,7-4,,T. Wallace misses free throw 1 of 1
8:57.0,Defensive rebound by K. Towns,,7-4,,
8:50.0,,,7-4,,Personal foul by T. Wallace (drawn by J. Teague)
8:39.0,Turnover by J. Teague (bad pass),,7-4,,
8:19.0,,,7-6,2,T. Wallace makes 2-pt shot from 1 ft (assist by B. Griffin)
8:02.0,Shooting foul by W. Johnson (drawn by A. Wiggins),,7-6,,
8:02.0,A. Wiggins misses free throw 1 of 2,,7-6,,
8:02.0,Offensive rebound by Team,,7-6,,
8:02.0,A. Wiggins misses free throw 2 of 2,,7-6,,
7:59.0,,,7-6,,Defensive rebound by B. Griffin
7:43.0,,,7-8,2,B. Griffin makes 2-pt shot at rim
7:35.0,J. Teague misses 2-pt shot from 11 ft,,7-8,,
7:35.0,Offensive rebound by N. Bjelica,,7-8,,
7:25.0,A. Wiggins makes 2-pt shot from 2 ft (assist by N. Bjelica),2,9-8,,
7:22.0,Personal foul by N. Bjelica (drawn by W. Reed),,9-8,,
7:10.0,,,9-8,,M. Teodosic misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by N. Bjelica,,9-8,,
6:59.0,T. Gibson makes 2-pt shot from 1 ft,2,11-8,,
6:45.0,,,11-10,2,M. Teodosic makes 2-pt shot from 18 ft
6:31.0,T. Gibson misses 2-pt shot from 4 ft,,11-10,,
6:28.0,,,11-10,,Defensive rebound by W. Reed
6:14.0,,,11-12,2,W. Reed makes 2-pt shot from 1 ft (assist by B. Griffin)
6:05.0,Shooting foul by M. Teodosic (drawn by J. Teague),,11-12,,
6:05.0,,,11-12,,LA Clippers full timeout
6:05.0,,,11-12,,L. Williams enters the game for T. Wallace
6:05.0,M. Georges-Hunt enters the game for N. Bjelica,,11-12,,
6:05.0,J. Teague makes free throw 1 of 2,1,12-12,,
6:05.0,J. Teague makes free throw 2 of 2,1,13-12,,
5:52.0,,,13-12,,B. Griffin misses 2-pt shot from 17 ft
5:50.0,Defensive rebound by J. Teague,,13-12,,
5:43.0,J. Teague makes 2-pt shot from 5 ft,2,15-12,,
5:33.0,,,15-12,,W. Johnson misses 2-pt shot from 18 ft
5:28.0,Defensive rebound by K. Towns,,15-12,,
5:16.0,T. Gibson makes 2-pt shot from 3 ft,2,17-12,,
5:03.0,,,17-12,,B. Griffin misses 3-pt shot from 24 ft
4:59.0,Defensive rebound by K. Towns,,17-12,,
4:50.0,,,17-12,,Shooting block foul by W. Reed (drawn by K. Towns)
4:50.0,K. Towns makes free throw 1 of 2,1,18-12,,
4:50.0,,,18-12,,M. Harrell enters the game for M. Teodosic
4:50.0,,,18-12,,T. Wallace enters the game for W. Reed
4:50.0,K. Towns makes free throw 2 of 2,1,19-12,,
4:35.0,,,19-12,,Shooting foul by A. Wiggins (drawn by T. Wallace)
4:35.0,,,19-13,1,T. Wallace makes free throw 1 of 2
4:35.0,G. Dieng enters the game for K. Towns,,19-13,,
4:35.0,,,19-13,,T. Wallace misses free throw 2 of 2
4:33.0,Defensive rebound by G. Dieng,,19-13,,
4:15.0,J. Teague misses 2-pt shot from 17 ft,,19-13,,
4:10.0,Offensive rebound by G. Dieng,,19-13,,
4:08.0,M. Georges-Hunt misses 3-pt shot from 25 ft,,19-13,,
4:04.0,,,19-13,,Defensive rebound by B. Griffin
4:03.0,,,19-15,2,M. Harrell makes 2-pt shot from 1 ft (assist by B. Griffin)
3:43.0,T. Gibson misses 2-pt shot from 13 ft,,19-15,,
3:43.0,Offensive rebound by Team,,19-15,,
3:43.0,,,19-15,,Loose ball foul by W. Johnson (drawn by A. Wiggins)
3:43.0,A. Wiggins makes free throw 1 of 2,1,20-15,,
3:43.0,,,20-15,,S. Thornwell enters the game for W. Johnson
3:43.0,A. Wiggins makes free throw 2 of 2,1,21-15,,
3:34.0,,,21-15,,Offensive charge foul by L. Williams (drawn by J. Teague)
3:34.0,,,21-15,,Turnover by L. Williams (offensive foul)
3:19.0,J. Teague misses 2-pt shot from 8 ft,,21-15,,
3:15.0,,,21-15,,Defensive rebound by B. Griffin
3:13.0,,,21-17,2,B. Griffin makes 2-pt shot from 1 ft
