time,LA Clippers,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. D. Jordan (T. Harris gains possession),,,,Jump ball: A. Drummond vs. D. Jordan (T. Harris gains possession)
11:42.0,D. Gallinari misses 2-pt shot from 20 ft,,0-0,,
11:35.0,Offensive rebound by D. Jordan,,0-0,,
11:35.0,D. Jordan misses 2-pt shot at rim,,0-0,,
11:34.0,,,0-0,,Defensive rebound by B. Griffin
11:31.0,,,0-2,2,I. Smith makes 2-pt shot from 7 ft
11:19.0,D. Gallinari misses 3-pt shot from 24 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by A. Drummond
11:08.0,,,0-2,,B. Griffin misses 2-pt shot from 5 ft
11:05.0,,,0-2,,Offensive rebound by A. Drummond
10:59.0,,,0-2,,B. Griffin misses 3-pt shot from 24 ft
10:56.0,Defensive rebound by T. Harris,,0-2,,
10:44.0,T. Harris makes 2-pt shot from 1 ft (assist by A. Rivers),2,2-2,,
10:20.0,,,2-2,,B. Griffin misses 2-pt shot from 15 ft
10:16.0,Defensive rebound by A. Bradley,,2-2,,
10:11.0,A. Bradley makes 2-pt shot from 1 ft,2,4-2,,
10:00.0,Personal foul by D. Jordan (drawn by B. Griffin),,4-2,,
9:45.0,,,4-2,,R. Bullock misses 3-pt shot from 23 ft
9:41.0,Defensive rebound by D. Jordan,,4-2,,
9:35.0,T. Harris misses 3-pt shot from 23 ft,,4-2,,
9:30.0,,,4-2,,Defensive rebound by R. Bullock
9:24.0,,,4-4,2,S. Johnson makes 2-pt shot from 16 ft (assist by B. Griffin)
9:03.0,T. Harris misses 2-pt shot from 9 ft,,4-4,,
9:01.0,,,4-4,,Defensive rebound by S. Johnson
8:56.0,,,4-4,,Turnover by S. Johnson (bad pass; steal by D. Gallinari)
8:48.0,A. Rivers makes 3-pt shot from 26 ft (assist by T. Harris),3,7-4,,
8:36.0,,,7-6,2,R. Bullock makes 2-pt shot from 16 ft (assist by A. Drummond)
8:16.0,D. Gallinari makes 3-pt shot from 24 ft (assist by A. Rivers),3,10-6,,
7:56.0,,,10-9,3,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin)
7:37.0,A. Bradley makes 2-pt shot from 16 ft (assist by D. Gallinari),2,12-9,,
7:18.0,,,12-9,,B. Griffin misses 3-pt shot from 25 ft
7:13.0,Defensive rebound by A. Bradley,,12-9,,
7:13.0,Shooting foul by B. Griffin (drawn by D. Gallinari),,12-9,,
7:13.0,D. Gallinari makes free throw 1 of 2,1,13-9,,
7:13.0,D. Gallinari makes free throw 2 of 2,1,14-9,,
7:10.0,,,14-9,,Detroit full timeout
6:56.0,,,14-9,,Shooting foul by D. Gallinari (drawn by B. Griffin)
6:56.0,,,14-10,1,B. Griffin makes free throw 1 of 2
6:56.0,,,14-11,1,B. Griffin makes free throw 2 of 2
6:42.0,,,14-11,,Personal foul by S. Johnson (drawn by T. Harris)
6:37.0,,,14-11,,Personal foul by A. Drummond (drawn by A. Rivers)
6:26.0,D. Gallinari makes 2-pt shot from 19 ft (assist by A. Rivers),2,16-11,,
6:10.0,,,16-13,2,R. Bullock makes 2-pt shot from 1 ft (assist by B. Griffin)
5:56.0,A. Bradley misses 2-pt shot from 2 ft,,16-13,,
5:55.0,Offensive rebound by D. Jordan,,16-13,,
5:54.0,D. Jordan misses 2-pt shot from 1 ft,,16-13,,
5:54.0,,,16-13,,Defensive rebound by A. Drummond
5:47.0,,,16-15,2,I. Smith makes 2-pt shot from 11 ft
5:45.0,L. Williams enters the game for A. Bradley,,16-15,,
5:35.0,,,16-15,,Personal foul by I. Smith (drawn by D. Jordan)
5:15.0,D. Gallinari misses 2-pt shot from 19 ft,,16-15,,
5:14.0,,,16-15,,Defensive rebound by I. Smith
5:11.0,,,16-15,,A. Drummond misses 2-pt shot from 5 ft
5:08.0,Defensive rebound by D. Gallinari,,16-15,,
5:05.0,,,16-15,,Personal foul by R. Bullock (drawn by L. Williams)
5:05.0,L. Williams makes free throw 1 of 2,1,17-15,,
5:05.0,,,17-15,,A. Tolliver enters the game for A. Drummond
5:05.0,,,17-15,,L. Kennard enters the game for R. Bullock
5:05.0,L. Williams misses free throw 2 of 2,,17-15,,
5:05.0,T. Wallace enters the game for A. Rivers,,17-15,,
4:59.0,,,17-15,,Defensive rebound by A. Tolliver
4:51.0,,,17-15,,I. Smith misses 2-pt shot from 8 ft
4:49.0,Defensive rebound by D. Jordan,,17-15,,
4:40.0,D. Jordan misses 2-pt shot from 1 ft,,17-15,,
4:38.0,,,17-15,,Defensive rebound by B. Griffin
4:33.0,,,17-15,,Turnover by B. Griffin (lost ball; steal by T. Harris)
4:24.0,T. Harris makes 2-pt shot from 4 ft (assist by L. Williams),2,19-15,,
3:57.0,,,19-17,2,B. Griffin makes 2-pt shot from 3 ft (assist by L. Kennard)
3:42.0,Turnover by L. Williams (bad pass; steal by I. Smith),,19-17,,
3:36.0,,,19-17,,I. Smith misses 2-pt shot from 1 ft
3:29.0,,,19-17,,Offensive rebound by L. Kennard
3:29.0,,,19-17,,L. Kennard misses 2-pt shot at rim
3:28.0,Defensive rebound by T. Wallace,,19-17,,
3:25.0,D. Gallinari makes 2-pt shot from 5 ft (assist by L. Williams),2,21-17,,
3:25.0,Shooting foul by A. Tolliver (drawn by D. Gallinari),,21-17,,
3:25.0,D. Gallinari makes free throw 1 of 1,1,22-17,,
3:16.0,,,22-19,2,L. Kennard makes 2-pt shot from 16 ft (assist by I. Smith)
3:00.0,L. Williams makes 3-pt shot from 25 ft (assist by D. Jordan),3,25-19,,
2:46.0,,,25-22,3,L. Kennard makes 3-pt shot from 25 ft (assist by B. Griffin)
2:39.0,LA Clippers full timeout,,25-22,,
2:39.0,,,25-22,,L. Galloway enters the game for S. Johnson
2:39.0,,,25-22,,R. Bullock enters the game for I. Smith
2:39.0,W. Johnson enters the game for D. Gallinari,,25-22,,
2:32.0,,,25-22,,Personal foul by A. Tolliver (drawn by L. Williams)
2:32.0,L. Williams makes free throw 1 of 2,1,26-22,,
2:32.0,M. Harrell enters the game for D. Jordan,,26-22,,
2:32.0,L. Williams makes free throw 2 of 2,1,27-22,,
2:20.0,,,27-22,,L. Galloway misses 3-pt shot from 27 ft
2:15.0,Defensive rebound by T. Harris,,27-22,,
2:10.0,T. Harris misses 3-pt shot from 26 ft,,27-22,,
2:07.0,Offensive rebound by M. Harrell,,27-22,,
2:06.0,M. Harrell misses 2-pt shot from 1 ft,,27-22,,
2:06.0,,,27-22,,Defensive rebound by A. Tolliver
2:00.0,,,27-22,,L. Kennard misses 2-pt shot from 2 ft (block by T. Wallace)
2:00.0,Defensive rebound by T. Harris,,27-22,,
1:54.0,L. Williams misses 3-pt shot from 24 ft,,27-22,,
1:54.0,Offensive rebound by M. Harrell,,27-22,,
1:47.0,T. Harris misses 3-pt shot from 24 ft,,27-22,,
1:47.0,,,27-22,,Defensive rebound by R. Bullock
1:40.0,,,27-24,2,B. Griffin makes 2-pt shot from 1 ft (assist by L. Galloway)
1:32.0,M. Harrell makes 2-pt shot from 1 ft (assist by W. Johnson),2,29-24,,
1:07.0,,,29-27,3,B. Griffin makes 3-pt shot from 26 ft
0:46.0,W. Johnson misses 3-pt shot from 22 ft,,29-27,,
0:44.0,,,29-27,,Defensive rebound by A. Tolliver
0:36.0,,,29-29,2,A. Tolliver makes 2-pt shot from 1 ft (assist by L. Kennard)
0:36.0,,,29-29,,Shooting foul by W. Johnson (drawn by A. Tolliver)
0:36.0,,,29-29,,A. Drummond enters the game for B. Griffin
0:36.0,S. Dekker enters the game for T. Harris,,29-29,,
0:36.0,,,29-30,1,A. Tolliver makes free throw 1 of 1
0:20.0,M. Harrell makes 2-pt shot from 5 ft (assist by L. Williams),2,31-30,,
0:02.0,,,31-30,,L. Galloway misses 2-pt shot from 3 ft (block by M. Harrell)
0:02.0,,,31-30,,Offensive rebound by Team
0:00.0,,,31-30,,L. Kennard misses 3-pt shot from 25 ft
0:00.0,,,31-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,31-30,,L. Kennard misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by S. Dekker,,31-30,,
11:38.0,Turnover by L. Williams (bad pass; steal by A. Drummond),,31-30,,
11:14.0,,,31-32,2,A. Tolliver makes 2-pt shot from 21 ft (assist by L. Kennard)
10:55.0,T. Wallace misses 2-pt shot from 7 ft,,31-32,,
10:53.0,,,31-32,,Defensive rebound by A. Drummond
10:42.0,,,31-34,2,A. Drummond makes 2-pt shot from 1 ft (assist by L. Kennard)
10:23.0,S. Dekker misses 2-pt shot from 5 ft,,31-34,,
10:18.0,Offensive rebound by W. Johnson,,31-34,,
10:18.0,W. Johnson makes 2-pt shot at rim,2,33-34,,
10:09.0,,,33-37,3,R. Bullock makes 3-pt shot from 26 ft (assist by A. Drummond)
9:52.0,M. Harrell misses 2-pt shot from 5 ft,,33-37,,
9:50.0,Offensive rebound by T. Wallace,,33-37,,
9:47.0,T. Wallace misses 2-pt shot from 5 ft,,33-37,,
9:47.0,Offensive rebound by S. Dekker,,33-37,,
9:44.0,S. Dekker makes 2-pt shot from 5 ft,2,35-37,,
9:33.0,,,35-37,,L. Kennard misses 2-pt shot from 6 ft (block by W. Johnson)
9:31.0,Defensive rebound by L. Williams,,35-37,,
9:15.0,M. Harrell makes 2-pt shot from 8 ft,2,37-37,,
8:54.0,,,37-39,2,A. Drummond makes 2-pt shot from 2 ft (assist by L. Galloway)
8:34.0,Turnover by L. Williams (bad pass; steal by L. Kennard),,37-39,,
8:25.0,,,37-39,,Turnover by A. Tolliver (bad pass; steal by L. Williams)
8:19.0,W. Johnson makes 2-pt shot from 17 ft,2,39-39,,
7:59.0,,,39-39,,A. Drummond misses 2-pt shot from 7 ft
7:56.0,Defensive rebound by L. Williams,,39-39,,
7:46.0,M. Harrell makes 2-pt shot from 10 ft,2,41-39,,
7:33.0,,,41-41,2,L. Galloway makes 2-pt shot from 14 ft
7:22.0,M. Harrell misses 2-pt shot from 6 ft,,41-41,,
7:13.0,Offensive rebound by M. Harrell,,41-41,,
7:13.0,M. Harrell makes 2-pt shot at rim,2,43-41,,
7:04.0,,,43-41,,A. Drummond misses 2-pt shot from 7 ft
7:02.0,Defensive rebound by S. Dekker,,43-41,,
6:56.0,L. Williams misses 2-pt shot from 11 ft,,43-41,,
6:52.0,,,43-41,,Defensive rebound by A. Drummond
6:37.0,,,43-41,,A. Drummond misses 2-pt shot from 8 ft
6:36.0,Defensive rebound by T. Wallace,,43-41,,
6:22.0,M. Harrell makes 2-pt shot from 2 ft (assist by W. Johnson),2,45-41,,
6:15.0,,,45-41,,Detroit full timeout
6:15.0,,,45-41,,S. Johnson enters the game for L. Kennard
6:15.0,,,45-41,,I. Smith enters the game for L. Galloway
6:15.0,,,45-41,,B. Griffin enters the game for A. Tolliver
6:15.0,A. Rivers enters the game for T. Wallace,,45-41,,
6:15.0,A. Bradley enters the game for W. Johnson,,45-41,,
6:15.0,D. Gallinari enters the game for S. Dekker,,45-41,,
6:07.0,,,45-44,3,R. Bullock makes 3-pt shot from 25 ft (assist by I. Smith)
5:47.0,M. Harrell misses 2-pt shot from 7 ft,,45-44,,
5:41.0,,,45-44,,Defensive rebound by I. Smith
5:22.0,,,45-44,,S. Johnson misses 2-pt shot from 4 ft
5:16.0,,,45-44,,Offensive rebound by A. Drummond
