time,San Antonio,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. McGee vs. L. Aldridge (D. Green gains possession),,,,Jump ball: J. McGee vs. L. Aldridge (D. Green gains possession)
11:47.0,,,0-0,,Turnover by D. Green (bad pass)
11:38.0,L. Aldridge makes 2-pt shot from 19 ft,2,2-0,,
11:23.0,,,2-2,2,J. McGee makes 2-pt shot from 1 ft
11:05.0,L. Aldridge misses 2-pt shot from 16 ft,,2-2,,
11:03.0,,,2-2,,Defensive rebound by J. McGee
10:58.0,,,2-2,,Offensive foul by D. Green (drawn by D. Green)
10:58.0,,,2-2,,Turnover by D. Green (offensive foul)
10:48.0,P. Mills misses 2-pt shot from 21 ft,,2-2,,
10:46.0,Offensive rebound by L. Aldridge,,2-2,,
10:46.0,Shooting foul by D. Green (drawn by L. Aldridge),,2-2,,
10:46.0,L. Aldridge makes free throw 1 of 2,1,3-2,,
10:46.0,L. Aldridge makes free throw 2 of 2,1,4-2,,
10:36.0,Personal foul by P. Mills (drawn by J. McGee),,4-2,,
10:29.0,,,4-5,3,A. Iguodala makes 3-pt shot from 22 ft (assist by J. McGee)
10:07.0,,,4-5,,K. Looney enters the game for D. Green
10:07.0,Jump ball: K. Durant vs. D. Murray (A. Iguodala gains possession),,,,Jump ball: K. Durant vs. D. Murray (A. Iguodala gains possession)
10:07.0,Turnover by P. Mills (bad pass; steal by J. McGee),,4-5,,
9:44.0,Jump ball: A. Iguodala vs. D. Murray (L. Aldridge gains possession),,,,Jump ball: A. Iguodala vs. D. Murray (L. Aldridge gains possession)
9:44.0,,,4-5,,Turnover by J. McGee (turnover; steal by D. Murray)
9:40.0,D. Murray misses 2-pt shot from 14 ft,,4-5,,
9:38.0,,,4-5,,Defensive rebound by J. McGee
9:32.0,,,4-7,2,K. Durant makes 2-pt shot from 18 ft (assist by A. Iguodala)
9:14.0,,,4-7,,Personal foul by K. Looney (drawn by L. Aldridge)
9:04.0,L. Aldridge makes 2-pt shot from 11 ft,2,6-7,,
8:54.0,Personal foul by L. Aldridge (drawn by A. Iguodala),,6-7,,
8:51.0,,,6-9,2,K. Durant makes 2-pt shot from 16 ft (assist by J. McGee)
8:34.0,R. Gay makes 2-pt shot from 20 ft,2,8-9,,
8:16.0,,,8-9,,K. Durant misses 2-pt shot from 13 ft
8:13.0,,,8-9,,Offensive rebound by K. Looney
8:11.0,,,8-12,2,A. Iguodala makes 3-pt shot from 26 ft (assist by K. Looney)
7:52.0,R. Gay misses 2-pt shot from 16 ft (block by J. McGee),,8-12,,
7:49.0,,,8-12,,Defensive rebound by A. Iguodala
7:45.0,,,8-12,,Turnover by J. McGee (lost ball; steal by D. Murray)
7:36.0,D. Green misses 3-pt shot from 27 ft,,8-12,,
7:34.0,,,8-12,,Defensive rebound by J. McGee
7:23.0,,,8-15,3,A. Iguodala makes 3-pt shot from 24 ft (assist by K. Thompson)
7:21.0,San Antonio full timeout,,8-15,,
7:04.0,P. Mills makes 3-pt shot from 27 ft (assist by L. Aldridge),3,11-15,,
6:45.0,,,11-17,2,K. Durant makes 2-pt shot from 17 ft (assist by A. Iguodala)
6:36.0,P. Mills misses 3-pt shot from 26 ft,,11-17,,
6:32.0,,,11-17,,Defensive rebound by A. Iguodala
6:24.0,,,11-17,,Turnover by A. Iguodala (bad pass; steal by D. Green)
6:20.0,R. Gay misses 3-pt shot from 25 ft,,11-17,,
6:18.0,Offensive rebound by D. Murray,,11-17,,
6:18.0,D. Murray makes 2-pt shot at rim,2,13-17,,
5:53.0,,,13-17,,K. Thompson misses 2-pt shot from 21 ft
5:52.0,,,13-17,,Offensive rebound by J. McGee
