time,Cleveland,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. K. Love (J. Wall gains possession),,,,Jump ball: M. Gortat vs. K. Love (J. Wall gains possession)
11:42.0,,,0-2,2,M. Morris makes 2-pt shot from 7 ft
11:25.0,K. Love misses 2-pt shot from 21 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by M. Morris
11:09.0,,,0-2,,M. Morris misses 2-pt shot from 12 ft
11:04.0,,,0-2,,Offensive rebound by M. Gortat
11:03.0,,,0-2,,K. Oubre misses 3-pt shot from 24 ft
10:59.0,Defensive rebound by J. Smith,,0-2,,
10:52.0,L. James makes 2-pt shot from 3 ft,2,2-2,,
10:37.0,,,2-2,,Turnover by B. Beal (bad pass; steal by J. Smith)
10:29.0,J. Smith makes 2-pt shot from 2 ft,2,4-2,,
10:22.0,,,4-4,2,J. Wall makes 2-pt shot from 1 ft
10:06.0,J. Calderon makes 2-pt shot from 1 ft,2,6-4,,
9:54.0,,,6-4,,Shooting foul by J. Crowder (drawn by M. Gortat)
9:54.0,,,6-4,,M. Gortat misses free throw 1 of 2
9:54.0,,,6-4,,Offensive rebound by Team
9:54.0,,,6-4,,M. Gortat misses free throw 2 of 2
9:52.0,Defensive rebound by K. Love,,6-4,,
9:36.0,J. Crowder makes 3-pt shot from 28 ft (assist by J. Calderon),3,9-4,,
9:19.0,,,9-4,,Shooting foul by J. Crowder (drawn by K. Oubre)
9:19.0,,,9-5,1,K. Oubre makes free throw 1 of 2
9:19.0,,,9-6,1,K. Oubre makes free throw 2 of 2
9:05.0,,,9-6,,Personal foul by K. Oubre (drawn by J. Crowder)
9:01.0,J. Smith misses 3-pt shot from 26 ft,,9-6,,
8:58.0,,,9-6,,Defensive rebound by M. Morris
8:36.0,,,9-9,3,B. Beal makes 3-pt shot from 25 ft (assist by K. Oubre)
8:29.0,J. Smith misses 3-pt shot from 25 ft,,9-9,,
8:26.0,,,9-9,,Defensive rebound by K. Oubre
8:17.0,,,9-12,3,M. Morris makes 3-pt shot from 25 ft (assist by K. Oubre)
7:49.0,K. Love misses 2-pt shot from 11 ft (block by J. Wall),,9-12,,
7:49.0,,,9-12,,Defensive rebound by J. Wall
7:48.0,Personal foul by J. Smith (drawn by J. Wall),,9-12,,
7:48.0,Turnover by J. Smith (turnover),,9-12,,
7:41.0,,,9-12,,Offensive foul by K. Oubre (drawn by J. Smith)
7:41.0,,,9-12,,Turnover by K. Oubre (offensive foul)
7:41.0,Technical foul by J. Smith,,9-12,,
