time,Chicago,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. R. Lopez (L. Markkanen gains possession),,,,Jump ball: M. Plumlee vs. R. Lopez (L. Markkanen gains possession)
11:45.0,,,0-0,,Personal foul by E. Ilyasova (drawn by L. Markkanen)
11:32.0,Shooting foul by T. Waller-Prince (drawn by J. Holiday),,0-0,,
11:32.0,J. Holiday makes free throw 1 of 2,1,1-0,,
11:32.0,J. Holiday makes free throw 2 of 2,1,2-0,,
11:15.0,,,2-0,,E. Ilyasova misses 3-pt shot from 23 ft
11:11.0,Defensive rebound by Z. LaVine,,2-0,,
11:02.0,R. Lopez makes 2-pt shot from 2 ft (assist by Z. LaVine),2,4-0,,
10:46.0,Personal foul by Z. LaVine (drawn by K. Bazemore),,4-0,,
10:37.0,,,4-0,,T. Waller-Prince misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by J. Grant,,4-0,,
10:26.0,J. Grant makes 3-pt shot from 23 ft,3,7-0,,
10:05.0,,,7-0,,M. Plumlee misses 2-pt shot from 7 ft
10:00.0,Defensive rebound by Z. LaVine,,7-0,,
9:57.0,Z. LaVine misses 2-pt shot from 21 ft,,7-0,,
9:55.0,,,7-0,,Defensive rebound by D. Schroder
9:44.0,,,7-2,2,E. Ilyasova makes 2-pt shot from 12 ft (assist by D. Schroder)
9:27.0,L. Markkanen makes 2-pt shot from 1 ft (assist by J. Grant),2,9-2,,
9:10.0,,,9-2,,K. Bazemore misses 2-pt shot from 7 ft
9:07.0,Defensive rebound by R. Lopez,,9-2,,
8:58.0,Z. LaVine misses 3-pt shot from 23 ft,,9-2,,
8:55.0,,,9-2,,Defensive rebound by K. Bazemore
8:50.0,,,9-2,,Shooting foul by R. Lopez (drawn by K. Bazemore)
8:50.0,,,9-2,,K. Bazemore misses free throw 1 of 2
8:50.0,,,9-2,,Offensive rebound by Team
8:50.0,,,9-3,1,K. Bazemore makes free throw 2 of 2
8:39.0,L. Markkanen misses 2-pt shot from 11 ft,,9-3,,
8:37.0,,,9-3,,Defensive rebound by Team
8:29.0,,,9-3,,D. Schroder misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by J. Holiday,,9-3,,
8:16.0,L. Markkanen makes 2-pt shot at rim (assist by R. Lopez),2,11-3,,
8:16.0,Shooting foul by D. Schroder (drawn by L. Markkanen),,11-3,,
8:16.0,,,11-3,,Atlanta full timeout
8:16.0,L. Markkanen makes free throw 1 of 1,1,12-3,,
8:03.0,,,12-3,,K. Bazemore misses 2-pt shot from 8 ft
8:00.0,Defensive rebound by J. Grant,,12-3,,
7:49.0,R. Lopez makes 2-pt shot from 1 ft (assist by J. Grant),2,14-3,,
7:30.0,,,14-3,,Turnover by T. Waller-Prince (bad pass; steal by J. Holiday)
7:25.0,Turnover by Z. LaVine (step out of bounds),,14-3,,
7:25.0,,,14-3,,D. Dedmon enters the game for M. Plumlee
7:07.0,,,14-3,,Shooting foul by J. Holiday (drawn by K. Bazemore)
7:07.0,,,14-3,,K. Bazemore misses free throw 1 of 2
7:07.0,,,14-3,,Offensive rebound by Team
7:07.0,,,14-3,,M. Belinelli enters the game for T. Waller-Prince
7:07.0,D. Valentine enters the game for Z. LaVine,,14-3,,
7:07.0,,,14-4,1,K. Bazemore makes free throw 2 of 2
6:52.0,L. Markkanen misses 2-pt shot from 10 ft,,14-4,,
6:49.0,,,14-4,,Defensive rebound by D. Dedmon
6:44.0,,,14-7,3,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder)
6:29.0,R. Lopez makes 2-pt shot at rim (assist by D. Valentine),2,16-7,,
6:16.0,,,16-7,,D. Schroder misses 2-pt shot from 15 ft
6:13.0,Defensive rebound by R. Lopez,,16-7,,
6:08.0,J. Grant misses 3-pt shot from 25 ft,,16-7,,
6:03.0,Offensive rebound by R. Lopez,,16-7,,
5:56.0,R. Lopez makes 2-pt shot from 1 ft (assist by D. Valentine),2,18-7,,
5:42.0,,,18-7,,Turnover by K. Bazemore (bad pass; steal by J. Holiday)
5:36.0,L. Markkanen makes 2-pt shot at rim (assist by J. Holiday),2,20-7,,
5:36.0,,,20-7,,Atlanta full timeout
