time,Washington,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. M. Gortat (B. Beal gains possession),,,,Jump ball: M. Plumlee vs. M. Gortat (B. Beal gains possession)
11:46.0,O. Porter makes 2-pt shot from 17 ft,2,2-0,,
11:30.0,,,2-0,,D. Schroder misses 3-pt shot from 23 ft
11:29.0,,,2-0,,Offensive rebound by Team
11:29.0,Loose ball foul by M. Gortat (drawn by E. Ilyasova),,2-0,,
11:27.0,,,2-0,,T. Waller-Prince misses 2-pt shot from 2 ft
11:22.0,,,2-0,,Offensive rebound by T. Waller-Prince
11:21.0,,,2-0,,K. Bazemore misses 2-pt shot from 11 ft
11:15.0,Defensive rebound by B. Beal,,2-0,,
11:11.0,O. Porter misses 3-pt shot from 24 ft,,2-0,,
11:08.0,,,2-0,,Defensive rebound by D. Schroder
10:55.0,,,2-0,,Turnover by K. Bazemore (bad pass; steal by O. Porter)
10:51.0,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall),2,4-0,,
10:37.0,,,4-3,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by D. Schroder)
10:17.0,M. Morris makes 2-pt shot from 13 ft,2,6-3,,
9:50.0,,,6-3,,E. Ilyasova misses 2-pt shot from 21 ft
9:46.0,Defensive rebound by O. Porter,,6-3,,
9:41.0,J. Wall misses 3-pt shot from 25 ft,,6-3,,
9:39.0,,,6-3,,Defensive rebound by E. Ilyasova
9:26.0,,,6-5,2,D. Schroder makes 2-pt shot from 17 ft
9:00.0,Shooting foul by E. Ilyasova (drawn by M. Morris),,6-5,,
9:00.0,M. Morris misses free throw 1 of 2,,6-5,,
9:00.0,Offensive rebound by Team,,6-5,,
9:00.0,M. Morris makes free throw 2 of 2,1,7-5,,
8:51.0,,,7-5,,D. Schroder misses 2-pt shot from 1 ft
8:48.0,Defensive rebound by Team,,7-5,,
8:37.0,M. Gortat misses 2-pt shot from 2 ft,,7-5,,
8:33.0,,,7-5,,Defensive rebound by D. Schroder
8:31.0,,,7-5,,D. Schroder misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by B. Beal,,7-5,,
8:20.0,B. Beal makes 2-pt shot from 19 ft,2,9-5,,
8:04.0,Personal foul by J. Wall (drawn by T. Waller-Prince),,9-5,,
7:57.0,,,9-7,2,M. Plumlee makes 2-pt shot from 1 ft (assist by K. Bazemore)
7:34.0,O. Porter misses 2-pt shot from 21 ft,,9-7,,
7:29.0,Offensive rebound by M. Morris,,9-7,,
7:29.0,M. Morris makes 2-pt shot at rim,2,11-7,,
7:20.0,,,11-7,,Turnover by D. Schroder (bad pass; steal by B. Beal)
7:19.0,,,11-7,,Personal take foul by D. Schroder (drawn by J. Wall)
7:07.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,13-7,,
6:52.0,,,13-7,,T. Waller-Prince misses 2-pt shot from 3 ft
6:49.0,Defensive rebound by M. Gortat,,13-7,,
6:47.0,O. Porter makes 2-pt shot from 2 ft (assist by J. Wall),2,15-7,,
6:47.0,,,15-7,,Atlanta full timeout
6:35.0,,,15-7,,T. Waller-Prince misses 3-pt shot from 25 ft
6:32.0,,,15-7,,Offensive rebound by E. Ilyasova
6:32.0,,,15-7,,E. Ilyasova misses 2-pt shot from 2 ft
6:32.0,Defensive rebound by M. Morris,,15-7,,
6:20.0,M. Morris makes 2-pt shot from 2 ft (assist by J. Wall),2,17-7,,
6:03.0,,,17-10,3,K. Bazemore makes 3-pt shot from 24 ft (assist by M. Plumlee)
5:45.0,M. Gortat misses 2-pt shot from 17 ft,,17-10,,
5:42.0,,,17-10,,Defensive rebound by E. Ilyasova
5:35.0,,,17-12,2,M. Plumlee makes 2-pt shot at rim (assist by K. Bazemore)
5:17.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall),3,20-12,,
4:59.0,,,20-12,,Turnover by D. Schroder (bad pass; steal by O. Porter)
4:57.0,Shooting foul by T. Waller-Prince (drawn by O. Porter),,20-12,,
4:57.0,O. Porter makes free throw 1 of 2,1,21-12,,
4:57.0,,,21-12,,M. Belinelli enters the game for M. Plumlee
4:57.0,,,21-12,,J. Collins enters the game for K. Bazemore
4:57.0,O. Porter makes free throw 2 of 2,1,22-12,,
4:38.0,,,22-14,2,M. Belinelli makes 2-pt shot from 1 ft (assist by J. Collins)
4:20.0,M. Gortat misses 2-pt shot from 9 ft,,22-14,,
4:16.0,,,22-14,,Defensive rebound by J. Collins
4:01.0,,,22-16,2,E. Ilyasova makes 2-pt shot from 1 ft
3:48.0,O. Porter misses 2-pt shot from 18 ft,,22-16,,
3:45.0,Offensive rebound by O. Porter,,22-16,,
3:43.0,O. Porter misses 2-pt shot from 1 ft (block by T. Waller-Prince),,22-16,,
3:43.0,,,22-16,,Defensive rebound by J. Collins
3:35.0,,,22-16,,E. Ilyasova misses 3-pt shot from 23 ft
3:32.0,Defensive rebound by M. Morris,,22-16,,
3:22.0,J. Wall makes 2-pt shot at rim,2,24-16,,
3:09.0,,,24-16,,Shooting foul by O. Porter (drawn by T. Waller-Prince)
