time,Miami,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. H. Whiteside (J. Richardson gains possession),,,,Jump ball: D. Dedmon vs. H. Whiteside (J. Richardson gains possession)
11:47.0,Loose ball foul by R. McGruder (drawn by D. Lee),,0-0,,
11:47.0,Turnover by R. McGruder (turnover),,0-0,,
11:29.0,,,0-3,3,D. Lee makes 3-pt shot from 22 ft (assist by I. Taylor)
11:29.0,,,0-3,,Shooting foul by T. Johnson (drawn by D. Lee)
11:29.0,,,0-3,,D. Lee misses free throw 1 of 1
11:29.0,Defensive rebound by H. Whiteside,,0-3,,
11:11.0,T. Johnson makes 2-pt shot from 7 ft (assist by L. Babbitt),2,2-3,,
10:53.0,,,2-3,,D. Lee misses 2-pt shot from 13 ft
10:50.0,,,2-3,,Offensive rebound by D. Lee
10:50.0,,,2-5,2,D. Lee makes 2-pt shot from 2 ft
10:35.0,J. Richardson makes 2-pt shot from 12 ft (assist by H. Whiteside),2,4-5,,
10:18.0,,,4-5,,I. Taylor misses 2-pt shot from 20 ft (block by J. Richardson)
10:18.0,,,4-5,,Offensive rebound by Team
10:09.0,,,4-5,,J. Collins misses 2-pt shot from 15 ft
10:06.0,,,4-5,,Offensive rebound by D. Dedmon
10:03.0,,,4-7,2,D. Lee makes 2-pt shot from 14 ft (assist by D. Dedmon)
9:45.0,H. Whiteside misses 2-pt shot from 18 ft,,4-7,,
9:42.0,,,4-7,,Defensive rebound by J. Collins
9:36.0,,,4-7,,Turnover by D. Lee (bad pass; steal by R. McGruder)
9:31.0,R. McGruder makes 2-pt shot from 1 ft,2,6-7,,
9:16.0,,,6-7,,D. Dedmon misses 2-pt shot from 13 ft
9:13.0,Defensive rebound by H. Whiteside,,6-7,,
9:08.0,Shooting foul by J. Collins (drawn by J. Richardson),,6-7,,
9:08.0,J. Richardson makes free throw 1 of 2,1,7-7,,
9:08.0,J. Richardson makes free throw 2 of 2,1,8-7,,
8:58.0,,,8-7,,Shooting foul by H. Whiteside (drawn by J. Collins)
8:58.0,,,8-8,1,J. Collins makes free throw 1 of 2
8:58.0,,,8-9,1,J. Collins makes free throw 2 of 2
8:38.0,H. Whiteside makes 2-pt shot from 9 ft,2,10-9,,
8:29.0,,,10-9,,I. Taylor misses 2-pt shot from 6 ft (block by H. Whiteside)
8:29.0,,,10-9,,Offensive rebound by Team
8:14.0,,,10-9,,J. Collins misses 3-pt shot from 22 ft
8:11.0,Defensive rebound by T. Johnson,,10-9,,
8:03.0,T. Johnson misses 3-pt shot from 24 ft,,10-9,,
8:00.0,,,10-9,,Defensive rebound by D. Dedmon
7:51.0,,,10-11,2,T. Waller-Prince makes 2-pt shot from 5 ft
7:22.0,J. Richardson makes 2-pt shot from 19 ft (assist by T. Johnson),2,12-11,,
7:08.0,,,12-11,,I. Taylor misses 2-pt shot from 13 ft
7:06.0,Defensive rebound by J. Richardson,,12-11,,
7:04.0,Shooting foul by D. Lee (drawn by R. McGruder),,12-11,,
7:04.0,R. McGruder makes free throw 1 of 2,1,13-11,,
7:04.0,R. McGruder misses free throw 2 of 2,,13-11,,
7:01.0,,,13-11,,Defensive rebound by D. Dedmon
6:52.0,Personal foul by R. McGruder (drawn by T. Waller-Prince),,13-11,,
6:52.0,,,13-11,,Atlanta full timeout
6:52.0,W. Ellington enters the game for R. McGruder,,13-11,,
6:44.0,,,13-11,,D. Lee misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by H. Whiteside,,13-11,,
6:33.0,J. Richardson misses 2-pt shot from 18 ft,,13-11,,
6:29.0,,,13-11,,Defensive rebound by D. Lee
6:25.0,,,13-13,2,D. Lee makes 2-pt shot from 1 ft
6:06.0,J. Winslow enters the game for J. Richardson,,13-13,,
6:03.0,H. Whiteside misses 2-pt shot from 21 ft,,13-13,,
5:59.0,,,13-13,,Defensive rebound by J. Collins
5:51.0,,,13-13,,J. Collins misses 2-pt shot at rim
5:49.0,,,13-13,,Offensive rebound by J. Collins
5:46.0,,,13-13,,Turnover by J. Collins (turnover)
5:46.0,,,13-13,,M. Plumlee enters the game for D. Dedmon
5:31.0,T. Johnson makes 2-pt shot from 9 ft,2,15-13,,
5:19.0,,,15-13,,Turnover by D. Lee (out of bounds lost ball)
5:19.0,,,15-13,,M. Muscala enters the game for J. Collins
5:19.0,,,15-13,,J. Magette enters the game for I. Taylor
