time,Oklahoma City,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. S. Adams (H. Barnes gains possession),,,,Jump ball: M. Kleber vs. S. Adams (H. Barnes gains possession)
11:35.0,,,0-0,,Turnover by D. Nowitzki (bad pass; steal by P. George)
11:15.0,S. Adams misses 2-pt shot at rim,,0-0,,
11:13.0,,,0-0,,Defensive rebound by D. Nowitzki
11:05.0,,,0-0,,D. Nowitzki misses 3-pt shot from 25 ft
11:01.0,,,0-0,,Offensive rebound by M. Kleber
10:56.0,,,0-0,,H. Barnes misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by R. Westbrook,,0-0,,
10:49.0,Turnover by A. Roberson (bad pass; steal by W. Matthews),,0-0,,
10:38.0,,,0-0,,M. Kleber misses 2-pt shot from 11 ft
10:35.0,Defensive rebound by P. George,,0-0,,
10:27.0,S. Adams makes 2-pt shot from 3 ft (assist by P. George),2,2-0,,
10:12.0,,,2-2,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by D. Smith)
9:59.0,P. George makes 2-pt shot from 17 ft (assist by A. Roberson),2,4-2,,
9:47.0,,,4-2,,D. Smith misses 3-pt shot from 26 ft
9:44.0,Defensive rebound by A. Roberson,,4-2,,
9:35.0,R. Westbrook makes 2-pt shot from 2 ft,2,6-2,,
9:13.0,,,6-2,,H. Barnes misses 2-pt shot from 20 ft
9:09.0,Defensive rebound by P. George,,6-2,,
9:04.0,C. Anthony misses 3-pt shot from 24 ft,,6-2,,
9:03.0,Offensive rebound by Team,,6-2,,
9:03.0,,,6-2,,Loose ball foul by M. Kleber (drawn by S. Adams)
8:57.0,Shooting foul by D. Smith (drawn by R. Westbrook),,6-2,,
8:57.0,R. Westbrook makes free throw 1 of 2,1,7-2,,
8:57.0,R. Westbrook misses free throw 2 of 2,,7-2,,
8:54.0,,,7-2,,Defensive rebound by Team
8:39.0,,,7-2,,Turnover by M. Kleber (bad pass; steal by S. Adams)
8:32.0,A. Roberson misses 3-pt shot from 22 ft,,7-2,,
8:28.0,,,7-2,,Defensive rebound by M. Kleber
8:19.0,,,7-2,,D. Nowitzki misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by R. Westbrook,,7-2,,
8:10.0,P. George misses 3-pt shot from 25 ft,,7-2,,
8:07.0,,,7-2,,Defensive rebound by D. Nowitzki
7:51.0,,,7-2,,Turnover by W. Matthews (lost ball; steal by A. Roberson)
7:48.0,Turnover by C. Anthony (bad pass; steal by D. Smith),,7-2,,
7:44.0,,,7-2,,W. Matthews misses 2-pt shot from 17 ft
7:40.0,Defensive rebound by R. Westbrook,,7-2,,
