time,Milwaukee,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. J. Henson (J. Isaac gains possession),,,,Jump ball: N. Vucevic vs. J. Henson (J. Isaac gains possession)
11:36.0,,,0-2,2,N. Vucevic makes 2-pt shot from 17 ft (assist by J. Isaac)
11:21.0,K. Middleton misses 2-pt shot from 11 ft,,0-2,,
11:15.0,Offensive rebound by J. Henson,,0-2,,
11:15.0,J. Henson misses 2-pt shot at rim,,0-2,,
11:13.0,Offensive rebound by J. Henson,,0-2,,
11:13.0,J. Henson misses 2-pt shot at rim,,0-2,,
11:12.0,,,0-2,,Defensive rebound by J. Simmons
11:09.0,,,0-2,,D. Augustin misses 2-pt shot from 1 ft
11:06.0,Defensive rebound by G. Antetokounmpo,,0-2,,
11:04.0,Turnover by G. Antetokounmpo (lost ball; steal by N. Vucevic),,0-2,,
10:59.0,,,0-4,2,D. Augustin makes 2-pt shot from 1 ft (assist by N. Vucevic)
10:49.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,3-4,,
10:32.0,,,3-4,,J. Simmons misses 2-pt shot from 4 ft
10:30.0,Defensive rebound by J. Henson,,3-4,,
10:19.0,E. Bledsoe misses 3-pt shot from 25 ft,,3-4,,
10:14.0,,,3-4,,Defensive rebound by N. Vucevic
10:06.0,,,3-4,,M. Hezonja misses 2-pt shot from 2 ft
10:03.0,Defensive rebound by J. Henson,,3-4,,
9:58.0,T. Snell makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,5-4,,
9:34.0,,,5-4,,J. Simmons misses 2-pt shot from 6 ft
9:32.0,Defensive rebound by K. Middleton,,5-4,,
9:29.0,,,5-4,,Personal foul by N. Vucevic (drawn by K. Middleton)
9:24.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson),2,7-4,,
9:07.0,,,7-4,,Shooting foul by T. Snell (drawn by D. Augustin)
9:07.0,,,7-5,1,D. Augustin makes free throw 1 of 2
9:07.0,,,7-6,1,D. Augustin makes free throw 2 of 2
8:49.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,9-6,,
8:34.0,,,9-9,3,J. Simmons makes 3-pt shot from 25 ft (assist by D. Augustin)
8:16.0,K. Middleton misses 2-pt shot from 20 ft,,9-9,,
8:13.0,,,9-9,,Defensive rebound by N. Vucevic
7:56.0,,,9-9,,N. Vucevic misses 2-pt shot from 18 ft
7:53.0,Defensive rebound by K. Middleton,,9-9,,
7:44.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,11-9,,
7:44.0,,,11-9,,Orlando full timeout
7:32.0,,,11-9,,J. Isaac misses 2-pt shot from 15 ft
7:28.0,Defensive rebound by K. Middleton,,11-9,,
7:22.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,13-9,,
7:06.0,,,13-9,,J. Isaac misses 3-pt shot from 22 ft
7:06.0,,,13-9,,Offensive rebound by Team
7:06.0,Loose ball foul by J. Henson (drawn by N. Vucevic),,13-9,,
