time,LA Clippers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. D. Jordan (A. Rivers gains possession),,,,Jump ball: K. Towns vs. D. Jordan (A. Rivers gains possession)
11:45.0,A. Rivers makes 2-pt shot from 2 ft,2,2-0,,
11:45.0,Shooting foul by K. Towns (drawn by A. Rivers),,2-0,,
11:45.0,A. Rivers misses free throw 1 of 1,,2-0,,
11:43.0,,,2-0,,Defensive rebound by K. Towns
11:30.0,,,2-2,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler)
11:13.0,Turnover by D. Jordan (lost ball; steal by J. Teague),,2-2,,
11:09.0,,,2-2,,Shooting foul by J. Wilson (drawn by T. Gibson)
11:09.0,,,2-3,1,T. Gibson makes free throw 1 of 2
11:09.0,,,2-4,1,T. Gibson makes free throw 2 of 2
10:52.0,A. Rivers makes 3-pt shot from 26 ft (assist by C. Williams),3,5-4,,
10:37.0,,,5-4,,J. Butler misses 2-pt shot from 1 ft
10:37.0,Defensive rebound by D. Jordan,,5-4,,
10:27.0,W. Johnson misses 2-pt shot from 17 ft,,5-4,,
10:27.0,,,5-4,,Defensive rebound by J. Butler
10:12.0,,,5-6,2,K. Towns makes 2-pt shot from 13 ft (assist by J. Teague)
9:58.0,A. Rivers makes 3-pt shot from 25 ft,3,8-6,,
9:35.0,,,8-8,2,T. Gibson makes 2-pt shot from 7 ft (assist by J. Butler)
9:22.0,J. Wilson misses 3-pt shot from 25 ft,,8-8,,
9:18.0,,,8-8,,Defensive rebound by A. Wiggins
9:05.0,,,8-11,3,J. Teague makes 3-pt shot from 24 ft
8:43.0,A. Rivers misses 3-pt shot from 25 ft,,8-11,,
8:40.0,,,8-11,,Defensive rebound by K. Towns
8:32.0,,,8-11,,K. Towns misses 2-pt shot at rim
8:28.0,Defensive rebound by W. Johnson,,8-11,,
8:07.0,C. Williams makes 2-pt shot from 12 ft (assist by A. Rivers),2,10-11,,
7:52.0,Personal foul by J. Wilson (drawn by K. Towns),,10-11,,
7:52.0,S. Dekker enters the game for J. Wilson,,10-11,,
7:43.0,,,10-13,2,A. Wiggins makes 2-pt shot from 22 ft (assist by J. Teague)
7:29.0,W. Johnson makes 2-pt shot from 20 ft,2,12-13,,
7:13.0,,,12-13,,K. Towns misses 2-pt shot from 14 ft
7:09.0,,,12-13,,Offensive rebound by K. Towns
7:07.0,,,12-15,2,K. Towns makes 2-pt shot from 1 ft
6:52.0,A. Rivers misses 2-pt shot from 12 ft,,12-15,,
6:49.0,,,12-15,,Defensive rebound by Team
6:49.0,,,12-15,,Minnesota full timeout
6:29.0,,,12-17,2,T. Gibson makes 2-pt shot at rim (assist by J. Teague)
6:10.0,D. Jordan makes 2-pt shot at rim (assist by W. Johnson),2,14-17,,
6:10.0,Shooting foul by J. Butler (drawn by D. Jordan),,14-17,,
6:10.0,L. Williams enters the game for C. Williams,,14-17,,
6:10.0,D. Jordan makes free throw 1 of 1,1,15-17,,
6:04.0,,,15-19,2,J. Teague makes 2-pt shot from 1 ft
5:44.0,Turnover by S. Dekker (lost ball; steal by J. Teague),,15-19,,
5:40.0,,,15-21,2,J. Teague makes 2-pt shot from 1 ft
5:40.0,LA Clippers full timeout,,15-21,,
5:22.0,Shooting foul by K. Towns (drawn by D. Jordan),,15-21,,
5:22.0,D. Jordan misses free throw 1 of 2,,15-21,,
5:22.0,Offensive rebound by Team,,15-21,,
5:22.0,,,15-21,,G. Dieng enters the game for K. Towns
5:22.0,D. Jordan misses free throw 2 of 2,,15-21,,
5:20.0,,,15-21,,Defensive rebound by G. Dieng
5:05.0,,,15-21,,T. Gibson misses 2-pt shot from 7 ft
5:01.0,Defensive rebound by D. Jordan,,15-21,,
4:55.0,L. Williams misses 3-pt shot from 23 ft,,15-21,,
4:47.0,Offensive rebound by D. Jordan,,15-21,,
4:47.0,D. Jordan makes 2-pt shot at rim,2,17-21,,
4:32.0,,,17-23,2,G. Dieng makes 2-pt shot from 16 ft (assist by A. Wiggins)
4:11.0,W. Johnson misses 2-pt shot from 16 ft,,17-23,,
4:07.0,,,17-23,,Defensive rebound by G. Dieng
3:55.0,,,17-25,2,J. Butler makes 2-pt shot from 10 ft
3:38.0,S. Dekker makes 3-pt shot from 22 ft (assist by L. Williams),3,20-25,,
3:20.0,,,20-25,,A. Wiggins misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by W. Johnson,,20-25,,
3:10.0,W. Johnson misses 3-pt shot from 22 ft,,20-25,,
3:06.0,,,20-25,,Defensive rebound by J. Butler
3:02.0,,,20-25,,J. Teague misses 3-pt shot from 22 ft
3:02.0,,,20-25,,Offensive rebound by Team
3:00.0,Loose ball foul by D. Jordan (drawn by J. Butler),,20-25,,
3:00.0,,,20-25,,J. Crawford enters the game for J. Butler
3:00.0,M. Harrell enters the game for D. Jordan,,20-25,,
