time,Boston,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. A. Horford (E. Kanter gains possession),,,,Jump ball: K. Porzingis vs. A. Horford (E. Kanter gains possession)
11:35.0,,,0-2,2,J. Jack makes 2-pt shot from 20 ft
11:17.0,A. Baynes misses 2-pt shot from 10 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by C. Lee
10:58.0,,,0-2,,K. Porzingis misses 2-pt shot from 13 ft
10:55.0,,,0-2,,Offensive rebound by E. Kanter
10:55.0,,,0-4,2,E. Kanter makes 2-pt shot from 1 ft
10:38.0,K. Irving misses 2-pt shot from 20 ft,,0-4,,
10:38.0,,,0-4,,Defensive rebound by L. Thomas
10:19.0,,,0-6,2,L. Thomas makes 2-pt shot from 21 ft
10:00.0,,,0-6,,Violation by L. Thomas (kicked ball)
9:54.0,M. Smart makes 2-pt shot from 13 ft,2,2-6,,
9:37.0,,,2-8,2,E. Kanter makes 2-pt shot from 1 ft
9:25.0,M. Smart misses 3-pt shot from 25 ft,,2-8,,
9:22.0,,,2-8,,Defensive rebound by J. Jack
9:18.0,,,2-10,2,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack)
9:08.0,K. Irving misses 2-pt shot from 2 ft,,2-10,,
9:05.0,,,2-10,,Defensive rebound by J. Jack
9:01.0,,,2-13,3,C. Lee makes 3-pt shot from 26 ft (assist by J. Jack)
9:00.0,Boston full timeout,,2-13,,
8:49.0,,,2-13,,Personal foul by L. Thomas (drawn by J. Tatum)
8:36.0,K. Irving makes 3-pt shot from 25 ft,3,5-13,,
8:13.0,Personal foul by J. Tatum (drawn by J. Jack),,5-13,,
8:07.0,,,5-13,,J. Jack misses 2-pt shot from 10 ft
8:04.0,Defensive rebound by K. Irving,,5-13,,
7:55.0,K. Irving makes 2-pt shot from 1 ft (assist by A. Horford),2,7-13,,
7:33.0,,,7-13,,K. Porzingis misses 2-pt shot from 13 ft
7:30.0,Defensive rebound by J. Tatum,,7-13,,
7:16.0,K. Irving misses 3-pt shot from 25 ft,,7-13,,
7:15.0,,,7-13,,Defensive rebound by E. Kanter
7:03.0,,,7-13,,C. Lee misses 3-pt shot from 26 ft
6:59.0,,,7-13,,Offensive rebound by E. Kanter
6:58.0,,,7-13,,K. Porzingis misses 3-pt shot from 27 ft
6:56.0,,,7-13,,Offensive rebound by C. Lee
6:56.0,,,7-13,,Shooting foul by A. Horford (drawn by C. Lee)
6:56.0,,,7-14,1,C. Lee makes free throw 1 of 2
6:56.0,,,7-15,1,C. Lee makes free throw 2 of 2
6:39.0,,,7-15,,Personal foul by J. Jack (drawn by A. Horford)
6:27.0,A. Horford misses 2-pt shot from 8 ft,,7-15,,
6:25.0,,,7-15,,Defensive rebound by E. Kanter
6:07.0,,,7-15,,K. Porzingis misses 2-pt shot from 7 ft
6:05.0,Defensive rebound by A. Horford,,7-15,,
6:01.0,Turnover by M. Smart (out of bounds lost ball),,7-15,,
5:41.0,,,7-17,2,J. Jack makes 2-pt shot from 2 ft
5:25.0,K. Irving misses 3-pt shot from 25 ft,,7-17,,
5:23.0,Offensive rebound by A. Horford,,7-17,,
5:22.0,A. Horford misses 2-pt shot from 1 ft,,7-17,,
5:22.0,,,7-17,,Defensive rebound by E. Kanter
5:15.0,,,7-19,2,J. Jack makes 2-pt shot from 4 ft
5:04.0,A. Baynes misses 2-pt shot from 1 ft,,7-19,,
5:01.0,Offensive rebound by A. Horford,,7-19,,
5:00.0,M. Smart misses 3-pt shot from 25 ft,,7-19,,
5:00.0,,,7-19,,Defensive rebound by E. Kanter
4:48.0,,,7-19,,J. Jack misses 2-pt shot from 2 ft (block by A. Baynes)
4:44.0,,,7-19,,Offensive rebound by J. Jack
4:41.0,,,7-21,2,L. Thomas makes 2-pt shot from 22 ft (assist by K. Porzingis)
4:23.0,A. Horford makes 2-pt shot from 21 ft (assist by M. Smart),2,9-21,,
4:07.0,,,9-21,,K. Porzingis misses 2-pt shot from 19 ft
4:04.0,Defensive rebound by A. Baynes,,9-21,,
4:00.0,K. Irving misses 3-pt shot from 24 ft,,9-21,,
3:58.0,,,9-21,,Defensive rebound by J. Jack
3:58.0,,,9-21,,New York full timeout
3:58.0,,,9-21,,R. Baker enters the game for L. Thomas
3:58.0,,,9-21,,D. McDermott enters the game for J. Jack
3:58.0,,,9-21,,F. Ntilikina enters the game for C. Lee
3:58.0,G. Yabusele enters the game for A. Baynes,,9-21,,
3:58.0,T. Rozier enters the game for K. Irving,,9-21,,
3:50.0,,,9-21,,Turnover by F. Ntilikina (bad pass; steal by M. Smart)
3:41.0,M. Smart misses 3-pt shot from 25 ft,,9-21,,
3:39.0,,,9-21,,Defensive rebound by K. Porzingis
3:29.0,,,9-21,,K. Porzingis misses 3-pt shot from 26 ft
3:24.0,,,9-21,,Offensive rebound by F. Ntilikina
3:16.0,Personal foul by G. Yabusele (drawn by E. Kanter),,9-21,,
3:10.0,,,9-21,,D. McDermott misses 2-pt shot from 2 ft
3:09.0,Defensive rebound by G. Yabusele,,9-21,,
3:02.0,J. Tatum makes 2-pt shot at rim (assist by M. Smart),2,11-21,,
2:49.0,Personal foul by M. Smart (drawn by F. Ntilikina),,11-21,,
2:49.0,,,11-21,,M. Beasley enters the game for K. Porzingis
