time,Charlotte,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. D. Howard (M. Williams gains possession),,,,Jump ball: J. Valanciunas vs. D. Howard (M. Williams gains possession)
11:41.0,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by K. Walker),2,2-0,,
11:22.0,,,2-2,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
11:08.0,K. Walker misses 3-pt shot from 25 ft,,2-2,,
11:03.0,,,2-2,,Defensive rebound by S. Ibaka
10:54.0,,,2-4,2,D. DeRozan makes 2-pt shot from 6 ft
10:32.0,D. Howard makes 2-pt shot from 1 ft,2,4-4,,
10:17.0,,,4-6,2,S. Ibaka makes 2-pt shot at rim (assist by K. Lowry)
10:00.0,N. Batum misses 2-pt shot from 19 ft,,4-6,,
9:57.0,,,4-6,,Defensive rebound by S. Ibaka
9:46.0,,,4-8,2,S. Ibaka makes 2-pt shot from 19 ft (assist by D. DeRozan)
9:26.0,D. Howard misses 2-pt shot from 5 ft,,4-8,,
9:24.0,,,4-8,,Defensive rebound by J. Valanciunas
9:06.0,,,4-11,3,J. Valanciunas makes 3-pt shot from 26 ft (assist by D. DeRozan)
8:49.0,K. Walker misses 2-pt shot from 11 ft,,4-11,,
8:47.0,,,4-11,,Defensive rebound by J. Valanciunas
8:36.0,,,4-13,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
8:29.0,Charlotte full timeout,,4-13,,
8:19.0,N. Batum makes 2-pt shot from 19 ft (assist by D. Howard),2,6-13,,
8:03.0,,,6-13,,M. Miller misses 3-pt shot from 26 ft
8:00.0,Defensive rebound by D. Howard,,6-13,,
7:53.0,M. Williams misses 2-pt shot from 2 ft (block by S. Ibaka),,6-13,,
7:49.0,,,6-13,,Defensive rebound by K. Lowry
7:45.0,,,6-13,,M. Miller misses 3-pt shot from 22 ft
7:42.0,Defensive rebound by D. Howard,,6-13,,
7:31.0,N. Batum makes 2-pt shot from 12 ft,2,8-13,,
7:07.0,,,8-13,,Turnover by D. DeRozan (lost ball; steal by K. Walker)
7:01.0,M. Kidd-Gilchrist misses 2-pt shot at rim (block by S. Ibaka),,8-13,,
6:58.0,,,8-13,,Defensive rebound by M. Miller
6:55.0,,,8-13,,K. Lowry misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by K. Walker,,8-13,,
6:49.0,,,8-13,,Personal foul by K. Lowry (drawn by K. Walker)
6:44.0,N. Batum misses 2-pt shot from 22 ft,,8-13,,
6:41.0,,,8-13,,Defensive rebound by K. Lowry
6:24.0,,,8-13,,S. Ibaka misses 3-pt shot from 23 ft
6:21.0,,,8-13,,Offensive rebound by K. Lowry
6:19.0,,,8-13,,S. Ibaka misses 3-pt shot from 22 ft
6:16.0,Defensive rebound by D. Howard,,8-13,,
6:12.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by N. Batum),2,10-13,,
6:12.0,Shooting foul by J. Valanciunas (drawn by M. Kidd-Gilchrist),,10-13,,
6:12.0,M. Kidd-Gilchrist misses free throw 1 of 1,,10-13,,
6:10.0,Offensive rebound by M. Williams,,10-13,,
6:06.0,M. Williams misses 3-pt shot from 23 ft,,10-13,,
6:04.0,,,10-13,,Defensive rebound by J. Valanciunas
5:54.0,,,10-16,3,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry)
5:38.0,,,10-16,,Personal foul by M. Miller (drawn by N. Batum)
5:28.0,D. Howard misses 2-pt shot from 1 ft (block by S. Ibaka),,10-16,,
5:28.0,Offensive rebound by Team,,10-16,,
5:28.0,,,10-16,,C. Miles enters the game for M. Miller
5:26.0,M. Williams makes 2-pt shot from 3 ft (assist by N. Batum),2,12-16,,
5:00.0,,,12-18,2,J. Valanciunas makes 2-pt shot from 4 ft
4:43.0,N. Batum misses 2-pt shot from 17 ft,,12-18,,
4:41.0,,,12-18,,Defensive rebound by K. Lowry
4:24.0,,,12-18,,J. Valanciunas misses 2-pt shot from 4 ft
4:20.0,Defensive rebound by D. Howard,,12-18,,
4:16.0,K. Walker misses 2-pt shot from 13 ft,,12-18,,
4:13.0,Offensive rebound by N. Batum,,12-18,,
4:11.0,K. Walker makes 3-pt shot from 25 ft,3,15-18,,
3:49.0,,,15-18,,Turnover by J. Valanciunas (turnover)
3:49.0,J. Lamb enters the game for M. Williams,,15-18,,
3:49.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,15-18,,
3:32.0,Offensive charge foul by D. Howard (drawn by J. Valanciunas),,15-18,,
