time,New Orleans,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. A. Davis (D. Cousins gains possession),,,,Jump ball: D. Favors vs. A. Davis (D. Cousins gains possession)
11:38.0,J. Holiday misses 2-pt shot from 9 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by J. Jerebko
11:29.0,,,0-0,,R. Rubio misses 2-pt shot from 17 ft
11:29.0,Defensive rebound by R. Rondo,,0-0,,
11:22.0,J. Holiday misses 3-pt shot from 25 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by D. Favors
11:05.0,,,0-0,,J. Jerebko misses 3-pt shot from 22 ft
11:02.0,Defensive rebound by R. Rondo,,0-0,,
10:55.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,2-0,,
10:55.0,Shooting foul by J. Jerebko (drawn by A. Davis),,2-0,,
10:55.0,A. Davis misses free throw 1 of 1,,2-0,,
10:53.0,,,2-0,,Defensive rebound by J. Jerebko
10:39.0,,,2-3,3,D. Mitchell makes 3-pt shot from 27 ft (assist by D. Favors)
10:25.0,E. Moore makes 2-pt shot from 23 ft (assist by J. Holiday),2,4-3,,
10:08.0,,,4-6,3,D. Mitchell makes 3-pt shot from 25 ft (assist by D. Favors)
9:51.0,Shooting foul by J. Jerebko (drawn by A. Davis),,4-6,,
9:51.0,A. Davis misses free throw 1 of 2,,4-6,,
9:51.0,Offensive rebound by Team,,4-6,,
9:51.0,,,4-6,,T. Sefolosha enters the game for J. Jerebko
9:51.0,A. Davis misses free throw 2 of 2,,4-6,,
9:49.0,,,4-6,,Defensive rebound by R. Rubio
9:32.0,,,4-6,,Loose ball foul by D. Mitchell (drawn by R. Rondo)
9:32.0,,,4-6,,Turnover by D. Mitchell (turnover)
9:16.0,A. Davis makes 2-pt shot from 16 ft,2,6-6,,
9:03.0,,,6-6,,Shooting foul by D. Cousins (drawn by D. Favors)
9:03.0,,,6-6,,D. Favors misses free throw 1 of 2
9:03.0,,,6-6,,Offensive rebound by Team
9:03.0,,,6-6,,D. Favors misses free throw 2 of 2
9:00.0,Defensive rebound by R. Rondo,,6-6,,
8:56.0,A. Davis makes 2-pt shot at rim (assist by R. Rondo),2,8-6,,
8:39.0,,,8-6,,D. Mitchell misses 2-pt shot from 2 ft
8:38.0,,,8-6,,Offensive rebound by D. Favors
