time,San Antonio,pts.away,score,pts.home,Denver
9:03.0,,,40-35,3,D. Arthur makes 3-pt shot from 24 ft (assist by W. Barton)
8:47.0,J. Lauvergne makes 2-pt shot from 1 ft,2,42-35,,
8:40.0,,,42-35,,Offensive foul by D. Arthur (drawn by D. Green)
8:40.0,,,42-35,,Turnover by D. Arthur (offensive foul)
8:40.0,,,42-35,,N. Jokic enters the game for D. Arthur
8:40.0,P. Gasol enters the game for J. Lauvergne,,42-35,,
8:34.0,Offensive foul by B. Forbes (drawn by W. Barton),,42-35,,
8:34.0,Turnover by B. Forbes (offensive foul),,42-35,,
8:34.0,,,42-35,,J. Murray enters the game for D. Harris
8:25.0,,,42-35,,N. Jokic misses 2-pt shot from 19 ft
8:22.0,Defensive rebound by D. Green,,42-35,,
8:14.0,D. Murray makes 2-pt shot from 12 ft (assist by B. Forbes),2,44-35,,
7:58.0,,,44-37,2,N. Jokic makes 2-pt shot from 4 ft
7:35.0,D. Bertans makes 3-pt shot from 26 ft (assist by D. Murray),3,47-37,,
7:24.0,,,47-39,2,N. Jokic makes 2-pt shot from 1 ft
7:24.0,,,47-39,,Shooting foul by P. Gasol (drawn by N. Jokic)
7:24.0,,,47-39,,G. Harris enters the game for T. Lyles
7:24.0,,,47-39,,W. Chandler enters the game for M. Beasley
7:24.0,,,47-40,1,N. Jokic makes free throw 1 of 1
7:12.0,Shooting foul by G. Harris (drawn by D. Bertans),,47-40,,
7:12.0,D. Bertans misses free throw 1 of 2,,47-40,,
7:12.0,Offensive rebound by Team,,47-40,,
7:12.0,D. Bertans makes free throw 2 of 2,1,48-40,,
6:58.0,,,48-43,3,N. Jokic makes 3-pt shot from 24 ft (assist by W. Chandler)
6:42.0,Shooting foul by J. Murray (drawn by P. Gasol),,48-43,,
6:42.0,,,48-43,,Denver full timeout
6:42.0,P. Gasol makes free throw 1 of 2,1,49-43,,
6:42.0,P. Gasol makes free throw 2 of 2,1,50-43,,
6:25.0,,,50-43,,G. Harris misses 2-pt shot from 17 ft
6:22.0,Defensive rebound by D. Murray,,50-43,,
6:06.0,B. Forbes misses 3-pt shot from 24 ft,,50-43,,
6:02.0,,,50-43,,Defensive rebound by J. Murray
5:54.0,,,50-43,,J. Murray misses 3-pt shot from 24 ft
5:50.0,Defensive rebound by D. Bertans,,50-43,,
5:29.0,D. Green makes 2-pt shot from 19 ft (assist by P. Gasol),2,52-43,,
5:17.0,,,52-43,,W. Chandler misses 2-pt shot from 2 ft
5:15.0,Defensive rebound by P. Gasol,,52-43,,
5:11.0,Turnover by D. Murray (lost ball; steal by J. Murray),,52-43,,
5:06.0,,,52-43,,G. Harris misses 3-pt shot from 24 ft
5:03.0,Defensive rebound by D. Bertans,,52-43,,
4:47.0,Turnover by P. Gasol (bad pass; steal by G. Harris),,52-43,,
4:38.0,,,52-43,,W. Barton misses 3-pt shot from 23 ft
4:33.0,Defensive rebound by P. Gasol,,52-43,,
4:28.0,San Antonio full timeout,,52-43,,
4:28.0,M. Ginobili enters the game for D. Murray,,52-43,,
4:28.0,K. Anderson enters the game for D. Green,,52-43,,
4:28.0,T. Parker enters the game for D. Bertans,,52-43,,
4:11.0,P. Gasol misses 2-pt shot from 2 ft,,52-43,,
4:10.0,Offensive rebound by Team,,52-43,,
4:10.0,P. Mills enters the game for B. Forbes,,52-43,,
4:10.0,Turnover by Team (shot clock),,52-43,,
3:59.0,,,52-43,,N. Jokic misses 2-pt shot from 2 ft (block by P. Gasol)
3:56.0,,,52-43,,Offensive rebound by N. Jokic
3:54.0,,,52-43,,W. Barton misses 2-pt shot from 6 ft
3:51.0,,,52-43,,Offensive rebound by W. Barton
3:49.0,,,52-45,2,W. Barton makes 2-pt shot from 2 ft
3:35.0,P. Gasol misses 2-pt shot from 1 ft (block by W. Chandler),,52-45,,
3:33.0,,,52-45,,Defensive rebound by J. Murray
3:31.0,,,52-47,2,W. Barton makes 2-pt shot from 1 ft (assist by W. Chandler)
3:31.0,San Antonio full timeout,,52-47,,
3:15.0,Shooting foul by W. Barton (drawn by T. Parker),,52-47,,
3:15.0,T. Parker misses free throw 1 of 2,,52-47,,
3:15.0,Offensive rebound by Team,,52-47,,
3:15.0,T. Parker makes free throw 2 of 2,1,53-47,,
3:03.0,,,53-49,2,G. Harris makes 2-pt shot from 11 ft (assist by N. Jokic)
2:53.0,Turnover by M. Ginobili (bad pass; steal by W. Barton),,53-49,,
2:48.0,,,53-51,2,W. Barton makes 2-pt shot from 1 ft (assist by N. Jokic)
2:35.0,T. Parker makes 2-pt shot from 18 ft,2,55-51,,
2:20.0,,,55-51,,W. Barton misses 2-pt shot from 13 ft
2:18.0,Defensive rebound by T. Parker,,55-51,,
2:06.0,,,55-51,,Personal foul by G. Harris (drawn by M. Ginobili)
2:06.0,M. Ginobili makes free throw 1 of 2,1,56-51,,
2:06.0,M. Ginobili makes free throw 2 of 2,1,57-51,,
1:55.0,Personal foul by P. Gasol (drawn by N. Jokic),,57-51,,
1:44.0,,,57-53,2,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic)
1:33.0,P. Mills misses 3-pt shot from 26 ft,,57-53,,
1:32.0,,,57-53,,Defensive rebound by W. Chandler
1:23.0,,,57-55,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Chandler)
1:05.0,T. Parker makes 2-pt shot from 1 ft,2,59-55,,
1:00.0,,,59-57,2,W. Chandler makes 2-pt shot at rim (assist by W. Barton)
0:37.0,K. Anderson makes 2-pt shot from 20 ft,2,61-57,,
0:34.0,,,61-57,,J. Murray misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by P. Gasol,,61-57,,
0:15.0,Turnover by M. Ginobili (lost ball; steal by W. Barton),,61-57,,
0:09.0,,,61-57,,W. Barton misses 2-pt shot from 1 ft (block by K. Anderson)
0:09.0,,,61-57,,Offensive rebound by Team
0:05.0,,,61-57,,W. Chandler misses 3-pt shot from 25 ft
0:04.0,,,61-57,,Offensive rebound by N. Jokic
0:02.0,Personal foul by M. Ginobili (drawn by N. Jokic),,61-57,,
0:02.0,,,61-57,,N. Jokic misses free throw 1 of 2
0:02.0,,,61-57,,Offensive rebound by Team
0:02.0,,,61-58,1,N. Jokic makes free throw 2 of 2
0:02.0,,,61-58,,M. Beasley enters the game for G. Harris
0:00.0,M. Ginobili misses 3-pt shot from 41 ft,,61-58,,
0:00.0,Offensive rebound by Team,,61-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,61-61,3,J. Murray makes 3-pt shot from 24 ft (assist by G. Harris)
11:30.0,K. Anderson misses 2-pt shot from 3 ft,,61-61,,
11:27.0,,,61-61,,Defensive rebound by N. Jokic
