time,Denver,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Reed vs. M. Plumlee (N. Jokic gains possession),,,,Jump ball: W. Reed vs. M. Plumlee (N. Jokic gains possession)
11:44.0,G. Harris misses 3-pt shot from 26 ft,,0-0,,
11:42.0,Offensive rebound by M. Plumlee,,0-0,,
11:38.0,M. Plumlee makes 2-pt shot at rim (assist by W. Barton),2,2-0,,
11:25.0,,,2-2,2,W. Reed makes 2-pt shot from 1 ft (assist by M. Teodosic)
11:06.0,M. Plumlee makes 2-pt shot from 5 ft,2,4-2,,
10:46.0,,,4-2,,Turnover by W. Reed (lost ball; steal by W. Chandler)
10:32.0,M. Plumlee misses 2-pt shot from 1 ft,,4-2,,
10:29.0,,,4-2,,Defensive rebound by B. Griffin
10:25.0,,,4-2,,T. Wallace misses 3-pt shot from 22 ft
10:21.0,Defensive rebound by W. Barton,,4-2,,
10:16.0,W. Barton misses 3-pt shot from 25 ft,,4-2,,
10:12.0,,,4-2,,Defensive rebound by B. Griffin
10:07.0,,,4-4,2,B. Griffin makes 2-pt shot from 1 ft (assist by L. Williams)
10:07.0,,,4-4,,Shooting foul by N. Jokic (drawn by B. Griffin)
10:07.0,,,4-5,1,B. Griffin makes free throw 1 of 1
9:55.0,M. Plumlee makes 2-pt shot from 3 ft,2,6-5,,
9:38.0,,,6-5,,L. Williams misses 2-pt shot from 1 ft
9:33.0,,,6-5,,Offensive rebound by W. Reed
9:33.0,,,6-5,,W. Reed misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by W. Chandler,,6-5,,
9:28.0,,,6-5,,Personal block foul by T. Wallace (drawn by W. Chandler)
9:23.0,N. Jokic misses 3-pt shot from 25 ft,,6-5,,
9:20.0,Offensive rebound by W. Chandler,,6-5,,
9:18.0,W. Barton misses 3-pt shot from 25 ft,,6-5,,
9:14.0,,,6-5,,Defensive rebound by M. Teodosic
9:10.0,,,6-8,3,L. Williams makes 3-pt shot from 26 ft (assist by M. Teodosic)
8:41.0,W. Chandler makes 2-pt shot from 8 ft (assist by G. Harris),2,8-8,,
8:37.0,,,8-8,,Turnover by M. Teodosic (bad pass)
8:24.0,W. Chandler misses 3-pt shot from 22 ft,,8-8,,
8:21.0,Offensive rebound by Team,,8-8,,
8:17.0,G. Harris makes 2-pt shot from 1 ft (assist by W. Barton),2,10-8,,
8:08.0,,,10-8,,Shooting foul by W. Barton (drawn by L. Williams)
8:08.0,,,10-9,1,L. Williams makes free throw 1 of 2
8:08.0,,,10-10,1,L. Williams makes free throw 2 of 2
7:55.0,Shooting foul by W. Reed (drawn by M. Plumlee),,10-10,,
7:55.0,M. Plumlee makes free throw 1 of 2,1,11-10,,
7:55.0,M. Plumlee misses free throw 2 of 2,,11-10,,
7:51.0,,,11-10,,Defensive rebound by B. Griffin
7:30.0,,,11-10,,L. Williams misses 3-pt shot from 29 ft
7:28.0,,,11-10,,Offensive rebound by T. Wallace
7:21.0,,,11-10,,B. Griffin misses 2-pt shot from 1 ft (block by W. Chandler)
7:17.0,Defensive rebound by G. Harris,,11-10,,
7:16.0,G. Harris makes 2-pt shot from 1 ft,2,13-10,,
6:58.0,,,13-12,2,T. Wallace makes 2-pt shot from 4 ft
6:46.0,N. Jokic misses 3-pt shot from 25 ft,,13-12,,
6:43.0,,,13-12,,Defensive rebound by M. Teodosic
6:38.0,,,13-12,,T. Wallace misses 2-pt shot from 4 ft
6:36.0,Defensive rebound by N. Jokic,,13-12,,
6:23.0,W. Barton misses 2-pt shot from 13 ft,,13-12,,
6:19.0,,,13-12,,Defensive rebound by L. Williams
6:09.0,,,13-15,3,M. Teodosic makes 3-pt shot from 25 ft (assist by B. Griffin)
5:45.0,M. Plumlee misses 2-pt shot from 6 ft,,13-15,,
5:40.0,Offensive rebound by W. Barton,,13-15,,
5:33.0,W. Barton misses 2-pt shot at rim,,13-15,,
5:31.0,Offensive rebound by W. Barton,,13-15,,
5:31.0,W. Barton misses 2-pt shot from 1 ft (block by W. Reed),,13-15,,
5:31.0,Offensive rebound by Team,,13-15,,
5:31.0,,,13-15,,LA Clippers full timeout
5:31.0,,,13-15,,W. Johnson enters the game for M. Teodosic
5:31.0,M. Beasley enters the game for G. Harris,,13-15,,
5:31.0,Jump ball: W. Reed vs. W. Barton (B. Griffin gains possession),,,,Jump ball: W. Reed vs. W. Barton (B. Griffin gains possession)
5:31.0,,,13-15,,Offensive rebound by W. Reed
5:26.0,,,13-15,,Shooting foul by W. Chandler (drawn by W. Johnson)
5:26.0,,,13-16,1,W. Johnson makes free throw 1 of 2
5:26.0,,,13-16,,M. Harrell enters the game for W. Reed
5:26.0,,,13-17,1,W. Johnson makes free throw 2 of 2
5:11.0,N. Jokic makes 2-pt shot from 14 ft,2,15-17,,
4:51.0,,,15-17,,B. Griffin misses 3-pt shot from 24 ft
4:48.0,Defensive rebound by N. Jokic,,15-17,,
4:41.0,M. Plumlee misses 2-pt shot from 3 ft,,15-17,,
4:38.0,,,15-17,,Defensive rebound by M. Harrell
4:34.0,Personal foul by M. Beasley (drawn by L. Williams),,15-17,,
4:34.0,T. Lyles enters the game for M. Plumlee,,15-17,,
