time,Chicago,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. R. Lopez (L. Markkanen gains possession),,,,Jump ball: N. Jokic vs. R. Lopez (L. Markkanen gains possession)
11:44.0,L. Markkanen misses 2-pt shot from 12 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by K. Faried
11:22.0,,,0-2,2,K. Faried makes 2-pt shot from 2 ft (assist by J. Murray)
11:05.0,K. Dunn misses 2-pt shot from 13 ft,,0-2,,
11:01.0,,,0-2,,Defensive rebound by K. Faried
10:55.0,,,0-2,,J. Murray misses 2-pt shot from 4 ft
10:49.0,Defensive rebound by L. Markkanen,,0-2,,
10:46.0,L. Markkanen makes 3-pt shot from 24 ft (assist by D. Valentine),3,3-2,,
10:23.0,,,3-2,,J. Hernangomez misses 3-pt shot from 24 ft
10:19.0,,,3-2,,Offensive rebound by J. Murray
10:17.0,,,3-2,,J. Murray misses 3-pt shot from 25 ft
10:14.0,,,3-2,,Offensive rebound by K. Faried
10:12.0,,,3-2,,K. Faried misses 2-pt shot from 2 ft
10:09.0,Defensive rebound by D. Valentine,,3-2,,
9:58.0,R. Lopez makes 2-pt shot from 5 ft (assist by K. Dunn),2,5-2,,
9:50.0,,,5-2,,G. Harris misses 2-pt shot from 12 ft
9:47.0,Defensive rebound by L. Markkanen,,5-2,,
9:41.0,R. Lopez makes 2-pt shot from 16 ft (assist by K. Dunn),2,7-2,,
9:26.0,,,7-4,2,K. Faried makes 2-pt shot from 2 ft (assist by N. Jokic)
9:13.0,K. Dunn makes 2-pt shot from 10 ft,2,9-4,,
9:04.0,Personal foul by K. Dunn (drawn by J. Murray),,9-4,,
8:54.0,,,9-4,,G. Harris misses 3-pt shot from 22 ft
8:49.0,Defensive rebound by D. Valentine,,9-4,,
8:37.0,J. Holiday misses 3-pt shot from 25 ft,,9-4,,
8:33.0,Offensive rebound by R. Lopez,,9-4,,
8:15.0,R. Lopez makes 2-pt shot from 3 ft,2,11-4,,
7:55.0,,,11-6,2,G. Harris makes 2-pt shot from 2 ft
7:45.0,K. Dunn makes 2-pt shot from 3 ft,2,13-6,,
7:45.0,,,13-6,,Denver full timeout
7:28.0,,,13-6,,J. Hernangomez misses 3-pt shot from 23 ft
7:23.0,Defensive rebound by L. Markkanen,,13-6,,
7:13.0,,,13-6,,Personal foul by J. Murray (drawn by L. Markkanen)
7:05.0,L. Markkanen makes 2-pt shot from 2 ft (assist by K. Dunn),2,15-6,,
6:56.0,,,15-8,2,K. Faried makes 2-pt shot from 2 ft (assist by J. Hernangomez)
6:38.0,J. Holiday makes 2-pt shot from 14 ft (assist by K. Dunn),2,17-8,,
6:16.0,,,17-8,,Turnover by G. Harris (bad pass)
6:01.0,R. Lopez makes 2-pt shot from 2 ft (assist by J. Holiday),2,19-8,,
5:47.0,,,19-8,,G. Harris misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by K. Dunn,,19-8,,
5:33.0,L. Markkanen makes 2-pt shot from 2 ft,2,21-8,,
5:33.0,Shooting foul by J. Murray (drawn by L. Markkanen),,21-8,,
5:33.0,,,21-8,,W. Barton enters the game for J. Murray
5:33.0,,,21-8,,E. Mudiay enters the game for J. Hernangomez
5:33.0,L. Markkanen makes free throw 1 of 1,1,22-8,,
5:26.0,Personal foul by L. Markkanen (drawn by N. Jokic),,22-8,,
5:21.0,,,22-8,,Turnover by E. Mudiay (step out of bounds)
5:08.0,J. Holiday misses 3-pt shot from 24 ft,,22-8,,
5:06.0,Offensive rebound by D. Valentine,,22-8,,
4:55.0,K. Dunn makes 2-pt shot from 1 ft,2,24-8,,
4:50.0,,,24-8,,Denver full timeout
4:50.0,,,24-8,,T. Lyles enters the game for K. Faried
4:42.0,,,24-8,,N. Jokic misses 2-pt shot from 2 ft (block by J. Holiday)
4:36.0,Defensive rebound by R. Lopez,,24-8,,
4:19.0,K. Dunn makes 2-pt shot from 1 ft (assist by D. Valentine),2,26-8,,
4:07.0,,,26-11,3,W. Barton makes 3-pt shot from 26 ft (assist by G. Harris)
3:56.0,L. Markkanen misses 2-pt shot from 2 ft,,26-11,,
3:53.0,,,26-11,,Defensive rebound by N. Jokic
3:50.0,,,26-11,,E. Mudiay misses 2-pt shot from 2 ft
3:45.0,,,26-11,,Offensive rebound by E. Mudiay
3:45.0,,,26-14,3,W. Barton makes 3-pt shot from 25 ft (assist by E. Mudiay)
3:45.0,Chicago full timeout,,26-14,,
3:45.0,,,26-14,,M. Plumlee enters the game for N. Jokic
3:45.0,B. Portis enters the game for L. Markkanen,,26-14,,
3:45.0,A. Blakeney enters the game for D. Valentine,,26-14,,
3:36.0,J. Holiday misses 3-pt shot from 24 ft,,26-14,,
3:32.0,Offensive rebound by R. Lopez,,26-14,,
3:31.0,B. Portis misses 3-pt shot from 24 ft,,26-14,,
3:27.0,,,26-14,,Defensive rebound by T. Lyles
3:16.0,,,26-17,3,T. Lyles makes 3-pt shot from 23 ft (assist by M. Plumlee)
3:01.0,J. Holiday makes 3-pt shot from 22 ft (assist by B. Portis),3,29-17,,
2:44.0,,,29-19,2,W. Barton makes 2-pt shot from 2 ft
2:44.0,,,29-19,,Shooting foul by R. Lopez (drawn by W. Barton)
2:44.0,,,29-20,1,W. Barton makes free throw 1 of 1
2:32.0,Turnover by B. Portis (lost ball; steal by E. Mudiay),,29-20,,
2:31.0,Personal block foul by K. Dunn (drawn by T. Lyles),,29-20,,
2:31.0,,,29-20,,R. Jefferson enters the game for G. Harris
2:31.0,J. Grant enters the game for K. Dunn,,29-20,,
2:19.0,Personal foul by J. Holiday (drawn by M. Plumlee),,29-20,,
2:19.0,,,29-21,1,M. Plumlee makes free throw 1 of 2
2:19.0,,,29-21,,M. Plumlee misses free throw 2 of 2
2:16.0,Defensive rebound by J. Grant,,29-21,,
1:58.0,A. Blakeney misses 2-pt shot from 14 ft,,29-21,,
1:54.0,,,29-21,,Defensive rebound by E. Mudiay
1:49.0,,,29-24,3,W. Barton makes 3-pt shot from 24 ft (assist by R. Jefferson)
1:35.0,,,29-24,,Personal foul by M. Plumlee (drawn by R. Lopez)
1:35.0,P. Zipser enters the game for J. Holiday,,29-24,,
1:35.0,J. Holiday enters the game for R. Lopez,,29-24,,
1:34.0,Shooting foul by W. Barton (drawn by A. Blakeney),,29-24,,
1:34.0,A. Blakeney makes free throw 1 of 2,1,30-24,,
1:34.0,A. Blakeney makes free throw 2 of 2,1,31-24,,
1:17.0,,,31-24,,T. Lyles misses 2-pt shot from 6 ft
1:14.0,Defensive rebound by A. Blakeney,,31-24,,
