time,Detroit,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. A. Drummond (T. Harris gains possession),,,,Jump ball: R. Lopez vs. A. Drummond (T. Harris gains possession)
11:39.0,I. Smith makes 2-pt shot from 1 ft (assist by R. Bullock),2,2-0,,
11:30.0,Violation by T. Harris (kicked ball),,2-0,,
11:23.0,,,2-3,3,Z. LaVine makes 3-pt shot from 26 ft (assist by K. Dunn)
11:03.0,R. Bullock misses 2-pt shot from 2 ft,,2-3,,
10:59.0,Offensive rebound by A. Drummond,,2-3,,
10:59.0,A. Drummond makes 2-pt shot at rim,2,4-3,,
10:41.0,,,4-5,2,R. Lopez makes 2-pt shot from 5 ft (assist by Z. LaVine)
10:19.0,I. Smith makes 2-pt shot from 19 ft (assist by A. Bradley),2,6-5,,
10:01.0,,,6-5,,Turnover by J. Holiday (bad pass; steal by A. Bradley)
9:57.0,T. Harris misses 3-pt shot from 25 ft,,6-5,,
9:53.0,,,6-5,,Defensive rebound by J. Holiday
9:49.0,,,6-5,,Turnover by J. Holiday (lost ball; steal by T. Harris)
9:35.0,Turnover by A. Bradley (out of bounds lost ball),,6-5,,
9:17.0,,,6-7,2,K. Dunn makes 2-pt shot from 12 ft
8:54.0,T. Harris makes 2-pt shot from 1 ft (assist by A. Drummond),2,8-7,,
8:42.0,,,8-10,3,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Holiday)
8:21.0,A. Bradley makes 3-pt shot from 23 ft (assist by T. Harris),3,11-10,,
8:12.0,,,11-12,2,Z. LaVine makes 2-pt shot from 14 ft
7:57.0,Detroit full timeout,,11-12,,
7:57.0,,,11-12,,D. Valentine enters the game for Z. LaVine
7:54.0,Turnover by R. Bullock (bad pass; steal by K. Dunn),,11-12,,
7:50.0,,,11-14,2,K. Dunn makes 2-pt shot at rim
7:40.0,T. Harris misses 3-pt shot from 25 ft,,11-14,,
7:37.0,,,11-14,,Defensive rebound by D. Valentine
7:25.0,,,11-14,,L. Markkanen misses 2-pt shot from 4 ft (block by A. Drummond)
7:21.0,,,11-14,,Offensive rebound by L. Markkanen
7:21.0,,,11-14,,L. Markkanen misses 2-pt shot from 2 ft (block by A. Drummond)
7:18.0,Defensive rebound by R. Bullock,,11-14,,
7:16.0,A. Bradley makes 3-pt shot from 23 ft (assist by I. Smith),3,14-14,,
6:51.0,,,14-17,3,L. Markkanen makes 3-pt shot from 26 ft (assist by K. Dunn)
6:23.0,A. Bradley makes 2-pt shot from 6 ft (assist by A. Drummond),2,16-17,,
6:08.0,,,16-17,,K. Dunn misses 2-pt shot from 13 ft
6:03.0,Defensive rebound by T. Harris,,16-17,,
5:57.0,Turnover by T. Harris (bad pass; steal by L. Markkanen),,16-17,,
5:51.0,,,16-19,2,R. Lopez makes 2-pt shot from 18 ft (assist by D. Valentine)
5:37.0,Shooting foul by J. Holiday (drawn by A. Drummond),,16-19,,
5:37.0,A. Drummond makes free throw 1 of 2,1,17-19,,
5:37.0,A. Drummond misses free throw 2 of 2,,17-19,,
5:33.0,,,17-19,,Defensive rebound by D. Valentine
5:18.0,,,17-19,,Turnover by R. Lopez (lost ball; steal by A. Drummond)
5:10.0,A. Bradley makes 3-pt shot from 25 ft (assist by I. Smith),3,20-19,,
5:00.0,,,20-22,3,L. Markkanen makes 3-pt shot from 24 ft (assist by R. Lopez)
4:42.0,Shooting foul by D. Valentine (drawn by A. Drummond),,20-22,,
4:42.0,A. Drummond makes free throw 1 of 2,1,21-22,,
4:42.0,L. Kennard enters the game for R. Bullock,,21-22,,
4:42.0,A. Drummond makes free throw 2 of 2,1,22-22,,
4:31.0,,,22-22,,K. Dunn misses 2-pt shot from 1 ft
4:31.0,,,22-22,,Offensive rebound by R. Lopez
4:31.0,,,22-24,2,R. Lopez makes 2-pt shot at rim
4:15.0,Turnover by A. Bradley (bad pass; steal by K. Dunn),,22-24,,
4:11.0,,,22-27,3,J. Holiday makes 3-pt shot from 22 ft (assist by K. Dunn)
3:54.0,A. Bradley misses 2-pt shot from 11 ft,,22-27,,
3:50.0,Offensive rebound by A. Drummond,,22-27,,
3:48.0,A. Drummond makes 2-pt shot from 2 ft,2,24-27,,
3:39.0,,,24-29,2,R. Lopez makes 2-pt shot from 1 ft (assist by K. Dunn)
3:22.0,A. Bradley misses 2-pt shot from 15 ft,,24-29,,
3:19.0,,,24-29,,Defensive rebound by K. Dunn
3:16.0,Personal foul by A. Drummond (drawn by K. Dunn),,24-29,,
3:16.0,,,24-29,,N. Mirotic enters the game for L. Markkanen
3:16.0,D. Buycks enters the game for I. Smith,,24-29,,
3:02.0,,,24-31,2,R. Lopez makes 2-pt shot from 4 ft (assist by K. Dunn)
2:38.0,Turnover by T. Harris (lost ball; steal by K. Dunn),,24-31,,
2:33.0,,,24-34,3,J. Holiday makes 3-pt shot from 22 ft (assist by K. Dunn)
2:10.0,A. Drummond makes 2-pt shot from 2 ft,2,26-34,,
2:01.0,,,26-36,2,R. Lopez makes 2-pt shot at rim (assist by D. Valentine)
1:45.0,A. Bradley misses 3-pt shot from 25 ft,,26-36,,
1:45.0,,,26-36,,Defensive rebound by J. Holiday
1:32.0,,,26-36,,R. Lopez misses 2-pt shot from 3 ft
1:30.0,Defensive rebound by A. Drummond,,26-36,,
