time,Golden State,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Labissiere vs. J. McGee (D. Green gains possession),,,,Jump ball: S. Labissiere vs. J. McGee (D. Green gains possession)
11:40.0,K. Thompson makes 2-pt shot from 12 ft (assist by K. Durant),2,2-0,,
11:22.0,,,2-0,,D. Fox misses 3-pt shot from 22 ft
11:18.0,Defensive rebound by D. Green,,2-0,,
11:16.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,4-0,,
10:54.0,,,4-0,,Shooting foul by D. Green (drawn by S. Labissiere)
10:54.0,,,4-1,1,S. Labissiere makes free throw 1 of 2
10:54.0,,,4-2,1,S. Labissiere makes free throw 2 of 2
10:40.0,Q. Cook misses 3-pt shot from 24 ft,,4-2,,
10:37.0,,,4-2,,Defensive rebound by S. Labissiere
10:23.0,,,4-2,,Turnover by J. Jackson (step out of bounds)
10:08.0,Shooting foul by W. Cauley-Stein (drawn by J. McGee),,4-2,,
10:08.0,J. McGee misses free throw 1 of 2,,4-2,,
10:08.0,Offensive rebound by Team,,4-2,,
10:08.0,J. McGee makes free throw 2 of 2,1,5-2,,
9:53.0,,,5-4,2,W. Cauley-Stein makes 2-pt shot from 6 ft (assist by D. Fox)
9:53.0,Violation by J. McGee (def goaltending),,5-4,,
9:42.0,J. McGee makes 2-pt shot from 1 ft (assist by K. Thompson),2,7-4,,
9:28.0,Violation by J. McGee (kicked ball),,7-4,,
9:20.0,,,7-6,2,B. Bogdanovic makes 2-pt shot from 2 ft
9:02.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,9-6,,
8:44.0,,,9-6,,D. Fox misses 2-pt shot from 9 ft
8:41.0,,,9-6,,Offensive rebound by W. Cauley-Stein
8:35.0,,,9-8,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by D. Fox)
8:08.0,Q. Cook misses 2-pt shot from 7 ft (block by D. Fox),,9-8,,
8:05.0,Offensive rebound by K. Durant,,9-8,,
8:04.0,K. Durant misses 2-pt shot from 19 ft,,9-8,,
8:02.0,Offensive rebound by J. McGee,,9-8,,
8:00.0,J. McGee makes 2-pt shot from 2 ft,2,11-8,,
7:46.0,,,11-11,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Fox)
7:28.0,K. Thompson makes 2-pt shot from 19 ft (assist by J. McGee),2,13-11,,
7:11.0,,,13-11,,Turnover by B. Bogdanovic (lost ball; steal by D. Green)
7:06.0,K. Thompson misses 3-pt shot from 24 ft,,13-11,,
7:03.0,,,13-11,,Defensive rebound by D. Fox
6:44.0,,,13-13,2,B. Bogdanovic makes 2-pt shot from 22 ft (assist by S. Labissiere)
6:35.0,,,13-13,,Personal foul by S. Labissiere (drawn by D. Green)
6:35.0,,,13-13,,Sacramento full timeout
6:29.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,15-13,,
6:02.0,,,15-13,,D. Fox misses 3-pt shot from 24 ft
5:58.0,Defensive rebound by K. Thompson,,15-13,,
5:51.0,K. Durant misses 2-pt shot from 15 ft,,15-13,,
5:47.0,,,15-13,,Defensive rebound by W. Cauley-Stein
5:42.0,,,15-15,2,D. Fox makes 2-pt shot from 4 ft (assist by B. Bogdanovic)
5:19.0,K. Durant misses 2-pt shot from 15 ft,,15-15,,
5:17.0,,,15-15,,Defensive rebound by J. Jackson
5:02.0,,,15-17,2,D. Fox makes 2-pt shot from 15 ft
