time,New Orleans,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Green vs. E. Moore (N. Mirotic gains possession),,,,Jump ball: D. Green vs. E. Moore (N. Mirotic gains possession)
11:47.0,E. Moore makes 2-pt shot from 5 ft (assist by R. Rondo),2,2-0,,
11:19.0,,,2-2,2,K. Durant makes 2-pt shot from 19 ft (assist by K. Looney)
11:13.0,J. Holiday makes 2-pt shot from 1 ft (assist by A. Davis),2,4-2,,
10:56.0,,,4-2,,K. Durant misses 2-pt shot from 22 ft
10:49.0,Defensive rebound by A. Davis,,4-2,,
10:48.0,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Holiday),3,7-2,,
10:37.0,,,7-4,2,Q. Cook makes 2-pt shot from 2 ft (assist by D. Green)
10:25.0,R. Rondo makes 3-pt shot from 25 ft (assist by A. Davis),3,10-4,,
10:15.0,,,10-4,,D. Green misses 3-pt shot from 25 ft
10:12.0,,,10-4,,Offensive rebound by K. Looney
10:08.0,,,10-4,,D. Green misses 2-pt shot from 3 ft
10:05.0,Defensive rebound by J. Holiday,,10-4,,
10:00.0,A. Davis makes 2-pt shot from 2 ft (assist by N. Mirotic),2,12-4,,
9:45.0,,,12-4,,Turnover by D. Green (bad pass)
9:43.0,Shooting foul by D. Green (drawn by A. Davis),,12-4,,
9:43.0,A. Davis makes free throw 1 of 2,1,13-4,,
9:43.0,A. Davis misses free throw 2 of 2,,13-4,,
9:41.0,,,13-4,,Defensive rebound by D. Green
9:30.0,,,13-6,2,K. Thompson makes 2-pt shot from 19 ft (assist by Q. Cook)
9:15.0,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday),2,15-6,,
9:02.0,,,15-9,3,Q. Cook makes 3-pt shot from 26 ft (assist by K. Durant)
8:47.0,N. Mirotic makes 2-pt shot from 2 ft (assist by R. Rondo),2,17-9,,
8:40.0,,,17-12,3,K. Durant makes 3-pt shot from 28 ft
8:26.0,N. Mirotic makes 3-pt shot from 24 ft (assist by E. Moore),3,20-12,,
8:15.0,,,20-12,,K. Thompson misses 2-pt shot from 20 ft
8:15.0,Defensive rebound by Team,,20-12,,
8:08.0,,,20-12,,Personal foul by K. Looney (drawn by A. Davis)
8:08.0,Turnover by R. Rondo (bad pass),,20-12,,
7:53.0,,,20-14,2,Q. Cook makes 2-pt shot from 19 ft
7:38.0,R. Rondo makes 3-pt shot from 25 ft (assist by N. Mirotic),3,23-14,,
7:23.0,,,23-16,2,K. Looney makes 2-pt shot from 2 ft (assist by D. Green)
7:15.0,,,23-16,,Personal foul by Q. Cook (drawn by R. Rondo)
7:11.0,R. Rondo misses 2-pt shot from 2 ft,,23-16,,
7:08.0,,,23-16,,Defensive rebound by K. Thompson
7:01.0,,,23-18,2,K. Durant makes 2-pt shot from 6 ft
6:44.0,A. Davis makes 2-pt shot from 21 ft,2,25-18,,
6:31.0,,,25-20,2,Q. Cook makes 2-pt shot from 1 ft (assist by D. Green)
6:20.0,N. Mirotic misses 3-pt shot from 25 ft,,25-20,,
6:17.0,,,25-20,,Defensive rebound by D. Green
6:15.0,,,25-20,,Golden State full timeout
6:15.0,S. Hill enters the game for R. Rondo,,25-20,,
6:10.0,,,25-20,,Turnover by D. Green (bad pass; steal by J. Holiday)
5:55.0,J. Holiday misses 2-pt shot from 8 ft,,25-20,,
5:50.0,,,25-20,,Defensive rebound by D. Green
5:41.0,,,25-22,2,K. Thompson makes 2-pt shot from 19 ft
5:27.0,E. Moore makes 3-pt shot from 26 ft (assist by J. Holiday),3,28-22,,
