time,Miami,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. B. Adebayo (L. Ball gains possession),,,,Jump ball: B. Lopez vs. B. Adebayo (L. Ball gains possession)
11:42.0,,,0-0,,Turnover by B. Lopez (bad pass; steal by J. Richardson)
11:39.0,Turnover by J. Richardson (lost ball; steal by K. Kuzma),,0-0,,
11:35.0,,,0-0,,J. Randle misses 2-pt shot from 8 ft (block by J. Johnson)
11:35.0,Defensive rebound by J. Johnson,,0-0,,
11:25.0,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson),3,3-0,,
11:05.0,,,3-2,2,J. Randle makes 2-pt shot at rim (assist by L. Ball)
10:52.0,J. Johnson makes 3-pt shot from 24 ft (assist by J. Richardson),3,6-2,,
10:33.0,,,6-2,,J. Randle misses 2-pt shot from 20 ft
10:30.0,Defensive rebound by G. Dragic,,6-2,,
10:24.0,J. Richardson misses 2-pt shot from 20 ft,,6-2,,
10:24.0,,,6-2,,Defensive rebound by J. Randle
10:05.0,,,6-2,,B. Lopez misses 2-pt shot from 10 ft
10:02.0,Defensive rebound by J. Johnson,,6-2,,
9:56.0,T. Johnson misses 2-pt shot from 1 ft,,6-2,,
9:53.0,,,6-2,,Defensive rebound by B. Lopez
9:49.0,,,6-5,3,L. Ball makes 3-pt shot from 24 ft
9:22.0,G. Dragic makes 3-pt shot from 25 ft (assist by B. Adebayo),3,9-5,,
9:04.0,,,9-5,,Turnover by B. Lopez (bad pass; steal by J. Johnson)
9:01.0,G. Dragic misses 2-pt shot from 1 ft,,9-5,,
8:58.0,,,9-5,,Defensive rebound by K. Caldwell-Pope
8:49.0,,,9-7,2,J. Randle makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
8:32.0,T. Johnson misses 3-pt shot from 24 ft,,9-7,,
8:29.0,,,9-7,,Defensive rebound by L. Ball
8:15.0,,,9-7,,L. Ball misses 2-pt shot from 20 ft
8:12.0,Defensive rebound by J. Johnson,,9-7,,
7:59.0,J. Johnson makes 2-pt shot from 1 ft,2,11-7,,
7:45.0,Violation by J. Johnson (kicked ball),,11-7,,
7:38.0,,,11-10,3,B. Lopez makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope)
7:22.0,B. Adebayo misses 2-pt shot from 13 ft,,11-10,,
7:19.0,,,11-10,,Defensive rebound by K. Kuzma
7:14.0,,,11-12,2,K. Kuzma makes 2-pt shot from 2 ft
7:00.0,J. Johnson misses 3-pt shot from 25 ft,,11-12,,
6:57.0,,,11-12,,Defensive rebound by K. Kuzma
6:56.0,,,11-12,,Turnover by K. Kuzma (bad pass; steal by J. Richardson)
6:54.0,Turnover by J. Richardson (bad pass; steal by L. Ball),,11-12,,
6:52.0,,,11-12,,K. Caldwell-Pope misses 3-pt shot from 26 ft
6:43.0,Defensive rebound by J. Richardson,,11-12,,
6:37.0,J. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic),2,13-12,,
6:14.0,,,13-14,2,J. Randle makes 2-pt shot from 7 ft
5:54.0,T. Johnson misses 3-pt shot from 24 ft,,13-14,,
5:51.0,,,13-14,,Defensive rebound by J. Randle
5:43.0,,,13-14,,L. Ball misses 2-pt shot from 1 ft
5:41.0,Defensive rebound by J. Johnson,,13-14,,
5:27.0,J. Johnson misses 2-pt shot from 2 ft (block by B. Lopez),,13-14,,
5:24.0,,,13-14,,Defensive rebound by B. Lopez
5:21.0,,,13-14,,K. Kuzma misses 3-pt shot from 27 ft
5:19.0,Defensive rebound by Team,,13-14,,
5:19.0,,,13-14,,LA Lakers full timeout
5:19.0,,,13-14,,I. Thomas enters the game for K. Kuzma
5:19.0,J. Winslow enters the game for J. Johnson,,13-14,,
5:19.0,W. Ellington enters the game for T. Johnson,,13-14,,
5:05.0,J. Richardson misses 2-pt shot from 2 ft,,13-14,,
5:04.0,,,13-14,,Defensive rebound by L. Ball
4:50.0,,,13-16,2,J. Randle makes 2-pt shot from 4 ft
4:40.0,J. Winslow misses 3-pt shot from 24 ft,,13-16,,
4:35.0,Offensive rebound by B. Adebayo,,13-16,,
4:26.0,B. Adebayo misses 2-pt shot from 5 ft,,13-16,,
4:21.0,Offensive rebound by B. Adebayo,,13-16,,
4:21.0,B. Adebayo misses 2-pt shot at rim,,13-16,,
4:21.0,Offensive rebound by B. Adebayo,,13-16,,
4:19.0,W. Ellington misses 3-pt shot from 25 ft,,13-16,,
4:17.0,,,13-16,,Defensive rebound by J. Randle
4:15.0,,,13-16,,I. Thomas misses 3-pt shot from 29 ft
4:15.0,Defensive rebound by J. Richardson,,13-16,,
4:02.0,G. Dragic makes 2-pt shot from 4 ft,2,15-16,,
3:42.0,,,15-16,,J. Randle misses 2-pt shot from 8 ft
3:38.0,Defensive rebound by W. Ellington,,15-16,,
3:35.0,Shooting foul by B. Lopez (drawn by G. Dragic),,15-16,,
3:35.0,G. Dragic makes free throw 1 of 2,1,16-16,,
3:35.0,R. McGruder enters the game for J. Richardson,,16-16,,
3:35.0,K. Olynyk enters the game for B. Adebayo,,16-16,,
3:35.0,G. Dragic makes free throw 2 of 2,1,17-16,,
3:25.0,Personal foul by J. Winslow (drawn by J. Randle),,17-16,,
3:09.0,,,17-16,,K. Caldwell-Pope misses 2-pt shot from 20 ft
3:09.0,Defensive rebound by W. Ellington,,17-16,,
3:03.0,K. Olynyk makes 3-pt shot from 24 ft (assist by R. McGruder),3,20-16,,
3:00.0,,,20-16,,LA Lakers full timeout
3:00.0,,,20-16,,T. Wear enters the game for B. Lopez
2:50.0,,,20-19,3,T. Wear makes 3-pt shot from 23 ft (assist by L. Ball)
2:30.0,G. Dragic makes 3-pt shot from 24 ft,3,23-19,,
2:14.0,,,23-19,,L. Ball misses 2-pt shot from 8 ft
2:13.0,Defensive rebound by R. McGruder,,23-19,,
2:07.0,,,23-19,,Personal foul by T. Wear (drawn by K. Olynyk)
2:07.0,T. Johnson enters the game for G. Dragic,,23-19,,
1:53.0,J. Winslow misses 2-pt shot from 14 ft,,23-19,,
1:49.0,,,23-19,,Defensive rebound by K. Caldwell-Pope
1:39.0,,,23-19,,Shooting foul by R. McGruder (drawn by I. Thomas)
1:39.0,,,23-19,,I. Thomas misses free throw 1 of 2
1:39.0,,,23-19,,Offensive rebound by Team
1:39.0,,,23-19,,T. Ennis enters the game for L. Ball
1:39.0,,,23-20,1,I. Thomas makes free throw 2 of 2
1:26.0,J. Winslow makes 2-pt shot at rim,2,25-20,,
1:13.0,,,25-22,2,J. Randle makes 2-pt shot from 1 ft (assist by I. Thomas)
0:48.0,Turnover by K. Olynyk (lost ball; steal by J. Randle),,25-22,,
0:44.0,,,25-24,2,J. Randle makes 2-pt shot from 1 ft
0:26.0,J. Winslow misses 3-pt shot from 23 ft,,25-24,,
0:23.0,,,25-24,,Defensive rebound by I. Thomas
0:01.0,,,25-24,,I. Thomas misses 2-pt shot from 2 ft
0:00.0,,,25-24,,Offensive rebound by I. Thomas
0:00.0,,,25-24,,I. Thomas misses 2-pt shot from 2 ft (block by K. Olynyk)
0:00.0,,,25-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. McGruder misses 2-pt shot from 15 ft,,25-24,,
11:39.0,,,25-24,,Defensive rebound by K. Kuzma
11:31.0,,,25-24,,K. Kuzma misses 2-pt shot from 1 ft
11:29.0,Defensive rebound by K. Olynyk,,25-24,,
